time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63127,1,1,333,28001,0,0,0
63127,2,1,500,27700,0,0,0
63127,3,2,400,27082,0,0,0
63127,4,0,0,0,0,0,0
63127,5,0,0,0,0,0,0
84513,1,1,3378,30556,0,0,0
84513,2,1,333,28001,0,0,0
84513,3,1,500,27700,0,0,0
84513,4,2,400,27082,0,0,0
84517,3,2,700,27700,0,0,0
84522,1,1,3378,30556,30556,2277,1
84535,1,4,4411,27646,27646,6645,1
84535,2,2,400,27082,30556,2277,1
84535,3,0,0,0,0,0,0
84535,4,0,0,0,0,0,0
84540,2,2,400,27082,30556,2610,2
84540,1,5,7062,27700,27700,6645,1
84542,1,2,6029,30556,30556,2610,2
84542,2,1,333,28001,0,0,0
84542,3,2,700,27700,0,0,0
84542,4,2,400,27082,0,0,0
84554,1,5,7062,27700,27700,6645,1
84554,2,2,400,27082,30556,2610,2
84554,3,0,0,0,0,0,0
84554,4,0,0,0,0,0,0
84555,2,2,400,27082,30556,4424,3
84601,1,2,6029,30556,30556,4424,3
84601,2,1,333,28001,0,0,0
84601,3,2,700,27700,0,0,0
84601,4,2,400,27082,0,0,0
84601,3,3,3762,27700,0,0,0
84603,1,2,6029,30556,30556,5424,4
84609,1,2,6029,30556,30556,7732,5
84628,1,2,6029,30556,30556,5424,4
84634,1,1,2651,30556,30556,8424,5
84644,1,1,2651,30556,30556,10873,6
84653,1,1,2651,30556,30556,11873,7
84654,1,1,2651,30556,30556,17973,8
84654,3,2,3562,27700,0,0,0
84656,1,1,2651,30556,30556,28106,9
84657,1,1,2651,30556,30556,28356,10
84706,3,1,500,27700,0,0,0
84714,1,1,2651,30556,30556,22256,9
84714,1,1,2651,30390,30390,5300,1
84714,2,1,333,28001,30500,1000,1
84714,3,1,500,27700,30556,21256,8
84718,3,1,500,27700,30556,22176,9
84721,1,2,5427,30500,30500,6300,2
84721,2,1,333,28001,30556,22176,9
84721,3,1,500,27700,0,0,0
84728,1,1,2776,30390,30390,5300,1
84728,2,1,333,28001,30500,1000,1
84728,3,1,500,27700,30556,22176,9
84735,3,1,500,27700,30556,21176,8
84737,3,1,500,27700,30556,11043,7
84745,3,1,500,27700,30556,11706,8
84749,1,3,3609,27646,27646,6645,1
84749,2,2,400,27082,30390,5300,1
84749,3,0,0,0,30500,1000,1
84749,4,0,0,0,30556,11706,8
84750,1,3,3533,27646,27646,6645,1
84754,1,2,12700,30390,30390,11945,2
84754,2,1,333,28001,30500,1000,1
84754,3,1,500,27700,30556,11706,8
84754,4,2,400,27082,0,0,0
84754,1,1,10000,30556,30556,18006,10
84754,2,1,2700,30390,0,0,0
84754,3,1,333,28001,0,0,0
84754,4,1,500,27700,0,0,0
84754,5,2,400,27082,0,0,0
84800,5,1,1500,27646,0,0,0
84802,1,2,12700,30390,30390,11945,2
84802,2,1,333,28001,30500,1000,1
84802,3,1,500,27700,30556,11706,8
84802,4,1,1500,27646,0,0,0
84802,5,2,400,27082,0,0,0
84808,3,1,500,27700,30556,12990,9
84808,1,1,10000,30556,30556,19290,11
84808,2,1,2700,30390,0,0,0
84808,3,1,333,28001,0,0,0
84808,4,1,500,27700,0,0,0
84808,5,1,1500,27646,0,0,0
84812,1,2,12700,30390,30390,15433,2
84812,2,1,333,28001,30500,1000,1
84812,3,1,500,27700,30556,12990,9
84812,4,1,1500,27646,0,0,0
84812,5,2,400,27082,0,0,0
84817,3,1,500,27700,30556,24885,10
84823,1,2,12700,29101,29101,16778,2
84823,2,1,333,28001,30390,5300,1
84823,3,1,500,27700,30500,1000,1
84823,4,1,1500,27646,30556,24885,10
84826,1,3,15466,29101,29101,16778,2
84826,4,1,1500,27646,30556,25385,11
84828,1,3,15466,30500,30500,16433,3
84828,2,1,333,28001,30556,25385,11
84828,3,1,500,27700,0,0,0
84828,4,1,1500,27646,0,0,0
