time,last,close,open,high,low,count,volume,value,discarded
64129,28623,29101,0,0,0,0,0,0,0
90040,29750,29104,29750,29750,29750,1,2129,63337750,0
90040,29750,29104,29750,29750,29750,2,2766,82288500,0
90055,29191,29105,29750,29750,29191,3,3011,89440295,0
90132,29191,29105,29750,29750,29191,4,3181,94402765,0
90143,29191,29105,29750,29750,29191,5,3266,96884000,0
90154,29191,29105,29750,29750,29191,6,3722,110195096,0
90158,29191,29105,29750,29750,29191,7,4181,123593765,0
90207,29110,29105,29750,29750,29110,8,5681,167258765,0
90209,29110,29105,29750,29750,29110,9,5880,173051655,0
90215,29191,29105,29750,29750,29110,10,6562,192959917,0
90220,29110,29105,29750,29750,29110,11,6574,193309237,0
90220,29110,29105,29750,29750,29110,12,7074,207864237,0
90237,28300,29103,29750,29750,28300,13,8138,237975437,0
90308,28301,29103,29750,29750,28300,14,8338,243635637,0
90342,28300,29098,29750,29750,28300,15,11338,328535637,0
90357,28310,29098,29750,29750,28300,16,11538,334197637,0
90413,28310,29096,29750,29750,28300,17,12641,365423567,0
90424,28301,29095,29750,29750,28300,18,13141,379574067,0
90437,28310,29095,29750,29750,28300,19,13729,396220347,0
90437,28310,29094,29750,29750,28300,20,13802,398286977,0
90440,28310,29094,29750,29750,28300,21,13879,400466847,0
90440,28310,29093,29750,29750,28300,22,14515,418472007,0
90543,28330,29092,29750,29750,28300,23,15208,438104697,0
90553,28330,29092,29750,29750,28300,24,15708,452269697,0
90558,28330,29091,29750,29750,28300,25,16208,466434697,0
90609,28340,29088,29750,29750,28300,26,18208,523114697,0
90619,28331,29088,29750,29750,28300,27,18357,527336016,0
90751,29085,29088,29750,29750,28300,28,18537,532571316,0
90751,29085,29087,29750,29750,28300,29,28537,823421316,0
90751,29088,29087,29750,29750,28300,30,28862,832874916,0
90751,29100,29087,29750,29750,28300,31,29062,838694916,0
90751,29190,29089,29750,29750,28300,32,38857,1124610966,0
90751,29190,29089,29750,29750,28300,33,39051,1130273826,0
90809,29190,29089,29750,29750,28300,34,41051,1188653826,0
90818,29190,29089,29750,29750,28300,35,41510,1202052036,0
90902,29190,29090,29750,29750,28300,36,43857,1270560966,0
90902,29190,29090,29750,29750,28300,37,43975,1274005386,0
90902,29190,29090,29750,29750,28300,38,45474,1317761196,0
90902,29200,29090,29750,29750,28300,39,46254,1340537196,0
90902,29200,29091,29750,29750,28300,40,47637,1380920796,0
90911,29740,29091,29750,29750,28300,41,47813,1386155036,0
90911,29740,29091,29750,29750,28300,42,47837,1386868796,0
90943,29730,29094,29750,29750,28300,43,50513,1466426276,0
90943,29740,29094,29750,29750,28300,44,50739,1473147516,0
90943,29740,29095,29750,29750,28300,45,51289,1489504516,0
90943,29740,29096,29750,29750,28300,46,52240,1517787256,0
90958,29740,29096,29750,29750,28300,47,52440,1523735256,0
91009,29740,29097,29750,29750,28300,48,52771,1533579196,0
91056,28559,29097,29750,29750,28300,49,52990,1539833617,0
91107,28591,29096,29750,29750,28300,50,53864,1564822151,0
91107,28590,29095,29750,29750,28300,51,54990,1597014491,0
91130,29737,29096,29750,29750,28300,52,56083,1629517032,0
91144,29737,29097,29750,29750,28300,53,56623,1645575012,0
91146,29737,29097,29750,29750,28300,54,56898,1653752687,0
91148,29737,29100,29750,29750,28300,55,59292,1724943065,0
91222,28615,29100,29750,29750,28300,56,59294,1725000295,0
91256,28640,29100,29750,29750,28300,57,59544,1732160295,0
91256,28640,29100,29750,29750,28300,58,59744,1737888295,0
91256,28630,29099,29750,29750,28300,59,60734,1766231995,0
91431,29099,29099,29750,29750,28300,60,60736,1766290193,0
91431,29099,29099,29750,29750,28300,61,60916,1771528013,0
91449,29099,29099,29750,29750,28300,62,62293,1811597336,0
91452,29099,29099,29750,29750,28300,63,63293,1840696336,0
91505,29099,29099,29750,29750,28300,64,63635,1850648194,0
91527,28655,29099,29750,29750,28300,65,63811,1855691474,0
91527,28655,29098,29750,29750,28300,66,63889,1857926564,0
91530,29099,29098,29750,29750,28300,67,64289,1869566164,0
91540,28656,29098,29750,29750,28300,68,64839,1885326964,0
91702,28656,29098,29750,29750,28300,69,64984,1889482084,0
91702,28656,29098,29750,29750,28300,70,65036,1890972196,0
91704,28656,29098,29750,29750,28300,71,65204,1895786404,0
91704,28656,29097,29750,29750,28300,72,65436,1902434596,0
91719,29000,29097,29750,29750,28300,73,65584,1906726596,0
91729,29099,29097,29750,29750,28300,74,66584,1935825596,0
91756,29000,29097,29750,29750,28300,75,68565,1993274596,0
91756,29000,29097,29750,29750,28300,76,70654,2053855596,0
91756,29000,29096,29750,29750,28300,77,73065,2123774596,0
91806,28700,29096,29750,29750,28300,78,73104,2124893896,0
91908,28703,29096,29750,29750,28300,79,73303,2130605793,0
91908,28702,29096,29750,29750,28300,80,73503,2136346193,0
91922,28702,29095,29750,29750,28300,81,74003,2150697193,0
91929,28701,29095,29750,29750,28300,82,74123,2154141313,0
91938,28702,29095,29750,29750,28300,83,74224,2157040215,0
91943,28702,29095,29750,29750,28300,84,74424,2162780615,0
92003,29000,29095,29750,29750,28300,85,75774,2201930615,0
92021,28703,29094,29750,29750,28300,86,76349,2218434840,0
92118,28790,29094,29750,29750,28300,87,76649,2227071840,0
92123,28706,29094,29750,29750,28300,88,76999,2237118940,0
92123,28706,29093,29750,29750,28300,89,77799,2260083740,0
92129,28706,29093,29750,29750,28300,90,78583,2282589244,0
92215,28706,29093,29750,29750,28300,91,78591,2282818892,0
