time,count,volume,price,discarded
90045,1,100000,3490,0
90045,2,85404,3490,0
90045,3,27670,3490,0
90045,4,23795,3490,0
90045,5,20000,3490,0
90045,6,15000,3490,0
90045,7,14230,3490,0
90045,8,12800,3490,0
90045,9,10154,3490,0
90045,10,8698,3490,0
90045,11,5000,3490,0
90045,12,5000,3490,0
90045,13,3000,3490,0
90045,14,2800,3490,0
90045,15,1995,3490,0
90045,16,1709,3490,0
90045,17,1335,3490,0
90045,18,1320,3490,0
90045,19,1281,3490,0
90045,20,537,3490,0
90045,21,532,3490,0
90045,22,357,3490,0
90045,23,180,3490,0
90045,24,169,3490,0
90045,25,107,3490,0
90045,26,58,3490,0
90045,27,14,3490,0
90106,28,3313,3473,0
90106,29,20000,3473,0
90106,30,2869,3472,0
90106,31,1492,3472,0
90106,32,1500,3472,0
90106,33,3329,3469,0
90112,34,15000,3457,0
90112,35,1790,3457,0
90116,36,1547,3460,0
90123,37,15950,3460,0
90125,38,4050,3460,0
90125,39,1092,3457,0
90130,40,23308,3456,0
90132,41,12858,3457,0
90133,42,20000,3456,0
90144,43,12646,3490,0
90144,44,27354,3490,0
90149,45,4000,3490,0
90153,46,1500,3465,0
90153,47,3000,3460,0
90154,48,6000,3460,0
90201,49,2882,3460,0
90205,50,10381,3460,0
90211,51,1468,3457,0
90219,52,2900,3457,0
90225,53,6692,3456,0
90225,54,2322,3456,0
90229,55,46136,3456,0
90231,56,1500,3457,0
90233,57,1542,3456,0
90233,58,8458,3456,0
90236,59,218,3456,0
90236,60,2935,3456,0
90245,61,632,3457,0
90314,62,23593,3490,0
90320,63,14274,3490,0
90330,64,1000,3457,0
90331,65,57099,3490,0
90338,66,73680,3490,0
90338,67,3000,3490,0
90338,68,7758,3490,0
90338,69,1253,3490,0
90338,70,24189,3496,0
90338,71,8935,3499,0
90346,72,8870,3495,0
90346,73,3130,3499,0
90359,74,1500,3500,0
90400,75,5821,3500,0
90409,76,1451,3502,0
90410,77,79,3500,0
90410,78,9921,3500,0
90421,79,14000,3502,0
90425,80,1500,3502,0
90429,81,20,3500,0
90429,82,7192,3502,0
90440,83,1450,3550,0
90441,84,274,3550,0
90446,85,2000,3558,0
90452,86,274,3558,0
90458,87,9726,3558,0
90458,88,274,3558,0
90504,89,4726,3558,0
90504,90,20,3558,0
90512,91,22957,3560,0
90514,92,9118,3558,0
90516,93,862,3558,0
90516,94,138,3558,0
90525,95,400,3568,0
90530,96,10,3568,0
90537,97,2190,3568,0
90537,98,1210,3558,0
90542,99,6918,3580,0
90546,100,2252,3580,0
90546,101,3748,3580,0
90548,102,1700,3580,0
90601,103,2,3568,0
90601,104,4242,3568,0
90609,105,5000,3579,0
90609,106,5000,3579,0
90611,107,10000,3568,0
90612,108,1419,3579,0
90619,109,4000,3578,0
90619,110,6470,3579,0
90623,111,1,3579,0
90625,112,3448,3579,0
90634,113,6000,3578,0
90638,114,2000,3570,0
90643,115,1000,3570,0
90643,116,2000,3569,0
90643,117,38323,3568,0
90643,118,15000,3568,0
90643,119,4000,3568,0
90643,120,2606,3568,0
90646,121,2000,3568,0
90651,122,9968,3568,0
90652,123,3500,3558,0
90656,124,10000,3568,0
90657,125,1552,3558,0
90657,126,2900,3568,0
90657,127,3600,3558,0
90657,128,1400,3558,0
90658,129,24,3558,0
90658,130,5000,3558,0
90658,131,1532,3558,0
90658,132,1272,3550,0
90658,133,1546,3550,0
90658,134,626,3550,0
90703,135,8377,3565,0
90712,136,2000,3550,0
90715,137,2974,3550,0
90723,138,5000,3550,0
90723,139,2808,3502,0
90730,140,2000,3502,0
90731,141,59,3500,0
90731,142,2000,3500,0
90731,143,2000,3500,0
90740,144,8618,3460,0
90740,145,2000,3460,0
90740,146,2000,3460,0
90750,147,1500,3460,0
90753,148,7382,3460,0
90755,149,7024,3460,0
90755,150,2976,3460,0
90803,151,5680,3460,0
90803,152,17979,3500,0
90803,153,2021,3500,0
90817,154,50000,3500,0
90817,155,1344,3460,0
90817,156,456,3460,0
90818,157,10000,3480,0
90818,158,1468,3480,0
90823,159,80155,3480,0
90826,160,5980,3460,0
90826,161,2583,3460,0
90826,162,1468,3460,0
90826,163,9969,3460,0
90838,164,1500,3480,0
90838,165,1379,3500,0
90838,166,2650,3500,0
90842,167,1601,3500,0
90842,168,399,3500,0
90900,169,8700,3461,0
90912,170,3000,3461,0
90913,171,4372,3461,0
90913,172,31,3460,0
90913,173,4969,3460,0
90917,174,1031,3460,0
90926,175,669,3460,0
90926,176,1331,3461,0
90927,177,2720,3457,0
90931,178,2597,3461,0
90931,179,800,3461,0
90941,180,2500,3460,0
90951,181,3886,3461,0
90956,182,14238,3499,0
90958,183,97965,3499,0
91007,184,1003,3499,0
91009,185,100000,3499,0
91017,186,1032,3499,0
91017,187,10905,3499,0
91026,188,2301,3500,0
91026,189,6473,3500,0
91026,190,1172,3500,0
91031,191,626,3500,0
91032,192,24097,3540,0
91032,193,24051,3540,0
91032,194,10000,3550,0
91032,195,4884,3550,0
91032,196,5000,3558,0
91035,197,4965,3558,0
91046,198,1957,3563,0
91056,199,2000,3563,0
91100,200,1495,3563,0
91101,201,1301,3563,0
91109,202,16499,3563,0
91110,203,10000,3563,0
91112,204,3501,3563,0
91112,205,1063,3563,0
91118,206,3937,3563,0
91119,207,3000,3560,0
91123,208,2000,3560,0
91123,209,10000,3559,0
91123,210,67360,3558,0
91124,211,3135,3550,0
91139,212,12468,3500,0
91148,213,30000,3500,0
91229,214,43,3502,0
91231,215,800,3502,0
91250,216,3000,3530,0
91255,217,3500,3530,0
91312,218,5775,3520,0
91312,219,6037,3530,0
91312,220,808,3530,0
91318,221,7380,3530,0
91318,222,10566,3530,0
91324,223,1500,3510,0
91326,224,1338,3510,0
91326,225,5000,3510,0
91336,226,7692,3502,0
91336,227,1612,3502,0
91336,228,2594,3502,0
91347,229,2440,3502,0
91347,230,18874,3501,0
91358,231,2000,3510,0
91410,232,1447,3510,0
91418,233,2000,3502,0
91422,234,500,3502,0
91425,235,1126,3501,0
91425,236,20000,3501,0
91425,237,1605,3501,0
91425,238,1446,3501,0
91434,239,2157,3501,0
91435,240,2334,3501,0
91435,241,5000,3500,0
91441,242,10000,3500,0
91446,243,18778,3501,0
91451,244,2554,3501,0
91451,245,3068,3501,0
91455,246,20000,3500,0
91455,247,4063,3501,0
91457,248,3460,3500,0
91457,249,4500,3500,0
91457,250,40,3500,0
91458,251,5000,3501,0
91459,252,2237,3500,0
91459,253,1992,3500,0
91459,254,10100,3500,0
91459,255,1700,3500,0
91459,256,2000,3500,0
91459,257,2500,3500,0
91459,258,2000,3500,0
91522,259,3140,3500,0
91522,260,16480,3500,0
91522,261,699,3500,0
91531,262,2370,3500,0
91532,263,398,3500,0
91532,264,4000,3500,0
91532,265,5000,3500,0
91535,266,500,3500,0
91542,267,5729,3500,0
91546,268,1736,3501,0
91550,269,1500,3501,0
91604,270,10000,3510,0
91613,271,1724,3501,0
91613,272,2077,3501,0
91613,273,1199,3501,0
91614,274,10390,3501,0
91614,275,23960,3526,0
91621,276,4000,3530,0
91622,277,3570,3526,0
91627,278,2147,3526,0
91627,279,3,3526,0
91628,280,14997,3526,0
91637,281,1970,3526,0
91639,282,3033,3526,0
91647,283,9715,3526,0
91653,284,4000,3526,0
91659,285,5500,3526,0
91713,286,9058,3501,0
91715,287,8331,3525,0
91736,288,3700,3525,0
91800,289,25000,3510,0
91818,290,1425,3510,0
91822,291,3500,3522,0
91822,292,10641,3523,0
91837,293,5955,3510,0
91837,294,2854,3510,0
91841,295,3191,3510,0
91841,296,1309,3523,0
91855,297,1470,3501,0
91902,298,1600,3510,0
91909,299,14400,3510,0
91909,300,5000,3510,0
91913,301,48000,3505,0
91913,302,4936,3502,0
91913,303,4738,3501,0
91913,304,5500,3501,0
91913,305,31684,3501,0
91913,306,2500,3501,0
91913,307,10000,3501,0
91913,308,1492,3501,0
91913,309,5000,3501,0
91913,310,2846,3500,0
91913,311,5246,3500,0
91935,312,9000,3510,0
91944,313,2700,3501,0
91952,314,300,3501,0
91956,315,6895,3510,0
91957,316,1805,3510,0
92000,317,195,3510,0
92001,318,9805,3510,0
92008,319,2211,3500,0
92018,320,1019,3500,0
92020,321,1700,3501,0
92026,322,10000,3501,0
92048,323,12800,3501,0
92048,324,5200,3501,0
92055,325,29800,3501,0
92105,326,16770,3500,0
92105,327,28000,3500,0
92105,328,55230,3500,0
92108,329,10000,3500,0
92109,330,34770,3500,0
92109,331,5000,3500,0
92109,332,230,3500,0
92109,333,1420,3500,0
92109,334,1450,3500,0
92109,335,3000,3500,0
92115,336,3493,3499,0
92115,337,2000,3499,0
92115,338,34507,3499,0
92117,339,41635,3499,0
92124,340,10195,3499,0
92127,341,9663,3499,0
92127,342,337,3499,0
92130,343,3752,3499,0
92133,344,611,3499,0
92135,345,27294,3491,0
92148,346,10000,3491,0
92152,347,70488,3491,0
92152,348,1762,3491,0
92152,349,10000,3490,0
92156,350,8658,3480,0
92158,351,14754,3490,0
92201,352,1342,3480,0
92211,353,10000,3470,0
92211,354,190000,3470,0
92216,355,2000,3470,0
92218,356,8000,3470,0
92221,357,8046,3469,0
92227,358,1900,3469,0
92230,359,150000,3466,0
92230,360,2000,3466,0
92232,361,1114,3461,0
92238,362,10000,3461,0
92239,363,162,3457,0
92239,364,3300,3457,0
92239,365,10901,3457,0
92243,366,18283,3457,0
92251,367,2396,3456,0
92253,368,9069,3456,0
92253,369,5766,3456,0
92253,370,1600,3456,0
92257,371,2883,3455,0
92257,372,7661,3454,0
92257,373,10000,3454,0
92257,374,4350,3450,0
92257,375,22000,3450,0
92257,376,6000,3450,0
92257,377,147106,3450,0
92257,378,14350,3456,0
92257,379,14199,3457,0
92301,380,1876,3455,0
92301,381,48124,3450,0
92306,382,4770,3450,0
92306,383,8827,3450,0
92308,384,5000,3450,0
92309,385,22744,3450,0
92312,386,163429,3450,0
92312,387,36571,3450,0
92315,388,164,3457,0
92315,389,14186,3457,0
92315,390,10000,3450,0
92317,391,50700,3450,0
92322,392,12814,3457,0
92324,393,1770,3451,0
92324,394,102729,3450,0
92324,395,95501,3450,0
92329,396,10900,3450,0
92329,397,2500,3450,0
92339,398,1600,3450,0
92339,399,16074,3450,0
92339,400,13785,3461,0
92339,401,48000,3466,0
92339,402,22719,3469,0
92339,403,42042,3470,0
92345,404,2900,3420,0
92345,405,3300,3420,0
92345,406,2409,3420,0
92348,407,3111,3421,0
92352,408,9198,3421,0
92352,409,802,3421,0
92353,410,5000,3450,0
92356,411,6592,3421,0
92405,412,1500,3422,0
92405,413,8500,3422,0
92405,414,1500,3422,0
92410,415,2036,3425,0
92410,416,2964,3422,0
92411,417,15536,3422,0
92411,418,14464,3422,0
92413,419,10000,3424,0
92414,420,5000,3422,0
92415,421,10000,3449,0
92417,422,5000,3422,0
92421,423,5000,3422,0
92423,424,6454,3422,0
92423,425,2000,3449,0
92424,426,5000,3422,0
92427,427,9082,3422,0
92427,428,918,3422,0
92427,429,6082,3422,0
92428,430,10000,3422,0
92431,431,12606,3421,0
92438,432,5700,3421,0
92441,433,1694,3421,0
92441,434,8306,3421,0
92441,435,6694,3420,0
92446,436,897,3420,0
92446,437,1973,3420,0
92450,438,527,3420,0
92450,439,5000,3420,0
92450,440,6500,3420,0
92450,441,14780,3420,0
92450,442,95000,3420,0
92450,443,2870,3420,0
92455,444,43,3420,0
92455,445,1657,3420,0
92459,446,2218,3421,0
92459,447,2000,3421,0
92505,448,3000,3421,0
92507,449,4000,3420,0
92507,450,10000,3420,0
92516,451,4343,3420,0
92516,452,20000,3420,0
92520,453,7378,3420,0
92527,454,1210,3420,0
92530,455,1500,3410,0
92530,456,2700,3410,0
92530,457,5800,3410,0
92538,458,250,3410,0
92547,459,2290,3420,0
92547,460,6000,3420,0
92547,461,300,3420,0
92550,462,8559,3410,0
92550,463,10000,3410,0
92550,464,2000,3410,0
92550,465,2000,3410,0
92550,466,5000,3401,0
92550,467,1500,3401,0
92550,468,2000,3400,0
92550,469,9500,3400,0
92550,470,10000,3400,0
92550,471,10000,3400,0
92550,472,10000,3400,0
92550,473,2500,3400,0
92550,474,1743,3400,0
92550,475,25198,3400,0
92551,476,20000,3410,0
92551,477,80000,3400,0
92553,478,84802,3400,0
92553,479,15198,3400,0
92554,480,72252,3400,0
92554,481,27748,3400,0
92600,482,1955,3400,0
92602,483,10297,3400,0
92604,484,348,3400,0
92607,485,19652,3400,0
92607,486,24773,3395,0
