time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,30000,15030,18000,2000,1
63938,2,1,30000,14830,18430,450,1
63938,3,3,90000,14690,18680,3639,1
63938,4,1,1000,12400,18970,101000,2
63938,5,1,1000,7340,19240,8369,3
84501,1,1,2000,16810,18000,2000,1
84501,2,1,30000,15030,18430,450,1
84501,3,1,30000,14830,18680,3639,1
84501,4,3,90000,14690,18970,101000,2
84501,5,1,1000,12400,19240,8369,3
84501,1,1,1000,18000,18000,2000,1
84501,2,1,2000,16810,18430,450,1
84501,3,1,30000,15030,18680,3639,1
84501,4,1,30000,14830,18970,101000,2
84501,5,3,90000,14690,19240,8369,3
84502,1,1,2500,18570,18570,2450,2
84502,2,1,1000,18000,18680,3639,1
84502,3,1,2000,16810,18970,101000,2
84502,4,1,30000,15030,19240,8369,3
84502,5,1,30000,14830,19250,50000,1
84503,1,2,28500,18570,18570,2450,2
84504,1,2,28500,18570,18570,2730,3
84504,2,2,1800,18000,18680,3639,1
84504,1,3,29573,18570,18570,2730,3
84505,1,4,32073,18570,18570,2730,3
84505,1,5,132073,18570,18570,2730,3
84506,1,6,134573,18570,18570,2730,3
84506,1,7,137073,18570,18570,2730,3
84506,1,8,139573,18570,18570,2730,3
84506,2,3,4800,18000,18680,3639,1
84507,1,9,142073,18570,18570,2730,3
84509,1,10,146564,18570,18570,2730,3
84516,3,1,2000,17550,18970,101000,2
84516,4,1,2000,16810,19240,8369,3
84516,5,1,30000,15030,19250,50000,1
84531,1,10,146564,18570,18570,3017,4
84534,2,2,1800,18000,18680,3639,1
84540,1,10,146564,18570,18570,3517,5
84542,4,2,3337,16810,19240,8369,3
84544,1,9,144064,18570,18570,3517,5
84549,1,9,144064,18570,18570,29660,6
84553,1,8,141564,18570,18570,29660,6
84554,1,8,141564,18570,18570,29380,5
84604,1,8,141564,18570,18570,30614,6
84604,1,9,145564,18570,18570,30614,6
84620,1,9,145564,18570,18570,30894,7
84626,1,9,145564,18570,18570,35894,8
84626,1,8,143064,18570,18570,35894,8
84627,1,9,144664,18570,18570,35894,8
84631,1,9,144664,18570,18570,54029,9
84631,1,9,144664,18570,18570,56029,10
84641,1,10,145164,18570,18570,56029,10
84650,1,11,146454,18570,18570,56029,10
84724,3,1,300,17690,18970,101000,2
84724,4,1,2000,17550,19240,8369,3
84724,5,2,3337,16810,19250,50000,1
84747,1,12,147454,18570,18570,56029,10
84750,1,12,147454,18570,18570,56909,11
84751,1,13,151454,18570,18570,56909,11
84815,1,12,149854,18570,18570,56909,11
84826,5,1,294,17060,19250,50000,1
84841,1,12,149854,18570,18570,57189,12
84907,2,3,3800,18000,18680,3639,1
84914,1,12,149854,18570,18570,57536,13
84931,1,12,149854,18570,18570,58591,14
84940,3,2,2300,17690,18970,101000,2
84943,1,12,149854,18570,18570,58866,15
84950,1,12,149854,18570,18570,73866,16
84951,1,12,149854,18570,18570,75130,17
85000,1,12,149854,18570,18570,70130,16
85004,1,11,148564,18570,18570,70130,16
85011,1,11,148564,18570,18570,83559,17
85015,1,12,149105,18570,18570,83559,17
85016,1,13,169105,18570,18570,83559,17
85019,1,12,69105,18570,18570,83559,17
85022,1,12,69105,18570,18570,83859,18
85030,1,13,71105,18570,18570,83859,18
85030,2,2,1800,18000,18680,3639,1
85032,1,13,71105,18570,18570,85859,19
85035,1,12,68605,18570,18570,85859,19
85036,1,11,66105,18570,18570,85859,19
85040,1,12,74225,18570,18570,85859,19
85045,1,12,74225,18570,18570,86779,20
85057,1,11,72225,18570,18570,86779,20
85057,2,3,3800,18000,18680,3639,1
85058,1,12,74907,18570,18570,86779,20
85103,1,12,74907,18570,18570,132888,21
85112,1,12,74907,18570,18570,86779,20
85126,1,12,74907,18570,18570,87479,21
85129,1,11,70907,18570,18570,87479,21
85131,1,12,170907,18570,18570,87479,21
85133,1,11,166416,18570,18570,87479,21
85143,1,12,166716,18570,18570,87479,21
85146,1,12,166716,18570,18570,107479,22
85150,1,12,166716,18570,18570,108779,23
85158,1,12,166716,18570,18570,109095,24
85159,1,12,166716,18570,18570,118195,25
85222,1,13,167016,18570,18570,118195,25
85224,1,13,167016,18570,18570,121295,26
85247,1,14,169698,18570,18570,121295,26
85303,1,13,69698,18570,18570,121295,26
85306,1,14,108698,18570,18570,121295,26
85323,1,15,138698,18570,18570,121295,26
85326,1,15,138698,18570,18570,221295,27
85339,1,14,134698,18570,18570,221295,27
85346,1,14,134698,18570,18570,221866,28
85348,3,1,309,17700,18970,101000,2
85348,4,2,2300,17690,19240,8369,3
85348,5,1,2000,17550,19250,50000,1
85403,1,14,134698,18570,18570,271866,29
85414,1,13,134398,18570,18570,271866,29
85419,1,13,134398,18570,18570,281866,30
85423,2,1,280,18010,18680,3639,1
85423,3,3,3800,18000,18970,101000,2
85423,4,1,309,17700,19240,8369,3
85423,5,2,2300,17690,19250,50000,1
85424,1,12,133898,18570,18570,281866,30
85430,1,12,133898,18570,18570,285366,31
85447,1,12,133898,18570,18570,308366,32
85451,1,12,133898,18570,18570,308760,33
85503,1,12,133898,18570,18570,309260,34
85540,1,12,133898,18570,18570,309760,35
85543,4,1,1000,17720,19240,8369,3
85543,5,1,309,17700,19250,50000,1
85547,1,12,133898,18570,18570,311959,36
85613,1,12,133898,18570,18570,312959,37
85613,1,12,133898,18570,18570,316459,38
85621,1,12,133898,18570,18570,316959,39
85638,1,12,133898,18570,18570,322678,40
85644,1,12,133898,18570,18570,322958,41
85648,1,12,133898,18570,18570,331958,42
85655,1,12,133898,18570,18570,349458,43
85656,1,12,133898,18570,18570,359458,44
85708,5,2,20309,17700,19250,50000,1
85712,1,12,133898,18570,18570,360273,45
85739,1,12,133898,18570,18570,363645,46
85755,1,12,133898,18570,18570,364145,47
85808,1,12,133898,18570,18570,386408,48
85809,2,2,2280,18010,18680,3639,1
85820,5,3,22309,17700,19250,50000,1
85822,1,12,133898,18570,18570,387408,49
85824,1,12,133898,18570,18570,390930,50
85827,1,12,133898,18560,18560,135378,13
85827,2,2,2280,18010,18570,305552,38
85827,3,3,3800,18000,18680,3639,1
85827,4,1,1000,17720,18970,101000,2
85827,5,3,22309,17700,19240,8369,3
85834,4,2,6623,17720,18970,101000,2
85853,1,12,133898,18560,18560,138878,14
85855,1,12,133898,18560,18560,140878,15
85907,1,13,178694,18570,18570,446430,53
