time,count,volume,price,discarded
90018,1,44796,18540,0
90018,2,39000,18540,0
90018,3,25000,18540,0
90018,4,21400,18540,0
90018,5,16204,18540,0
90018,6,8000,18540,0
90018,7,5000,18540,0
90018,8,3500,18540,0
90018,9,2900,18540,0
90018,10,2682,18540,0
90018,11,2500,18540,0
90018,12,2199,18540,0
90018,13,1100,18540,0
90018,14,1073,18540,0
90018,15,1000,18540,0
90018,16,896,18540,0
90018,17,541,18540,0
90018,18,450,18540,0
90018,19,159,18540,0
90018,20,141,18540,0
90018,21,120,18540,0
90018,22,18,18540,0
90018,23,11,18540,0
90018,24,4,18540,0
90031,25,280,18010,0
90031,26,20,18010,0
90034,27,300,18010,0
90100,28,2000,18300,0
90100,29,2807,18300,0
90123,30,287,18400,0
90126,31,500,18400,0
90208,32,213,18400,0
90208,33,287,18400,0
90219,34,2000,18400,0
90235,35,70,18400,0
90239,36,1643,18400,0
90239,37,8357,18400,0
90251,38,2000,18400,0
90251,39,16716,18400,0
90251,40,13284,18400,0
90300,41,11716,18400,0
90407,42,2840,18120,0
90410,43,880,18140,0
90420,44,4000,18360,0
90427,45,563,18150,0
90430,46,305,18370,0
90448,47,3000,18200,0
90450,48,365,18360,0
90511,49,1342,18360,0
90511,50,2658,18360,0
90518,51,3850,18360,0
90524,52,600,18370,0
90531,53,609,18370,0
90531,54,616,18370,0
90537,55,13429,18360,0
90538,56,7569,18360,0
90541,57,300,18360,0
90543,58,3437,18230,0
90543,59,300,18220,0
90543,60,11263,18220,0
90602,61,5000,18230,0
90606,62,1753,18220,0
90606,63,1491,18220,0
90610,64,415,18360,0
90610,65,6745,18360,0
90614,66,234,18220,0
90628,67,6350,18360,0
90701,68,2000,18360,0
90721,69,1000,18360,0
90739,70,400,18300,0
90821,71,180,18300,0
90831,72,830,18350,0
90831,73,3905,18360,0
90831,74,10000,18360,0
90831,75,400,18360,0
90831,76,8000,18360,0
90831,77,500,18360,0
90834,78,500,18360,0
90913,79,354,18370,0
90913,80,2000,18370,0
90913,81,300,18370,0
90913,82,3246,18370,0
90931,83,389,18380,0
90937,84,1000,18370,0
91004,85,4988,18380,0
91010,86,18100,18370,0
91010,87,1900,18370,0
91033,88,290,18370,0
91034,89,757,18380,0
91042,90,8086,18380,0
91057,91,300,18450,0
91057,92,275,18450,0
91057,93,500,18450,0
91057,94,40,18450,0
91057,95,2326,18460,0
91057,96,20071,18460,0
91117,97,1000,18450,0
91138,98,14000,18450,0
91138,99,100,18470,0
91138,100,35000,18480,0
91138,101,272,18480,0
91155,102,1400,18500,0
91207,103,500,18530,0
91208,104,1620,18530,0
91211,105,1000,18530,0
91213,106,850,18500,0
91213,107,6583,18530,0
91216,108,6715,18530,0
91219,109,650,18500,0
91219,110,650,18500,0
91258,111,2060,18530,0
91301,112,731,18530,0
91301,113,1999,18550,0
91301,114,1,18550,0
91312,115,319,18550,0
91312,116,13681,18550,0
91317,117,32428,18550,0
91330,118,2000,18560,0
91330,119,3088,18560,0
91330,120,10000,18550,0
91331,121,380,18560,0
91335,122,46532,18560,0
91335,123,394,18560,0
91335,124,3372,18560,0
91335,125,2000,18560,0
91335,126,5274,18560,0
91337,127,14726,18560,0
91337,128,4928,18560,0
91337,129,26143,18570,0
91337,130,1234,18570,0
91337,131,280,18570,0
91337,132,18135,18570,0
91337,133,2000,18570,0
91337,134,190,18570,0
91339,135,1000,18550,0
91339,136,5810,18550,0
91339,137,26506,18530,0
91339,138,10000,18530,0
91339,139,6684,18530,0
91348,140,90,18570,0
91348,141,347,18570,0
91348,142,1055,18570,0
91348,143,300,18570,0
91348,144,920,18570,0
91348,145,316,18570,0
91348,146,96972,18570,0
91355,147,1000,18570,0
91356,148,643,18570,0
91403,149,1385,18570,0
91403,150,1615,18570,0
91404,151,1000,18570,0
91405,152,1000,18570,0
91406,153,2500,18560,0
91406,154,400,18560,0
91407,155,2100,18560,0
91407,156,6385,18570,0
91407,157,1515,18570,0
91412,158,1985,18570,0
91412,159,6919,18570,0
91414,160,16081,18570,0
91414,161,500,18570,0
91414,162,1000,18570,0
91414,163,3500,18570,0
91414,164,5719,18570,0
91414,165,9000,18570,0
91414,166,7200,18570,0
91417,167,1000,18570,0
91430,168,3316,18530,0
91430,169,1084,18530,0
91441,170,600,18530,0
91446,171,1000,18560,0
91447,172,10000,18560,0
91500,173,536,18560,0
91509,174,300,18500,0
91509,175,2500,18490,0
91509,176,7766,18490,0
91511,177,2000,18490,0
91512,178,12434,18490,0
91512,179,8464,18560,0
91512,180,27900,18560,0
91512,181,1670,18560,0
91512,182,999,18560,0
91512,183,9300,18570,0
91512,184,10000,18570,0
91512,185,815,18570,0
91512,186,2863,18570,0
91512,187,22263,18570,0
91512,188,1500,18570,0
91512,189,1792,18570,0
91522,190,280,18530,0
91524,191,81658,18570,0
91524,192,843,18570,0
91524,193,910,18570,0
91524,194,270,18570,0
91524,195,16319,18570,0
91526,196,350,18530,0
91530,197,543,18570,0
91532,198,2837,18570,0
91532,199,850,18570,0
91535,200,394,18570,0
91536,201,300,18550,0
91536,202,353,18530,0
91536,203,4347,18530,0
91542,204,5000,18530,0
91543,205,8891,18570,0
91614,206,5000,18540,0
91614,207,1000,18550,0
91643,208,500,18540,0
91646,209,5000,18550,0
91652,210,500,18540,0
91652,211,500,18540,0
91700,212,525,18550,0
91709,213,3000,18550,0
91710,214,810,18550,0
91723,215,34535,18550,0
91723,216,4800,18560,0
91723,217,20000,18560,0
91738,218,1000,18560,0
91741,219,39665,18560,0
91801,220,10247,18540,0
91801,221,9753,18540,0
91812,222,20000,18550,0
91827,223,300,18540,0
91830,224,508,18550,0
91833,225,2602,18540,0
91836,226,1000,18550,0
91837,227,36487,18550,0
91837,228,10335,18560,0
91837,229,15864,18570,0
91843,230,5857,18570,0
91843,231,375,18570,0
