time,count,volume,price,discarded
90019,1,13000,32970,0
90019,2,1876,32970,0
90019,3,1549,32970,0
90019,4,1240,32970,0
90019,5,929,32970,0
90019,6,500,32970,0
90019,7,500,32970,0
90019,8,400,32970,0
90019,9,300,32970,0
90019,10,250,32970,0
90019,11,180,32970,0
90019,12,175,32970,0
90019,13,95,32970,0
90019,14,60,32970,0
90128,15,4643,32970,0
90128,16,357,32970,0
90133,17,175,32650,0
90133,18,154,32650,0
90148,19,1235,32650,0
90216,20,1500,32700,0
90216,21,1650,32660,0
90227,22,100,32710,0
90234,23,160,33490,0
90234,24,361,33490,0
90239,25,177,33550,0
90239,26,200,33550,0
90244,27,1525,33590,0
90252,28,393,33590,0
90252,29,200,33590,0
90253,30,1525,33590,0
90254,31,1148,33550,0
90300,32,1525,33580,0
90300,33,1525,33580,0
90320,34,1004,33490,0
90320,35,626,33490,0
90322,36,899,33490,0
90542,37,300,33470,0
90542,38,887,33470,0
90543,39,600,33470,0
90558,40,1098,33460,0
90646,41,244,33440,0
91105,42,450,33350,0
91141,43,610,33330,0
91159,44,1530,32920,0
91208,45,221,32920,0
91215,46,600,32910,0
91219,47,2552,32910,0
91219,48,448,32900,0
91221,49,1035,32920,0
91233,50,155,32920,0
91236,51,241,33330,0
91236,52,57,33330,0
91251,53,263,32950,0
91256,54,3630,32950,0
91309,55,657,32950,0
91328,56,150,33330,0
91357,57,1793,33330,0
91431,58,1559,33300,0
91443,59,4052,32960,0
91443,60,750,32960,0
91502,61,849,32950,0
91513,62,1000,33300,0
91555,63,4147,33290,0
91642,64,155,32960,0
91650,65,45,32960,0
91650,66,333,33250,0
91654,67,2853,33250,0
91656,68,440,33250,0
91657,69,2853,33290,0
91657,70,154,33250,0
91700,71,1910,33290,0
91703,72,772,33300,0
91703,73,140,33300,0
91707,74,3000,33330,0
91707,75,152,33330,0
91707,76,2333,33330,0
91710,77,800,33350,0
91713,78,400,33400,0
91716,79,300,33420,0
91716,80,5478,33420,0
91721,81,1100,33420,0
91721,82,1000,33440,0
91725,83,150,33450,0
91729,84,601,33490,0
91729,85,1000,33490,0
91740,86,300,33500,0
91740,87,12302,33500,0
91755,88,154,33420,0
91817,89,1400,33490,0
91817,90,2000,33490,0
91817,91,2000,33490,0
91821,92,200,33500,0
91823,93,51337,33500,0
91859,94,389,33490,0
91859,95,2000,33490,0
91907,96,10490,33500,0
91936,97,223,33490,0
91936,98,446,33490,0
91942,99,331,33490,0
91949,100,18596,33500,0
91949,101,1098,33500,0
91949,102,919,33500,0
91949,103,610,33500,0
91950,104,209,33500,0
91950,105,298,33490,0
91954,106,337,33490,0
92046,107,172,33000,0
92215,108,250,33400,0
92420,109,335,33400,0
92635,110,500,33390,0
92707,111,155,33400,0
92844,112,150,33400,0
92936,113,155,33250,0
92936,114,845,33200,0
93023,115,155,33200,0
93023,116,663,33200,0
93046,117,1160,33300,0
93122,118,500,33300,0
93553,119,584,33200,0
93553,120,216,33200,0
93624,121,299,33290,0
93643,122,101,33290,0
93643,123,107,33290,0
93722,124,200,33210,0
93805,125,2000,33210,0
94032,126,500,33210,0
94041,127,417,33210,0
94041,128,1270,33210,0
94041,129,3313,33210,0
94055,130,155,33290,0
94105,131,4487,33210,0
94147,132,1266,33200,0
94217,133,13,33210,0
94217,134,212,33210,0
94321,135,4818,33200,0
94321,136,200,33200,0
94321,137,270,33200,0
94549,138,30,33200,0
94559,139,500,33010,0
94628,140,500,33200,0
94838,141,300,33030,0
94850,142,160,33030,0
94901,143,593,33020,0
94930,144,4445,33020,0
94941,145,160,33010,0
94946,146,282,33010,0
95004,147,155,33020,0
95013,148,500,33010,0
95047,149,2400,33020,0
95123,150,332,33010,0
95131,151,250,33020,0
95151,152,8233,33010,0
95151,153,365,33000,0
95151,154,1402,33000,0
95201,155,1508,33020,0
95202,156,98,33000,0
95202,157,152,33000,0
95202,158,59,33000,0
95212,159,441,33000,0
95222,160,169,33000,0
95314,161,573,33000,0
95324,162,153,32930,0
95324,163,1482,32930,0
95324,164,200,32920,0
95324,165,1000,32920,0
95324,166,1000,32900,0
95324,167,1000,32900,0
95324,168,340,32900,0
95441,169,908,32890,0
95504,170,211,32780,0
95504,171,5000,32700,0
95504,172,4789,32700,0
95546,173,616,32700,0
95657,174,3340,32700,0
95700,175,2010,32210,0
95703,176,2000,32210,0
95734,177,1027,32200,0
95738,178,84,32200,0
95745,179,4000,32200,0
95754,180,1277,32030,0
95754,181,656,32020,0
95754,182,1057,32020,0
95804,183,1982,32020,0
95804,184,8018,32010,0
95813,185,160,32200,0
95837,186,1520,32010,0
95851,187,170,32200,0
95921,188,238,32200,0
100020,189,240,32200,0
100021,190,1000,32020,0
100021,191,529,32020,0
100021,192,289,32020,0
100038,193,111,32020,0
100038,194,589,32020,0
100041,195,1895,32200,0
100119,196,190,32020,0
100140,197,221,32020,0
100140,198,500,32020,0
100140,199,190,32020,0
100140,200,89,32020,0
100207,201,411,32020,0
100207,202,3000,32020,0
100207,203,1000,32020,0
100207,204,158,32020,0
100223,205,187,32010,0
100244,206,650,32010,0
100244,207,1636,32020,0
100301,208,298,32020,0
100325,209,2014,32180,0
100419,210,350,32050,0
100419,211,638,32050,0
100450,212,185,32180,0
100508,213,2801,32180,0
100546,214,182,32200,0
100612,215,312,32200,0
100645,216,620,32200,0
100706,217,1500,32180,0
100717,218,362,32200,0
100717,219,2294,32200,0
100717,220,1000,32200,0
100718,221,362,32200,0
100718,222,699,32180,0
100718,223,1548,32180,0
100731,224,3951,32180,0
100744,225,1588,32190,0
100827,226,50,32190,0
100827,227,1000,32190,0
100827,228,1200,32190,0
100958,229,200,32200,0
101006,230,1000,32210,0
101006,231,500,32200,0
101112,232,1000,32560,0
101158,233,793,32560,0
101216,234,207,32560,0
101216,235,404,32560,0
101317,236,183,32560,0
101326,237,613,32560,0
101340,238,250,32560,0
101354,239,322,32570,0
101354,240,4678,32570,0
101357,241,1322,32570,0
101411,242,400,32590,0
101502,243,500,32660,0
101514,244,797,32670,0
101528,245,2637,32680,0
101602,246,1000,32700,0
101637,247,5000,32740,0
101644,248,3502,32740,0
101644,249,125,32740,0
101649,250,1791,32800,0
101736,251,427,33000,0
101736,252,573,33000,0
101745,253,5471,33000,0
101745,254,2529,33000,0
101808,255,2296,33000,0
101808,256,1382,33020,0
101919,257,1874,33020,0
101919,258,250,33020,0
101936,259,1114,33190,0
101947,260,920,33330,0
102033,261,80,33330,0
102033,262,3887,33340,0
102120,263,155,33340,0
102130,264,1845,33340,0
102130,265,12737,33340,0
102140,266,7263,33340,0
102140,267,170,33340,0
102151,268,945,33350,0
102151,269,200,33400,0
102151,270,500,33400,0
102151,271,10000,33400,0
102151,272,700,33400,0
102151,273,3000,33400,0
102151,274,700,33480,0
102151,275,1000,33490,0
102151,276,200,33490,0
102151,277,800,33490,0
102151,278,1000,33500,0
102151,279,300,33500,0
102151,280,800,33500,0
102151,281,500,33500,0
102151,282,3039,33500,0
102151,283,656,33500,0
102151,284,160,33540,0
102151,285,1000,33550,0
102151,286,500,33550,0
102151,287,1000,33560,0
102156,288,23000,33560,0
102159,289,27176,33400,0
102159,290,2529,33580,0
102159,291,537,33580,0
102159,292,400,33580,0
102159,293,1357,33590,0
102159,294,5000,33590,0
102159,295,1000,33590,0
102159,296,4465,33590,0
102159,297,250,33600,0
102159,298,313,33600,0
102159,299,170,33600,0
102159,300,3000,33600,0
102159,301,150,33610,0
102159,302,9,33610,0
102159,303,1000,33610,0
102159,304,7,33610,0
102159,305,2637,33610,0
102210,306,160,33570,0
102215,307,863,33510,0
102622,308,5946,33510,0
102635,309,1052,33510,0
102819,310,1779,33510,0
103045,311,200,33430,0
103104,312,1487,33500,0
103120,313,183,33430,0
103127,314,150,33430,0
103127,315,63,33430,0
103127,316,87,33430,0
103127,317,150,33430,0
103127,318,63,33430,0
103127,319,87,33420,0
103127,320,73,33420,0
103127,321,77,33420,0
103127,322,150,33420,0
103127,323,150,33420,0
103127,324,150,33420,0
103127,325,150,33420,0
103153,326,150,33420,0
103153,327,150,33420,0
103154,328,150,33420,0
103154,329,150,33420,0
103154,330,150,33420,0
103154,331,150,33420,0
103154,332,150,33420,0
103154,333,150,33420,0
103154,334,150,33420,0
103155,335,150,33420,0
103155,336,150,33420,0
103155,337,150,33420,0
103222,338,150,33420,0
103222,339,150,33420,0
103222,340,150,33420,0
103222,341,150,33420,0
103222,342,110,33420,0
103223,343,150,33420,0
103223,344,110,33420,0
103223,345,150,33420,0
103223,346,50,33420,0
103223,347,150,33420,0
103223,348,150,33420,0
103223,349,150,33420,0
103223,350,150,33420,0
103223,351,150,33420,0
103223,352,150,33420,0
103223,353,150,33420,0
103223,354,150,33420,0
103223,355,150,33420,0
103223,356,3,33420,0
103330,357,300,33400,0
103330,358,151,33400,0
103357,359,4432,33340,0
103406,360,147,33420,0
103408,361,1353,33420,0
103408,362,23647,33340,0
103444,363,150,33500,0
103509,364,5620,33340,0
103552,365,154,33500,0
103632,366,62,33500,0
103632,367,900,33500,0
103632,368,543,33500,0
103635,369,150,33500,0
103754,370,200,33500,0
103829,371,592,33400,0
104157,372,728,33400,0
104415,373,606,33400,0
104539,374,965,33400,0
104711,375,1212,33400,0
104807,376,217,33400,0
104807,377,606,33400,0
104807,378,536,33400,0
104807,379,1057,33400,0
104807,380,7584,33340,0
104821,381,529,33340,0
104905,382,755,33340,0
104905,383,2352,33340,0
105446,384,150,33350,0
105446,385,150,33350,0
105446,386,150,33350,0
105446,387,150,33350,0
105446,388,150,33350,0
105446,389,150,33350,0
105446,390,150,33350,0
105446,391,150,33350,0
105446,392,150,33350,0
105446,393,150,33350,0
105446,394,150,33350,0
105446,395,150,33350,0
105446,396,150,33350,0
105446,397,150,33350,0
105446,398,150,33350,0
105446,399,150,33350,0
105446,400,150,33350,0
105446,401,150,33350,0
105446,402,150,33350,0
105446,403,150,33350,0
105446,404,150,33350,0
105446,405,150,33350,0
105446,406,150,33350,0
105446,407,150,33350,0
105446,408,150,33350,0
105551,409,1250,33350,0
105551,410,2195,33350,0
105558,411,300,33350,0
105600,412,325,33340,0
105731,413,200,33500,0
105815,414,2465,33500,0
105815,415,400,33500,0
105858,416,774,33500,0
105926,417,1000,33510,0
110011,418,950,33510,0
110110,419,2310,33570,0
110129,420,1375,33580,0
110152,421,384,33580,0
110232,422,1475,33580,0
110232,423,150,33580,0
110316,424,474,33580,0
110346,425,300,33580,0
110434,426,156,33560,0
110441,427,548,33580,0
110526,428,7400,33580,0
110549,429,300,33580,0
110553,430,1021,33560,0
110553,431,800,33550,0
110553,432,18179,33550,0
110626,433,1821,33550,0
110758,434,150,33510,0
110758,435,81,33510,0
110758,436,69,33400,0
110758,437,150,33400,0
110758,438,150,33400,0
110758,439,150,33400,0
110758,440,150,33400,0
110758,441,150,33400,0
110758,442,150,33400,0
110758,443,150,33400,0
110758,444,41,33400,0
110758,445,150,33400,0
110758,446,150,33400,0
110758,447,150,33400,0
110758,448,150,33400,0
110758,449,23,33400,0
110758,450,150,33400,0
110758,451,150,33400,0
110758,452,150,33400,0
110758,453,150,33400,0
110758,454,150,33400,0
110758,455,150,33400,0
110758,456,150,33400,0
110758,457,150,33400,0
110758,458,150,33400,0
110758,459,150,33400,0
110758,460,150,33400,0
110758,461,150,33400,0
110758,462,150,33400,0
110758,463,150,33400,0
110758,464,150,33400,0
110804,465,1050,33580,0
110811,466,135,33400,0
110901,467,150,33410,0
110901,468,150,33410,0
110901,469,150,33400,0
110901,470,150,33400,0
110901,471,150,33400,0
110901,472,150,33400,0
110901,473,150,33400,0
110901,474,82,33400,0
110901,475,68,33400,0
110901,476,150,33400,0
110901,477,150,33400,0
110902,478,150,33400,0
110902,479,150,33400,0
110902,480,150,33400,0
110902,481,150,33400,0
110902,482,150,33400,0
110902,483,150,33400,0
110902,484,150,33400,0
110902,485,150,33400,0
110902,486,150,33400,0
110914,487,340,33580,0
111018,488,445,33580,0
111051,489,3282,33400,0
111051,490,177,33400,0
111051,491,298,33400,0
111051,492,2000,33400,0
111051,493,2,33360,0
111129,494,6179,33570,0
111129,495,200,33580,0
111129,496,135,33360,0
111221,497,150,33370,0
111221,498,150,33370,0
111221,499,30,33370,0
111221,500,150,33370,0
111221,501,20,33370,0
111221,502,150,33370,0
111221,503,150,33370,0
111221,504,73,33370,0
111221,505,30,33370,0
111221,506,150,33370,0
111221,507,150,33370,0
111221,508,150,33370,0
111221,509,150,33370,0
111221,510,150,33370,0
111221,511,150,33370,0
111221,512,150,33370,0
111221,513,150,33370,0
111221,514,150,33370,0
111221,515,150,33370,0
111222,516,150,33370,0
111254,517,150,33380,0
111254,518,150,33380,0
111254,519,150,33380,0
111254,520,150,33380,0
111254,521,150,33380,0
111254,522,150,33380,0
111255,523,150,33370,0
111255,524,150,33370,0
111255,525,150,33370,0
111255,526,150,33370,0
111255,527,150,33370,0
111255,528,88,33370,0
111255,529,150,33370,0
111255,530,150,33370,0
111255,531,150,33370,0
111255,532,150,33370,0
111255,533,150,33370,0
111255,534,150,33370,0
111255,535,150,33370,0
111255,536,37,33370,0
111308,537,113,33370,0
111308,538,150,33370,0
111308,539,150,33370,0
111308,540,1427,33590,0
111424,541,597,33590,0
111453,542,400,33590,0
111522,543,1306,33590,0
111522,544,2294,33590,0
111642,545,155,33370,0
111809,546,45,33370,0
111845,547,150,33370,0
111845,548,150,33370,0
111845,549,150,33370,0
111845,550,150,33370,0
111845,551,150,33370,0
111845,552,150,33370,0
111845,553,150,33370,0
111845,554,150,33370,0
111845,555,150,33370,0
111845,556,150,33370,0
111845,557,131,33370,0
111845,558,150,33370,0
111845,559,150,33370,0
111845,560,150,33370,0
111845,561,150,33370,0
111845,562,150,33370,0
111845,563,150,33370,0
111845,564,150,33370,0
111845,565,150,33370,0
111845,566,150,33370,0
111857,567,222,33580,0
112152,568,500,33370,0
112205,569,353,33580,0
112244,570,348,33590,0
112245,571,152,33380,0
112245,572,1347,33370,0
112512,573,711,33380,0
112537,574,168,33380,0
112609,575,9652,33590,0
112609,576,2041,33590,0
112624,577,3888,33590,0
112647,578,2317,33590,0
112708,579,1402,33590,0
112720,580,150,33590,0
112720,581,150,33590,0
