time,count,volume,price,discarded
90002,1,37821,12290,0
90002,2,20000,12290,0
90002,3,14897,12290,0
90002,4,10000,12290,0
90002,5,10000,12290,0
90002,6,8870,12290,0
90002,7,6858,12290,0
90002,8,6455,12290,0
90002,9,6455,12290,0
90002,10,6453,12290,0
90002,11,6453,12290,0
90002,12,6303,12290,0
90002,13,6071,12290,0
90002,14,6035,12290,0
90002,15,5718,12290,0
90002,16,5604,12290,0
90002,17,5325,12290,0
90002,18,5230,12290,0
90002,19,5000,12290,0
90002,20,4970,12290,0
90002,21,4930,12290,0
90002,22,4838,12290,0
90002,23,4000,12290,0
90002,24,3817,12290,0
90002,25,3795,12290,0
90002,26,3502,12290,0
90002,27,3453,12290,0
90002,28,3453,12290,0
90002,29,3053,12290,0
90002,30,3024,12290,0
90002,31,2818,12290,0
90002,32,2817,12290,0
90002,33,2806,12290,0
90002,34,2430,12290,0
90002,35,2325,12290,0
90002,36,2309,12290,0
90002,37,2142,12290,0
90002,38,2000,12290,0
90002,39,2000,12290,0
90002,40,2000,12290,0
90002,41,1961,12290,0
90002,42,1879,12290,0
90002,43,1863,12290,0
90002,44,1700,12290,0
90002,45,1500,12290,0
90002,46,1442,12290,0
90002,47,1183,12290,0
90002,48,1000,12290,0
90002,49,1000,12290,0
90002,50,1000,12290,0
90002,51,1000,12290,0
90002,52,1000,12290,0
90002,53,812,12290,0
90002,54,798,12290,0
90002,55,700,12290,0
90002,56,689,12290,0
90002,57,682,12290,0
90002,58,597,12290,0
90002,59,580,12290,0
90002,60,580,12290,0
90002,61,557,12290,0
90002,62,505,12290,0
90002,63,500,12290,0
90002,64,500,12290,0
90002,65,500,12290,0
90002,66,500,12290,0
90002,67,500,12290,0
90002,68,470,12290,0
90002,69,441,12290,0
90002,70,420,12290,0
90002,71,420,12290,0
90002,72,418,12290,0
90002,73,409,12290,0
90002,74,400,12290,0
90002,75,387,12290,0
90002,76,339,12290,0
90002,77,286,12290,0
90002,78,279,12290,0
90002,79,266,12290,0
90002,80,240,12290,0
90002,81,233,12290,0
90002,82,229,12290,0
90002,83,195,12290,0
90002,84,190,12290,0
90002,85,167,12290,0
90002,86,164,12290,0
90002,87,158,12290,0
90002,88,150,12290,0
90002,89,144,12290,0
90002,90,137,12290,0
90002,91,119,12290,0
90002,92,99,12290,0
90002,93,94,12290,0
90002,94,93,12290,0
90002,95,82,12290,0
90002,96,75,12290,0
90002,97,75,12290,0
90002,98,67,12290,0
90002,99,65,12290,0
90002,100,41,12290,0
90002,101,19,12290,0
90002,102,16,12290,0
90002,103,13,12290,0
90002,104,12,12290,0
90002,105,7,12290,0
90002,106,5,12290,0
90002,107,4,12290,0
90002,108,3,12290,0
90002,109,3,12290,0
90002,110,2,12290,0
90002,111,2,12290,0
90002,112,1,12290,0
90002,113,1,12290,0
90002,114,1,12290,0
90002,115,412,12280,0
90002,116,26,12280,0
90003,117,401,12290,0
90003,118,411,12290,0
90010,119,188,12290,0
90010,120,1000,12290,0
90010,121,312,12280,0
90015,122,370,12330,0
90015,123,482,12330,0
90015,124,489,12330,0
90015,125,429,12330,0
90018,126,410,12330,0
90019,127,1031,12300,0
90023,128,430,12300,0
90024,129,9161,12330,0
90024,130,490,12330,0
90024,131,817,12350,0
90024,132,848,12350,0
90024,133,207,12350,0
90025,134,564,12300,0
90025,135,3436,12300,0
90027,136,409,12350,0
90031,137,500,12330,0
90034,138,1734,12350,0
90034,139,766,12400,0
90036,140,2403,12330,0
90041,141,1000,12350,0
90041,142,3975,12350,0
90041,143,274,12350,0
90041,144,850,12350,0
90043,145,6965,12350,0
90044,146,4053,12350,0
90045,147,3467,12400,0
90045,148,10275,12400,0
90045,149,6258,12400,0
90045,150,3000,12400,0
90047,151,737,12400,0
90047,152,1000,12400,0
90047,153,725,12360,0
90049,154,1363,12360,0
90049,155,272,12350,0
90050,156,1000,12400,0
90050,157,245,12400,0
90050,158,500,12400,0
90050,159,255,12400,0
90052,160,3077,12350,0
90053,161,245,12400,0
90053,162,450,12400,0
90053,163,255,12400,0
90053,164,50,12400,0
90054,165,800,12390,0
90054,166,200,12400,0
90054,167,1250,12400,0
90054,168,427,12400,0
90054,169,2340,12400,0
90055,170,20560,12350,0
90055,171,16319,12400,0
90056,172,410,12400,0
90056,173,1000,12400,0
90057,174,1000,12350,0
90057,175,2800,12400,0
90057,176,484,12400,0
90057,177,1000,12400,0
90059,178,4197,12400,0
90059,179,410,12400,0
90059,180,393,12400,0
90059,181,107,12400,0
90059,182,343,12400,0
90100,183,424,12400,0
90101,184,804,12400,0
90102,185,1340,12400,0
90102,186,1000,12400,0
90102,187,3000,12400,0
90102,188,1000,12400,0
90104,189,2854,12400,0
90106,190,900,12400,0
90107,191,9300,12400,0
90108,192,20457,12400,0
90108,193,409,12420,0
90108,194,32,12420,0
90111,195,10149,12400,0
90111,196,2000,12400,0
90111,197,8000,12400,0
90111,198,10000,12400,0
90111,199,410,12400,0
90111,200,3000,12400,0
90111,201,804,12400,0
90111,202,30000,12370,0
90111,203,20000,12360,0
90111,204,1137,12350,0
90112,205,12000,12400,0
90112,206,2420,12400,0
90112,207,6500,12400,0
90112,208,5000,12400,0
90112,209,1700,12400,0
90113,210,177,12360,0
90113,211,769,12400,0
90114,212,650,12400,0
90114,213,3636,12360,0
90114,214,6187,12360,0
90114,215,13813,12350,0
90115,216,36598,12400,0
90115,217,968,12420,0
90115,218,27878,12420,0
90115,219,2122,12420,0
90115,220,500,12420,0
90115,221,37752,12430,0
90115,222,59626,12440,0
90116,223,216,12400,0
90118,224,420,12420,0
90118,225,2580,12400,0
90122,226,465,12420,0
90122,227,993,12420,0
90123,228,2000,12440,0
90124,229,781,12440,0
90124,230,2613,12420,0
90126,231,405,12440,0
90131,232,8008,12440,0
90131,233,3200,12440,0
90131,234,871,12440,0
90132,235,1300,12420,0
90132,236,2687,12440,0
90133,237,285,12420,0
90133,238,12415,12420,0
90134,239,1000,12440,0
90134,240,3500,12440,0
90134,241,1000,12440,0
90135,242,500,12440,0
90136,243,27693,12420,0
90136,244,2307,12420,0
90136,245,1150,12440,0
90136,246,15272,12440,0
90136,247,400,12440,0
90136,248,500,12440,0
90136,249,1500,12440,0
90138,250,500,12450,0
90138,251,500,12450,0
90140,252,8504,12440,0
90140,253,11496,12440,0
90140,254,700,12440,0
90140,255,500,12450,0
90140,256,7969,12450,0
90140,257,4185,12440,0
90143,258,1000,12440,0
90144,259,2000,12450,0
90144,260,1604,12450,0
90146,261,2000,12440,0
90147,262,619,12440,0
90147,263,381,12440,0
90149,264,4643,12450,0
90149,265,3773,12450,0
90150,266,1000,12450,0
90152,267,407,12460,0
90155,268,584,12450,0
90155,269,1000,12450,0
90155,270,1000,12450,0
90155,271,3000,12450,0
90155,272,869,12450,0
90156,273,1533,12450,0
90156,274,10000,12450,0
90156,275,643,12450,0
90156,276,4056,12450,0
90156,277,738,12450,0
90156,278,33030,12450,0
90156,279,93,12460,0
90156,280,2000,12470,0
90200,281,6453,12470,0
90201,282,8214,12480,0
90201,283,1786,12480,0
90201,284,1052,12470,0
90202,285,411,12480,0
90203,286,406,12480,0
90207,287,402,12480,0
90207,288,1995,12480,0
90213,289,2105,12480,0
90213,290,3000,12480,0
90213,291,405,12480,0
90213,292,1490,12480,0
90214,293,700,12490,0
90214,294,3337,12490,0
90214,295,1663,12490,0
90214,296,2000,12490,0
90214,297,1000,12490,0
90214,298,2094,12500,0
