time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,618,21470,21870,3050,1
63938,2,1,300,21050,22740,1500,1
63938,3,1,500,20010,23000,5000,1
63938,4,0,0,0,23320,2366,1
63938,5,0,0,0,24340,3300,2
84505,2,1,500,20010,22740,1500,1
84505,3,0,0,0,23000,5000,1
84525,4,0,0,0,23240,8193,1
84525,5,0,0,0,23320,2366,1
84541,1,2,1060,21470,21870,3050,1
84545,4,0,0,0,23240,8411,2
84554,2,1,1500,21040,22740,1500,1
84554,3,1,500,20010,23000,5000,1
84720,4,0,0,0,23220,1290,1
84720,5,0,0,0,23240,8411,2
84727,3,1,500,20010,23000,23000,2
84803,5,0,0,0,23240,10411,3
84808,2,2,2500,21040,22740,1500,1
84827,2,1,4000,21120,22740,1500,1
84827,3,2,2500,21040,23000,23000,2
84827,4,1,500,20010,23220,1290,1
84828,2,1,4000,21120,22730,463,1
84828,3,2,2500,21040,22740,1500,1
84828,4,1,500,20010,23000,23000,2
84828,5,0,0,0,23220,1290,1
84847,1,3,3560,21470,21870,3050,1
84851,3,2,2500,21040,23000,23000,2
84851,4,1,500,20010,23200,1500,1
84917,3,3,2840,21040,23000,23000,2
84923,3,4,3340,21040,23000,23000,2
84939,3,4,3340,21040,23000,23224,3
85018,3,4,3340,21040,22990,5000,1
85018,4,1,500,20010,23000,23224,3
85018,5,0,0,0,23200,1500,1
85020,3,5,3580,21040,22990,5000,1
85043,3,1,239,21050,22990,5000,1
85043,4,5,3580,21040,23000,23224,3
85043,5,1,500,20010,23200,1500,1
85044,4,6,4580,21040,23000,23224,3
85047,2,2,4500,21120,22730,463,1
85113,4,7,5080,21040,23000,23224,3
85114,1,1,10000,21500,21870,3050,1
85114,2,3,3560,21470,22730,463,1
85114,3,2,4500,21120,22990,5000,1
85114,4,1,239,21050,23000,23224,3
85114,5,7,5080,21040,23200,1500,1
85119,3,1,236,21390,22990,5000,1
85119,4,2,4500,21120,23000,23224,3
85119,5,1,239,21050,23200,1500,1
85133,3,1,236,21390,22990,5224,2
85133,4,2,4500,21120,23000,23000,2
85205,4,3,9217,21120,23000,23000,2
85231,5,2,759,21050,23200,1500,1
85310,2,3,3560,21470,22280,234,1
85310,3,1,236,21390,22730,463,1
85310,4,3,9217,21120,22990,5224,2
85310,5,2,759,21050,23000,23000,2
85310,4,1,260,21220,22990,5224,2
85310,5,3,9217,21120,23000,23000,2
85338,4,1,260,21220,22970,230,1
85338,5,3,9217,21120,22990,5224,2
85415,2,3,3560,21470,22000,180,1
85415,3,1,236,21390,22280,234,1
85415,4,1,260,21220,22730,463,1
85415,5,3,9217,21120,22970,230,1
85434,1,2,12500,21500,21870,3050,1
85434,2,2,1060,21470,22000,180,1
85453,1,1,1000,21510,21870,3050,1
85453,2,2,12500,21500,22000,180,1
85453,3,2,1060,21470,22280,234,1
85453,4,1,236,21390,22730,463,1
85453,5,1,260,21220,22970,230,1
85518,4,1,236,21390,22730,1063,2
85540,5,1,260,21220,22970,1530,2
85552,5,1,260,21220,22950,400,1
85820,1,1,850,21870,21870,3050,1
85820,2,1,1000,21510,22000,180,1
85820,3,2,12500,21500,22280,234,1
85820,4,2,1060,21470,22730,1063,2
85820,5,1,236,21390,22950,400,1
85847,2,1,1000,21520,22000,180,1
85847,3,1,1000,21510,22280,234,1
85847,4,2,12500,21500,22730,1063,2
85847,5,2,1060,21470,22950,400,1
90013,1,2,1224,21870,21870,3050,1
90021,1,1,1000,21520,21870,1826,1
90021,2,1,1000,21510,22000,180,1
90021,3,2,12500,21500,22280,234,1
90021,4,2,1060,21470,22730,1063,2
90021,5,1,236,21390,22950,400,1
90030,5,1,236,21390,22950,624,2
90045,5,1,236,21390,22950,14624,3
90052,5,1,236,21390,22880,3000,1
90100,3,3,13500,21500,22280,234,1
90120,1,1,1250,21530,21870,1826,1
90120,2,1,1000,21520,22000,180,1
90120,3,1,1000,21510,22280,234,1
90120,4,3,13500,21500,22730,1063,2
90120,5,2,1060,21470,22880,3000,1
90133,1,2,6250,21530,21870,1826,1
90136,1,1,1000,21540,21870,1826,1
90136,2,2,6250,21530,22000,180,1
90144,1,2,1245,21540,21870,1826,1
90144,3,1,1000,21520,22280,234,1
90144,4,1,1000,21510,22730,1063,2
90144,5,3,13500,21500,22880,3000,1
90153,2,1,5000,21530,22000,180,1
90154,1,3,1545,21540,21870,1826,1
90156,4,1,1000,21510,22500,19900,1
90156,5,3,13500,21500,22730,1063,2
90202,1,3,1045,21540,21870,1826,1
90205,3,1,1000,21520,22280,734,2
90211,1,1,1000,21550,21870,1826,1
90211,2,3,1045,21540,22000,180,1
90211,3,1,5000,21530,22280,734,2
90211,4,1,1000,21520,22500,19900,1
90217,4,1,1000,21520,22490,600,1
90217,5,3,13500,21500,22500,19900,1
90224,1,1,1250,21560,21870,1826,1
90224,2,1,1000,21550,22000,180,1
90224,3,3,1045,21540,22280,734,2
90224,4,1,5000,21530,22490,600,1
90224,5,1,1000,21520,22500,19900,1
90227,1,2,1750,21560,21870,1826,1
90227,3,2,545,21540,22280,734,2
90236,4,1,5000,21530,22490,2100,2
90242,1,3,2750,21560,21870,1826,1
90258,1,1,2000,21570,21870,1826,1
90258,2,3,2750,21560,22000,180,1
90258,3,1,1000,21550,22280,734,2
90258,4,2,545,21540,22490,2100,2
90258,5,1,5000,21530,22500,19900,1
90259,4,2,545,21540,22490,3400,3
90307,2,2,1500,21560,22000,180,1
90308,2,3,1740,21560,22000,180,1
90309,1,2,7000,21570,21870,1826,1
90313,1,1,500,21580,21870,1826,1
90313,2,2,7000,21570,22000,180,1
90313,3,3,1740,21560,22280,734,2
90313,4,1,1000,21550,22490,3400,3
90313,5,2,545,21540,22500,19900,1
90326,1,1,2000,21590,21870,1826,1
90326,2,1,500,21580,22000,180,1
90326,3,1,5000,21570,22280,734,2
90326,4,3,1740,21560,22490,3400,3
90326,5,1,1000,21550,22500,19900,1
90328,1,1,500,21590,21870,1826,1
90341,1,1,500,21590,21870,1326,1
90345,1,1,1250,21600,21870,1326,1
90345,2,1,500,21590,22000,180,1
90345,3,1,500,21580,22280,734,2
90345,4,1,5000,21570,22490,3400,3
90345,5,3,1740,21560,22500,19900,1
90358,1,2,2250,21600,21870,1326,1
90416,1,3,3250,21600,21870,1326,1
90430,1,1,3674,21870,22000,180,1
90430,2,3,3250,21600,22280,734,2
90430,3,1,500,21590,22490,3400,3
90430,4,1,500,21580,22500,19900,1
90430,5,1,5000,21570,22730,463,1
90440,2,2,2000,21600,22280,734,2
90447,1,1,3515,21880,22000,180,1
90447,2,1,3674,21870,22280,734,2
90447,3,2,2000,21600,22490,3400,3
90447,4,1,500,21590,22500,19900,1
90447,5,1,500,21580,22730,463,1
90451,1,1,2189,21870,22000,180,1
90451,2,2,2000,21600,22280,734,2
90451,3,1,500,21590,22490,3400,3
90451,4,1,500,21580,22500,19900,1
90451,5,1,5000,21570,22730,463,1
90454,1,1,2189,21870,22000,1680,2
90500,2,1,500,21610,22280,734,2
90500,3,2,2000,21600,22490,3400,3
90500,4,1,500,21590,22500,19900,1
90500,5,1,500,21580,22730,463,1
90506,3,3,2234,21600,22490,3400,3
90521,1,1,1820,22000,22280,734,2
90521,2,1,2189,21870,22490,3400,3
90521,3,1,500,21610,22500,19900,1
90521,4,3,2234,21600,22730,463,1
90521,5,1,500,21590,22850,10000,1
90521,4,2,1234,21600,22730,463,1
90534,2,1,500,21610,22490,3400,3
90534,3,2,1234,21600,22500,19900,1
90534,4,1,500,21590,22730,463,1
90534,5,1,500,21580,22850,10000,1
90553,1,1,500,22010,22280,734,2
90553,2,1,1820,22000,22490,3400,3
90553,3,1,500,21610,22500,19900,1
90553,4,2,1234,21600,22730,463,1
90553,5,1,500,21590,22850,10000,1
90605,1,1,500,22010,22280,1134,3
90611,2,1,500,21610,22490,3400,3
90611,3,2,1234,21600,22500,19900,1
90611,4,1,500,21590,22730,463,1
90611,5,1,500,21580,22850,10000,1
90619,1,1,500,21610,22000,1000,1
90619,2,2,1234,21600,22280,1134,3
90619,3,1,500,21590,22490,1900,2
90619,4,1,500,21580,22500,19900,1
90619,5,1,5000,21570,22730,463,1
90620,1,1,310,22020,22280,1134,3
90620,2,1,500,21610,22490,1900,2
90620,3,2,1234,21600,22500,19900,1
90620,4,1,500,21590,22730,463,1
90620,5,1,500,21580,22850,10000,1
90643,5,1,500,21580,22840,1000,1
90647,3,3,2617,21600,22500,19900,1
90649,1,1,310,22020,22280,734,2
90737,1,1,500,21610,22020,290,1
90737,2,3,2617,21600,22280,734,2
90737,3,1,500,21590,22490,1300,1
90737,4,1,500,21580,22500,19900,1
90737,5,1,5000,21570,22730,463,1
90818,1,2,1500,21610,22020,290,1
90818,2,2,1617,21600,22280,734,2
90832,1,3,2422,21610,22020,290,1
