time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,250,22810,23240,64,1
63938,2,1,327,22700,23300,66,1
63938,3,1,73140,22580,23500,34,1
63938,4,1,686,22450,23630,66,1
63938,5,3,6000,22350,23800,64,1
84504,5,3,6000,22350,23750,1000,1
84509,5,1,500,22400,23750,1000,1
84529,5,1,500,22400,23700,120,1
84532,1,1,250,22810,22810,64,1
84532,2,1,327,22700,23240,64,1
84532,3,1,73140,22580,23300,66,1
84532,4,1,686,22450,23500,34,1
84532,5,1,500,22400,23630,66,1
84537,1,1,250,22810,22810,128,2
84545,1,1,2400,23000,23000,128,2
84545,2,1,250,22810,23240,64,1
84545,3,1,327,22700,23300,66,1
84545,4,1,73140,22580,23500,34,1
84545,5,1,686,22450,23630,66,1
84557,3,2,1327,22700,23300,66,1
84614,1,1,2400,23000,23000,192,3
84618,1,1,250,22810,22810,128,2
84618,2,2,1327,22700,23000,64,1
84618,3,1,73140,22580,23240,64,1
84618,4,1,686,22450,23300,66,1
84618,5,1,500,22400,23500,34,1
84626,2,2,1327,22700,23000,128,2
84631,2,2,1327,22700,23000,192,3
84636,1,1,250,22810,22810,192,3
84637,1,1,2400,23150,23150,384,6
84637,2,1,250,22810,23240,64,1
84637,3,2,1327,22700,23300,66,1
84637,4,1,73140,22580,23500,34,1
84637,5,1,686,22450,23630,66,1
84639,1,1,2400,23150,23150,385,7
84659,4,1,73140,22580,23500,10686,2
84724,2,1,5000,23000,23240,64,1
84724,3,1,250,22810,23300,66,1
84724,4,2,1327,22700,23500,10686,2
84724,5,1,73140,22580,23630,66,1
84733,1,1,2400,23150,23150,449,8
84734,1,1,2400,23150,23150,513,9
84741,1,1,5000,23000,23000,385,7
84741,2,1,250,22810,23150,128,2
84741,3,2,1327,22700,23240,64,1
84741,4,1,73140,22580,23300,66,1
84741,5,1,686,22450,23500,10686,2
84744,4,2,73390,22580,23300,66,1
84749,2,1,250,22810,23150,192,3
84755,1,1,5000,23000,23000,417,8
84759,1,2,5295,23000,23000,417,8
84805,1,2,5295,23000,23000,481,9
84805,5,1,686,22450,23500,10748,3
84810,1,1,2350,23500,23500,11551,17
84810,2,2,5295,23000,23630,66,1
84810,3,1,250,22810,23700,120,1
84810,4,2,1327,22700,23750,1000,1
84810,5,2,73390,22580,23800,13064,4
84813,3,1,250,22810,23670,19592,1
84813,4,2,1327,22700,23700,120,1
84813,5,2,73390,22580,23750,1000,1
84815,1,1,2350,23500,23500,11679,19
84844,1,1,2350,23500,23500,11743,20
84853,1,1,2350,23500,23500,11779,21
84903,1,1,2350,23500,23500,11845,22
84909,1,1,2350,23500,23500,11985,23
84910,1,1,2350,23500,23500,12049,24
84911,1,1,2350,23500,23500,12115,25
84911,1,1,2350,23500,23500,12179,26
84914,1,1,2350,23500,23500,12300,27
84920,1,1,2350,23500,23500,12332,28
84921,1,1,2350,23500,23500,12396,29
84929,4,1,527,22710,23700,120,1
84929,5,2,1327,22700,23750,1000,1
84938,2,2,5295,23000,23520,9000,1
84938,3,1,250,22810,23630,66,1
84938,4,1,527,22710,23670,19592,1
84938,5,2,1327,22700,23700,120,1
84942,1,3,7645,23000,23000,4375,17
84942,2,1,250,22810,23080,64,1
84942,3,1,527,22710,23150,256,4
84942,4,2,1327,22700,23240,64,1
84942,5,3,75390,22580,23300,66,1
84952,1,2,5295,23000,23000,4375,17
85001,1,3,6161,23000,23000,4375,17
85002,1,3,6161,23000,23000,4441,18
85029,1,2,5295,23000,23000,4505,19
85029,1,2,5295,23000,23000,4569,20
85029,1,2,5295,23000,23000,4633,21
85037,1,2,5295,23000,23000,4697,22
85045,3,1,527,22710,23150,320,5
85046,1,2,5295,23000,23000,4761,23
85047,1,2,5295,23000,23000,4825,24
85048,3,1,527,22710,23100,64,1
85048,4,2,1327,22700,23150,320,5
85048,5,3,75390,22580,23240,64,1
85049,1,2,5295,23000,23000,4889,25
85056,4,2,1327,22700,23150,384,6
85057,1,3,5515,23000,23000,4889,25
85106,1,3,5515,23000,23000,4953,26
85106,1,3,5515,23000,23000,5017,27
85107,1,3,5515,23000,23000,5081,28
85107,1,3,5515,23000,23000,5147,29
85107,1,3,5515,23000,23000,5211,30
85109,1,3,5515,23000,23000,5275,31
85115,5,4,76272,22580,23240,64,1
85116,1,3,5515,23000,23000,5276,32
85120,1,3,5515,23000,23000,5340,33
85126,1,3,5515,23000,23000,5406,34
85137,1,3,5515,23000,23000,5472,35
85150,1,3,5515,23000,23000,5536,36
85151,1,4,15515,23000,23000,5536,36
85152,5,5,76572,22580,23240,64,1
85227,5,5,76572,22580,23240,126,2
85228,1,4,15515,23000,23000,5771,37
