time,last,close,open,high,low,count,volume,value,discarded
64614,14700,14930,0,0,0,0,0,0,0
90024,15300,14930,15300,15300,15300,1,3663,56043900,0
90024,15300,14930,15300,15300,15300,2,4648,71114400,0
90024,15300,14930,15300,15300,15300,3,4977,76148100,0
90024,15300,14930,15300,15300,15300,4,5213,79758900,0
90051,15300,14930,15300,15300,15300,5,5563,85113900,0
90113,15300,14930,15300,15300,15300,6,8742,133752600,0
90126,15300,14930,15300,15300,15300,7,10092,154407600,0
90218,15100,14930,15300,15300,15100,8,14319,218235300,0
90221,15290,14930,15300,15300,15100,9,15319,233525300,0
90315,15110,14930,15300,15300,15100,10,17319,263745300,0
90315,15110,14930,15300,15300,15100,11,20319,309075300,0
90336,15290,14930,15300,15300,15100,12,20809,316567400,0
90336,15290,14930,15300,15300,15100,13,21309,324212400,0
90336,15290,14930,15300,15300,15100,14,22605,344028240,0
90336,15290,14930,15300,15300,15100,15,22919,348829300,0
90403,15290,14930,15300,15300,15100,16,22938,349119810,0
90409,15290,14930,15300,15300,15100,17,23938,364409810,0
90414,15290,14930,15300,15300,15100,18,24938,379699810,0
90437,15300,14930,15300,15300,15100,19,25388,386584810,0
90448,15290,14930,15300,15300,15100,20,28369,432164300,0
90616,15270,14930,15300,15300,15100,21,28869,439799300,0
90620,15160,14930,15300,15300,15100,22,29639,451472500,0
90620,15150,14930,15300,15300,15100,23,30639,466622500,0
90620,15150,14930,15300,15300,15100,24,31726,483090550,0
90727,15160,14930,15300,15300,15100,25,35226,536150550,0
90727,15160,14930,15300,15300,15100,26,36026,548278550,0
90734,15160,14930,15300,15300,15100,27,36356,553281350,0
90758,15160,14930,15300,15300,15100,28,38554,586603030,0
90821,15160,14930,15300,15300,15100,29,53378,811334870,0
90821,15160,14930,15300,15300,15100,30,54378,826494870,0
90821,15160,14930,15300,15300,15100,31,54878,834074870,0
90821,15150,14930,15300,15300,15100,32,72206,1096594070,0
90821,15150,14930,15300,15300,15100,33,72706,1104169070,0
90821,15150,14940,15300,15300,15100,34,86706,1316269070,0
90831,15150,14940,15300,15300,15100,35,88206,1338994070,0
90833,15120,14940,15300,15300,15100,36,88583,1344694310,0
90852,15100,14940,15300,15300,15100,37,88923,1349828310,0
90852,15100,14940,15300,15300,15100,38,88931,1349949110,0
90901,15100,14940,15300,15300,15100,39,89582,1359779210,0
90901,15100,14940,15300,15300,15100,40,90582,1374879210,0
90901,15000,14940,15300,15300,15000,41,91082,1382379210,0
90901,15000,14940,15300,15300,15000,42,93931,1425114210,0
90908,15000,14940,15300,15300,15000,43,94082,1427379210,0
90908,15000,14940,15300,15300,15000,44,97082,1472379210,0
90908,15000,14940,15300,15300,15000,45,98931,1500114210,0
90952,15010,14940,15300,15300,15000,46,99281,1505367710,0
90952,15000,14940,15300,15300,15000,47,99431,1507617710,0
91004,15000,14940,15300,15300,15000,48,99432,1507632710,0
91027,14950,14940,15300,15300,14950,49,100772,1527665710,0
91027,14950,14940,15300,15300,14950,50,101112,1532748710,0
91027,14910,14940,15300,15300,14910,51,101782,1542738410,0
91027,14900,14940,15300,15300,14900,52,103282,1565088410,0
91027,14900,14940,15300,15300,14900,53,103682,1571048410,0
91027,14840,14940,15300,15300,14840,54,106435,1611902930,0
91113,14910,14940,15300,15300,14840,55,107435,1626812930,0
91117,14910,14940,15300,15300,14840,56,108862,1648089500,0
91136,15100,14940,15300,15300,14840,57,110362,1670739500,0
91136,15100,14940,15300,15300,14840,58,111021,1680690400,0
91139,15100,14940,15300,15300,14840,59,111521,1688240400,0
91204,15100,14940,15300,15300,14840,60,111862,1693389500,0
91204,15000,14940,15300,15300,14840,61,112021,1695774500,0
91248,15000,14940,15300,15300,14840,62,112435,1701984500,0
91248,15000,14940,15300,15300,14840,63,113021,1710774500,0
91308,15100,14940,15300,15300,14840,64,113571,1719079500,0
91319,15000,14940,15300,15300,14840,65,113885,1723789500,0
91319,15000,14940,15300,15300,14840,66,114121,1727329500,0
91322,15000,14940,15300,15300,14840,67,114221,1728829500,0
91332,14890,14940,15300,15300,14840,68,114721,1736274500,0
91357,14890,14940,15300,15300,14840,69,114891,1738805800,0
91400,14890,14940,15300,15300,14840,70,121751,1840951200,0
91429,14880,14940,15300,15300,14840,71,122751,1855831200,0
91429,14880,14940,15300,15300,14840,72,124352,1879654080,0
91429,14880,14940,15300,15300,14840,73,125420,1895545920,0
91429,14860,14940,15300,15300,14840,74,126120,1905947920,0
91429,14860,14940,15300,15300,14840,75,126620,1913377920,0
91429,14850,14940,15300,15300,14840,76,127407,1925064870,0
91429,14850,14940,15300,15300,14840,77,160707,2419569870,0
91429,14850,14940,15300,15300,14840,78,161128,2425821720,0
91429,14850,14940,15300,15300,14840,79,163238,2457155220,0
91429,14850,14940,15300,15300,14840,80,164238,2472005220,0
91441,14850,14940,15300,15300,14840,81,164579,2477069070,0
91452,14840,14940,15300,15300,14840,82,171579,2580949070,0
91458,14850,14930,15300,15300,14840,83,171891,2585582270,0
91523,14850,14930,15300,15300,14840,84,172214,2590378820,0
91527,14850,14930,15300,15300,14840,85,172579,2595799070,0
91527,14850,14930,15300,15300,14840,86,172614,2596318820,0
91536,14850,14930,15300,15300,14840,87,172919,2600848070,0
91541,14850,14930,15300,15300,14840,88,173348,2607218720,0
91603,14850,14930,15300,15300,14840,89,173419,2608273070,0
91603,14850,14930,15300,15300,14840,90,173759,2613322070,0
91603,14850,14930,15300,15300,14840,91,176348,2651768720,0
91606,14850,14930,15300,15300,14840,92,178948,2690378720,0
91617,14850,14930,15300,15300,14840,93,179407,2697194870,0
91622,14850,14930,15300,15300,14840,94,183759,2761822070,0
91622,14850,14930,15300,15300,14840,95,189692,2849927120,0
91622,14850,14930,15300,15300,14840,96,190692,2864777120,0
91622,14850,14930,15300,15300,14840,97,191032,2869826120,0
91654,14990,14930,15300,15300,14840,98,196032,2944776120,0
91658,14860,14930,15300,15300,14840,99,197032,2959636120,0
91658,14860,14930,15300,15300,14840,100,197084,2960408840,0
91717,14860,14930,15300,15300,14840,101,197434,2965609840,0
91717,14860,14930,15300,15300,14840,102,197834,2971553840,0
91717,14860,14930,15300,15300,14840,103,198834,2986413840,0
91717,14850,14930,15300,15300,14840,104,199049,2989606590,0
91721,14980,14930,15300,15300,14840,105,200349,3009080590,0
91742,14860,14930,15300,15300,14840,106,208349,3127960590,0
91751,14860,14930,15300,15300,14840,107,208874,3135762090,0
91751,14850,14930,15300,15300,14840,108,209009,3137766840,0
91751,14850,14930,15300,15300,14840,109,212009,3182316840,0
91751,14850,14930,15300,15300,14840,110,213349,3202215840,0
91844,14950,14930,15300,15300,14840,111,218349,3276965840,0
91849,14860,14930,15300,15300,14840,112,218849,3284395840,0
91933,14900,14930,15300,15300,14840,113,219996,3301486140,0
91933,14900,14930,15300,15300,14840,114,228849,3433395840,0
91934,14900,14930,15300,15300,14840,115,229996,3450486140,0
91934,14900,14930,15300,15300,14840,116,230349,3455745840,0
