time,count,volume,price,discarded
90042,1,3812,31400,0
90042,2,1762,31400,0
90042,3,1443,31400,0
90042,4,800,31400,0
90042,5,500,31400,0
90042,6,295,31400,0
90042,7,170,31400,0
90042,8,159,31400,0
90042,9,84,31400,0
90042,10,59,31400,0
90042,11,16,31400,0
90055,12,2855,31610,0
90100,13,34905,31610,0
90111,14,250,31610,0
90113,15,300,31710,0
90114,16,300,31710,0
90114,17,1416,31710,0
90120,18,1698,31800,0
90127,19,350,31990,0
90133,20,75,32000,0
90133,21,30,32000,0
90133,22,555,32000,0
90136,23,27,32000,0
90136,24,1417,32000,0
90137,25,1000,32000,0
90137,26,1050,32000,0
90137,27,185,32000,0
90139,28,1300,32000,0
90139,29,1000,32000,0
90140,30,2000,32000,0
90140,31,290,32000,0
90141,32,1000,32000,0
90141,33,258,32000,0
90141,34,3664,32000,0
90148,35,500,32140,0
90148,36,200,32140,0
90155,37,25,32149,0
90157,38,417,32149,0
90200,39,10000,32250,0
90200,40,2063,32310,0
90200,41,100,32320,0
90209,42,157,32320,0
90209,43,160,32320,0
90212,44,1541,32320,0
90212,45,979,32320,0
90217,46,315,32320,0
90218,47,159,32380,0
90227,48,3018,32400,0
90228,49,300,32448,0
90229,50,615,32450,0
90230,51,585,32450,0
90230,52,415,32450,0
90234,53,990,32480,0
90239,54,500,32500,0
90239,55,200,32500,0
90239,56,168,32500,0
90244,57,904,32500,0
90244,58,223,32500,0
90244,59,500,32500,0
90245,60,38,32500,0
90245,61,262,32500,0
90245,62,2738,32500,0
90245,63,10,32480,0
90245,64,500,32480,0
90245,65,785,32450,0
90246,66,967,32450,0
90248,67,1265,32600,0
90248,68,735,32600,0
90250,69,220,32600,0
90252,70,299,32600,0
90252,71,1000,32600,0
90253,72,160,32600,0
90308,73,1586,32600,0
90314,74,500,32620,0
90317,75,198,32620,0
90317,76,804,32600,0
90317,77,21,32600,0
90318,78,979,32600,0
90318,79,327,32600,0
90318,80,75,32620,0
90321,81,262,32620,0
90324,82,1000,32620,0
90326,83,8377,32620,0
90326,84,5286,32620,0
90326,85,52,32600,0
90328,86,200,32626,0
90328,87,800,32632,0
90328,88,12023,32620,0
90329,89,155,32620,0
90331,90,621,32600,0
90331,91,2000,32600,0
90331,92,362,32600,0
90331,93,155,32600,0
90331,94,1862,32560,0
90332,95,900,32620,0
90333,96,6922,32620,0
90333,97,2,32620,0
90333,98,200,32620,0
90333,99,163,32632,0
90334,100,90,32560,0
90334,101,3000,32560,0
90344,102,48,32560,0
90344,103,2262,32550,0
90345,104,980,32500,0
90348,105,220,32550,0
90349,106,1118,32500,0
90358,107,225,32480,0
90358,108,775,32480,0
90400,109,183,32480,0
90403,110,198,32480,0
90403,111,369,32480,0
90403,112,500,32480,0
90404,113,650,32480,0
90409,114,283,32480,0
90410,115,155,32480,0
90413,116,240,32480,0
90413,117,1700,32380,0
90413,118,100,32380,0
90413,119,3013,32380,0
90413,120,242,32380,0
90417,121,1722,32480,0
90417,122,500,32490,0
90417,123,4882,32500,0
90417,124,304,32500,0
90417,125,1566,32500,0
90417,126,500,32500,0
90421,127,1000,32500,0
90423,128,4526,32500,0
90423,129,4117,32500,0
90423,130,65,32380,0
90423,131,2447,32280,0
90423,132,2553,32270,0
90423,133,558,32149,0
90423,134,619,32149,0
90423,135,1408,32140,0
90440,136,1600,32500,0
90443,137,352,32140,0
90452,138,613,32500,0
90502,139,159,32490,0
90506,140,517,32300,0
90506,141,1421,32490,0
90506,142,500,32490,0
90506,143,9443,32500,0
90514,144,258,32490,0
90515,145,609,32490,0
90515,146,4408,32500,0
90523,147,200,32490,0
90532,148,280,32490,0
90532,149,720,32490,0
90534,150,1420,32310,0
90535,151,1480,32310,0
90544,152,25,32300,0
90544,153,520,32310,0
90548,154,75,32310,0
90557,155,1000,32480,0
90559,156,500,32480,0
90600,157,500,32480,0
90600,158,299,32310,0
90600,159,170,32310,0
90605,160,458,32300,0
90605,161,613,32300,0
90605,162,2998,32300,0
90605,163,170,32160,0
90605,164,1557,32160,0
90605,165,5000,32150,0
90605,166,600,32150,0
90607,167,290,32150,0
90608,168,308,32150,0
90614,169,1278,32140,0
90614,170,200,32140,0
90614,171,200,32140,0
90614,172,310,32140,0
90614,173,520,32140,0
90615,174,500,32140,0
90622,175,1000,32140,0
90623,176,1030,32090,0
90628,177,1992,32140,0
90628,178,500,32140,0
90628,179,1500,32140,0
90634,180,200,32150,0
90636,181,75,32140,0
90639,182,10000,32150,0
90648,183,248,32150,0
90651,184,517,32140,0
90658,185,3000,32150,0
90658,186,10000,32150,0
90700,187,53,32140,0
90700,188,156,32140,0
90703,189,400,32120,0
90703,190,200,32080,0
90703,191,2400,32080,0
90713,192,400,32140,0
90713,193,120,32080,0
90714,194,391,32140,0
90714,195,609,32140,0
90719,196,234,32140,0
90725,197,4860,32140,0
90727,198,500,32100,0
90731,199,75,32085,0
90736,200,474,32085,0
90736,201,831,32082,0
90743,202,1351,32100,0
90744,203,410,32140,0
90753,204,199,32100,0
90753,205,2483,32100,0
90753,206,158,32100,0
90755,207,500,32100,0
90756,208,300,32100,0
90802,209,652,32090,0
90803,210,200,32090,0
90805,211,500,32100,0
90806,212,2000,32090,0
90810,213,200,32100,0
90812,214,1000,32100,0
90821,215,252,32090,0
90821,216,198,32090,0
90822,217,236,32090,0
90828,218,450,32082,0
90839,219,200,32082,0
90844,220,367,32090,0
90848,221,170,32090,0
90848,222,1000,32090,0
90856,223,1000,32086,0
90859,224,494,32086,0
90907,225,160,32086,0
90908,226,500,32085,0
90914,227,500,32082,0
90914,228,3105,32082,0
90925,229,156,32082,0
90927,230,400,32081,0
90928,231,2600,32081,0
90928,232,2400,32081,0
90931,233,519,32081,0
90937,234,76,32030,0
90938,235,902,32081,0
90938,236,700,32081,0
90946,237,745,32081,0
90950,238,2328,32081,0
90952,239,319,32082,0
90952,240,490,32082,0
90958,241,500,32085,0
91017,242,75,32085,0
91017,243,88,32085,0
91019,244,73,32085,0
91020,245,2000,32085,0
91024,246,310,32090,0
91025,247,927,32085,0
91026,248,75,32082,0
91028,249,2000,32085,0
91039,250,1500,32085,0
91039,251,709,32082,0
91040,252,170,32082,0
91040,253,201,32082,0
91040,254,799,32085,0
91058,255,34,32081,0
91103,256,156,32082,0
91104,257,1966,32081,0
91104,258,217,32081,0
91104,259,710,32081,0
91113,260,309,32081,0
91121,261,1,32050,0
91121,262,399,32050,0
91148,263,1000,32031,0
91154,264,888,32030,0
91154,265,170,32030,0
91154,266,171,32030,0
91154,267,5000,32030,0
91154,268,970,32030,0
91158,269,5400,32031,0
91158,270,2583,32031,0
91207,271,179,32050,0
91211,272,310,32050,0
91221,273,112,32050,0
91221,274,25,32050,0
91221,275,446,32050,0
91221,276,315,32050,0
91221,277,102,32050,0
91221,278,442,32030,0
91225,279,1470,32030,0
91237,280,898,32050,0
91239,281,559,32050,0
91300,282,643,32050,0
91300,283,228,32030,0
91300,284,200,32030,0
91300,285,2380,32030,0
91300,286,250,32023,0
91300,287,220,32022,0
91300,288,160,32022,0
91300,289,500,32021,0
91300,290,2000,32021,0
91300,291,1000,32021,0
91300,292,10000,32020,0
91300,293,500,32020,0
91300,294,5000,32010,0
91300,295,5000,32000,0
91300,296,934,32000,0
91300,297,985,32000,0
91309,298,867,32050,0
91310,299,170,32030,0
91312,300,157,32050,0
91313,301,2670,32030,0
91313,302,1515,32000,0
91313,303,200,32000,0
91313,304,615,32000,0
91316,305,342,32030,0
91333,306,527,32030,0
91336,307,295,32030,0
91337,308,25,32000,0
91339,309,294,32030,0
91339,310,610,32040,0
91339,311,200,32040,0
91339,312,476,32050,0
91346,313,420,32050,0
91348,314,1537,32050,0
