time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63939,1,1,133,150020,154300,35,1
63939,2,1,50,143000,154400,77,1
63939,3,0,0,0,154500,127,1
63939,4,0,0,0,156980,200,1
63939,5,0,0,0,159080,200,1
84537,4,0,0,0,156300,149,1
84537,5,0,0,0,156980,200,1
84943,1,1,1000,150060,154300,35,1
84943,2,1,133,150020,154400,77,1
84943,3,1,50,143000,154500,127,1
85007,5,0,0,0,156980,300,2
85011,4,1,40,138000,156300,149,1
85024,1,1,1000,150060,154000,2000,1
85024,2,1,133,150020,154300,35,1
85024,3,1,50,143000,154400,77,1
85024,4,1,40,138000,154500,127,1
85024,5,0,0,0,156300,149,1
85032,5,0,0,0,156300,798,2
85048,1,1,1000,150060,154000,2040,2
85100,1,2,1133,150060,154000,2040,2
85240,1,3,1433,150060,154000,2040,2
85327,1,4,1468,150060,154000,2040,2
85334,1,1,500,150100,154000,2040,2
85334,2,4,1468,150060,154300,35,1
85334,3,1,133,150020,154400,77,1
85334,4,1,50,143000,154500,127,1
85334,5,1,40,138000,156300,798,2
85408,1,1,500,150100,153900,2000,1
85408,2,4,1468,150060,154000,2040,2
85408,3,1,133,150020,154300,35,1
85408,4,1,50,143000,154400,77,1
85408,5,1,40,138000,154500,127,1
85410,2,1,50000,150090,154000,2040,2
85410,3,4,1468,150060,154300,35,1
85410,4,1,133,150020,154400,77,1
85410,5,1,50,143000,154500,127,1
85424,5,1,20000,149400,154500,127,1
85440,1,2,800,150100,153900,2000,1
85602,1,3,5900,150100,153900,2000,1
85607,1,1,1254,151000,153900,2000,1
85607,2,3,5900,150100,154000,2040,2
85607,3,1,50000,150090,154300,35,1
85607,4,4,1468,150060,154400,77,1
85607,5,1,133,150020,154500,127,1
85610,1,2,4514,151000,153900,2000,1
85614,1,1,3260,151500,153900,2000,1
85614,2,2,4514,151000,154000,2040,2
85614,3,3,5900,150100,154300,35,1
85614,4,1,50000,150090,154400,77,1
85614,5,4,1468,150060,154500,127,1
85617,1,2,4460,151500,153900,2000,1
85624,1,1,1254,152000,153900,2000,1
85624,2,2,4460,151500,154000,2040,2
85624,3,2,4514,151000,154300,35,1
85624,4,3,5900,150100,154400,77,1
85624,5,1,50000,150090,154500,127,1
85627,1,2,2254,152000,153900,2000,1
85630,1,3,2754,152000,153900,2000,1
85633,1,4,3080,152000,153900,2000,1
85805,1,4,3080,152000,153800,2000,1
85805,2,2,4460,151500,153900,2000,1
85805,3,2,4514,151000,154000,2040,2
85805,4,3,5900,150100,154300,35,1
85805,5,1,50000,150090,154400,77,1
85847,4,1,1000,150110,154300,35,1
85847,5,3,5900,150100,154400,77,1
85905,1,4,3080,152000,153700,40,1
85905,2,2,4460,151500,153800,2000,1
85905,3,2,4514,151000,153900,2000,1
85905,4,1,1000,150110,154000,2040,2
85905,5,3,5900,150100,154300,35,1
85933,1,1,40,152010,153700,40,1
85933,2,4,3080,152000,153800,2000,1
85933,3,2,4460,151500,153900,2000,1
85933,4,2,4514,151000,154000,2040,2
85933,5,1,1000,150110,154300,35,1
85953,1,2,1040,152010,153700,40,1
90018,1,2,1040,152010,153500,912,1
90018,2,4,3080,152000,153700,40,1
90018,3,2,4460,151500,153800,2000,1
90018,4,2,4514,151000,153900,2000,1
90018,5,1,1000,150110,154000,2040,2
90037,1,1,100,152020,153500,912,1
90037,2,2,1040,152010,153700,40,1
90037,3,4,3080,152000,153800,2000,1
