time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,26,87160,94500,1000,1
63938,2,1,402,86700,95000,59,1
63938,3,1,403,86580,100000,881,3
63938,4,1,200,86200,110000,130,1
63938,5,1,200,85910,153990,895,1
84500,1,1,50000,91060,94500,1000,1
84500,2,1,26,87160,95000,59,1
84500,3,1,402,86700,100000,881,3
84500,4,1,403,86580,110000,130,1
84500,5,1,200,86200,153990,895,1
84501,1,2,50059,91060,94500,1000,1
84502,1,3,150059,91060,94500,1000,1
84502,1,4,150119,91060,94500,1000,1
84503,2,2,1740,87160,95000,59,1
84503,1,5,202119,91060,91060,860,2
84503,2,2,1740,87160,94500,1000,1
84503,3,1,402,86700,95000,59,1
84503,4,1,403,86580,100000,881,3
84503,5,1,200,86200,110000,130,1
84503,1,6,289639,91060,91060,860,2
84503,1,7,389639,91060,91060,860,2
84504,1,7,389639,91060,91060,1720,3
84504,1,9,393659,91060,91060,1720,3
84504,1,10,394659,91060,91060,16720,4
84505,1,10,394659,91060,91060,23428,5
84505,1,11,396659,91060,91060,23428,5
84505,2,3,1919,87160,94500,1000,1
84505,1,11,396659,91060,91060,54928,6
84505,3,1,2200,86730,95000,59,1
84505,4,1,402,86700,100000,881,3
84505,5,1,403,86580,110000,130,1
84506,1,11,396659,91060,91060,55078,7
84506,2,1,575,87750,94500,1000,1
84506,3,3,1919,87160,95000,59,1
84506,4,1,2200,86730,100000,881,3
84506,5,1,402,86700,110000,130,1
84506,1,11,396659,91060,91060,59130,8
84506,1,11,396659,91060,91060,59680,9
84506,1,12,399066,91060,91060,59680,9
84506,1,12,399066,91060,91060,60680,10
84506,1,12,399066,91060,91060,60800,11
84506,1,13,431352,91060,91060,60800,11
84506,1,14,432888,91060,91060,60800,11
84506,4,2,2373,86730,100000,881,3
84507,1,15,437264,91060,91060,60800,11
84507,1,15,437264,91060,91060,61099,12
84508,1,16,442259,91060,91060,61099,12
84508,1,17,443377,91060,91060,61099,12
84508,3,4,2033,87160,95000,59,1
84508,1,18,443486,91060,91060,61099,12
84509,1,19,453486,91060,91060,61099,12
84509,1,20,454116,91060,91060,61099,12
84509,3,5,2433,87160,95000,59,1
84510,2,2,1575,87750,94500,1000,1
84510,1,20,454116,91060,91060,63870,13
84510,5,2,13902,86700,110000,130,1
84511,1,21,454325,91060,91060,63870,13
84511,1,22,454657,91060,91060,63870,13
84512,1,22,454657,91060,91060,64873,14
84512,1,23,458153,91060,91060,64873,14
84513,5,3,19142,86700,110000,130,1
84513,1,23,458153,91060,91060,67207,15
84514,3,1,3770,87200,95000,59,1
84514,4,5,2433,87160,100000,881,3
84514,5,2,2373,86730,110000,130,1
84516,1,24,461153,91060,91060,67207,15
84518,1,24,461153,91060,91060,67307,16
84520,2,1,62,88000,94500,1000,1
84520,3,2,1575,87750,95000,59,1
84520,4,1,3770,87200,100000,881,3
84520,5,5,2433,87160,110000,130,1
84521,1,24,461153,91060,91060,89451,17
84521,1,25,462153,91060,91060,89451,17
84521,1,26,463283,91060,91060,89451,17
84522,1,27,466383,91060,91060,89451,17
84522,1,27,466383,91060,91060,94451,18
84523,1,27,466383,91060,91060,99451,19
84523,1,27,466383,91060,91060,105696,20
84523,3,3,4775,87750,95000,59,1
84523,1,27,466383,91060,91060,106196,21
84524,1,26,366383,91060,91060,106196,21
84524,1,27,366714,91060,91060,106196,21
84524,1,27,366714,91060,91060,107901,22
84525,1,28,375467,91060,91060,107901,22
84527,1,28,375467,91060,91060,108901,23
84528,3,4,4864,87750,95000,59,1
84530,1,28,375467,91060,91060,109175,24
84532,1,28,375467,91060,91060,110175,25
84532,1,29,376317,91060,91060,110175,25
84533,1,29,376317,91060,91060,110290,26
84534,1,30,377297,91060,91060,110290,26
84535,1,31,380297,91060,91060,110290,26
84536,1,32,381297,91060,91060,110290,26
84537,3,5,5364,87750,95000,59,1
84538,1,32,381297,91060,91060,110440,27
84540,1,32,381297,91060,91060,120460,28
