time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63128,1,1,200,170048,177890,1100,1
63128,2,1,250,168200,178952,50,1
63128,3,3,12000,166585,179449,200,1
63128,4,1,100,165400,180566,50,1
63128,5,1,50,165369,0,0,0
84515,5,1,50,165369,182956,2500,1
84517,5,1,50,165369,182956,12500,2
84528,1,1,200000,182956,182956,13900,6
84528,2,1,200,170048,0,0,0
84528,3,1,250,168200,0,0,0
84528,4,3,12000,166585,0,0,0
84528,5,1,100,165400,0,0,0
84606,1,2,200106,182956,182956,13900,6
84630,2,1,2000,172300,0,0,0
84630,3,1,200,170048,0,0,0
84630,4,1,250,168200,0,0,0
84630,5,3,12000,166585,0,0,0
84712,1,2,200106,182956,182956,14200,7
84715,2,2,2030,172300,0,0,0
84730,1,2,200106,182956,182956,31477,8
84736,2,1,34,175851,0,0,0
84736,3,2,2030,172300,0,0,0
84736,4,1,200,170048,0,0,0
84736,5,1,250,168200,0,0,0
84810,1,3,200506,182956,182956,31477,8
84843,1,2,200400,182956,182956,31477,8
84910,1,3,201400,182956,182956,31477,8
84913,1,3,201400,182956,182956,31622,9
84925,1,4,201506,182956,182956,31622,9
84931,1,3,201400,182956,182956,31622,9
85117,3,3,2060,172300,0,0,0
85129,1,2,1400,180566,180566,1400,4
85129,2,1,34,175851,182950,17277,1
85129,3,3,2060,172300,182956,12945,4
85147,1,1,1000,177890,177890,1100,1
85147,2,1,34,175851,178952,50,1
85147,3,3,2060,172300,179449,200,1
85147,4,1,200,170048,180566,50,1
85147,5,1,250,168200,182950,17277,1
85155,3,4,2090,172300,179449,200,1
85213,5,1,250,168200,182900,400,1
85232,5,1,250,168200,182900,500,2
85247,1,2,1839,178000,178000,1100,1
85248,1,2,1300,179449,179449,1350,3
85248,2,1,839,178000,180566,50,1
85248,3,1,34,175851,182900,500,2
85248,4,4,2090,172300,182950,17277,1
85248,5,1,200,170048,182956,52945,6
85300,4,5,7090,172300,182950,17277,1
85306,1,2,1839,178000,178000,1100,1
85306,2,1,34,175851,178952,50,1
85306,3,5,7090,172300,179449,200,1
85306,4,1,200,170048,180566,50,1
85306,5,1,250,168200,182900,500,2
85318,3,1,5000,173400,179449,200,1
85318,4,5,7090,172300,180566,50,1
85318,5,1,200,170048,182900,500,2
85329,3,1,5000,174400,179449,200,1
85329,4,1,5000,173400,180566,50,1
85329,5,5,7090,172300,182900,500,2
85329,5,1,2000,172350,182900,500,2
85343,3,1,5000,175400,179449,200,1
85343,4,1,5000,174400,180566,50,1
85343,5,1,5000,173400,182900,500,2
85347,1,2,1800,178001,178001,1100,1
85348,1,2,1300,179449,179449,1350,3
85348,2,1,800,178001,180566,50,1
85348,3,1,34,175851,182900,500,2
85348,4,1,5000,175400,182950,17277,1
85348,5,1,5000,174400,182956,52945,6
85407,1,3,1850,182900,182900,1900,6
85407,2,1,800,178001,182950,17277,1
85407,3,1,34,175851,182956,52945,6
85407,4,1,5000,175400,0,0,0
85407,5,1,5000,174400,0,0,0
85410,3,1,5000,176500,182956,52945,6
85410,4,1,34,175851,0,0,0
85410,5,1,5000,175400,0,0,0
85416,1,3,1850,180000,180000,2463,4
85416,2,1,800,178001,180566,50,1
85416,3,1,5000,176500,182900,500,2
85416,4,1,34,175851,182950,17277,1
85416,5,1,5000,175400,182956,52945,6
85427,3,1,5000,176500,182900,2900,3
85431,1,3,1850,180000,180000,2713,5
85435,2,2,1035,178001,180566,50,1
85444,1,4,2520,180000,180000,2713,5
85447,5,1,3000,175700,182956,52945,6
85458,1,5,2630,180000,180000,2713,5
85531,1,5,2630,180000,180000,3103,6
85538,1,5,2630,180000,180000,3880,7
85619,5,1,3000,175700,182956,53008,7
85634,5,1,3000,175700,182956,53108,8
85659,3,1,33,176501,182900,2900,3
85659,4,1,5000,176500,182950,17277,1
85659,5,1,34,175851,182956,53108,8
85736,4,2,5029,176500,182950,17277,1
85743,1,6,3630,180000,180000,3880,7
85744,2,2,1035,178001,180566,150,2
85747,1,7,4630,180000,180000,3880,7
85758,5,1,34,175851,182956,57568,9
85759,4,2,5029,176500,182950,17377,2
85810,5,1,34,175851,182956,57598,10
85852,5,1,2451,176000,182956,57598,10
90002,3,1,33,176501,182898,5000,1
90002,4,2,5029,176500,182900,2900,3
90002,5,1,2451,176000,182950,17377,2
90015,2,1,400,179000,180566,150,2
90015,3,2,1035,178001,182898,5000,1
90015,4,1,33,176501,182900,2900,3
90015,5,2,5029,176500,182950,17377,2
90028,1,1,750,180000,180566,150,2
90028,2,1,400,179000,182898,5000,1
90028,3,2,1035,178001,182900,2900,3
90028,4,1,33,176501,182950,17377,2
90028,5,2,5029,176500,182956,57598,10
90040,5,3,5059,176500,182956,57598,10
90043,1,2,5750,180000,180566,150,2
90050,1,1,800,180001,180566,150,2
90050,2,2,5750,180000,182898,5000,1
90050,3,1,400,179000,182900,2900,3
90050,4,1,235,178001,182950,17377,2
90050,5,1,33,176501,182956,57598,10
90101,1,1,5000,180002,180566,150,2
90101,2,1,800,180001,182898,5000,1
90101,3,1,750,180000,182900,2900,3
90101,4,1,400,179000,182950,17377,2
90101,5,1,235,178001,182956,57598,10
90104,1,2,5230,180002,180566,150,2
90104,5,1,33,176501,182956,57598,10
90111,2,1,800,180001,182898,5095,2
90116,1,1,800,180003,180566,150,2
90116,2,2,5230,180002,182898,5095,2
90116,3,1,800,180001,182900,2900,3
90116,4,1,750,180000,182950,17377,2
90116,5,1,400,179000,182956,57598,10
90137,4,2,1150,180000,182950,17377,2
90137,5,1,33,176501,182956,57598,10
90138,2,2,5230,180002,181000,300,1
90138,3,1,800,180001,182898,5095,2
90138,4,2,1150,180000,182900,2900,3
90138,5,1,33,176501,182950,17377,2
90150,1,1,5000,180004,180566,150,2
90150,2,1,800,180003,181000,300,1
90150,3,1,230,180002,182898,5095,2
90150,4,1,800,180001,182900,2900,3
90150,5,2,1150,180000,182950,17377,2
90151,1,1,1426,180004,180566,150,2
90153,1,1,426,180004,180566,150,2
90209,1,1,4000,180005,180566,150,2
90209,2,1,426,180004,181000,300,1
90209,3,1,800,180003,182898,5095,2
90209,4,1,230,180002,182900,2900,3
90209,5,1,800,180001,182950,17377,2
90229,1,1,426,180006,180566,150,2
