time,last,close,open,high,low,count,volume,value,discarded
64134,177000,177628,0,0,0,0,0,0,0
90028,180000,177634,180000,180000,180000,1,1000,180000000,0
90028,180000,177640,180000,180000,180000,2,2000,360000000,0
90028,180000,177644,180000,180000,180000,3,2670,480600000,0
90028,180000,177646,180000,180000,180000,4,3060,550800000,0
90028,180000,177648,180000,180000,180000,5,3310,595800000,0
90028,180000,177649,180000,180000,180000,6,3510,631800000,0
90028,180000,177649,180000,180000,180000,7,3623,652140000,0
90028,180000,177650,180000,180000,180000,8,3730,671400000,0
90028,180000,177651,180000,180000,180000,9,3830,689400000,0
90028,180000,177651,180000,180000,180000,10,3877,697860000,0
90028,180000,177651,180000,180000,180000,11,3880,698400000,0
90130,180560,177656,180000,180560,180000,12,4580,824792000,0
90151,180004,177677,180000,180560,180000,13,8154,1468126296,0
90153,180004,177683,180000,180560,180000,14,9154,1648130296,0
90243,180006,177684,180000,180560,180000,15,9304,1675131196,0
90254,180566,177684,180000,180566,180000,16,9332,1680187044,0
90308,180006,177686,180000,180566,180000,17,9608,1729868700,0
90308,180006,177691,180000,180566,180000,18,10383,1869373350,0
90308,180005,177696,180000,180566,180000,19,11332,2040198095,0
90352,180020,177697,180000,180566,180000,20,11482,2067201095,0
90413,180020,177697,180000,180566,180000,21,11519,2073861835,0
90434,180020,177698,180000,180566,180000,22,11552,2079802495,0
90439,180020,177702,180000,180566,180000,23,12352,2223818495,0
90450,180010,177707,180000,180566,180000,24,13152,2367826495,0
90450,180010,177709,180000,180566,180000,25,13382,2409228795,0
90450,180010,177709,180000,180566,180000,26,13432,2418229295,0
90450,180006,177717,180000,180566,180000,27,14849,2673297797,0
90450,180006,177720,180000,180566,180000,28,15249,2745300197,0
90450,180005,177738,180000,180566,180000,29,18300,3294495452,0
90450,180005,177743,180000,180566,180000,30,19207,3457759987,0
90450,180000,177748,180000,180566,180000,31,19957,3592759987,0
90541,180000,177753,180000,180566,180000,32,20826,3749179987,0
90552,177700,177753,180000,180566,177700,33,20876,3758064987,0
90552,177628,177753,180000,180566,177628,34,28376,5090274987,0
90552,177628,177753,180000,180566,177628,35,33061,5922462167,0
90558,180000,177753,180000,180566,177628,36,33109,5931102167,0
90611,177753,177753,180000,180566,177628,37,33389,5980873007,0
90611,180000,177758,180000,180566,177628,38,34294,6143773007,0
90647,180000,177759,180000,180566,177628,39,34349,6153673007,0
