time,last,close,open,high,low,count,volume,value,discarded
64617,7550,7590,0,0,0,0,0,0,0
90020,7220,7590,7220,7220,7220,1,13505,97506100,0
90020,7220,7590,7220,7220,7220,2,23505,169706100,0
90020,7220,7580,7220,7220,7220,3,28596,206463120,0
90020,7220,7580,7220,7220,7220,4,33596,242563120,0
90020,7220,7580,7220,7220,7220,5,38596,278663120,0
90020,7220,7580,7220,7220,7220,6,42646,307904120,0
90020,7220,7580,7220,7220,7220,7,46106,332885320,0
90020,7220,7580,7220,7220,7220,8,49517,357512740,0
90020,7220,7580,7220,7220,7220,9,52517,379172740,0
90020,7220,7580,7220,7220,7220,10,55517,400832740,0
90020,7220,7580,7220,7220,7220,11,57786,417214920,0
90020,7220,7580,7220,7220,7220,12,59186,427322920,0
90020,7220,7580,7220,7220,7220,13,60436,436347920,0
90020,7220,7580,7220,7220,7220,14,61436,443567920,0
90020,7220,7580,7220,7220,7220,15,62436,450787920,0
90020,7220,7580,7220,7220,7220,16,63207,456354540,0
90020,7220,7580,7220,7220,7220,17,63731,460137820,0
90020,7220,7580,7220,7220,7220,18,64190,463451800,0
90020,7220,7580,7220,7220,7220,19,64459,465393980,0
90020,7220,7580,7220,7220,7220,20,64688,467047360,0
90020,7220,7580,7220,7220,7220,21,64807,467906540,0
90020,7220,7580,7220,7220,7220,22,64860,468289200,0
90020,7220,7580,7220,7220,7220,23,64891,468513020,0
90110,7510,7580,7220,7510,7220,24,68351,494497620,0
90129,7510,7580,7220,7510,7220,25,71509,518214200,0
90136,7520,7580,7220,7520,7220,26,73065,529915320,0
90248,7330,7580,7220,7520,7220,27,73765,535046320,0
90248,7330,7580,7220,7520,7220,28,78495,569717220,0
90251,7330,7580,7220,7520,7220,29,79495,577047220,0
90312,7340,7580,7220,7520,7220,30,80485,584313820,0
90323,7340,7580,7220,7520,7220,31,81475,591580420,0
90340,7340,7580,7220,7520,7220,32,82275,597452420,0
90344,7340,7580,7220,7520,7220,33,82954,602436280,0
90344,7340,7580,7220,7520,7220,34,84989,617373180,0
90403,7330,7580,7220,7520,7220,35,89159,647939280,0
90403,7330,7580,7220,7520,7220,36,89849,652996980,0
90407,7310,7580,7220,7520,7220,37,90849,660306980,0
90407,7310,7570,7220,7520,7220,38,93849,682236980,0
90407,7310,7570,7220,7520,7220,39,98293,714722620,0
90411,7340,7570,7220,7520,7220,40,99258,721805720,0
90411,7340,7570,7220,7520,7220,41,103572,753470480,0
90412,7340,7570,7220,7520,7220,42,106293,773442620,0
90418,7330,7570,7220,7520,7220,43,109222,794912190,0
90425,7310,7570,7220,7520,7220,44,114778,835526550,0
90429,7300,7570,7220,7520,7220,45,116157,845593250,0
90429,7300,7570,7220,7520,7220,46,119157,867493250,0
90429,7300,7570,7220,7520,7220,47,120657,878443250,0
90429,7300,7570,7220,7520,7220,48,121396,883837950,0
90436,7300,7570,7220,7520,7220,49,123907,902168250,0
90444,7230,7570,7220,7520,7220,50,125807,915905250,0
90444,7230,7570,7220,7520,7220,51,128041,932057070,0
90444,7230,7570,7220,7520,7220,52,130090,946871340,0
90447,7230,7570,7220,7520,7220,53,135041,982667070,0
90447,7230,7570,7220,7520,7220,54,135941,989174070,0
90452,7220,7570,7220,7520,7220,55,137564,1000892130,0
90455,7230,7570,7220,7520,7220,56,138564,1008122130,0
90502,7220,7570,7220,7520,7220,57,148564,1080322130,0
90509,7220,7570,7220,7520,7220,58,150078,1091253210,0
90509,7220,7570,7220,7520,7220,59,150913,1097281910,0
90509,7220,7560,7220,7520,7220,60,178913,1299441910,0
90509,7220,7560,7220,7520,7220,61,188913,1371641910,0
90509,7220,7560,7220,7520,7220,62,189663,1377056910,0
90509,7220,7540,7220,7520,7220,63,271564,1968382130,0
90512,7230,7540,7220,7520,7220,64,272264,1973443130,0
90513,7230,7540,7220,7520,7220,65,272564,1975612130,0
90519,7230,7540,7220,7520,7220,66,273564,1982842130,0
90519,7230,7540,7220,7520,7220,67,276564,2004532130,0
90520,7230,7540,7220,7520,7220,68,279564,2026222130,0
90520,7230,7540,7220,7520,7220,69,284564,2062372130,0
90522,7230,7540,7220,7520,7220,70,285784,2071192730,0
90522,7230,7540,7220,7520,7220,71,286784,2078422730,0
90527,7330,7540,7220,7520,7220,72,289784,2100412730,0
90528,7330,7540,7220,7520,7220,73,292284,2118737730,0
90531,7330,7540,7220,7520,7220,74,292784,2122402730,0
90531,7230,7540,7220,7520,7220,75,298524,2163902930,0
90531,7220,7540,7220,7520,7220,76,316623,2294577710,0
90531,7220,7530,7220,7520,7220,77,322484,2336894130,0
90541,7240,7530,7220,7520,7220,78,323774,2346233730,0
90547,7340,7530,7220,7520,7220,79,324774,2353573730,0
90548,7240,7530,7220,7520,7220,80,326484,2365954130,0
90606,7240,7530,7220,7520,7220,81,327884,2376090130,0
90617,7240,7530,7220,7520,7220,82,328712,2382084850,0
90619,7240,7530,7220,7520,7220,83,331466,2402023810,0
90634,7240,7530,7220,7520,7220,84,331474,2402081730,0
90634,7240,7530,7220,7520,7220,85,333474,2416561730,0
90634,7240,7530,7220,7520,7220,86,334474,2423801730,0
90642,7230,7530,7220,7520,7220,87,335174,2428862730,0
90647,7240,7530,7220,7520,7220,88,337478,2445543690,0
90657,7230,7530,7220,7520,7220,89,343778,2491092690,0
90657,7230,7530,7220,7520,7220,90,345261,2501814780,0
90705,7240,7530,7220,7520,7220,91,345796,2505688180,0
90720,7340,7530,7220,7520,7220,92,346481,2510716080,0
90731,7340,7530,7220,7520,7220,93,347075,2515076040,0
90731,7340,7530,7220,7520,7220,94,350434,2539731100,0
90820,7340,7530,7220,7520,7220,95,350547,2540560520,0
90821,7340,7530,7220,7520,7220,96,351547,2547900520,0
90843,7490,7530,7220,7520,7220,97,353932,2565764170,0
90847,7490,7530,7220,7520,7220,98,355314,2576115350,0
90906,7490,7530,7220,7520,7220,99,356547,2585350520,0
90906,7490,7530,7220,7520,7220,100,359547,2607820520,0
90906,7490,7530,7220,7520,7220,101,360711,2616538880,0
90916,7480,7530,7220,7520,7220,102,362211,2627758880,0
90946,7480,7530,7220,7520,7220,103,363096,2634378680,0
91004,7470,7530,7220,7520,7220,104,364996,2648571680,0
91004,7480,7530,7220,7520,7220,105,367111,2664391880,0
91004,7480,7530,7220,7520,7220,106,371111,2694311880,0
91004,7480,7530,7220,7520,7220,107,372245,2702794200,0
91004,7490,7530,7220,7520,7220,108,373096,2709168190,0
91012,7480,7530,7220,7520,7220,109,375096,2724128190,0
91039,7480,7530,7220,7520,7220,110,377096,2739088190,0
91105,7470,7530,7220,7520,7220,111,390433,2838715580,0
91105,7470,7530,7220,7520,7220,112,394433,2868595580,0
91111,7340,7530,7220,7520,7220,113,395705,2877932060,0
91111,7340,7530,7220,7520,7220,114,397705,2892612060,0
91117,7350,7530,7220,7520,7220,115,398905,2901432060,0
91119,7250,7530,7220,7520,7220,116,401290,2918723310,0
91119,7250,7530,7220,7520,7220,117,405141,2946643060,0
91128,7240,7520,7220,7520,7220,118,407560,2964156620,0
91223,7340,7520,7220,7520,7220,119,410452,2985383900,0
91223,7300,7520,7220,7520,7220,120,410560,2986172300,0
91304,7300,7520,7220,7520,7220,121,412642,3001370900,0
91324,7300,7520,7220,7520,7220,122,414642,3015970900,0
91333,7300,7520,7220,7520,7220,123,415442,3021810900,0
91353,7250,7520,7220,7520,7220,124,416442,3029060900,0
91353,7250,7520,7220,7520,7220,125,422164,3070545400,0
91411,7250,7520,7220,7520,7220,126,423164,3077795400,0
91431,7250,7520,7220,7520,7220,127,424154,3084972900,0
91435,7250,7520,7220,7520,7220,128,425442,3094310900,0
91435,7250,7520,7220,7520,7220,129,435322,3165940900,0
91450,7260,7520,7220,7520,7220,130,436022,3171022900,0
91450,7250,7520,7220,7520,7220,131,436968,3177881400,0
91454,7250,7520,7220,7520,7220,132,438219,3186951150,0
91516,7300,7520,7220,7520,7220,133,438501,3189009750,0
91521,7300,7520,7220,7520,7220,134,439186,3194010250,0
91527,7300,7520,7220,7520,7220,135,444219,3230751150,0
91609,7300,7520,7220,7520,7220,136,447219,3252651150,0
91614,7300,7520,7220,7520,7220,137,448199,3259805150,0
91625,7270,7520,7220,7520,7220,138,450578,3277100480,0
91625,7260,7520,7220,7520,7220,139,460578,3349700480,0
91625,7260,7520,7220,7520,7220,140,466613,3393514580,0
91625,7260,7510,7220,7520,7220,141,469613,3415294580,0
91625,7250,7510,7220,7520,7220,142,492536,3581486330,0
91625,7250,7510,7220,7520,7220,143,493536,3588736330,0
91625,7250,7510,7220,7520,7220,144,497536,3617736330,0
91625,7250,7510,7220,7520,7220,145,506713,3684269580,0
91625,7240,7510,7220,7520,7220,146,508970,3700610260,0
91625,7240,7510,7220,7520,7220,147,509320,3703144260,0
91733,7260,7510,7220,7520,7220,148,516320,3753964260,0
91733,7300,7490,7220,7520,7220,149,598308,4352476660,0
91739,7400,7490,7220,7520,7220,150,601988,4379708660,0
91739,7400,7490,7220,7520,7220,151,605926,4408849860,0
91759,7440,7490,7220,7520,7220,152,630926,4594849860,0
91906,7400,7490,7220,7520,7220,153,631276,4597439860,0
91916,7400,7490,7220,7520,7220,154,637276,4641839860,0
92013,7400,7490,7220,7520,7220,155,638544,4651223060,0
92013,7400,7490,7220,7520,7220,156,646038,4706678660,0
92026,7440,7490,7220,7520,7220,157,650038,4736438660,0
92026,7440,7490,7220,7520,7220,158,651038,4743878660,0
92026,7440,7490,7220,7520,7220,159,652028,4751244260,0
92026,7450,7490,7220,7520,7220,160,662028,4825744260,0
92026,7450,7490,7220,7520,7220,161,672028,4900244260,0
92026,7460,7490,7220,7520,7220,162,675028,4922624260,0
92038,7470,7490,7220,7520,7220,163,677028,4937564260,0
92045,7470,7490,7220,7520,7220,164,679028,4952504260,0
92047,7470,7490,7220,7520,7220,165,680028,4959974260,0
92047,7480,7490,7220,7520,7220,166,681028,4967454260,0
92057,7480,7490,7220,7520,7220,167,683028,4982414260,0
92057,7480,7490,7220,7520,7220,168,684838,4995953060,0
92057,7480,7490,7220,7520,7220,169,688237,5021377580,0
92057,7480,7490,7220,7520,7220,170,692237,5051297580,0
92057,7490,7490,7220,7520,7220,171,693222,5058675230,0
92057,7490,7490,7220,7520,7220,172,694050,5064876950,0
92057,7490,7490,7220,7520,7220,173,697050,5087346950,0
92057,7490,7490,7220,7520,7220,174,699228,5103660170,0
92057,7490,7490,7220,7520,7220,175,702228,5126130170,0
92057,7490,7490,7220,7520,7220,176,703582,5136271630,0
92107,7500,7490,7220,7520,7220,177,705582,5151271630,0
92111,7500,7490,7220,7520,7220,178,707582,5166271630,0
92112,7460,7490,7220,7520,7220,179,711582,5196111630,0
92115,7460,7490,7220,7520,7220,180,713582,5211031630,0
92246,7280,7490,7220,7520,7220,181,714882,5220495630,0
92246,7270,7490,7220,7520,7220,182,719032,5250666130,0
92246,7270,7490,7220,7520,7220,183,720032,5257936130,0
92246,7270,7490,7220,7520,7220,184,720782,5263388630,0
92246,7260,7480,7220,7520,7220,185,730782,5335988630,0
92246,7260,7480,7220,7520,7220,186,740782,5408588630,0
92246,7260,7480,7220,7520,7220,187,742915,5424074210,0
92418,7300,7480,7220,7520,7220,188,744115,5432834210,0
92459,7290,7480,7220,7520,7220,189,744515,5435750210,0
92547,7300,7480,7220,7520,7220,190,746994,5453846910,0
92609,7300,7480,7220,7520,7220,191,754515,5508750210,0
92609,7300,7480,7220,7520,7220,192,756994,5526846910,0
92628,7300,7480,7220,7520,7220,193,758609,5538636410,0
92700,7290,7480,7220,7520,7220,194,759579,5545707710,0
92812,7290,7480,7220,7520,7220,195,760209,5550300410,0
92812,7290,7480,7220,7520,7220,196,762379,5566119710,0
92836,7290,7480,7220,7520,7220,197,764379,5580699710,0
92854,7290,7480,7220,7520,7220,198,765149,5586313010,0
92859,7290,7480,7220,7520,7220,199,782288,5711256320,0
92911,7290,7470,7220,7520,7220,200,809209,5907510410,0
92911,7290,7470,7220,7520,7220,201,810092,5913947480,0
92911,7290,7470,7220,7520,7220,202,811092,5921237480,0
92952,7280,7470,7220,7520,7220,203,812092,5928517480,0
92952,7280,7470,7220,7520,7220,204,818136,5972517800,0
93002,7280,7470,7220,7520,7220,205,821136,5994357800,0
93024,7290,7470,7220,7520,7220,206,823136,6008937800,0
93028,7290,7470,7220,7520,7220,207,824223,6016862030,0
93035,7300,7470,7220,7520,7220,208,825023,6022702030,0
93035,7300,7460,7220,7520,7220,209,874223,6381862030,0
93047,7290,7460,7220,7520,7220,210,879812,6422605840,0
93059,7280,7460,7220,7520,7220,211,880532,6427847440,0
93101,7280,7460,7220,7520,7220,212,888108,6483000720,0
93114,7280,7460,7220,7520,7220,213,893108,6519400720,0
93124,7280,7460,7220,7520,7220,214,905768,6611565520,0
93124,7280,7460,7220,7520,7220,215,907768,6626125520,0
93124,7280,7450,7220,7520,7220,216,920611,6719622560,0
93125,7280,7450,7220,7520,7220,217,921311,6724718560,0
93142,7270,7450,7220,7520,7220,218,922061,6730171060,0
93142,7270,7450,7220,7520,7220,219,922391,6732570160,0
93216,7270,7450,7220,7520,7220,220,923391,6739840160,0
93303,7270,7450,7220,7520,7220,221,923661,6741803060,0
93303,7270,7450,7220,7520,7220,222,924091,6744929160,0
93309,7280,7450,7220,7520,7220,223,928196,6774813560,0
93316,7280,7450,7220,7520,7220,224,929196,6782093560,0
93329,7270,7450,7220,7520,7220,225,930766,6793507460,0
93329,7270,7450,7220,7520,7220,226,935148,6825364600,0
93329,7270,7450,7220,7520,7220,227,938148,6847174600,0
93329,7270,7450,7220,7520,7220,228,939196,6854793560,0
93337,7270,7450,7220,7520,7220,229,940888,6867094400,0
