time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,2,100685,7800,8110,1000,1
63938,2,1,100000,7790,8120,10000,1
63938,3,2,101280,7780,8170,18570,2
63938,4,1,1000,7770,8200,24000,1
63938,5,1,1500,7760,8230,50000,1
84504,1,3,103239,7800,8110,1000,1
84518,1,3,103239,7800,7800,7545,1
84518,2,1,100000,7790,8110,1000,1
84518,3,2,101280,7780,8120,10000,1
84518,4,1,1000,7770,8170,18570,2
84518,5,1,1500,7760,8200,24000,1
84519,1,3,103239,7800,7800,18473,2
84523,1,4,104239,7800,7800,18473,2
84527,1,4,104239,7800,7800,19138,3
84532,1,5,105239,7800,7800,19138,3
84540,1,5,105239,7800,7800,29527,5
84540,1,6,205239,7790,7790,106395,6
84540,2,2,101280,7780,8110,1000,1
84540,3,1,1000,7770,8120,10000,1
84540,4,1,1500,7760,8170,18570,2
84540,5,1,9800,7720,8200,24000,1
84540,1,6,205239,7790,7790,108847,7
84540,1,6,205239,7790,7790,139487,8
84541,1,6,205239,7790,7790,151394,9
84606,1,7,205859,7790,7790,151394,9
84644,1,8,206509,7790,7790,151394,9
84713,1,9,207155,7790,7790,151394,9
84737,1,10,208155,7790,7790,151394,9
84754,1,11,218155,7790,7790,151394,9
84757,1,12,229955,7790,7790,151394,9
84818,1,13,238955,7790,7790,151394,9
84848,2,3,101925,7780,8110,1000,1
84856,1,14,239955,7790,7790,151394,9
84913,1,15,242452,7790,7790,151394,9
84920,2,3,101925,7780,8090,169,1
84920,3,1,1000,7770,8110,1000,1
84920,4,1,1500,7760,8120,10000,1
84920,5,1,9800,7720,8170,18570,2
84926,1,16,243097,7790,7790,151394,9
84942,1,16,243097,7790,7790,151384,9
84945,1,17,245587,7790,7790,151384,9
84952,1,8,206802,7800,7800,151384,9
84952,2,10,138785,7790,8090,169,1
84952,3,3,101925,7780,8110,1000,1
84952,4,1,1000,7770,8120,10000,1
84952,5,1,1500,7760,8170,18570,2
85008,1,9,207502,7800,7800,151384,9
85012,2,10,138785,7790,8000,28522,1
85012,3,3,101925,7780,8090,169,1
85012,4,1,1000,7770,8110,1000,1
85012,5,1,1500,7760,8120,10000,1
85025,1,10,212502,7800,7800,151384,9
85030,1,11,214992,7800,7800,151384,9
85030,2,9,136295,7790,8000,28522,1
85037,2,10,139795,7790,8000,28522,1
85045,5,2,2150,7760,8120,10000,1
85050,5,3,66198,7760,8120,10000,1
85055,1,12,219992,7800,7800,151384,9
85116,1,13,249992,7800,7800,151384,9
85128,5,4,76198,7760,8120,10000,1
85148,1,14,254174,7800,7800,151384,9
85155,1,15,259174,7800,7800,151384,9
85212,1,16,294174,7800,7800,151384,9
85231,1,17,295174,7800,7800,151384,9
85251,1,18,301174,7800,7800,151384,9
85336,1,19,302432,7800,7800,151384,9
85351,1,19,303382,7800,7800,151384,9
85403,1,20,307902,7800,7800,151384,9
85413,1,21,347902,7800,7800,151384,9
85422,1,21,347922,7800,7800,151384,9
85430,1,22,348586,7800,7800,151384,9
85458,2,10,139795,7790,8000,55583,2
85511,1,23,349383,7800,7800,151384,9
85513,1,24,350047,7800,7800,151384,9
85533,1,25,351047,7800,7800,151384,9
85534,1,25,351047,7800,7800,271384,10
85557,1,26,401047,7800,7800,271384,10
85604,1,27,511047,7800,7800,271384,10
85606,1,27,511047,7800,7800,271966,11
85634,1,28,512277,7800,7800,271966,11
85653,4,1,1000,7770,8110,2250,2
85700,1,14,287045,7810,7810,271966,11
85700,2,15,303232,7800,8000,55583,2
85700,3,10,139795,7790,8090,169,1
85700,4,3,101925,7780,8110,2250,2
85700,5,1,1000,7770,8120,10000,1
85705,2,16,304509,7800,8000,55583,2
85726,1,15,297045,7810,7810,271966,11
85738,1,16,397045,7810,7810,271966,11
85746,1,17,467045,7810,7810,271966,11
85755,1,18,477045,7810,7810,271966,11
85757,1,19,478545,7810,7810,271966,11
85806,1,19,478545,7810,7810,278019,12
85808,1,20,479310,7810,7810,278019,12
85818,1,21,480310,7810,7810,278019,12
85825,1,22,481310,7810,7810,278019,12
85829,1,23,483310,7810,7810,278019,12
85830,1,24,493310,7810,7810,278019,12
85834,1,25,495310,7810,7810,278019,12
85843,1,26,545310,7810,7810,278019,12
85852,1,27,565310,7810,7810,278019,12
85920,1,28,567310,7810,7810,278019,12
85922,1,17,315075,7820,7820,278019,12
85922,2,12,342235,7810,8000,55583,2
85922,3,16,304509,7800,8090,169,1
85922,4,10,139795,7790,8110,2250,2
85922,5,3,101925,7780,8120,10000,1
85925,1,18,345075,7820,7820,278019,12
85930,1,19,365075,7820,7820,278019,12
85935,1,20,365741,7820,7820,278019,12
85937,1,21,366841,7820,7820,278019,12
85941,2,13,347235,7810,8000,55583,2
85941,1,22,374912,7820,7820,278019,12
85951,1,23,394912,7820,7820,278019,12
85954,1,24,434912,7820,7820,278019,12
85959,1,25,493362,7820,7820,278019,12
90002,1,26,497362,7820,7820,278019,12
90003,1,20,279696,7830,7830,278019,12
90003,2,7,292666,7820,8000,55583,2
90003,3,13,347235,7810,8090,169,1
90003,4,16,304509,7800,8110,2250,2
90003,5,10,139795,7790,8120,10000,1
90004,1,15,354446,7850,7850,278019,12
90004,2,1,700,7840,8000,55583,2
90004,3,5,123550,7830,8090,169,1
90004,4,7,292666,7820,8110,2250,2
90004,5,13,347235,7810,8120,10000,1
90007,3,6,136273,7830,8090,169,1
90011,1,11,444446,7860,7860,278019,12
90011,2,5,110000,7850,8000,55583,2
90011,3,1,700,7840,8090,169,1
90011,4,6,136273,7830,8110,2250,2
90011,5,7,292666,7820,8120,10000,1
90013,5,8,293666,7820,8120,10000,1
90019,1,1,166427,7860,8000,55583,2
90019,2,5,110000,7850,8090,169,1
90019,3,1,700,7840,8110,2250,2
90019,4,6,136273,7830,8120,10000,1
90019,5,8,293666,7820,8170,18570,2
90023,1,1,10000,7870,8000,55583,2
90023,2,1,166427,7860,8090,169,1
90023,3,5,110000,7850,8110,2250,2
90023,4,1,700,7840,8120,10000,1
90023,5,6,136273,7830,8170,18570,2
90023,1,1,200000,7910,8000,55583,2
90023,2,1,10000,7870,8090,169,1
90023,3,1,166427,7860,8110,2250,2
90023,4,5,110000,7850,8120,10000,1
90023,5,1,700,7840,8170,18570,2
90026,3,5,110000,7850,8110,2250,2
90026,4,1,700,7840,8120,10000,1
90026,5,6,136273,7830,8170,18570,2
90036,2,1,1277,7880,8090,169,1
90036,3,1,10000,7870,8110,2250,2
90036,4,5,110000,7850,8120,10000,1
90036,5,1,700,7840,8170,18570,2
90037,1,2,201000,7910,8000,55583,2
90040,4,1,150000,7860,8120,10000,1
90040,5,5,110000,7850,8170,18570,2
90045,3,1,150000,7860,8110,2250,2
90045,4,5,110000,7850,8120,10000,1
90045,5,1,700,7840,8170,18570,2
90046,4,4,90000,7850,8120,10000,1
90049,1,1,20000,7920,8000,55583,2
90049,2,2,201000,7910,8090,169,1
90049,3,1,1277,7880,8110,2250,2
90049,4,1,150000,7860,8120,10000,1
90049,5,4,90000,7850,8170,18570,2
90051,2,3,209781,7910,8090,169,1
90051,4,2,152000,7860,8120,10000,1
90052,2,3,209781,7910,8080,50000,1
90052,3,1,1277,7880,8090,169,1
90052,4,2,152000,7860,8110,2250,2
90052,5,4,90000,7850,8120,10000,1
90055,1,1,20000,7920,8000,54933,2
90058,3,2,1977,7880,8090,169,1
90103,2,4,210421,7910,8080,50000,1
90113,3,3,41977,7880,8090,169,1
90114,1,2,21000,7920,8000,54933,2
90114,2,3,209421,7910,8080,50000,1
90115,1,3,25452,7920,8000,54933,2
90120,1,3,25452,7920,8000,53733,2
90122,1,3,21117,7920,8000,53733,2
