time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,1000,7780,8650,2963,1
63938,2,1,1000,7720,8890,3000,1
63938,3,2,4000,7480,8990,30000,2
63938,4,0,0,0,9090,200600,2
63938,5,0,0,0,9260,4926,4
84502,1,1,1327,8100,8650,2963,1
84502,2,1,1000,7780,8890,3000,1
84502,3,1,1000,7720,8990,30000,2
84502,4,2,4000,7480,9090,200600,2
84503,1,2,6327,8100,8100,525,1
84503,2,1,1000,7780,8650,2963,1
84503,3,1,1000,7720,8890,3000,1
84503,4,2,4000,7480,8990,30000,2
84503,5,0,0,0,9090,200600,2
84503,1,2,6327,8100,8100,154525,2
84503,2,1,1000,7780,8600,5506,1
84503,3,1,1000,7720,8650,2963,1
84503,4,2,4000,7480,8890,3000,1
84503,5,0,0,0,8990,30000,2
84504,4,2,4000,7480,8890,7060,2
84508,5,0,0,0,8940,38000,1
84508,1,3,8327,8100,8100,154525,2
84514,1,4,31520,8100,8100,154525,2
84517,1,5,32220,8100,8100,154525,2
84519,1,6,32920,8100,8100,154525,2
84522,4,2,4000,7480,8890,17733,3
84533,1,7,126920,8100,8100,154525,2
84534,1,7,126920,8100,8100,175506,3
84537,1,8,127904,8100,8100,175506,3
84540,1,9,128524,8100,8100,175506,3
84542,5,0,0,0,8940,38580,2
84544,5,0,0,0,8940,44261,3
84546,5,0,0,0,8940,44831,4
84553,1,9,128524,8100,8100,154525,2
84602,1,10,138524,8100,8100,154525,2
84603,1,11,139689,8100,8100,154525,2
84604,1,12,144689,8100,8100,154525,2
84614,5,0,0,0,8910,1133,1
84620,1,12,144689,8100,8100,354525,3
84625,1,13,145689,8100,8100,354525,3
84629,1,14,150689,8100,8100,354525,3
84630,1,14,150689,8100,8100,554525,4
84636,1,14,150689,8100,8100,554627,5
84639,1,14,150689,8100,8100,754627,6
84649,1,14,150689,8100,8100,954627,7
84651,1,15,160689,8100,8100,954627,7
84657,1,16,172689,8100,8100,954627,7
84658,1,17,173319,8100,8100,954627,7
84700,1,17,173319,8100,8100,1154627,8
84706,1,18,178319,8100,8100,1154627,8
84706,1,18,178319,8100,8100,1157627,9
84727,1,19,179319,8100,8100,1157627,9
84737,1,18,174319,8100,8100,1157627,9
84750,1,19,179238,8100,8100,1157627,9
84757,1,19,179238,8100,8100,1159455,10
84811,1,20,180227,8100,8100,1159455,10
84825,5,0,0,0,8910,11133,2
84836,1,21,182227,8100,8100,1159455,10
84849,1,22,183227,8100,8100,1159455,10
84853,1,23,189369,8100,8100,1159455,10
84858,1,24,195369,8100,8100,1159455,10
84905,1,25,197369,8100,8100,1159455,10
84913,1,26,207369,8100,8100,1159455,10
84915,1,27,208845,8100,8100,1159455,10
84916,1,28,209845,8100,8100,1159455,10
84919,2,1,1000,7780,8520,3500,1
84919,3,1,1000,7720,8600,5506,1
84919,4,2,4000,7480,8650,2963,1
84919,5,0,0,0,8890,17733,3
84921,1,28,209845,8100,8100,1163455,11
84930,1,29,222145,8100,8100,1163455,11
84951,1,30,223990,8100,8100,1163455,11
84952,1,31,233990,8100,8100,1163455,11
84956,5,0,0,0,8890,51524,4
85006,1,32,235190,8100,8100,1163455,11
85007,1,31,233345,8100,8100,1163455,11
85013,1,32,234345,8100,8100,1163455,11
85032,5,0,0,0,8890,47464,3
85037,1,33,235575,8100,8100,1163455,11
85039,1,34,237575,8100,8100,1163455,11
85051,1,35,238975,8100,8100,1163455,11
85117,1,36,239604,8100,8100,1163455,11
85117,1,37,251876,8100,8100,1163455,11
85128,1,38,254953,8100,8100,1163455,11
85137,1,39,259953,8100,8100,1163455,11
85147,1,40,261146,8100,8100,1163455,11
85153,1,41,261846,8100,8100,1163455,11
85159,1,41,261846,8100,8100,963455,10
85159,1,41,261846,8100,8100,563455,8
85159,1,41,261846,8100,8100,163455,6
85200,2,1,1000,7780,8520,7560,2
85201,1,42,267846,8100,8100,163455,6
85214,1,43,268496,8100,8100,163455,6
85222,1,4,25543,8150,8150,9455,5
85222,2,1,6142,8110,8520,7560,2
85222,3,38,236811,8100,8600,5506,1
85222,4,1,1000,7780,8650,2963,1
85222,5,1,1000,7720,8890,47464,3
85231,3,37,235811,8100,8600,5506,1
85232,2,1,6142,8110,8520,3500,1
85232,3,38,237811,8100,8600,5506,1
85245,3,39,238441,8100,8600,5506,1
85252,1,1,12955,8520,8520,12955,6
85252,2,1,650,8210,8600,5506,1
85252,3,1,1000,8200,8650,2963,1
85252,4,1,700,8160,8890,47464,3
85252,5,1,23193,8150,8910,11133,2
85312,5,1,23193,8150,8900,3500,1
85314,1,1,18461,8600,8600,18461,7
85314,2,1,12955,8520,8650,2963,1
85314,3,1,650,8210,8890,47464,3
85314,4,1,1000,8200,8900,3500,1
85314,5,1,700,8160,8910,11133,2
85317,1,1,18461,8600,8600,15461,6
85318,1,1,12955,8520,8520,9955,5
85318,2,1,650,8210,8600,5506,1
85318,3,1,1000,8200,8650,2963,1
85318,4,1,700,8160,8890,47464,3
85318,5,1,23193,8150,8900,3500,1
85323,1,4,25543,8150,8150,6455,4
85323,2,1,620,8130,8520,3500,1
85323,3,1,6142,8110,8600,5506,1
85323,4,41,242361,8100,8650,2963,1
85323,5,1,1000,7780,8890,47464,3
85323,1,4,14650,8160,8160,6455,4
85323,2,1,23193,8150,8520,3500,1
85323,3,1,620,8130,8600,5506,1
85323,4,1,6142,8110,8650,2963,1
85323,5,41,242361,8100,8890,47464,3
85323,5,42,243761,8100,8890,47464,3
85325,5,43,263761,8100,8890,47464,3
85325,5,43,263761,8100,8800,4750,1
85334,5,44,276061,8100,8800,4750,1
85336,1,4,14650,8160,8160,7327,5
85339,5,45,279261,8100,8800,4750,1
85339,5,46,379261,8100,8800,4750,1
85347,5,47,406504,8100,8800,4750,1
85353,5,48,407169,8100,8800,4750,1
85405,1,5,20650,8160,8160,7327,5
85405,5,47,401169,8100,8800,4750,1
85420,5,47,401169,8100,8700,7986,1
85435,1,3,7650,8200,8200,7327,5
85435,2,2,13000,8160,8520,3500,1
85435,3,1,23193,8150,8600,5506,1
