time,last,close,open,high,low,count,volume,value,discarded
64617,2550,2583,0,0,0,0,0,0,0
90021,2583,2583,2583,2583,2583,1,28367,73271961,0
90021,2583,2583,2583,2583,2583,2,43367,112016961,0
90021,2583,2583,2583,2583,2583,3,48367,124931961,0
90021,2583,2583,2583,2583,2583,4,50276,129862908,0
90021,2583,2583,2583,2583,2583,5,51496,133014168,0
90021,2583,2583,2583,2583,2583,6,51817,133843311,0
90021,2583,2583,2583,2583,2583,7,51909,134080947,0
90121,2583,2583,2583,2583,2583,8,83542,215788986,0
90121,2583,2583,2583,2583,2583,9,88542,228703986,0
90121,2583,2583,2583,2583,2583,10,207246,535316418,0
90123,2590,2583,2583,2590,2583,11,209246,540496418,0
90151,2583,2583,2583,2590,2583,12,220746,570200918,0
90151,2583,2583,2583,2590,2583,13,233246,602488418,0
90151,2594,2583,2583,2594,2583,14,240246,620646418,0
90151,2600,2583,2583,2600,2583,15,257067,664381018,0
90151,2600,2583,2583,2600,2583,16,259065,669575818,0
90152,2551,2583,2583,2600,2551,17,260445,673096198,0
90209,2599,2583,2583,2600,2551,18,262820,679268823,0
90232,2599,2583,2583,2600,2551,19,290445,751066198,0
90246,2598,2583,2583,2600,2551,20,300445,777046198,0
90257,2600,2583,2583,2600,2551,21,308447,797851398,0
90305,2553,2583,2583,2600,2551,22,310447,802957398,0
90330,2556,2583,2583,2600,2551,23,312447,808069398,0
90339,2556,2583,2583,2600,2551,24,321947,832351398,0
90355,2556,2583,2583,2600,2551,25,327397,846281598,0
90423,2610,2583,2583,2610,2551,26,329397,851501598,0
90434,2610,2583,2583,2610,2551,27,329398,851504208,0
90434,2610,2583,2583,2610,2551,28,344398,890654208,0
90434,2610,2583,2583,2610,2551,29,394398,1021154208,0
90434,2610,2583,2583,2610,2551,30,409865,1061523078,0
90434,2621,2584,2583,2621,2551,31,419865,1087733078,0
90434,2627,2584,2583,2627,2551,32,422865,1095614078,0
90434,2628,2584,2583,2628,2551,33,429397,1112780174,0
90525,2619,2584,2583,2628,2551,34,431397,1118018174,0
90540,2590,2584,2583,2628,2551,35,436397,1130968174,0
90551,2590,2584,2583,2628,2551,36,439897,1140033174,0
90610,2590,2584,2583,2628,2551,37,441397,1143918174,0
90718,2591,2584,2583,2628,2551,38,446397,1156873174,0
90726,2619,2584,2583,2628,2551,39,454397,1177825174,0
90726,2619,2584,2583,2628,2551,40,457943,1187112148,0
90726,2619,2584,2583,2628,2551,41,477943,1239492148,0
90726,2619,2585,2583,2628,2551,42,630167,1638166804,0
90729,2591,2585,2583,2628,2551,43,631558,1641770885,0
90729,2590,2585,2583,2628,2551,44,632058,1643065885,0
90729,2590,2585,2583,2628,2551,45,635558,1652130885,0
90729,2588,2585,2583,2628,2551,46,640558,1665070885,0
90729,2588,2585,2583,2628,2551,47,646558,1680598885,0
90729,2585,2585,2583,2628,2551,48,676558,1758148885,0
90729,2585,2585,2583,2628,2551,49,688558,1789168885,0
90729,2583,2585,2583,2628,2551,50,693558,1802083885,0
90729,2583,2585,2583,2628,2551,51,696058,1808541385,0
90729,2583,2585,2583,2628,2551,52,830167,2154944932,0
90734,2619,2585,2583,2628,2551,53,835644,2169289195,0
90758,2619,2585,2583,2628,2551,54,836469,2171449870,0
