time,count,volume,price,discarded
90021,1,2000,8890,0
90021,2,1629,8890,0
90021,3,22,8890,0
90411,4,1000,8890,0
90611,5,1749,8890,0
90642,6,5540,8880,0
90956,7,10000,8890,0
90956,8,600,8890,0
91053,9,6250,8880,0
91106,10,1610,8880,0
91106,11,4390,8880,0
91146,12,1000,8880,0
91146,13,4610,8880,0
91506,14,2329,8870,0
91555,15,3072,8870,0
91731,16,859,8880,0
91758,17,820,8870,0
91825,18,829,8870,0
91825,19,264,8870,0
92011,20,536,8870,0
92020,21,464,8870,0
92043,22,4118,8870,0
92049,23,1450,8860,0
92053,24,3170,8850,0
92112,25,12320,8830,0
92122,26,5600,8800,0
92122,27,40000,8800,0
92122,28,4000,8800,0
92911,29,13400,8700,0
92911,30,20000,8660,0
92914,31,4958,8660,0
92954,32,1750,8850,0
93009,33,4486,8850,0
93056,34,1140,8850,0
93127,35,141,8880,0
93127,36,2500,8880,0
93127,37,20000,8900,0
93127,38,577,8900,0
93158,39,1782,8900,0
93240,40,20000,8870,0
93344,41,10000,8890,0
93422,42,3250,8920,0
93422,43,19334,8930,0
93422,44,5500,8930,0
93433,45,21916,8930,0
93514,46,1000,8940,0
93514,47,10000,8940,0
93533,48,39000,8940,0
93542,49,4800,8930,0
93611,50,700,8930,0
93713,51,7000,8890,0
93713,52,47000,8880,0
93726,53,10000,8880,0
93817,54,5000,8890,0
93817,55,13892,8880,0
93817,56,108,8880,0
93853,57,10000,8930,0
93853,58,100,8930,0
93853,59,21000,8940,0
93853,60,1000,8940,0
93950,61,2000,8890,0
93950,62,500,8890,0
94006,63,100,8940,0
94006,64,676,8960,0
94006,65,10000,8960,0
94006,66,10000,8960,0
94028,67,50109,8890,0
94049,68,462,8880,0
94056,69,338,8880,0
94056,70,1036,8880,0
94126,71,675,8970,0
94126,72,10000,8970,0
94126,73,10000,8970,0
94524,74,575,8960,0
94602,75,25,8960,0
94643,76,875,8960,0
95025,77,575,9000,0
95129,78,8856,9000,0
95302,79,125,8960,0
95302,80,295,8960,0
95553,81,3985,9000,0
95553,82,10000,9000,0
95553,83,1300,9000,0
95553,84,1000,9000,0
95553,85,8961,9010,0
95553,86,8000,9010,0
95907,87,3615,9010,0
95949,88,608,8980,0
100000,89,1500,8980,0
100004,90,2000,8980,0
100023,91,5892,8980,0
100045,92,20000,8980,0
100045,93,7000,8980,0
100045,94,11107,8970,0
100201,95,17735,9070,0
100201,96,1500,9090,0
100201,97,10000,9100,0
