time,last,close,open,high,low,count,volume,value,discarded
64617,5730,5850,0,0,0,0,0,0,0
90026,5600,5850,5600,5600,5600,1,45000,252000000,0
90026,5600,5850,5600,5600,5600,2,77956,436553600,0
90026,5600,5850,5600,5600,5600,3,86956,486953600,0
90026,5600,5850,5600,5600,5600,4,89916,503529600,0
90026,5600,5850,5600,5600,5600,5,91716,513609600,0
90026,5600,5850,5600,5600,5600,6,93218,522020800,0
90026,5600,5850,5600,5600,5600,7,94679,530202400,0
90026,5600,5850,5600,5600,5600,8,95879,536922400,0
90026,5600,5850,5600,5600,5600,9,96879,542522400,0
90026,5600,5850,5600,5600,5600,10,97179,544202400,0
90026,5600,5850,5600,5600,5600,11,97218,544420800,0
90122,5630,5850,5600,5630,5600,12,98118,549487800,0
90209,5700,5850,5600,5700,5600,13,99177,555524100,0
90209,5700,5850,5600,5700,5600,14,100977,565784100,0
90211,5700,5850,5600,5700,5600,15,101977,571484100,0
90213,5700,5850,5600,5700,5600,16,121977,685484100,0
90216,5700,5850,5600,5700,5600,17,131977,742484100,0
90253,5700,5850,5600,5700,5600,18,149416,841886400,0
90314,5660,5850,5600,5700,5600,19,151416,853206400,0
90314,5660,5850,5600,5700,5600,20,152416,858866400,0
90316,5660,5850,5600,5700,5600,21,153916,867356400,0
90318,5640,5850,5600,5700,5600,22,154916,872996400,0
90318,5640,5850,5600,5700,5600,23,156416,881456400,0
90318,5640,5850,5600,5700,5600,24,158416,892736400,0
90318,5630,5850,5600,5700,5600,25,159416,898366400,0
90327,5630,5850,5600,5700,5600,26,163916,923701400,0
90341,5660,5850,5600,5700,5600,27,164816,928795400,0
90343,5640,5850,5600,5700,5600,28,167668,944880680,0
90354,5660,5850,5600,5700,5600,29,173268,976576680,0
90354,5690,5850,5600,5700,5600,30,188028,1060561080,0
90406,5700,5850,5600,5700,5600,31,197343,1113656580,0
90423,5700,5850,5600,5700,5600,32,198843,1122206580,0
90436,5690,5850,5600,5700,5600,33,200626,1132351850,0
90451,5660,5850,5600,5700,5600,34,210626,1188951850,0
90455,5660,5850,5600,5700,5600,35,212626,1200271850,0
90504,5690,5850,5600,5700,5600,36,215843,1218576580,0
90504,5690,5850,5600,5700,5600,37,236775,1337679660,0
90511,5690,5850,5600,5700,5600,38,246775,1394579660,0
90532,5690,5850,5600,5700,5600,39,251775,1423029660,0
90541,5690,5850,5600,5700,5600,40,252266,1425823450,0
90619,5680,5850,5600,5700,5600,41,253266,1431503450,0
90621,5660,5850,5600,5700,5600,42,260549,1472725230,0
90626,5660,5850,5600,5700,5600,43,273266,1544703450,0
90646,5660,5850,5600,5700,5600,44,274266,1550363450,0
90702,5670,5850,5600,5700,5600,45,276266,1561703450,0
90707,5670,5850,5600,5700,5600,46,277766,1570208450,0
90714,5660,5850,5600,5700,5600,47,278806,1576094850,0
90729,5660,5850,5600,5700,5600,48,287766,1626808450,0
90752,5650,5850,5600,5700,5600,49,291766,1649408450,0
90752,5650,5850,5600,5700,5600,50,293557,1659527600,0
90752,5650,5850,5600,5700,5600,51,300013,1696004000,0
90808,5650,5850,5600,5700,5600,52,473557,2676527600,0
90808,5650,5850,5600,5700,5600,53,474557,2682177600,0
90808,5650,5850,5600,5700,5600,54,475524,2687641150,0
90813,5660,5850,5600,5700,5600,55,477524,2698961150,0
90821,5650,5850,5600,5700,5600,56,479124,2708001150,0
90827,5650,5850,5600,5700,5600,57,479424,2709696150,0
