time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,3804,2880,2880,10000,1
63938,2,1,13754,2801,3200,28000,1
63938,3,1,3630,2740,3300,30000,1
63938,4,1,5000,2700,3333,2000,1
63938,5,1,10000,2621,3490,21920,1
84501,1,1,40000,2988,2988,10000,1
84501,2,1,3804,2880,3200,28000,1
84501,3,1,13754,2801,3300,30000,1
84501,4,1,3630,2740,3333,2000,1
84501,5,1,5000,2700,3490,21920,1
84503,1,2,123200,2988,2988,10000,1
84505,2,2,339804,2880,3200,28000,1
84505,5,1,1879,2704,3490,21920,1
84506,1,2,123200,2988,2988,12916,2
84506,2,3,346204,2880,3200,28000,1
84508,1,2,123200,2988,2988,153051,3
84508,1,2,123200,2988,2988,173690,4
84508,2,4,353752,2880,3200,28000,1
84508,1,3,303200,2988,2988,173690,4
84509,1,3,303200,2988,2988,273690,5
84510,1,4,503200,2988,2988,273690,5
84511,3,1,30000,2810,3300,30000,1
84511,4,1,13754,2801,3333,2000,1
84511,5,1,3630,2740,3490,21920,1
84511,1,5,513200,2988,2988,273690,5
84513,1,6,598200,2988,2988,273690,5
84513,1,6,598200,2988,2988,281690,6
84513,1,7,608200,2988,2988,281690,6
84515,1,7,608200,2988,2988,381690,7
84525,1,7,608200,2988,2988,383380,8
84527,1,8,638200,2988,2988,383380,8
84529,1,9,643205,2988,2988,383380,8
84547,1,9,643205,2988,2988,385880,9
84556,1,9,643205,2988,2988,389197,10
84600,3,1,2000,2830,3300,30000,1
84600,4,1,30000,2810,3333,2000,1
84600,5,1,13754,2801,3490,21920,1
84602,1,9,643205,2988,2988,413716,11
84608,1,9,643205,2988,2988,440018,12
84613,1,10,644905,2988,2988,440018,12
84632,1,10,644905,2988,2988,470018,13
84634,1,9,464905,2988,2988,470018,13
84635,1,8,264905,2988,2988,470018,13
84636,1,8,264905,2988,2988,471466,14
84640,1,9,298248,2988,2988,471466,14
84652,1,9,298248,2988,2988,473466,15
84654,1,9,298248,2988,2988,479444,16
84655,1,8,258248,2988,2988,479444,16
84708,1,7,253243,2988,2988,479444,16
84710,1,8,270243,2988,2988,479444,16
84717,1,8,270243,2988,2988,499444,17
84736,2,1,5000,2900,3200,28000,1
84736,3,4,353752,2880,3300,30000,1
84736,4,1,2000,2830,3333,2000,1
84736,5,1,30000,2810,3490,21920,1
84743,1,8,270243,2988,2988,399444,16
84744,1,8,270243,2988,2988,408864,17
84747,1,7,236900,2988,2988,408864,17
84748,3,5,355752,2880,3300,30000,1
84757,2,2,39354,2900,3200,28000,1
84758,1,7,236900,2988,2988,411185,18
84802,1,7,236900,2988,2988,442185,19
84803,1,8,241067,2988,2988,442185,19
84812,1,8,241067,2988,2988,444132,20
84818,1,8,241067,2988,2988,448649,21
84832,1,8,241067,2988,2988,458649,22
84848,1,8,241067,2988,2988,468649,23
84849,1,8,241067,2988,2988,498169,24
84852,1,8,241067,2988,2988,500169,25
84857,1,8,241067,2988,2988,502169,26
84906,1,8,241067,2988,2988,512367,27
84911,2,3,44354,2900,3200,28000,1
84914,5,2,430000,2810,3490,21920,1
84917,5,3,830000,2810,3490,21920,1
84930,5,4,1130000,2810,3490,21920,1
84931,1,9,243270,2988,2988,512367,27
84933,1,9,243270,2988,2988,506389,26
84939,1,9,243270,2929,2929,410000,2
84939,2,3,44354,2900,2943,10198,1
84939,3,5,355752,2880,2960,8000,1
84939,4,1,2000,2830,2969,20000,1
84939,5,4,1130000,2810,2980,34519,2
84958,4,2,5000,2830,2969,20000,1
85027,2,3,44354,2900,2930,263979,1
85027,3,5,355752,2880,2943,10198,1
85027,4,2,5000,2830,2960,8000,1
85027,5,4,1130000,2810,2969,20000,1
85032,3,6,365752,2880,2943,10198,1
85033,5,5,1131809,2810,2969,20000,1
85035,1,8,233270,2929,2929,410000,2
85042,4,3,15000,2830,2960,8000,1
85045,5,6,1133809,2810,2969,20000,1
85056,5,1,1790,2820,2969,20000,1
85104,1,8,233270,2929,2929,400000,1
85108,3,7,367752,2880,2943,10198,1
85120,1,8,233270,2930,2930,263979,1
85120,2,3,44354,2900,2943,10198,1
85120,3,7,367752,2880,2960,8000,1
85120,4,3,15000,2830,2969,20000,1
85120,5,1,1790,2820,2970,46100,1
85123,1,8,233270,2988,2988,589457,31
85123,2,3,44354,2900,3200,28000,1
85123,3,7,367752,2880,3300,30000,1
85123,4,3,15000,2830,3333,2000,1
85123,5,1,1790,2820,3490,21920,1
85131,2,1,8000,2929,3200,28000,1
85131,3,3,44354,2900,3300,30000,1
85131,4,7,367752,2880,3333,2000,1
85131,5,3,15000,2830,3490,21920,1
85136,1,8,233270,2988,2988,600186,32
85144,1,8,233270,2988,2988,927186,33
85149,1,8,233270,2988,2988,1055140,34
85159,1,8,233270,2988,2988,1058640,35
85201,1,8,233270,2988,2988,1060640,36
85203,1,8,233270,2988,2988,1063640,37
85214,1,8,233270,2988,2988,1463640,38
85234,1,8,233270,2988,2988,1499555,39
85234,4,8,373752,2880,3333,2000,1
85242,1,8,233270,2988,2988,1763534,40
85244,1,7,148270,2987,2987,168461,9
85244,2,1,8000,2929,2988,1595073,31
85244,3,3,44354,2900,3200,28000,1
85244,4,8,373752,2880,3300,30000,1
85244,5,3,15000,2830,3333,2000,1
85245,2,1,8000,2929,2988,1600282,32
85250,2,1,8000,2929,2988,1605182,33
85258,5,4,415000,2830,3333,2000,1
85301,5,5,815000,2830,3333,2000,1
85324,1,7,148270,2986,2986,312546,9
85324,2,1,8000,2929,2987,35915,1
85324,3,3,44354,2900,2988,1605182,33
85324,4,8,373752,2880,3200,28000,1
85324,5,5,815000,2830,3300,30000,1
85326,4,9,375832,2880,3200,28000,1
85328,4,10,381832,2880,3200,28000,1
85335,1,7,148270,2986,2986,324896,10
85352,2,1,8000,2929,2987,39782,2
85400,1,7,148270,2986,2986,326646,11
85404,3,3,44354,2900,2988,1608682,34
85408,5,6,1015000,2830,3300,30000,1
85411,1,7,148270,2980,2980,186046,8
85411,2,1,8000,2929,2985,3000,1
85411,3,3,44354,2900,2986,194100,3
85411,4,10,381832,2880,2987,39782,2
85411,5,6,1015000,2830,2988,1608682,34
85413,1,7,148270,2980,2980,191046,9
