time,count,volume,price,discarded
90025,1,83200,2900,0
90025,2,34500,2900,0
90025,3,34354,2900,0
90025,4,30000,2900,0
90025,5,17000,2900,0
90025,6,10000,2900,0
90025,7,8000,2900,0
90025,8,5000,2900,0
90025,9,5000,2900,0
90025,10,5000,2900,0
90025,11,4167,2900,0
90025,12,2250,2900,0
90025,13,2203,2900,0
90025,14,2000,2900,0
90025,15,2000,2900,0
90025,16,1238,2900,0
90025,17,1002,2900,0
90025,18,698,2900,0
90025,19,481,2900,0
90025,20,31,2900,0
90043,21,5215,2900,0
90107,22,10000,2925,0
90114,23,100000,2929,0
90121,24,100000,2929,0
90129,25,10000,2925,0
90129,26,5000,2925,0
90134,27,20000,2925,0
90136,28,18954,2925,0
90136,29,10198,2943,0
90136,30,20000,2949,0
90136,31,5000,2950,0
90136,32,100000,2950,0
90136,33,8000,2960,0
90136,34,1000,2960,0
90136,35,22000,2960,0
90136,36,13000,2960,0
90136,37,44098,2960,0
90150,38,3353,2940,0
90233,39,1000,2910,0
90253,40,9042,2910,0
90317,41,5209,2910,0
90320,42,3622,2910,0
90332,43,1127,2910,0
90332,44,673,2910,0
90346,45,2400,2930,0
90405,46,1750,2930,0
90411,47,2000,2920,0
90420,48,1727,2910,0
90420,49,5000,2910,0
90420,50,10000,2910,0
90420,51,9773,2910,0
90420,52,227,2910,0
90420,53,2000,2910,0
90420,54,2497,2910,0
90451,55,4785,2900,0
90451,56,215,2900,0
90454,57,1750,2900,0
90521,58,3035,2900,0
90521,59,2061,2900,0
90521,60,20000,2900,0
90521,61,2000,2900,0
90521,62,2000,2900,0
90524,63,10000,2891,0
90524,64,11578,2891,0
90534,65,10000,2900,0
90539,66,10904,2900,0
90551,67,10000,2920,0
90610,68,29096,2910,0
90610,69,58203,2910,0
90611,70,10000,2910,0
90630,71,5450,2900,0
90644,72,24550,2900,0
90644,73,2080,2900,0
90706,74,75,2900,0
90706,75,9925,2900,0
90731,76,4000,2900,0
90739,77,10000,2895,0
90739,78,2000,2895,0
90739,79,18000,2895,0
90743,80,1759,2895,0
90801,81,1897,2895,0
90816,82,10000,2900,0
90829,83,3447,2900,0
90833,84,13700,2896,0
90833,85,2187,2896,0
90840,86,5000,2896,0
90841,87,1857,2896,0
90841,88,53472,2895,0
90845,89,2700,2896,0
90849,90,2250,2900,0
90914,91,210509,2898,0
90918,92,10000,2898,0
90924,93,34378,2898,0
90940,94,7300,2896,0
90940,95,7351,2896,0
90957,96,2750,2896,0
91002,97,14872,2895,0
91002,98,2732,2895,0
91002,99,7000,2895,0
91017,100,54645,2894,0
91019,101,10400,2895,0
91028,102,2599,2896,0
91028,103,7401,2896,0
91029,104,2759,2895,0
91033,105,2599,2896,0
91033,106,3185,2896,0
91036,107,4216,2896,0
91036,108,2000,2896,0
91036,109,13784,2895,0
91045,110,51041,2895,0
91048,111,12376,2898,0
91052,112,13700,2898,0
91101,113,35000,2898,0
91102,114,5000,2895,0
91117,115,84037,2898,0
91122,116,39821,2898,0
91144,117,7750,2900,0
91144,118,2250,2900,0
91144,119,197750,2900,0
91144,120,4517,2900,0
91158,121,2640,2910,0
91158,122,7003,2910,0
91207,123,14519,2920,0
91210,124,850,2930,0
91210,125,950,2930,0
91214,126,2000,2930,0
91214,127,4000,2920,0
91220,128,11500,2930,0
91223,129,5000,2930,0
91223,130,2000,2920,0
91230,131,550,2930,0
91242,132,1850,2930,0
91242,133,15503,2930,0
91314,134,14481,2920,0
91334,135,10000,2900,0
91337,136,2637,2900,0
91337,137,97945,2900,0
91337,138,10000,2900,0
91352,139,57584,2900,0
91352,140,17000,2900,0
91449,141,25416,2900,0
91449,142,20000,2900,0
91449,143,3427,2900,0
91449,144,1157,2900,0
91453,145,943,2900,0
91453,146,505,2900,0
91457,147,2495,2900,0
91511,148,2013,2918,0
91527,149,94273,2900,0
91527,150,66044,2900,0
91538,151,2000,2896,0
91540,152,28229,2900,0
91540,153,22987,2918,0
91540,154,25000,2919,0
91540,155,17412,2919,0
91550,156,19800,2896,0
91550,157,17016,2895,0
91550,158,2220,2895,0
91550,159,5964,2895,0
91630,160,1034,2900,0
91630,161,876,2900,0
91630,162,2559,2900,0
91640,163,560,2900,0
91656,164,10000,2910,0
91656,165,94273,2910,0
91656,166,95727,2915,0
91658,167,1881,2900,0
91658,168,6119,2900,0
91714,169,3881,2900,0
91715,170,1800,2910,0
91723,171,11500,2900,0
91738,172,50995,2900,0
91740,173,38005,2900,0
91744,174,50000,2900,0
