time,last,close,open,high,low,count,volume,value,discarded
64617,13400,13480,0,0,0,0,0,0,0
90018,13690,13480,13690,13690,13690,1,500,6845000,0
90050,13690,13480,13690,13690,13690,2,727,9952630,0
90050,13690,13480,13690,13690,13690,3,1927,26380630,0
90116,13200,13480,13690,13690,13200,4,2427,32980630,0
90121,13200,13480,13690,13690,13200,5,6927,92380630,0
90154,13170,13480,13690,13690,13170,6,10927,145060630,0
90213,13670,13480,13690,13690,13170,7,14565,194792090,0
90354,13650,13480,13690,13690,13170,8,21863,294409790,0
90431,13260,13480,13690,13690,13170,9,22248,299514890,0
90431,13260,13480,13690,13690,13170,10,24248,326034890,0
90445,13260,13480,13690,13690,13170,11,26863,360709790,0
90710,13630,13480,13690,13690,13170,12,27863,374339790,0
90727,13300,13480,13690,13690,13170,13,28333,380590790,0
90905,13500,13480,13690,13690,13170,14,28854,387624290,0
90905,13350,13480,13690,13690,13170,15,30814,413790290,0
90905,13340,13480,13690,13690,13170,16,40333,540773750,0
90949,13510,13480,13690,13690,13170,17,42333,567793750,0
91004,13510,13480,13690,13690,13170,18,45483,610350250,0
91210,13560,13480,13690,13690,13170,19,46483,623910250,0
91214,13600,13480,13690,13690,13170,20,48283,648390250,0
91238,13590,13480,13690,13690,13170,21,49283,661980250,0
91257,13600,13480,13690,13690,13170,22,50023,672044250,0
91302,13590,13480,13690,13690,13170,23,51223,688352250,0
91343,13590,13480,13690,13690,13170,24,54023,726404250,0
91404,13590,13480,13690,13690,13170,25,54523,733199250,0
91455,13590,13480,13690,13690,13170,26,59223,797072250,0
91455,13590,13480,13690,13690,13170,27,59593,802100550,0
91643,13380,13480,13690,13690,13170,28,59983,807318750,0
91643,13370,13480,13690,13690,13170,29,62983,847428750,0
91648,13370,13480,13690,13690,13170,30,63483,854113750,0
91652,13360,13480,13690,13690,13170,31,63883,859457750,0
91652,13360,13480,13690,13690,13170,32,71425,960218870,0
91703,13350,13480,13690,13690,13170,33,71813,965398670,0
91703,13350,13480,13690,13690,13170,34,71825,965558870,0
91703,13350,13480,13690,13690,13170,35,72641,976452470,0
91720,13360,13480,13690,13690,13170,36,73385,986392310,0
91745,13360,13480,13690,13690,13170,37,74010,994742310,0
91811,13360,13480,13690,13690,13170,38,74410,1000086310,0
91813,13360,13480,13690,13690,13170,39,74788,1005136390,0
91836,13360,13480,13690,13690,13170,40,75012,1008129030,0
91836,13360,13480,13690,13690,13170,41,84788,1138736390,0
91933,13360,13480,13690,13690,13170,42,85012,1141729030,0
91933,13360,13480,13690,13690,13170,43,85018,1141809190,0
92022,13360,13480,13690,13690,13170,44,85188,1144080390,0
92027,13360,13480,13690,13690,13170,45,85676,1150600070,0
92050,13370,13480,13690,13690,13170,46,86176,1157285070,0
92203,13360,13480,13690,13690,13170,47,86178,1157311790,0
92203,13360,13480,13690,13690,13170,48,86556,1162361870,0
92236,13360,13480,13690,13690,13170,49,87032,1168721230,0
92236,13360,13480,13690,13690,13170,50,92032,1235521230,0
92236,13360,13480,13690,13690,13170,51,93556,1255881870,0
92246,13370,13470,13690,13690,13170,52,97281,1305685120,0
92258,13370,13470,13690,13690,13170,53,98281,1319055120,0
92330,13360,13470,13690,13690,13170,54,99757,1338774480,0
92330,13360,13470,13690,13690,13170,55,100337,1346523280,0
92456,13360,13470,13690,13690,13170,56,105522,1415794880,0
92456,13370,13470,13690,13690,13170,57,112337,1506911430,0
92519,13370,13470,13690,13690,13170,58,112717,1511992030,0
92532,13370,13470,13690,13690,13170,59,113217,1518677030,0
92655,13370,13470,13690,13690,13170,60,113717,1525362030,0
92657,13350,13470,13690,13690,13170,61,113889,1527658230,0
92657,13350,13470,13690,13690,13170,62,113904,1527858480,0
92704,13350,13470,13690,13690,13170,63,114244,1532397480,0
92733,13350,13470,13690,13690,13170,64,114889,1541008230,0
92733,13350,13470,13690,13690,13170,65,116889,1567708230,0
92805,13350,13470,13690,13690,13170,66,117277,1572888030,0
92811,13350,13470,13690,13690,13170,67,122277,1639638030,0
92850,13340,13470,13690,13690,13170,68,122758,1646054570,0
92850,13340,13470,13690,13690,13170,69,123183,1651724070,0
92850,13340,13470,13690,13690,13170,70,123733,1659061070,0
92917,13290,13470,13690,13690,13170,71,126733,1698931070,0
92934,13340,13470,13690,13690,13170,72,130725,1752184350,0
92934,13340,13470,13690,13690,13170,73,133825,1793538350,0
