time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,0,0,0,7360,13000,1
63938,2,0,0,0,7840,3448,1
63938,3,0,0,0,7980,22500,1
63938,4,0,0,0,8040,28191,2
63938,5,0,0,0,9000,16000,1
84505,1,0,0,0,6990,25233,1
84505,2,0,0,0,7360,13000,1
84505,3,0,0,0,7840,3448,1
84505,4,0,0,0,7980,22500,1
84505,5,0,0,0,8040,28191,2
84509,1,0,0,0,6990,41942,2
84510,3,0,0,0,7710,4870,1
84510,4,0,0,0,7840,3448,1
84510,5,0,0,0,7980,22500,1
84516,3,0,0,0,7500,1822,1
84516,4,0,0,0,7710,4870,1
84516,5,0,0,0,7840,3448,1
84523,4,0,0,0,7710,10047,2
84534,1,1,1000,6990,6990,41942,2
84601,1,1,1000,6990,6990,42542,3
84621,1,2,11000,6990,6990,42542,3
84627,4,0,0,0,7710,31168,3
84632,4,0,0,0,7710,51168,4
84639,1,3,12000,6990,6990,42542,3
84647,1,4,13000,6990,6990,42542,3
84700,3,0,0,0,7500,4822,2
84702,1,5,14000,6990,6990,42542,3
84713,1,5,14000,6990,6990,25833,2
84716,1,6,15000,6990,6990,25833,2
84726,1,7,16000,6990,6990,25833,2
84726,1,7,16000,6990,6990,36415,3
84731,1,8,17000,6990,6990,36415,3
84736,1,9,18000,6990,6990,36415,3
84749,1,10,19000,6990,6990,36415,3
84749,4,0,0,0,7710,53668,5
84751,1,10,19000,6990,6990,25833,2
84751,2,0,0,0,7350,10582,1
84751,3,0,0,0,7360,13000,1
84751,4,0,0,0,7500,4822,2
84751,5,0,0,0,7710,53668,5
84758,1,11,20000,6990,6990,25833,2
84806,1,12,24275,6990,6990,25833,2
84811,1,13,25275,6990,6990,25833,2
84813,1,14,28126,6990,6990,25833,2
84815,5,0,0,0,7710,32547,4
84819,1,15,29126,6990,6990,25833,2
84828,1,16,30126,6990,6990,25833,2
84832,5,0,0,0,7710,36031,5
84832,1,16,30126,6990,6990,27414,3
84911,5,0,0,0,7710,41031,6
84914,1,17,32976,6990,6990,27414,3
84920,1,18,40376,6990,6990,27414,3
84940,1,17,30376,6990,6990,27414,3
84943,5,0,0,0,7710,35854,5
84951,5,0,0,0,7600,1061,1
84951,4,0,0,0,7400,5000,1
84951,5,0,0,0,7500,4822,2
84958,1,18,31096,6990,6990,27414,3
85003,1,19,32496,6990,6990,27414,3
85004,1,20,33926,6990,6990,27414,3
85005,1,21,34676,6990,6990,27414,3
85009,1,22,35676,6990,6990,27414,3
85010,1,23,37676,6990,6990,27414,3
85017,1,24,44676,6990,6990,27414,3
85018,1,23,43676,6990,6990,27414,3
85025,1,22,42676,6990,6990,27414,3
85029,1,21,41676,6990,6990,27414,3
85034,1,20,40676,6990,6990,27414,3
85043,5,0,0,0,7500,24822,3
85048,1,19,39676,6990,6990,27414,3
85051,1,18,38676,6990,6990,27414,3
85053,1,17,37956,6990,6990,27414,3
85057,1,16,36956,6990,6990,27414,3
85105,1,17,38381,6990,6990,27414,3
85111,1,17,38381,6990,6990,62562,4
85113,1,18,39381,6990,6990,62562,4
85117,1,19,40100,6990,6990,62562,4
85118,1,19,40100,6990,6990,27414,3
85121,1,20,41100,6990,6990,27414,3
85122,5,0,0,0,7500,26322,4
85127,1,19,39675,6990,6990,27414,3
85127,1,18,38675,6990,6990,27414,3
85130,1,18,38675,6990,6990,28814,4
85131,1,17,37675,6990,6990,28814,4
85138,1,18,44675,6990,6990,28814,4
85140,1,19,45675,6990,6990,28814,4
85144,1,20,46675,6990,6990,28814,4
85151,1,19,45675,6990,6990,28814,4
85155,1,18,44675,6990,6990,28814,4
85157,1,17,43245,6990,6990,28814,4
85200,1,17,43245,6990,6990,27414,3
85202,1,16,42245,6990,6990,27414,3
85206,1,15,41245,6990,6990,27414,3
85207,1,16,41968,6990,6990,27414,3
85208,2,0,0,0,7290,10000,1
85208,3,0,0,0,7350,10582,1
85208,4,0,0,0,7360,13000,1
85208,5,0,0,0,7400,5000,1
85212,1,15,40968,6990,6990,27414,3
85219,1,16,68268,6990,6990,27414,3
85223,1,17,69268,6990,6990,27414,3
85238,1,18,70268,6990,6990,27414,3
85247,1,17,69268,6990,6990,27414,3
85247,1,18,70690,6990,6990,27414,3
85300,1,19,71690,6990,6990,27414,3
85305,1,18,70690,6990,6990,27414,3
