time,count,volume,price,discarded
90023,1,17008,7010,0
90023,2,8225,7010,0
90023,3,1976,7010,0
90023,4,1594,7010,0
90023,5,1000,7010,0
90023,6,600,7010,0
90023,7,400,7010,0
90023,8,181,7010,0
90052,9,5000,7290,0
90052,10,780,7290,0
90052,11,1976,7290,0
90142,12,1000,7320,0
90144,13,9291,7290,0
90236,14,1000,7180,0
90236,15,3000,7170,0
90247,16,763,7170,0
90259,17,718,7160,0
90259,18,1864,7150,0
90304,19,1000,7170,0
90304,20,11915,7150,0
90329,21,1300,7170,0
90330,22,2500,7170,0
90338,23,13088,7150,0
90341,24,18202,7150,0
90341,25,6000,7150,0
90345,26,2727,7150,0
90345,27,1000,7150,0
90349,28,750,7060,0
90349,29,1000,7060,0
90356,30,4545,7060,0
90358,31,1000,7060,0
90403,32,15000,7050,0
90404,33,1000,7050,0
90406,34,1000,7030,0
90409,35,1000,7020,0
90409,36,2000,7020,0
90409,37,1000,7020,0
90409,38,5000,7010,0
90416,39,2400,7010,0
90416,40,1423,7010,0
90416,41,1400,7000,0
90416,42,715,7000,0
90416,43,1000,7000,0
90416,44,14063,7000,0
90416,45,10000,7000,0
90416,46,1000,6990,0
90416,47,4275,6990,0
90416,48,2851,6990,0
90416,49,2850,6990,0
90416,50,2000,6990,0
90416,51,2296,6990,0
90426,52,100,7030,0
90437,53,2000,7030,0
90437,54,989,7030,0
90456,55,1000,7060,0
90456,56,274,7030,0
90456,57,1400,7030,0
90456,58,5669,7030,0
90459,59,1566,7020,0
90503,60,1000,7010,0
90503,61,1500,7000,0
90505,62,4335,7000,0
90505,63,2500,7000,0
90505,64,793,7000,0
90505,65,2372,6990,0
90514,66,949,7000,0
90521,67,7278,7000,0
90524,68,800,7010,0
90526,69,720,7010,0
90528,70,273,7000,0
90528,71,727,7000,0
90532,72,1799,7000,0
90533,73,4921,7000,0
90533,74,800,7000,0
90540,75,2332,6990,0
90540,76,719,6990,0
90540,77,1000,6990,0
90540,78,723,6990,0
90540,79,1422,6990,0
90540,80,1000,6990,0
90540,81,1463,6990,0
90542,82,1000,7000,0
90542,83,799,7000,0
90542,84,543,7000,0
90551,85,1000,6990,0
90552,86,4664,7000,0
90554,87,387,6990,0
90554,88,720,6990,0
90554,89,236,6990,0
90558,90,1124,7000,0
90559,91,1050,7000,0
90603,92,614,6990,0
90603,93,3111,6990,0
90603,94,1425,6990,0
90603,95,950,6990,0
90604,96,1000,7000,0
90608,97,12700,6990,0
90610,98,762,6990,0
90610,99,377,6990,0
90613,100,22053,7000,0
90620,101,661,7000,0
90622,102,3480,7010,0
90622,103,6520,7030,0
90623,104,1500,7000,0
90625,105,1000,7010,0
90625,106,4251,7000,0
90625,107,1138,7000,0
90625,108,500,7000,0
90641,109,700,7010,0
90650,110,1300,7010,0
