time,count,volume,price,discarded
90021,1,20000,23460,0
90021,2,6300,23460,0
90021,3,6152,23460,0
90021,4,4558,23460,0
90021,5,2601,23460,0
90021,6,2123,23460,0
90021,7,1500,23460,0
90021,8,1213,23460,0
90021,9,1000,23460,0
90021,10,1000,23460,0
90021,11,809,23460,0
90021,12,510,23460,0
90021,13,500,23460,0
90021,14,450,23460,0
90021,15,450,23460,0
90021,16,422,23460,0
90021,17,409,23460,0
90021,18,400,23460,0
90021,19,400,23460,0
90021,20,250,23460,0
90021,21,184,23460,0
90021,22,36,23460,0
90027,23,1100,23830,0
90049,24,1254,23820,0
90103,25,500,23470,0
90105,26,895,23470,0
90118,27,350,23550,0
90202,28,861,23810,0
90226,29,500,23810,0
90233,30,756,23810,0
90233,31,3134,23830,0
90240,32,2420,23980,0
90301,33,400,23980,0
90303,34,926,23980,0
90303,35,254,23980,0
90303,36,5000,23990,0
90303,37,555,24170,0
90303,38,5000,24190,0
90303,39,12000,24200,0
90303,40,6265,24400,0
90309,41,5000,24400,0
90312,42,985,24400,0
90317,43,2117,23990,0
90318,44,3025,24400,0
90318,45,804,24400,0
90318,46,500,24500,0
90318,47,16003,24500,0
90320,48,1000,24400,0
90334,49,220,23990,0
90343,50,13427,23990,0
90345,51,1000,23990,0
90347,52,8253,23990,0
90347,53,11702,24400,0
90347,54,500,24400,0
90347,55,250,24400,0
90347,56,6419,24400,0
90347,57,1000,24400,0
90347,58,16528,24490,0
90347,59,500,24490,0
90347,60,4814,24500,0
90347,61,250,24500,0
90347,62,500,24500,0
90347,63,9000,24580,0
90347,64,10000,24590,0
90347,65,500,24590,0
90347,66,10448,24590,0
90347,67,19336,24590,0
90409,68,2000,24570,0
90410,69,5897,23990,0
90410,70,500,23990,0
90410,71,220,23910,0
90410,72,600,23910,0
90410,73,1500,23900,0
90410,74,297,23900,0
90410,75,220,23840,0
90410,76,2090,23830,0
90410,77,220,23600,0
90410,78,4000,23600,0
90410,79,10000,23590,0
90410,80,220,23580,0
90410,81,500,23580,0
90410,82,1000,23500,0
90410,83,220,23480,0
90410,84,5000,23470,0
90410,85,8493,23460,0
90410,86,6400,23350,0
90410,87,2623,23010,0
90507,88,1267,24380,0
90507,89,829,24390,0
90507,90,1540,24390,0
90507,91,364,24400,0
90511,92,1800,24000,0
90511,93,104,24000,0
90529,94,106,24000,0
90529,95,317,23970,0
90540,96,295,23970,0
90540,97,1705,23970,0
90552,98,250,24300,0
90559,99,2078,24300,0
90624,100,2000,24000,0
90651,101,300,24290,0
90655,102,92,24000,0
90718,103,500,24200,0
90718,104,317,24270,0
90718,105,210,24280,0
90718,106,1919,24290,0
90718,107,5000,24290,0
90732,108,2000,24290,0
90733,109,544,24290,0
90734,110,3846,24290,0
90734,111,1000,24300,0
90735,112,154,24300,0
90735,113,146,24010,0
90747,114,830,24300,0
90747,115,500,24350,0
90748,116,738,24350,0
90753,117,11597,24350,0
90824,118,2000,24030,0
91030,119,447,24060,0
91047,120,300,24340,0
91047,121,200,24340,0
91206,122,500,24300,0
91220,123,146,24300,0
91237,124,300,24340,0
91237,125,1746,24340,0
91253,126,3254,24340,0
91253,127,2000,24350,0
91253,128,2990,24350,0
91253,129,1756,24350,0
91256,130,3244,24350,0
91256,131,5000,24360,0
91256,132,21170,24370,0
91314,133,317,24380,0
91314,134,183,24380,0
91318,135,1246,24380,0
91320,136,1000,24380,0
91333,137,230,24380,0
91333,138,2341,24380,0
91333,139,1000,24380,0
91343,140,1250,24400,0
91355,141,401,24400,0
91359,142,759,24470,0
91402,143,2035,24470,0
91410,144,2349,24470,0
91411,145,2115,24470,0
91435,146,9000,24460,0
91435,147,1231,24470,0
91435,148,355,24470,0
91439,149,75,24460,0
91439,150,1073,24470,0
91459,151,300,24400,0
91513,152,330,24450,0
91513,153,517,24400,0
91513,154,1553,24400,0
91519,155,1263,24460,0
91520,156,153,24460,0
91521,157,97,24460,0
91521,158,572,24470,0
91521,159,6000,24470,0
91521,160,1000,24470,0
91521,161,4492,24470,0
91521,162,2355,24470,0
91521,163,5484,24470,0
91522,164,1000,24470,0
91528,165,2500,24470,0
91533,166,60000,24470,0
91540,167,10000,24470,0
91545,168,1900,24450,0
91545,169,1847,24400,0
91545,170,277,24400,0
91550,171,427,24470,0
91557,172,23,24400,0
91557,173,1700,24400,0
91557,174,714,24400,0
91559,175,818,24400,0
91559,176,407,24400,0
91605,177,1000,24400,0
91614,178,1000,24400,0
91615,179,1000,24400,0
91621,180,2250,24300,0
91621,181,2050,24300,0
91628,182,900,24300,0
91641,183,571,24400,0
91708,184,700,24390,0
91708,185,2000,24390,0
91708,186,3074,24400,0
91708,187,226,24400,0
91714,188,220,24400,0
91729,189,270,24400,0
91744,190,400,24310,0
91749,191,1750,24400,0
91752,192,1534,24400,0
91752,193,5000,24460,0
91752,194,1253,24470,0
91752,195,600,24470,0
91752,196,250,24470,0
91752,197,1363,24470,0
91827,198,500,24420,0
91828,199,500,24420,0
91828,200,511,24400,0
91841,201,13,24320,0
91844,202,458,24400,0
91909,203,210,24410,0
91916,204,190,24410,0
91916,205,760,24470,0
91916,206,5000,24480,0
91916,207,210,24490,0
91916,208,1160,24490,0
91916,209,250,24490,0
91916,210,1648,24500,0
91916,211,382,24500,0
91921,212,1753,24500,0
91921,213,249,24500,0
91921,214,10000,24500,0
91921,215,250,24500,0
91921,216,250,24500,0
91923,217,5000,24550,0
91923,218,250,24550,0
91923,219,1800,24550,0
91923,220,2950,24560,0
92016,221,1000,24550,0
92017,222,176,24550,0
92034,223,206,24540,0
92125,224,450,24540,0
92125,225,344,24540,0
92125,226,1000,24540,0
92125,227,234,24550,0
92125,228,250,24550,0
92125,229,2050,24560,0
92125,230,2000,24560,0
92125,231,250,24560,0
92125,232,1300,24560,0
92125,233,2114,24560,0
92129,234,1769,24560,0
92129,235,900,24560,0
92129,236,28000,24570,0
92129,237,950,24570,0
92129,238,250,24570,0
92129,239,30000,24580,0
92129,240,2114,24590,0
92129,241,900,24590,0
92129,242,2000,24590,0
92129,243,250,24600,0
92129,244,1800,24600,0
92129,245,400,24600,0
92129,246,417,24600,0
92129,247,50,24600,0
92129,248,200,24600,0
92135,249,1744,24540,0
92145,250,800,24600,0
92145,251,251,24600,0
92145,252,200,24600,0
92145,253,250,24600,0
92145,254,500,24610,0
92145,255,1000,24620,0
92145,256,1000,24620,0
92145,257,1161,24620,0
92145,258,30000,24620,0
92145,259,1500,24620,0
92145,260,4503,24620,0
92145,261,3000,24630,0
92145,262,407,24630,0
92145,263,1000,24630,0
92145,264,210,24630,0
92145,265,1000,24630,0
92145,266,8334,24630,0
92145,267,1000,24630,0
92145,268,1229,24630,0
92145,269,50,24630,0
92145,270,10000,24630,0
92145,271,1000,24630,0
92145,272,5000,24630,0
92145,273,3000,24630,0
92145,274,500,24630,0
92145,275,870,24630,0
92145,276,22235,24630,0
92145,277,1265,24630,0
92145,278,7275,24630,0
92145,279,6126,24630,0
92145,280,1103,24630,0
92145,281,250,24630,0
92145,282,1000,24630,0
92145,283,1000,24630,0
92145,284,300,24630,0
92145,285,500,24630,0
92145,286,30000,24630,0
92145,287,2170,24630,0
92145,288,1000,24630,0
92145,289,1000,24630,0
92145,290,500,24630,0
92145,291,999,24630,0
92145,292,13402,24630,0
92145,293,749,24630,0
92145,294,5192,24630,0
92145,295,250,24630,0
92145,296,50,24630,0
92145,297,500,24630,0
92145,298,10000,24630,0
92145,299,330,24630,0
92145,300,500,24630,0
92145,301,600,24630,0
92145,302,2000,24630,0
92145,303,3184,24630,0
92145,304,40,24630,0
92145,305,8000,24630,0
92145,306,715,24630,0
92146,307,5059,24630,0
92146,308,18209,24630,0
92146,309,260,24630,0
92147,310,2050,24630,0
92204,311,10000,24630,0
92210,312,348,24630,0
92212,313,1000,24630,0
92212,314,113,24630,0
92241,315,7950,24630,0
92333,316,1000,24630,0
92556,317,2000,24630,0
92627,318,1000,24630,0
92736,319,12617,24630,0
92747,320,4492,24630,0
92902,321,500,24630,0
92950,322,860,24630,0
93000,323,6308,24630,0
93011,324,210,24630,0
93105,325,231,24630,0
93249,326,17590,24630,0
93309,327,1090,24630,0
93339,328,1900,24630,0
93414,329,5213,24630,0
93414,330,4000,24630,0
93414,331,500,24630,0
93414,332,14287,24630,0
93447,333,300,24630,0
