time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,5000,11090,11900,439,1
63938,2,0,0,0,12000,500,1
63938,3,0,0,0,12120,15000,1
63938,4,0,0,0,12370,4079,1
63938,5,0,0,0,12400,5675,1
84502,2,0,0,0,12000,30500,2
84504,4,0,0,0,12140,500,1
84504,5,0,0,0,12370,4079,1
84517,4,0,0,0,12140,2760,2
84536,4,0,0,0,12140,4660,3
84537,3,0,0,0,12070,100000,1
84537,4,0,0,0,12120,15000,1
84537,5,0,0,0,12140,4660,3
84541,1,1,10000,12000,12000,30939,3
84541,2,1,5000,11090,12070,100000,1
84541,3,0,0,0,12120,15000,1
84541,4,0,0,0,12140,4660,3
84541,5,0,0,0,12370,4079,1
84549,4,0,0,0,12140,5160,4
84553,1,2,30000,12000,12000,30939,3
84609,3,1,460,11000,12120,15000,1
84622,1,2,30000,12000,12000,94939,4
84634,1,2,30000,12000,12000,98739,5
84639,4,0,0,0,12140,54550,5
84654,4,0,0,0,12140,67170,6
84702,4,0,0,0,12140,68170,7
84708,2,1,897,11100,12070,100000,1
84708,3,1,5000,11090,12120,15000,1
84708,4,1,460,11000,12140,68170,7
84721,1,2,30000,12000,12000,108739,6
84734,4,1,460,11000,12140,68639,8
84746,4,1,460,11000,12140,93670,9
84748,4,1,460,11000,12140,193670,10
84751,4,1,460,11000,12140,205670,11
84810,2,1,450,11150,12070,100000,1
84810,3,1,897,11100,12120,15000,1
84810,4,1,5000,11090,12140,205670,11
84810,5,1,460,11000,12370,4079,1
84828,5,2,4988,11000,12370,4079,1
84840,5,1,800,11050,12370,4079,1
84844,4,1,5000,11090,12140,212670,12
84848,4,1,5000,11090,12140,213090,13
84856,3,1,897,11100,12110,20000,1
84856,4,1,5000,11090,12120,15000,1
84856,5,1,800,11050,12140,213090,13
84902,5,1,800,11050,12140,214510,14
84928,5,1,800,11050,12140,215950,15
84954,5,1,800,11050,12140,216950,16
84954,1,1,10000,12000,12000,108739,6
84959,3,1,897,11100,12100,1440,1
84959,4,1,5000,11090,12110,20000,1
84959,5,1,800,11050,12120,15000,1
85001,1,1,450,11150,11720,3800,1
85001,2,1,897,11100,11900,439,1
85001,3,1,5000,11090,12000,104500,4
85001,4,1,800,11050,12070,100000,1
85001,5,2,4988,11000,12100,1440,1
85023,4,2,50800,11050,12070,100000,1
85038,1,2,950,11150,11720,3800,1
85052,5,3,5448,11000,12100,1440,1
85055,3,2,47000,11090,12000,104500,4
85110,3,2,48000,11090,12000,104500,4
85113,5,4,15448,11000,12100,1440,1
85121,1,3,1950,11150,11720,3800,1
85201,3,2,48000,11090,11980,22000,1
85201,4,2,50800,11050,12000,104500,4
85201,5,4,15448,11000,12070,100000,1
85203,5,5,18284,11000,12070,100000,1
85214,5,6,28683,11000,12070,100000,1
85220,3,1,43000,11090,11980,22000,1
85233,5,7,29140,11000,12070,100000,1
85237,1,4,3950,11150,11720,3800,1
85247,5,8,29650,11000,12070,100000,1
85301,1,5,7070,11150,11720,3800,1
85323,5,9,30260,11000,12070,100000,1
85335,5,9,30260,11000,12060,400,1
85433,4,2,50800,11050,12000,114500,5
85531,1,1,4465,11200,11720,3800,1
85531,2,5,7070,11150,11900,439,1
85531,3,1,897,11100,11980,22000,1
85531,4,1,43000,11090,12000,114500,5
85531,5,2,50800,11050,12060,400,1
85543,4,1,43000,11090,12000,123000,6
85630,3,2,8397,11100,11980,22000,1
85720,3,1,3000,11110,11980,22000,1
85720,4,2,8397,11100,12000,123000,6
85720,5,1,43000,11090,12060,400,1
85726,4,3,8947,11100,12000,123000,6
85749,1,1,4465,11200,11720,4800,2
85804,3,1,3000,11110,11970,1000,1
85804,4,3,8947,11100,11980,22000,1
85804,5,1,43000,11090,12000,123000,6
85808,5,1,43000,11090,12000,129000,7
85821,3,1,3000,11110,11970,1500,2
85844,5,1,43000,11090,12000,143229,8
85848,5,1,43000,11090,11990,400,1
85855,1,2,5465,11200,11720,4800,2
85858,1,1,26999,11210,11720,4800,2
85858,2,2,5465,11200,11900,439,1
85858,3,5,7070,11150,11970,1500,2
85858,4,1,3000,11110,11980,22000,1
85858,5,3,8947,11100,11990,400,1
85916,1,2,30999,11210,11720,4800,2
85926,1,1,1220,11220,11720,4800,2
85926,2,2,30999,11210,11900,439,1
85926,3,2,5465,11200,11970,1500,2
85926,4,5,7070,11150,11980,22000,1
85926,5,1,3000,11110,11990,400,1
85930,5,2,6906,11110,11990,400,1
85934,2,2,30999,11210,11900,879,2
85950,1,1,1220,11220,11710,431,1
85950,2,2,30999,11210,11720,4800,2
85950,3,2,5465,11200,11900,879,2
85950,4,5,7070,11150,11970,1500,2
85950,5,2,6906,11110,11980,22000,1
85957,1,2,2720,11220,11710,431,1
85957,1,2,2720,11220,11700,3109,1
85957,2,2,30999,11210,11710,431,1
85957,3,2,5465,11200,11720,4800,2
85957,4,5,7070,11150,11900,879,2
85957,5,2,6906,11110,11970,1500,2
90005,1,1,15000,11230,11700,3109,1
90005,2,2,2720,11220,11710,431,1
90005,3,2,30999,11210,11720,4800,2
90005,4,2,5465,11200,11900,879,2
90005,5,5,7070,11150,11970,1500,2
90017,1,1,4000,11240,11700,3109,1
90017,2,1,15000,11230,11710,431,1
90017,3,2,2720,11220,11720,4800,2
90017,4,2,30999,11210,11900,879,2
90017,5,2,5465,11200,11970,1500,2
90028,1,2,30999,11240,11700,3109,1
90028,4,1,4000,11210,11900,879,2
90036,1,3,31999,11240,11700,3109,1
90036,5,1,4465,11200,11970,1500,2
90048,1,1,15000,11250,11700,3109,1
90048,2,3,31999,11240,11710,431,1
90058,4,1,4000,11210,11900,15108,3
90100,1,1,15000,11250,11700,6909,2
90100,3,2,2720,11220,11720,1000,1
90101,1,2,15885,11250,11700,6909,2
90103,4,1,4000,11210,11900,21108,4
90107,2,2,27999,11240,11710,431,1
90108,1,1,26999,11260,11700,6909,2
90108,2,2,15885,11250,11710,431,1
90108,3,1,1000,11240,11720,1000,1
90108,4,2,2720,11220,11900,21108,4
90108,5,1,4000,11210,11970,1500,2
90112,2,3,19634,11250,11710,431,1
90123,1,1,26999,11260,11690,432,1
90123,2,3,19634,11250,11700,6909,2
90126,1,2,31423,11260,11690,432,1
90131,1,1,15000,11300,11690,432,1
90131,2,2,31423,11260,11700,6909,2
90131,3,2,4634,11250,11720,1000,1
90131,4,1,1000,11240,11900,21108,4
90131,5,2,2720,11220,11970,1500,2
90135,1,1,15000,11300,11690,4232,2
90135,2,2,31423,11260,11700,3109,1
90138,2,2,31757,11260,11700,3109,1
90152,1,1,1220,11320,11690,4232,2
90152,2,1,15000,11300,11700,3109,1
90152,3,2,31757,11260,11720,1000,1
90152,4,2,4634,11250,11900,21108,4
90152,5,1,1000,11240,11970,1500,2
90154,1,1,14597,11300,11690,4232,2
90154,2,2,31757,11260,11700,3109,1
90154,3,2,4634,11250,11720,1000,1
90154,4,1,1000,11240,11900,21108,4
90154,5,1,1500,11220,11970,1500,2
90206,4,1,1000,11240,11850,430,1
90206,5,1,1500,11220,11900,21108,4
90208,1,2,19021,11300,11690,4232,2
90208,2,1,27333,11260,11700,3109,1
90211,1,2,19021,11300,11500,3800,1
90211,2,1,27333,11260,11690,432,1
90211,3,2,4634,11250,11700,3109,1
90211,4,1,1000,11240,11720,1000,1
90211,5,1,1500,11220,11850,430,1
90223,1,1,4417,11320,11500,3800,1
90223,2,2,19021,11300,11690,432,1
90223,3,1,27333,11260,11700,3109,1
90223,4,2,4634,11250,11720,1000,1
90223,5,1,1000,11240,11850,430,1
90230,2,2,19021,11300,11670,3109,1
90230,3,1,27333,11260,11690,432,1
90239,1,1,4417,11320,11500,4800,2
90239,4,2,4634,11250,11850,430,1
90239,5,1,1000,11240,11900,21108,4
90242,1,1,4417,11320,11500,1800,2
90243,1,2,8417,11320,11500,1800,2
90244,1,1,1717,11320,11500,1800,2
90250,1,1,1487,11320,11500,1800,2
90255,1,1,1487,11320,11450,1020,1
90255,2,2,19021,11300,11500,1800,2
90255,3,1,27333,11260,11670,3109,1
90255,4,2,4634,11250,11690,432,1
90255,5,1,1000,11240,11850,430,1
90257,1,2,17719,11320,11450,1020,1
90300,1,3,22019,11320,11450,1020,1
90308,1,1,1590,11450,11500,1800,2
90308,2,3,22019,11320,11670,3109,1
90308,3,2,19021,11300,11690,432,1
90308,4,1,27333,11260,11850,430,1
90308,5,2,4634,11250,11900,21108,4
90308,2,1,450,11330,11670,3109,1
90308,3,3,22019,11320,11690,432,1
90308,4,2,19021,11300,11850,430,1
90308,5,1,27333,11260,11900,21108,4
90313,3,3,22019,11320,11850,430,1
90313,4,2,19021,11300,11900,21108,4
90313,5,1,27333,11260,11970,1500,2
90315,1,2,5890,11450,11500,1800,2
90315,3,2,17719,11320,11850,430,1
90319,2,2,25450,11330,11670,3109,1
90319,5,2,4634,11250,11970,1500,2
90326,3,1,1487,11320,11850,430,1
90327,1,1,4300,11450,11500,1800,2
90329,1,1,4300,11350,11500,1800,2
90333,1,1,4300,11350,11500,2624,3
90335,5,2,4634,11250,11970,2700,3
90336,1,2,20489,11350,11500,2624,3
90337,1,2,20489,11350,11500,2794,4
90346,1,2,20489,11350,11500,3794,5
90402,1,3,20950,11350,11500,3794,5
90405,1,1,25999,11360,11500,3794,5
90405,2,3,20950,11350,11670,3109,1
90405,3,1,450,11330,11850,430,1
90405,4,1,1487,11320,11900,21108,4
90405,5,2,19021,11300,11970,2700,3
90410,1,1,25999,11360,11490,500,1
90410,2,3,20950,11350,11500,3794,5
90410,3,1,450,11330,11670,3109,1
90410,4,1,1487,11320,11850,430,1
90410,5,2,19021,11300,11900,21108,4
90416,1,1,4300,11370,11490,500,1
90416,2,1,25999,11360,11500,3794,5
90416,3,2,16650,11350,11670,3109,1
90416,4,1,450,11330,11850,430,1
90416,5,1,1487,11320,11900,21108,4
90416,2,1,26666,11360,11500,3794,5
90417,3,1,461,11350,11670,3109,1
90422,1,2,18897,11370,11490,500,1
90426,1,3,23897,11370,11490,500,1
90427,2,1,27000,11360,11500,3794,5
90427,1,4,28897,11370,11490,500,1
90433,1,5,45058,11370,11490,500,1
90438,5,1,1487,11320,11890,4000,1
90438,1,6,49439,11370,11490,500,1
90441,1,1,27000,11400,11490,500,1
90441,2,6,49439,11370,11500,3794,5
90441,1,2,41597,11400,11490,500,1
90441,2,5,34842,11370,11500,3794,5
90442,2,4,29842,11370,11500,3794,5
90445,2,3,13681,11370,11500,3794,5
90448,3,1,450,11330,11670,3109,1
90448,4,1,1487,11320,11850,430,1
90448,5,1,4424,11300,11890,4000,1
90450,5,1,4424,11300,11900,21108,4
90453,1,1,4500,11490,11500,3794,5
90453,2,2,41597,11400,11670,3109,1
90453,3,2,8681,11370,11850,430,1
90453,4,1,450,11330,11900,21108,4
90453,5,1,1487,11320,11970,5700,4
90457,1,1,3700,11490,11500,2994,4
90458,1,1,11603,11500,11670,3109,1
90458,2,1,3700,11490,11850,430,1
90458,3,1,27000,11400,11900,21108,4
90458,4,2,8681,11370,11970,5700,4
90458,5,1,450,11330,11980,22000,1
90458,1,2,27581,11500,11670,3109,1
90503,3,1,4300,11410,11900,21108,4
90503,4,1,27000,11400,11970,5700,4
90503,5,1,4381,11370,11980,22000,1
90504,1,3,31375,11500,11670,3109,1
90505,2,2,8700,11490,11850,430,1
90506,1,4,35799,11500,11670,3109,1
90507,1,4,35799,11500,11850,430,1
90507,2,2,8700,11490,11900,21108,4
90507,3,1,4300,11410,11970,5700,4
90507,4,1,27000,11400,11980,22000,1
90507,5,1,4381,11370,11990,5400,2
90508,1,5,36254,11500,11850,430,1
90511,1,1,4381,11510,11850,430,1
90511,2,5,36254,11500,11900,21108,4
90511,3,2,8700,11490,11970,5700,4
90511,4,1,4300,11410,11980,22000,1
90511,5,1,27000,11400,11990,5400,2
90514,2,6,63254,11500,11900,21108,4
90514,5,1,450,11330,11990,5400,2
90515,2,5,47276,11500,11900,21108,4
90520,1,1,4381,11510,11900,21108,4
90520,2,5,47276,11500,11970,5700,4
90520,3,2,8700,11490,11980,22000,1
90520,4,1,4300,11410,11990,5400,2
90520,5,1,450,11330,12000,129500,8
90523,1,1,4381,11510,11900,5667,1
90524,2,6,48276,11500,11970,5700,4
90524,1,2,9381,11510,11900,5667,1
90524,3,1,3700,11490,11980,22000,1
90531,4,1,4300,11410,11990,5900,3
90532,1,1,5000,11510,11900,1286,1
90533,1,1,27000,11520,11900,1286,1
90533,2,1,5000,11510,11970,5700,4
90533,3,5,21276,11500,11980,22000,1
90533,4,1,3700,11490,11990,5900,3
90533,5,1,4300,11410,12000,129500,8
90533,2,2,9300,11510,11970,5700,4
90533,5,1,450,11330,12000,129500,8
90541,4,1,3700,11490,11990,5500,2
90547,1,1,27000,11520,11900,3840,2
90551,1,1,27000,11520,11900,11840,3
90552,2,2,9300,11510,11960,1000,1
90552,3,5,21276,11500,11970,5700,4
90552,4,1,3700,11490,11980,22000,1
90552,5,1,450,11330,11990,5500,2
90552,5,1,450,11330,11990,6500,3
90552,1,1,27000,11520,11890,10000,1
90552,2,2,9300,11510,11900,11840,3
90552,3,5,21276,11500,11960,1000,1
90552,4,1,3700,11490,11970,5700,4
90552,5,1,450,11330,11980,22000,1
90557,3,4,17482,11500,11960,1000,1
90602,1,1,27000,11520,11860,3109,1
90602,2,2,9300,11510,11890,10000,1
90602,3,4,17482,11500,11900,11840,3
90602,4,1,3700,11490,11960,1000,1
90602,5,1,450,11330,11970,5700,4
90603,1,1,4300,11530,11860,3109,1
90603,2,1,27000,11520,11890,10000,1
90603,3,1,5000,11510,11900,11840,3
90603,4,4,17482,11500,11960,1000,1
90603,5,1,3700,11490,11970,5700,4
90604,1,1,2000,11550,11860,3109,1
90604,2,1,4300,11530,11890,10000,1
90604,3,1,27000,11520,11900,11840,3
90604,4,1,5000,11510,11960,1000,1
90604,5,4,17482,11500,11970,5700,4
90606,2,1,4300,11530,11880,2000,1
90606,3,1,27000,11520,11890,10000,1
90606,4,1,5000,11510,11900,11840,3
90606,5,4,17482,11500,11960,1000,1
90610,1,1,1148,11550,11860,3109,1
90611,1,1,1148,11550,11850,8000,1
90611,2,1,4300,11530,11860,3109,1
90611,3,1,27000,11520,11880,2000,1
90611,4,1,5000,11510,11890,10000,1
90611,5,4,17482,11500,11900,3840,2
90616,1,1,4300,11530,11550,2533,1
90616,2,1,27000,11520,11850,8000,1
90616,3,1,5000,11510,11860,3109,1
90616,4,4,17482,11500,11880,2000,1
90616,5,1,3700,11490,11890,10000,1
90617,1,1,4300,11530,11550,1240,1
90617,1,2,5164,11530,11550,1240,1
90619,1,1,10363,11550,11850,8000,1
90619,2,2,5164,11530,11860,3109,1
90619,3,1,27000,11520,11880,2000,1
90619,4,1,5000,11510,11890,10000,1
90619,5,3,5879,11500,11900,3840,2
90620,1,1,10363,11550,11850,9500,2
90629,1,2,37363,11550,11850,9500,2
90629,3,1,5000,11510,11880,2000,1
90629,4,3,5879,11500,11890,10000,1
90629,5,1,3700,11490,11900,3840,2
90630,2,2,5164,11530,11860,3609,2
90632,4,4,55879,11500,11890,10000,1
90641,4,3,55424,11500,11890,10000,1
90642,1,3,38663,11550,11850,9500,2
90702,1,4,43087,11550,11850,9500,2
90702,4,2,51000,11500,11890,10000,1
90706,4,2,51000,11500,11890,13000,2
90712,1,3,18087,11550,11850,9500,2
90712,1,1,1324,11560,11850,9500,2
90712,2,3,18087,11550,11860,3609,2
90712,3,2,5164,11530,11880,2000,1
90712,4,1,5000,11510,11890,13000,2
90712,5,2,51000,11500,11900,3840,2
90712,3,1,1775,11540,11880,2000,1
90712,4,2,5164,11530,11890,13000,2
90712,5,1,5000,11510,11900,3840,2
90713,3,1,1775,11540,11880,4136,2
90715,4,3,14889,11530,11890,13000,2
90715,5,1,5000,11510,11900,4840,3
90716,4,3,14889,11530,11890,22364,3
90733,2,4,19612,11550,11860,3609,2
90733,3,3,14889,11530,11880,4136,2
90733,4,1,5000,11510,11890,22364,3
90733,5,2,51000,11500,11900,4840,3
90733,1,2,3324,11560,11850,9500,2
90734,3,3,14889,11530,11880,3877,2
