time,count,volume,price,discarded
115002,1,162000,14540,0
115002,2,103633,14540,0
115002,3,100000,14540,0
115002,4,100000,14540,0
115002,5,59007,14540,0
115002,6,58000,14540,0
115002,7,54880,14540,0
115002,8,50000,14540,0
115002,9,40000,14540,0
115002,10,40000,14540,0
115002,11,40000,14540,0
115002,12,40000,14540,0
115002,13,40000,14540,0
115002,14,40000,14540,0
115002,15,40000,14540,0
115002,16,29000,14540,0
115002,17,20000,14540,0
115002,18,16000,14540,0
115002,19,14911,14540,0
115002,20,14000,14540,0
115002,21,10000,14540,0
115002,22,10000,14540,0
115002,23,8098,14540,0
115002,24,6088,14540,0
115002,25,6000,14540,0
115002,26,5000,14540,0
115002,27,5000,14540,0
115002,28,4133,14540,0
115002,29,3089,14540,0
115002,30,2895,14540,0
115002,31,2367,14540,0
115002,32,2120,14540,0
115002,33,1834,14540,0
115002,34,1000,14540,0
115002,35,911,14540,0
115002,36,867,14540,0
115002,37,753,14540,0
115002,38,520,14540,0
115002,39,500,14540,0
115002,40,500,14540,0
115002,41,500,14540,0
115002,42,350,14540,0
115002,43,345,14540,0
115002,44,247,14540,0
115002,45,170,14540,0
115002,46,150,14540,0
115002,47,114,14540,0
115002,48,103,14540,0
115002,49,63,14540,0
115002,50,33,14540,0
115002,51,22,14540,0
115002,52,16,14540,0
115002,53,3,14540,0
115002,54,2,14540,0
