time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,379,13210,13690,770,1
63938,2,3,1748,13100,13770,50000,1
63938,3,0,0,0,14000,1500,2
63938,4,0,0,0,14100,400,1
63938,5,0,0,0,14200,50000,1
84502,3,1,22956,13020,14000,1500,2
84503,1,1,1500,13510,13690,770,1
84503,2,1,379,13210,13770,50000,1
84503,3,3,1748,13100,14000,1500,2
84503,4,1,22956,13020,14100,400,1
84505,5,0,0,0,14140,1000,1
84508,5,1,20000,12970,14140,1000,1
84514,3,4,2748,13100,14000,1500,2
84522,3,1,15000,13110,14000,1500,2
84522,4,4,2748,13100,14100,400,1
84522,5,1,22956,13020,14140,1000,1
84533,1,1,400,13690,13690,770,1
84533,2,1,1500,13510,13770,50000,1
84533,3,1,379,13210,14000,1500,2
84533,4,1,15000,13110,14100,400,1
84533,5,4,2748,13100,14140,1000,1
84537,2,1,1500,13510,13700,100,1
84537,3,1,379,13210,13770,50000,1
84537,4,1,15000,13110,14000,1500,2
84537,5,4,2748,13100,14100,400,1
84602,2,1,1500,13510,13700,4000,2
84615,4,1,15000,13110,13900,100000,1
84615,5,4,2748,13100,14000,1500,2
84616,4,1,15000,13110,13900,200000,2
84635,2,1,1500,13550,13700,4000,2
84635,3,1,1500,13510,13770,50000,1
84635,4,1,379,13210,13900,200000,2
84635,5,1,15000,13110,14000,1500,2
84637,1,1,400,13690,13690,1140,2
84718,1,2,22204,13690,13690,1140,2
84725,4,1,7425,13420,13900,200000,2
84725,5,1,379,13210,14000,1500,2
84727,2,2,3000,13550,13700,4000,2
84745,1,3,23204,13690,13690,1140,2
84746,1,3,23204,13690,13690,1584,3
84750,5,1,379,13210,13950,100000,1
84753,3,2,3700,13510,13770,50000,1
84810,2,1,1000,13630,13700,4000,2
84810,3,2,3000,13550,13770,50000,1
84810,4,2,3700,13510,13900,200000,2
84810,5,1,7425,13420,13950,100000,1
84836,4,1,1500,13510,13900,200000,2
84836,5,2,9625,13420,13950,100000,1
84842,4,1,1500,13510,13890,100000,1
84842,5,2,9625,13420,13900,200000,2
84945,4,1,1500,13510,13880,400,1
84945,5,2,9625,13420,13890,100000,1
84946,1,4,33422,13690,13690,1584,3
85008,1,5,38422,13690,13690,1584,3
85015,2,1,1000,13630,13700,3900,1
85015,3,2,3000,13550,13750,100,1
85015,4,1,1500,13510,13770,50000,1
85015,5,2,9625,13420,13880,400,1
85116,1,5,38422,13690,13690,2751,4
85139,1,5,38422,13690,13690,3351,5
85141,2,1,1000,13630,13700,4272,2
85143,1,6,40422,13690,13690,3351,5
85210,1,5,30204,13690,13690,3351,5
85300,1,6,30932,13690,13690,3351,5
85308,1,6,30932,13690,13690,8118,6
85316,1,7,33932,13690,13690,8118,6
85320,1,8,43932,13690,13690,8118,6
85414,5,3,10005,13420,13880,400,1
85415,1,8,43932,13690,13690,8961,7
85419,1,9,45432,13690,13690,8961,7
85424,5,4,11422,13420,13880,400,1
85446,3,3,3838,13550,13750,100,1
85451,4,1,1500,13510,13760,400,1
85451,5,4,11422,13420,13770,50000,1
85524,5,1,9000,13430,13770,50000,1
85547,1,10,46432,13690,13690,8961,7
85606,1,11,49432,13690,13690,8961,7
85649,1,2,73698,13720,13720,13233,9
85649,2,1,1500,13700,13750,100,1
85649,3,9,47532,13690,13760,400,1
85649,4,1,1000,13630,13770,50000,1
85649,5,3,3838,13550,13890,100000,1
85649,1,2,73698,13720,13720,13733,10
85700,1,2,73698,13720,13720,13993,11
85703,5,1,2000,13610,13890,100000,1
85713,3,10,48987,13690,13760,400,1
85731,3,11,49714,13690,13760,400,1
85736,4,2,43000,13630,13770,50000,1
85804,1,3,79909,13720,13720,13993,11
