time,last,close,open,high,low,count,volume,value,discarded
64617,13630,13650,0,0,0,0,0,0,0
90024,13710,13650,13710,13710,13710,1,73298,1004915580,0
90024,13710,13650,13710,13710,13710,2,87676,1202037960,0
90024,13710,13650,13710,13710,13710,3,92443,1267393530,0
90024,13710,13650,13710,13710,13710,4,96343,1320862530,0
90024,13710,13650,13710,13710,13710,5,97510,1336862100,0
90024,13710,13650,13710,13710,13710,6,98353,1348419630,0
90024,13710,13650,13710,13710,13710,7,99123,1358976330,0
90024,13710,13650,13710,13710,13710,8,99723,1367202330,0
90024,13710,13650,13710,13710,13710,9,100223,1374057330,0
90024,13710,13650,13710,13710,13710,10,100623,1379541330,0
90024,13710,13650,13710,13710,13710,11,100956,1384106760,0
90024,13710,13650,13710,13710,13710,12,101286,1388631060,0
90024,13710,13650,13710,13710,13710,13,101330,1389234300,0
90024,13710,13650,13710,13710,13710,14,101370,1389782700,0
90024,13710,13650,13710,13710,13710,15,101392,1390084320,0
90024,13710,13650,13710,13710,13710,16,101409,1390317390,0
90058,13720,13650,13710,13720,13710,17,101669,1393884590,0
90058,13720,13650,13710,13720,13710,18,104669,1435044590,0
90058,13720,13650,13710,13720,13710,19,105393,1444977870,0
90114,13750,13650,13710,13750,13710,20,105493,1446352870,0
90117,13760,13650,13710,13760,13710,21,105893,1451856870,0
90117,13760,13650,13710,13760,13710,22,106948,1466373670,0
90119,13760,13650,13710,13760,13710,23,107948,1480133670,0
90122,13760,13650,13710,13760,13710,24,108948,1493893670,0
90133,13760,13650,13710,13760,13710,25,113948,1562693670,0
90140,13760,13650,13710,13760,13710,26,118217,1621435110,0
90140,13760,13650,13710,13760,13710,27,119217,1635195110,0
90140,13770,13650,13710,13770,13710,28,169217,2323695110,0
90154,13890,13650,13710,13890,13710,29,170217,2337585110,0
90212,13900,13650,13710,13900,13710,30,175217,2407085110,0
90212,13900,13650,13710,13900,13710,31,176917,2430715110,0
90215,13900,13650,13710,13900,13710,32,177337,2436553110,0
90216,13900,13650,13710,13900,13710,33,198812,2735055610,0
90217,13900,13650,13710,13900,13710,34,199812,2748955610,0
90223,13900,13650,13710,13900,13710,35,200623,2760228510,0
90227,13900,13650,13710,13900,13710,36,202200,2782148810,0
90235,13900,13650,13710,13900,13710,37,202700,2789098810,0
90241,13900,13650,13710,13900,13710,38,206502,2841946610,0
90255,13890,13650,13710,13900,13710,39,207002,2848891610,0
90259,13900,13650,13710,13900,13710,40,242602,3343731610,0
90308,13890,13650,13710,13900,13710,41,248394,3424182490,0
90308,13890,13650,13710,13900,13710,42,252697,3483951160,0
90309,13890,13650,13710,13900,13710,43,253697,3497841160,0
90310,13890,13650,13710,13900,13710,44,258697,3567291160,0
90314,13890,13650,13710,13900,13710,45,261697,3608961160,0
90318,13770,13650,13710,13900,13710,46,262097,3614469160,0
90318,13760,13650,13710,13900,13710,47,262697,3622725160,0
90328,13890,13650,13710,13900,13710,48,263697,3636615160,0
90403,13890,13650,13710,13900,13710,49,264414,3646574290,0
90413,13890,13650,13710,13900,13710,50,265698,3664409050,0
90413,13890,13660,13710,13900,13710,51,315698,4358909050,0
90413,13890,13660,13710,13900,13710,52,364414,5035574290,0
90430,13880,13660,13710,13900,13710,53,365914,5056394290,0
90438,13880,13660,13710,13900,13710,54,366318,5062001810,0
90438,13880,13660,13710,13900,13710,55,369288,5103225410,0
90438,13880,13660,13710,13900,13710,56,369938,5112247410,0
90512,13860,13660,13710,13900,13710,57,377115,5211720630,0
90527,13860,13660,13710,13900,13710,58,378615,5232510630,0
90557,13850,13660,13710,13900,13710,59,379115,5239435630,0
90557,13860,13660,13710,13900,13710,60,379615,5246365630,0
90614,13860,13660,13710,13900,13710,61,380638,5260544410,0
90614,13860,13660,13710,13900,13710,62,381364,5270606770,0
90614,13860,13660,13710,13900,13710,63,389615,5384965630,0
90620,13860,13660,13710,13900,13710,64,391364,5409206770,0
90620,13860,13660,13710,13900,13710,65,399615,5523565630,0
90623,13860,13660,13710,13900,13710,66,401364,5547806770,0
90623,13860,13660,13710,13900,13710,67,401615,5551285630,0
90629,13860,13660,13710,13900,13710,68,402364,5561666770,0
90629,13860,13660,13710,13900,13710,69,403364,5575526770,0
90637,13880,13660,13710,13900,13710,70,403664,5579690770,0
90637,13880,13660,13710,13900,13710,71,405664,5607450770,0
90637,13880,13660,13710,13900,13710,72,406464,5618554770,0
90637,13880,13660,13710,13900,13710,73,407964,5639374770,0
90637,13880,13660,13710,13900,13710,74,408464,5646314770,0
90650,13890,13660,13710,13900,13710,75,409748,5664149530,0
90650,13890,13660,13710,13900,13710,76,409964,5667149770,0
90651,13890,13660,13710,13900,13710,77,411338,5686234630,0
90651,13890,13660,13710,13900,13710,78,416709,5760837820,0
90651,13890,13660,13710,13900,13710,79,417251,5768366200,0
90651,13890,13660,13710,13900,13710,80,419664,5801882770,0
90653,13890,13660,13710,13900,13710,81,420664,5815772770,0
90657,13890,13660,13710,13900,13710,82,423564,5856053770,0
90658,13890,13660,13710,13900,13710,83,428564,5925503770,0
90704,13890,13660,13710,13900,13710,84,429964,5944949770,0
90708,13890,13660,13710,13900,13710,85,430964,5958839770,0
90708,13890,13660,13710,13900,13710,86,432464,5979674770,0
90711,13890,13660,13710,13900,13710,87,432999,5987105920,0
90711,13890,13660,13710,13900,13710,88,433499,5994050920,0
90711,13890,13660,13710,13900,13710,89,434499,6007940920,0
90711,13890,13660,13710,13900,13710,90,434990,6014760910,0
90711,13890,13660,13710,13900,13710,91,435770,6025595110,0
90714,13890,13660,13710,13900,13710,92,438769,6067251220,0
90714,13890,13660,13710,13900,13710,93,443769,6136701220,0
90717,13900,13660,13710,13900,13710,94,471884,6527499720,0
90717,13900,13660,13710,13900,13710,95,491884,6805499720,0
90717,13900,13660,13710,13900,13710,96,492431,6813103020,0
90722,13950,13660,13710,13950,13710,97,495431,6854953020,0
90724,13900,13660,13710,13950,13710,98,496769,6873551220,0
90724,13890,13660,13710,13950,13710,99,497631,6885524400,0
90736,13950,13660,13710,13950,13710,100,502631,6955274400,0
90740,13900,13660,13710,13950,13710,101,503131,6962224400,0
90740,13900,13660,13710,13950,13710,102,504631,6983074400,0
90744,13900,13660,13710,13950,13710,103,505031,6988634400,0
90759,13900,13660,13710,13950,13710,104,506246,7005522900,0
90815,13930,13660,13710,13950,13710,105,508761,7040556850,0
90815,13940,13660,13710,13950,13710,106,509819,7055305370,0
90822,13900,13660,13710,13950,13710,107,511469,7078240370,0
90824,13940,13660,13710,13950,13710,108,575166,7966176550,0
90824,13950,13660,13710,13950,13710,109,611469,8472603400,0
90827,13950,13660,13710,13950,13710,110,613469,8500503400,0
90833,13950,13670,13710,13950,13710,111,663469,9198003400,0
90836,13910,13670,13710,13950,13710,112,664324,9209896450,0
90840,13920,13670,13710,13950,13710,113,664824,9216856450,0
90840,13950,13670,13710,13950,13710,114,668521,9268429600,0
90840,13950,13670,13710,13950,13710,115,668921,9274009600,0
90840,13950,13670,13710,13950,13710,116,670993,9302914000,0
90846,13950,13670,13710,13950,13710,117,674783,9355784500,0
90909,13970,13670,13710,13970,13710,118,677635,9395626940,0
90911,13950,13670,13710,13970,13710,119,691635,9590926940,0
90923,13950,13670,13710,13970,13710,120,695255,9641425940,0
90924,13950,13670,13710,13970,13710,121,696867,9663913340,0
90929,13970,13670,13710,13970,13710,122,704867,9775673340,0
90935,13970,13670,13710,13970,13710,123,744015,10322570900,0
90950,13990,13670,13710,13990,13710,124,745015,10336560900,0
90951,13990,13670,13710,13990,13710,125,745765,10347053400,0
90951,13970,13670,13710,13990,13710,126,746150,10352431850,0
90955,13990,13670,13710,13990,13710,127,746979,10364029560,0
90958,13970,13670,13710,13990,13710,128,747029,10364728060,0
91016,13990,13670,13710,13990,13710,129,747529,10371723060,0
91020,13980,13670,13710,13990,13710,130,751092,10421533800,0
91020,13970,13670,13710,13990,13710,131,751509,10427359290,0
91020,13970,13670,13710,13990,13710,132,752685,10443788010,0
91029,13980,13670,13710,13990,13710,133,754685,10471748010,0
91032,13980,13670,13710,13990,13710,134,755397,10481701770,0
91034,13970,13670,13710,13990,13710,135,756397,10495671770,0
91039,13970,13670,13710,13990,13710,136,756721,10500198050,0
91039,13960,13670,13710,13990,13710,137,756847,10501957010,0
91042,13960,13670,13710,13990,13710,138,758247,10521501010,0
91048,13980,13670,13710,13990,13710,139,759747,10542471010,0
91050,13980,13670,13710,13990,13710,140,760535,10553487250,0
91050,13980,13670,13710,13990,13710,141,761027,10560365410,0
91051,13980,13670,13710,13990,13710,142,761535,10567467250,0
91051,13990,13670,13710,13990,13710,143,765715,10625945450,0
91051,14000,13670,13710,14000,13710,144,766715,10639945450,0
91051,14000,13670,13710,14000,13710,145,767215,10646945450,0
91051,14000,13670,13710,14000,13710,146,767647,10652993450,0
91051,14000,13670,13710,14000,13710,147,772647,10722993450,0
91051,14000,13670,13710,14000,13710,148,811027,11260313450,0
91052,13970,13670,13710,14000,13710,149,814027,11302223450,0
91052,13960,13670,13710,14000,13710,150,815365,11320901930,0
91052,13960,13670,13710,14000,13710,151,820365,11390701930,0
91052,13950,13670,13710,14000,13710,152,865674,12022762480,0
91052,13950,13670,13710,14000,13710,153,872577,12119059330,0
91052,13950,13670,13710,14000,13710,154,873061,12125811130,0
91052,13950,13670,13710,14000,13710,155,877392,12186228580,0
91052,13950,13670,13710,14000,13710,156,882392,12255978580,0
91052,13950,13670,13710,14000,13710,157,884492,12285273580,0
91052,13950,13670,13710,14000,13710,158,886952,12319590580,0
91052,13950,13670,13710,14000,13710,159,896952,12459090580,0
91104,13950,13680,13710,14000,13710,160,911027,12655436830,0
91104,13950,13680,13710,14000,13710,161,916027,12725186830,0
91105,13950,13680,13710,14000,13710,162,918027,12753086830,0
91116,13980,13680,13710,14000,13710,163,927027,12878906830,0
91122,13950,13680,13710,14000,13710,164,928791,12903514630,0
91126,13980,13680,13710,14000,13710,165,929791,12917494630,0
91126,13990,13680,13710,14000,13710,166,966782,13434998720,0
91126,13990,13680,13710,14000,13710,167,1028791,14302504630,0
91132,13990,13680,13710,14000,13710,168,1038791,14442404630,0
91132,13990,13680,13710,14000,13710,169,1048791,14582304630,0
91134,13990,13680,13710,14000,13710,170,1049226,14588390280,0
