time,last,close,open,high,low,count,volume,value,discarded
64617,22970,23500,0,0,0,0,0,0,0
90017,22600,23500,22600,22600,22600,1,1878,42442800,0
90017,22600,23500,22600,22600,22600,2,2878,65042800,0
90017,22600,23500,22600,22600,22600,3,3744,84614400,0
90017,22600,23500,22600,22600,22600,4,4144,93654400,0
90017,22600,23500,22600,22600,22600,5,4278,96682800,0
90203,22600,23500,22600,22600,22600,6,6400,144640000,0
90551,22530,23490,22600,22600,22530,7,10379,234286870,0
90551,22530,23490,22600,22600,22530,8,10629,239919370,0
90551,22520,23490,22600,22600,22520,9,10929,246675370,0
90551,22500,23490,22600,22600,22500,10,11229,253425370,0
90551,22360,23490,22600,22600,22360,11,11729,264605370,0
90551,22340,23470,22600,22600,22340,12,31868,714510630,0
90603,22340,23470,22600,22600,22340,13,35732,800832390,0
90631,22340,23470,22600,22600,22340,14,38591,864702450,0
90655,22340,23470,22600,22600,22340,15,38801,869393850,0
90752,22350,23470,22600,22600,22340,16,39121,876545850,0
90759,22350,23470,22600,22600,22340,17,39233,879049050,0
91045,22410,23470,22600,22600,22340,18,39263,879721350,0
91204,22460,23470,22600,22600,22340,19,39493,884887150,0
91204,22460,23470,22600,22600,22340,20,40423,905774950,0
91224,22470,23470,22600,22600,22340,21,40723,912515950,0
91224,22470,23460,22600,22600,22340,22,41283,925099150,0
91253,22480,23460,22600,22600,22340,23,42283,947579150,0
91253,22480,23460,22600,22600,22340,24,42984,963337630,0
91620,22950,23460,22600,22950,22340,25,44251,992415280,0
91708,22900,23460,22600,22950,22340,26,47251,1061115280,0
91715,22590,23460,22600,22950,22340,27,48048,1079119510,0
91715,22590,23460,22600,22950,22340,28,48051,1079187280,0
91847,22880,23460,22600,22950,22340,29,48529,1090123920,0
91847,22880,23460,22600,22950,22340,30,50238,1129225840,0
91859,22900,23460,22600,22950,22340,31,51238,1152125840,0
91908,22900,23460,22600,22950,22340,32,51538,1158995840,0
91933,22900,23460,22600,22950,22340,33,52538,1181895840,0
92007,22900,23460,22600,22950,22340,34,52858,1189223840,0
92018,22890,23460,22600,22950,22340,35,53728,1209138140,0
92018,22890,23460,22600,22950,22340,36,54648,1230196940,0
92024,22900,23460,22600,22950,22340,37,54654,1230334340,0
92116,22990,23460,22600,22990,22340,38,55024,1238840640,0
92116,22990,23460,22600,22990,22340,39,56024,1261830640,0
92138,23000,23460,22600,23000,22340,40,56078,1263072640,0
92138,23000,23460,22600,23000,22340,41,57618,1298492640,0
92245,23150,23460,22600,23150,22340,42,58618,1321642640,0
92301,23150,23460,22600,23150,22340,43,60618,1367942640,0
92301,23160,23450,22600,23160,22340,44,70618,1599542640,0
92311,23300,23450,22600,23300,22340,45,70843,1604785140,0
92317,23300,23450,22600,23300,22340,46,73518,1667112640,0
92323,23300,23450,22600,23300,22340,47,73748,1672471640,0
92330,23300,23450,22600,23300,22340,48,73822,1674195840,0
92336,23300,23450,22600,23300,22340,49,73948,1677131640,0
92418,23300,23450,22600,23300,22340,50,74548,1691111640,0
92517,23300,23450,22600,23300,22340,51,74822,1697495840,0
92556,23150,23450,22600,23300,22340,52,75822,1720645840,0
92725,23000,23450,22600,23300,22340,53,75823,1720668840,0
92740,23150,23450,22600,23300,22340,54,76179,1728910240,0
92755,23000,23450,22600,23300,22340,55,76341,1732636240,0
92852,23000,23450,22600,23300,22340,56,76415,1734338240,0
92852,23000,23450,22600,23300,22340,57,76631,1739306240,0
93123,23000,23450,22600,23300,22340,58,76639,1739490240,0
93309,23000,23450,22600,23300,22340,59,76869,1744780240,0
93318,23140,23450,22600,23300,22340,60,77081,1749685920,0
93318,23140,23450,22600,23300,22340,61,77581,1761255920,0
93450,23010,23450,22600,23300,22340,62,78581,1784265920,0
93450,23000,23450,22600,23300,22340,63,78781,1788865920,0
93956,23250,23450,22600,23300,22340,64,83053,1888189920,0
94112,23050,23450,22600,23300,22340,65,83273,1893260920,0
94147,23050,23450,22600,23300,22340,66,83453,1897409920,0
94147,23050,23450,22600,23300,22340,67,93273,2123760920,0
94637,23240,23440,22600,23300,22340,68,101913,2324554520,0
94654,23070,23440,22600,23300,22340,69,117641,2687399480,0
94715,23070,23440,22600,23300,22340,70,120198,2746389470,0
94756,23080,23440,22600,23300,22340,71,130198,2977189470,0
94835,23070,23430,22600,23300,22340,72,151913,3478154520,0
94835,23070,23430,22600,23300,22340,73,156747,3589674900,0
94901,23080,23430,22600,23300,22340,74,157668,3610931580,0
94948,23080,23430,22600,23300,22340,75,158075,3620325140,0
95059,23090,23430,22600,23300,22340,76,158390,3627598490,0
95223,23090,23420,22600,23300,22340,77,163075,3735775140,0
95223,23090,23420,22600,23300,22340,78,167629,3840927000,0
95223,23090,23420,22600,23300,22340,79,175867,4031142420,0
95223,23010,23420,22600,23300,22340,80,176867,4054152420,0
95223,23000,23420,22600,23300,22340,81,176887,4054612420,0
95223,23000,23410,22600,23300,22340,82,201390,4618181420,0
95732,23010,23410,22600,23300,22340,83,201463,4619861150,0
100257,23020,23410,22600,23300,22340,84,201683,4624925550,0
100257,23020,23410,22600,23300,22340,85,202183,4636435550,0
100257,23010,23400,22600,23300,22340,86,216463,4965018350,0
100920,23020,23400,22600,23300,22340,87,216683,4970082750,0
100920,23020,23400,22600,23300,22340,88,221663,5084722350,0
100920,23020,23400,22600,23300,22340,89,222163,5096232350,0
100920,23010,23400,22600,23300,22340,90,226463,5195175350,0
101114,23100,23400,22600,23300,22340,91,227753,5224974350,0
101323,23100,23400,22600,23300,22340,92,228253,5236524350,0
101340,23100,23400,22600,23300,22340,93,228463,5241375350,0
101340,23100,23400,22600,23300,22340,94,228679,5246364950,0
101340,23100,23400,22600,23300,22340,95,228753,5248074350,0
101420,23030,23400,22600,23300,22340,96,229753,5271104350,0
101629,23030,23400,22600,23300,22340,97,229773,5271564950,0
101645,23030,23400,22600,23300,22340,98,230473,5287685950,0
101645,23100,23400,22600,23300,22340,99,230699,5292906550,0
101645,23100,23390,22600,23300,22340,100,251226,5767080250,0
101721,23170,23390,22600,23300,22340,101,254793,5849727640,0
101729,23100,23390,22600,23300,22340,102,255013,5854809640,0
101743,23100,23390,22600,23300,22340,103,255023,5855040640,0
101925,23110,23390,22600,23300,22340,104,255523,5866595640,0
101925,23100,23390,22600,23300,22340,105,263840,6058718340,0
101925,23100,23380,22600,23300,22340,106,286840,6590018340,0
101925,23100,23380,22600,23300,22340,107,287702,6609930540,0
101925,23010,23380,22600,23300,22340,108,289049,6640925010,0
101925,23010,23380,22600,23300,22340,109,289267,6645941190,0
101925,23000,23380,22600,23300,22340,110,290267,6668941190,0
101925,23000,23380,22600,23300,22340,111,305023,7008329190,0
101930,23000,23360,22600,23300,22340,112,355023,8158329190,0
102444,23020,23350,22600,23300,22340,113,359350,8257936730,0
102444,23010,23350,22600,23300,22340,114,360350,8280946730,0
102444,23010,23350,22600,23300,22340,115,360850,8292451730,0
102444,23010,23350,22600,23300,22340,116,365023,8388472460,0
102515,23010,23350,22600,23300,22340,117,365314,8395168370,0
102805,23030,23350,22600,23300,22340,118,366314,8418198370,0
102805,23030,23350,22600,23300,22340,119,366814,8429713370,0
102851,23170,23350,22600,23300,22340,120,367064,8435505870,0
102930,23040,23350,22600,23300,22340,121,369664,8495409870,0
102947,23030,23350,22600,23300,22340,122,373814,8590984370,0
102953,23020,23340,22600,23300,22340,123,384637,8840129830,0
103012,23030,23340,22600,23300,22340,124,384927,8846808530,0
103422,23100,23340,22600,23300,22340,125,385187,8852814530,0
103720,23030,23340,22600,23300,22340,126,385487,8859723530,0
103720,23020,23340,22600,23300,22340,127,386187,8875837530,0
103753,23020,23340,22600,23300,22340,128,387367,8903001130,0
103920,23100,23340,22600,23300,22340,129,387933,8916075730,0
104015,23030,23340,22600,23300,22340,130,388643,8932427030,0
