time,last,close,open,high,low,count,volume,value,discarded
64617,16000,16300,0,0,0,0,0,0,0
90024,15490,16290,15490,15490,15490,1,7000,108430000,0
90024,15490,16290,15490,15490,15490,2,12000,185880000,0
90024,15490,16290,15490,15490,15490,3,16442,254686580,0
90024,15490,16280,15490,15490,15490,4,19442,301156580,0
90024,15490,16280,15490,15490,15490,5,22042,341430580,0
90024,15490,16280,15490,15490,15490,6,23970,371295300,0
90024,15490,16280,15490,15490,15490,7,24970,386785300,0
90024,15490,16280,15490,15490,15490,8,25928,401624720,0
90024,15490,16280,15490,15490,15490,9,25984,402492160,0
90024,15490,16280,15490,15490,15490,10,26026,403142740,0
90057,15490,16280,15490,15490,15490,11,26776,414760240,0
90143,16300,16280,15490,16300,15490,12,27166,421117240,0
90211,16300,16280,15490,16300,15490,13,27477,426186540,0
90327,16300,16280,15490,16300,15490,14,28092,436211040,0
90423,16300,16280,15490,16300,15490,15,28704,446186640,0
90423,16450,16280,15490,16450,15490,16,35916,564824040,0
90423,16620,16280,15490,16620,15490,17,45916,731024040,0
90447,16750,16280,15490,16750,15490,18,46927,747958290,0
90454,16620,16280,15490,16750,15490,19,47430,756318150,0
90454,16620,16280,15490,16750,15490,20,48147,768234690,0
90538,16630,16280,15490,16750,15490,21,49147,784864690,0
90538,16630,16280,15490,16750,15490,22,55147,884644690,0
90541,16620,16280,15490,16750,15490,23,55713,894051610,0
90545,16620,16290,15490,16750,15490,24,56713,910671610,0
90657,16630,16290,15490,16750,15490,25,57016,915710500,0
90701,16010,16280,15490,16750,15490,26,62016,995760500,0
90819,16630,16280,15490,16750,15490,27,63016,1012390500,0
91252,16550,16280,15490,16750,15490,28,63356,1018017500,0
91252,16550,16280,15490,16750,15490,29,63797,1025316050,0
91323,16530,16280,15490,16750,15490,30,64197,1031928050,0
91437,16070,16280,15490,16750,15490,31,64697,1039963050,0
91738,16120,16280,15490,16750,15490,32,65550,1053713410,0
91747,16130,16280,15490,16750,15490,33,65940,1060004110,0
91826,16130,16280,15490,16750,15490,34,66559,1069988580,0
91826,16130,16280,15490,16750,15490,35,67559,1086118580,0
91826,16130,16280,15490,16750,15490,36,68559,1102248580,0
91826,16130,16280,15490,16750,15490,37,70559,1134508580,0
91826,16130,16280,15490,16750,15490,38,71559,1150638580,0
91826,16130,16280,15490,16750,15490,39,72159,1160316580,0
91826,16130,16280,15490,16750,15490,40,75159,1208706580,0
91834,16130,16280,15490,16750,15490,41,75776,1218658790,0
91839,16130,16280,15490,16750,15490,42,78163,1257161100,0
92105,16160,16280,15490,16750,15490,43,78779,1267115660,0
92105,16150,16280,15490,16750,15490,44,84863,1365372260,0
92206,16160,16280,15490,16750,15490,45,85863,1381532260,0
92212,16160,16280,15490,16750,15490,46,85978,1383390660,0
92212,16160,16280,15490,16750,15490,47,87217,1403412900,0
92212,16150,16280,15490,16750,15490,48,91133,1466656300,0
92212,16140,16280,15490,16750,15490,49,92380,1486782880,0
92318,16150,16280,15490,16750,15490,50,92843,1494260330,0
92359,16140,16280,15490,16750,15490,51,93306,1501733150,0
92409,16150,16280,15490,16750,15490,52,95605,1538862000,0
92412,16140,16280,15490,16750,15490,53,95990,1545075900,0
92454,16140,16280,15490,16750,15490,54,98853,1591284720,0
92521,16150,16280,15490,16750,15490,55,99503,1601782220,0
92534,16520,16280,15490,16750,15490,56,100403,1616650220,0
93214,16490,16280,15490,16750,15490,57,106868,1723258070,0
93217,16490,16280,15490,16750,15490,58,107218,1729029570,0
93232,16490,16280,15490,16750,15490,59,107718,1737274570,0
93241,16200,16280,15490,16750,15490,60,108028,1742296570,0
93251,16200,16280,15490,16750,15490,61,108218,1745374570,0
93251,16200,16280,15490,16750,15490,62,108718,1753474570,0
93251,16200,16280,15490,16750,15490,63,110718,1785874570,0
93251,16200,16280,15490,16750,15490,64,112453,1813981570,0
93306,16200,16280,15490,16750,15490,65,113628,1833016570,0
93520,16210,16280,15490,16750,15490,66,113978,1838690070,0
93521,16210,16280,15490,16750,15490,67,114028,1839500570,0
93729,16220,16280,15490,16750,15490,68,119028,1920600570,0
93741,16210,16280,15490,16750,15490,69,121028,1953020570,0
93744,16220,16280,15490,16750,15490,70,127482,2057704450,0
93844,16220,16280,15490,16750,15490,71,131482,2122584450,0
93844,16220,16280,15490,16750,15490,72,135545,2188486310,0
93846,16220,16280,15490,16750,15490,73,136345,2201462310,0
93857,16220,16280,15490,16750,15490,74,136945,2211194310,0
93907,16220,16280,15490,16750,15490,75,137945,2227414310,0
93911,16220,16280,15490,16750,15490,76,140740,2272749210,0
93911,16210,16280,15490,16750,15490,77,145740,2353799210,0
94047,16210,16280,15490,16750,15490,78,146343,2363573840,0
94112,16210,16280,15490,16750,15490,79,147240,2378114210,0
94146,16200,16280,15490,16750,15490,80,147560,2383298210,0
94150,16210,16280,15490,16750,15490,81,147979,2390090200,0
94218,16200,16280,15490,16750,15490,82,149936,2421793600,0
94218,16150,16280,15490,16750,15490,83,150529,2431370550,0
94412,16150,16280,15490,16750,15490,84,150625,2432920950,0
94420,16210,16270,15490,16750,15490,85,160625,2595020950,0
94452,16210,16270,15490,16750,15490,86,167833,2711862630,0
94452,16210,16270,15490,16750,15490,87,168833,2728072630,0
94729,16210,16270,15490,16750,15490,88,172333,2784807630,0
94815,16210,16270,15490,16750,15490,89,173888,2810014180,0
94823,16220,16270,15490,16750,15490,90,175488,2835966180,0
94843,16220,16270,15490,16750,15490,91,175805,2841107920,0
94902,16220,16270,15490,16750,15490,92,175888,2842454180,0
94959,16220,16270,15490,16750,15490,93,177354,2866232700,0
94959,16220,16270,15490,16750,15490,94,181639,2935735400,0
95054,16220,16270,15490,16750,15490,95,184752,2986228260,0
95117,16220,16270,15490,16750,15490,96,188233,3042690080,0
95127,16210,16270,15490,16750,15490,97,189083,3056468580,0
95134,16290,16270,15490,16750,15490,98,190329,3076765920,0
95134,16290,16270,15490,16750,15490,99,192329,3109345920,0
95154,16290,16270,15490,16750,15490,100,192829,3117490920,0
95308,16290,16270,15490,16750,15490,101,193056,3121188750,0
95331,16400,16270,15490,16750,15490,102,193612,3130307150,0
95412,16400,16270,15490,16750,15490,103,194602,3146543150,0
95850,16400,16270,15490,16750,15490,104,196002,3169503150,0
95946,16400,16270,15490,16750,15490,105,196352,3175243150,0
100035,16320,16270,15490,16750,15490,106,197102,3187483150,0
100059,16300,16270,15490,16750,15490,107,198302,3207043150,0
100102,16300,16270,15490,16750,15490,108,198502,3210303150,0
100102,16300,16270,15490,16750,15490,109,203402,3290173150,0
100119,16300,16270,15490,16750,15490,110,206044,3333237750,0
100209,16300,16270,15490,16750,15490,111,207452,3356188150,0
100231,16320,16270,15490,16750,15490,112,207702,3360268150,0
100719,16300,16270,15490,16750,15490,113,208752,3377383150,0
100719,16300,16270,15490,16750,15490,114,209238,3385304950,0
100947,16290,16270,15490,16750,15490,115,209361,3387308620,0
100955,16290,16270,15490,16750,15490,116,211072,3415180810,0
100955,16300,16270,15490,16750,15490,117,212572,3439630810,0
101102,16300,16270,15490,16750,15490,118,248914,4032005410,0
101126,16310,16270,15490,16750,15490,119,249310,4038464170,0
101131,16310,16270,15490,16750,15490,120,253666,4109510530,0
101428,16310,16270,15490,16750,15490,121,254866,4129082530,0
101719,16350,16270,15490,16750,15490,122,255996,4147558030,0
101727,16320,16270,15490,16750,15490,123,257903,4178680270,0
101727,16310,16270,15490,16750,15490,124,261551,4238179150,0
101727,16310,16270,15490,16750,15490,125,263551,4270799150,0
101727,16310,16270,15490,16750,15490,126,264551,4287109150,0
101727,16300,16270,15490,16750,15490,127,265996,4310662650,0
101745,16300,16270,15490,16750,15490,128,273930,4439986850,0
101745,16300,16270,15490,16750,15490,129,274430,4448136850,0
101802,16300,16270,15490,16750,15490,130,274696,4452472650,0
101855,16300,16270,15490,16750,15490,131,275696,4468772650,0
102041,16300,16270,15490,16750,15490,132,276096,4475292650,0
102401,16340,16270,15490,16750,15490,133,276486,4481665250,0
102419,16320,16270,15490,16750,15490,134,276986,4489825250,0
102423,16320,16270,15490,16750,15490,135,277386,4496353250,0
102642,16310,16270,15490,16750,15490,136,278386,4512663250,0
102757,16310,16270,15490,16750,15490,137,282386,4577903250,0
102757,16300,16270,15490,16750,15490,138,290720,4713747450,0
102757,16300,16270,15490,16750,15490,139,291720,4730047450,0
102757,16300,16270,15490,16750,15490,140,293890,4765418450,0
102808,16300,16270,15490,16750,15490,141,298890,4846918450,0
102815,16300,16270,15490,16750,15490,142,299890,4863218450,0
102915,16300,16270,15490,16750,15490,143,300390,4871368450,0
102950,16300,16270,15490,16750,15490,144,302792,4910521050,0
102950,16300,16270,15490,16750,15490,145,303292,4918671050,0
102950,16300,16270,15490,16750,15490,146,303390,4920268450,0
103048,16320,16270,15490,16750,15490,147,303490,4921900450,0
103101,16320,16270,15490,16750,15490,148,303700,4925327650,0
103247,16300,16270,15490,16750,15490,149,303922,4928946250,0
103513,16210,16270,15490,16750,15490,150,303937,4929189400,0
103554,16210,16270,15490,16750,15490,151,308379,5001194220,0
103623,16210,16270,15490,16750,15490,152,309632,5021505350,0
103752,16210,16270,15490,16750,15490,153,309809,5024374520,0
103752,16210,16270,15490,16750,15490,154,310209,5030858520,0
103752,16210,16270,15490,16750,15490,155,310549,5036369920,0
104303,16150,16270,15490,16750,15490,156,310787,5040213620,0
104303,16150,16270,15490,16750,15490,157,312287,5064438620,0
104406,16100,16270,15490,16750,15490,158,312300,5064647920,0
104453,16140,16270,15490,16750,15490,159,312700,5071103920,0
104547,16110,16270,15490,16750,15490,160,313700,5087213920,0
104547,16110,16270,15490,16750,15490,161,313881,5090129830,0
104620,16110,16270,15490,16750,15490,162,316566,5133385180,0
104811,16140,16270,15490,16750,15490,163,317666,5151139180,0
104842,16200,16270,15490,16750,15490,164,318546,5165395180,0
104849,16200,16270,15490,16750,15490,165,318896,5171065180,0
104934,16200,16270,15490,16750,15490,166,319666,5183539180,0
104952,16210,16270,15490,16750,15490,167,320116,5190833680,0
105026,16210,16270,15490,16750,15490,168,321266,5209475180,0
105029,16210,16270,15490,16750,15490,169,321566,5214338180,0
105051,16300,16270,15490,16750,15490,170,323227,5241412480,0
105057,16300,16270,15490,16750,15490,171,325095,5271860880,0
105451,16300,16270,15490,16750,15490,172,325566,5279538180,0
105456,16300,16270,15490,16750,15490,173,326156,5289155180,0
105522,16300,16270,15490,16750,15490,174,332551,5393393680,0
105635,16120,16270,15490,16750,15490,175,333351,5406289680,0
105635,16120,16270,15490,16750,15490,176,333551,5409513680,0
105702,16290,16270,15490,16750,15490,177,333901,5415215180,0
110030,16300,16270,15490,16750,15490,178,337506,5473976680,0
110030,16300,16270,15490,16750,15490,179,338246,5486038680,0
110040,16290,16270,15490,16750,15490,180,338746,5494183680,0
110104,16290,16270,15490,16750,15490,181,339413,5505049110,0
110119,16290,16270,15490,16750,15490,182,339651,5508926130,0
110420,16120,16270,15490,16750,15490,183,340451,5521822130,0
110420,16120,16270,15490,16750,15490,184,341251,5534718130,0
110420,16120,16270,15490,16750,15490,185,342851,5560510130,0
110437,16110,16270,15490,16750,15490,186,343351,5568565130,0
110445,16100,16270,15490,16750,15490,187,343651,5573395130,0
110445,16100,16270,15490,16750,15490,188,344041,5579674130,0
110445,16100,16270,15490,16750,15490,189,346041,5611874130,0
110457,16090,16270,15490,16750,15490,190,350994,5691567900,0
110457,16090,16270,15490,16750,15490,191,351994,5707657900,0
110505,16000,16270,15490,16750,15490,192,352634,5717897900,0
110505,16000,16270,15490,16750,15490,193,355634,5765897900,0
110533,15800,16270,15490,16750,15490,194,357588,5796771100,0
110627,15810,16260,15490,16750,15490,195,358588,5812581100,0
110646,15820,16260,15490,16750,15490,196,361492,5858522380,0
110700,15810,16260,15490,16750,15490,197,361992,5866427380,0
110700,15810,16260,15490,16750,15490,198,362622,5876387680,0
110709,15810,16260,15490,16750,15490,199,363622,5892197680,0
110709,15800,16260,15490,16750,15490,200,371388,6014900480,0
110725,15800,16260,15490,16750,15490,201,371668,6019324480,0
110725,15800,16260,15490,16750,15490,202,372388,6030700480,0
110725,16090,16260,15490,16750,15490,203,378341,6126484250,0
110732,16090,16260,15490,16750,15490,204,380279,6157666670,0
110755,15920,16260,15490,16750,15490,205,381221,6172663310,0
110802,15810,16250,15490,16750,15490,206,381661,6179619710,0
110802,15790,16250,15490,16750,15490,207,391661,6337519710,0
110826,16120,16250,15490,16750,15490,208,392961,6358475710,0
110844,15730,16250,15490,16750,15490,209,395186,6393474960,0
111331,15750,16250,15490,16750,15490,210,396137,6408453210,0
111331,15750,16250,15490,16750,15490,211,398691,6448678710,0
111342,15750,16240,15490,16750,15490,212,408691,6606178710,0
111342,15750,16230,15490,16750,15490,213,418691,6763678710,0
111355,15740,16230,15490,16750,15490,214,419191,6771548710,0
111355,15730,16230,15490,16750,15490,215,420675,6794892030,0
111355,15730,16230,15490,16750,15490,216,421675,6810622030,0
111355,15730,16230,15490,16750,15490,217,424675,6857812030,0
111355,15730,16220,15490,16750,15490,218,434171,7007184110,0
111355,15730,16220,15490,16750,15490,219,437386,7057756060,0
111410,15730,16220,15490,16750,15490,220,437886,7065621060,0
111500,15730,16220,15490,16750,15490,221,439152,7085535240,0
111500,15730,16220,15490,16750,15490,222,439574,7092173300,0
111521,15630,16220,15490,16750,15490,223,439924,7097643800,0
111533,15620,16220,15490,16750,15490,224,442391,7136178340,0
111628,15630,16220,15490,16750,15490,225,447391,7214328340,0
111634,15620,16220,15490,16750,15490,226,447424,7214843800,0
111634,15620,16210,15490,16750,15490,227,449424,7246083800,0
111634,15620,16210,15490,16750,15490,228,450424,7261703800,0
111640,15610,16210,15490,16750,15490,229,453424,7308533800,0
111640,15610,16210,15490,16750,15490,230,454424,7324143800,0
111811,15630,16210,15490,16750,15490,231,455064,7334147000,0
111811,15630,16200,15490,16750,15490,232,472537,7607249990,0
111826,15610,16200,15490,16750,15490,233,473537,7622859990,0
111833,15600,16200,15490,16750,15490,234,474537,7638459990,0
111833,15600,16190,15490,16750,15490,235,479537,7716459990,0
111842,15590,16190,15490,16750,15490,236,480537,7732049990,0
111851,15550,16190,15490,16750,15490,237,481937,7753819990,0
111851,15550,16190,15490,16750,15490,238,482432,7761517240,0
111905,15560,16190,15490,16750,15490,239,484432,7792637240,0
111915,15600,16190,15490,16750,15490,240,484960,7800874040,0
111924,15580,16180,15490,16750,15490,241,494960,7956674040,0
111933,15600,16180,15490,16750,15490,242,495660,7967594040,0
111933,15550,16180,15490,16750,15490,243,495990,7972725540,0
111933,15550,16180,15490,16750,15490,244,496373,7978681190,0
111933,15530,16180,15490,16750,15490,245,496873,7986446190,0
111933,15530,16180,15490,16750,15490,246,497873,8001976190,0
112000,15530,16180,15490,16750,15490,247,499073,8020612190,0
112013,15530,16170,15490,16750,15490,248,504939,8111711170,0
112101,15540,16170,15490,16750,15490,249,506690,8138921710,0
112132,15610,16170,15490,16750,15490,250,509690,8185751710,0
112141,15610,16170,15490,16750,15490,251,511190,8209166710,0
112148,15610,16170,15490,16750,15490,252,512442,8228710430,0
112201,15970,16160,15490,16750,15490,253,512942,8236695430,0
112544,15900,16160,15490,16750,15490,254,513442,8244645430,0
112623,15900,16160,15490,16750,15490,255,513942,8252595430,0
113103,15640,16160,15490,16750,15490,256,514942,8268235430,0
113115,15630,16160,15490,16750,15490,257,515832,8282146130,0
113508,15680,16160,15490,16750,15490,258,516616,8294439250,0
113508,15680,16160,15490,16750,15490,259,516935,8299441170,0
113533,15680,16160,15490,16750,15490,260,517769,8312518290,0
113554,15650,16160,15490,16750,15490,261,518769,8328168290,0
113554,15650,16160,15490,16750,15490,262,523769,8406418290,0
113554,15650,16160,15490,16750,15490,263,527269,8461193290,0
113611,15650,16150,15490,16750,15490,264,527769,8469018290,0
113737,15680,16150,15490,16750,15490,265,529017,8488586930,0
113911,15680,16150,15490,16750,15490,266,529819,8501162290,0
113915,15640,16150,15490,16750,15490,267,530319,8508982290,0
113923,15680,16150,15490,16750,15490,268,530649,8514156690,0
113956,15680,16150,15490,16750,15490,269,531049,8520428690,0
114103,15680,16150,15490,16750,15490,270,531332,8524866130,0
114103,15680,16150,15490,16750,15490,271,532049,8536108690,0
114233,15670,16150,15490,16750,15490,272,532801,8547892530,0
114239,15670,16150,15490,16750,15490,273,536584,8607172140,0
114243,15670,16150,15490,16750,15490,274,537234,8617357640,0
114324,15650,16150,15490,16750,15490,275,537947,8628516090,0
114324,15640,16150,15490,16750,15490,276,539195,8648034810,0
114324,15640,16150,15490,16750,15490,277,541195,8679314810,0
114324,15640,16140,15490,16750,15490,278,546195,8757514810,0
114324,15640,16140,15490,16750,15490,279,546840,8767602610,0
114343,15640,16140,15490,16750,15490,280,547840,8783242610,0
114425,15640,16140,15490,16750,15490,281,550451,8824078650,0
114445,15670,16140,15490,16750,15490,282,550593,8826303790,0
114445,15670,16140,15490,16750,15490,283,550811,8829719850,0
114518,15670,16140,15490,16750,15490,284,551135,8834796930,0
114821,15670,16140,15490,16750,15490,285,552093,8849808790,0
114827,15670,16140,15490,16750,15490,286,552143,8850592290,0
114827,15640,16140,15490,16750,15490,287,552593,8857630290,0
114918,15650,16140,15490,16750,15490,288,553030,8864469340,0
114918,15650,16140,15490,16750,15490,289,553530,8872294340,0
114926,15650,16140,15490,16750,15490,290,554593,8888930290,0
114957,15650,16140,15490,16750,15490,291,555870,8908915340,0
115000,15650,16130,15490,16750,15490,292,556893,8924925290,0
115117,15660,16130,15490,16750,15490,293,557223,8930093090,0
115130,15660,16130,15490,16750,15490,294,558153,8944656890,0
115142,15660,16130,15490,16750,15490,295,558814,8955008150,0
115221,15650,16130,15490,16750,15490,296,559029,8958372900,0
115336,15640,16130,15490,16750,15490,297,561268,8993390860,0
115336,15630,16130,15490,16750,15490,298,561598,8998548760,0
115336,15630,16130,15490,16750,15490,299,563462,9027683080,0
115336,15630,16130,15490,16750,15490,300,564462,9043313080,0
115336,15620,16130,15490,16750,15490,301,564699,9047015020,0
115350,15670,16130,15490,16750,15490,302,565029,9052186120,0
115350,15670,16130,15490,16750,15490,303,565128,9053737450,0
115417,15670,16130,15490,16750,15490,304,566029,9067856120,0
115417,15670,16130,15490,16750,15490,305,566399,9073654020,0
115458,15620,16130,15490,16750,15490,306,567399,9089274020,0
115548,15620,16130,15490,16750,15490,307,568162,9101192080,0
115548,15620,16130,15490,16750,15490,308,568798,9111126400,0
115604,15620,16130,15490,16750,15490,309,569858,9127683600,0
115604,15620,16120,15490,16750,15490,310,573798,9189226400,0
115652,15670,16120,15490,16750,15490,311,574763,9204347950,0
115652,15670,16120,15490,16750,15490,312,574860,9205867940,0
115749,15670,16120,15490,16750,15490,313,574933,9207011850,0
115749,15670,16120,15490,16750,15490,314,579227,9274298830,0
115925,15680,16120,15490,16750,15490,315,583691,9344294350,0
115925,15680,16110,15490,16750,15490,316,584391,9355270350,0
115928,15680,16110,15490,16750,15490,317,586391,9386630350,0
120039,15800,16110,15490,16750,15490,318,586911,9394846350,0
120039,15800,16110,15490,16750,15490,319,587611,9405906350,0
120039,15800,16110,15490,16750,15490,320,590621,9453464350,0
120131,15800,16110,15490,16750,15490,321,593121,9492964350,0
120153,15800,16110,15490,16750,15490,322,595121,9524564350,0
120333,15850,16110,15490,16750,15490,323,601121,9619664350,0
120338,15850,16110,15490,16750,15490,324,602121,9635514350,0
120418,15800,16110,15490,16750,15490,325,602268,9637836950,0
120547,15840,16100,15490,16750,15490,326,603574,9658523990,0
120837,15800,16100,15490,16750,15490,327,606433,9703696190,0
120911,15800,16100,15490,16750,15490,328,609649,9754508990,0
120927,15800,16100,15490,16750,15490,329,610443,9767054190,0
121016,15780,16100,15490,16750,15490,330,610836,9773255730,0
121051,15780,16100,15490,16750,15490,331,611705,9786968550,0
121237,15680,16100,15490,16750,15490,332,612036,9792158630,0
121454,15690,16100,15490,16750,15490,333,612436,9798434630,0
121454,15690,16100,15490,16750,15490,334,612943,9806389460,0
121539,15680,16100,15490,16750,15490,335,614943,9837749460,0
121704,15680,16100,15490,16750,15490,336,615448,9845667860,0
121704,15680,16100,15490,16750,15490,337,618625,9895483220,0
121704,15680,16090,15490,16750,15490,338,619625,9911163220,0
121812,15670,16090,15490,16750,15490,339,620101,9918622140,0
121842,15650,16090,15490,16750,15490,340,621101,9934272140,0
121917,15670,16090,15490,16750,15490,341,621406,9939051490,0
121919,15670,16090,15490,16750,15490,342,621736,9944222590,0
121919,15650,16090,15490,16750,15490,343,622372,9954175990,0
121919,15650,16090,15490,16750,15490,344,622872,9962000990,0
