time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,220,23500,25730,4260,3
63938,2,1,5000,23290,25810,750,1
63938,3,1,300,15860,25900,409,1
63938,4,0,0,0,26360,43000,2
63938,5,0,0,0,26410,582,1
84508,1,1,4824,25810,25810,5010,4
84508,2,1,220,23500,25900,409,1
84508,3,1,5000,23290,26360,43000,2
84508,4,1,300,15860,26410,582,1
84508,5,0,0,0,26510,1010,1
84508,5,0,0,0,26510,9910,2
84509,1,2,5024,25900,25900,5419,5
84509,2,1,220,23500,26360,43000,2
84509,3,1,5000,23290,26410,582,1
84509,4,1,300,15860,26510,9910,2
84509,5,0,0,0,26920,2000,1
84510,1,2,5024,23990,23990,17000,1
84510,2,1,220,23500,25730,4260,3
84510,3,1,5000,23290,25810,750,1
84510,4,1,300,15860,25900,409,1
84510,5,0,0,0,26360,43000,2
84518,1,3,10661,23990,23990,17000,1
84538,1,4,12661,23990,23990,17000,1
84540,1,5,13134,23990,23990,17000,1
84551,1,5,13134,23990,23990,17448,2
84608,1,4,7497,23990,23990,17448,2
84634,1,3,2673,23990,23990,17448,2
84645,1,4,3173,23990,23990,17448,2
84649,1,5,11173,23990,23990,17448,2
84651,1,2,2200,24000,24000,448,1
84651,2,3,8973,23990,25730,4260,3
84651,3,1,220,23500,25810,750,1
84651,4,1,5000,23290,25900,409,1
84651,5,1,300,15860,26360,43000,2
84659,2,4,9973,23990,25730,4260,3
84717,2,5,10973,23990,25730,4260,3
84729,5,1,300,15860,26350,4993,1
84742,1,3,2409,24000,24000,448,1
84750,2,4,10473,23990,25730,4260,3
84912,1,4,3409,24000,24000,448,1
84927,1,2,4000,25730,25730,4708,4
84927,2,3,3209,24000,25810,750,1
84927,3,4,10473,23990,25900,409,1
84927,4,1,220,23500,26350,4993,1
84927,5,1,5000,23290,26360,43000,2
84942,1,1,3800,25730,25730,4708,4
85005,2,4,5409,24000,25810,750,1
85008,2,5,6815,24000,25810,750,1
85010,3,5,13096,23990,25900,409,1
85011,4,1,220,23500,26350,6003,2
85027,3,6,23096,23990,25900,409,1
85036,2,1,1839,24490,25810,750,1
85036,3,5,6815,24000,25900,409,1
85036,4,6,23096,23990,26350,6003,2
85036,5,1,220,23500,26360,43000,2
85106,1,1,3800,25730,25730,4928,5
85107,2,5,6815,24000,25810,750,1
85107,3,6,23096,23990,25900,409,1
85107,4,1,220,23500,26350,6003,2
85107,5,1,5000,23290,26360,43000,2
85122,1,5,6815,24000,24000,448,1
85122,2,6,23096,23990,25250,220,1
85122,3,1,220,23500,25730,4260,3
85122,4,1,5000,23290,25810,750,1
85122,5,1,300,15860,25900,409,1
85124,1,1,2000,25730,25730,4928,5
85124,2,5,6815,24000,25810,750,1
85124,3,6,23096,23990,25900,409,1
85124,4,1,220,23500,26350,6003,2
85124,5,1,5000,23290,26360,43000,2
85142,3,7,23596,23990,25900,409,1
85143,2,6,7671,24000,25810,750,1
85144,2,1,1783,25250,25810,750,1
85144,3,6,7671,24000,25900,409,1
85144,4,7,23596,23990,26350,6003,2
85144,5,1,220,23500,26360,43000,2
85155,3,1,620,24100,25900,409,1
85155,4,6,7671,24000,26350,6003,2
85155,5,7,23596,23990,26360,43000,2
85231,4,1,1300,24010,26350,6003,2
85231,5,6,7671,24000,26360,43000,2
85304,1,2,2600,25730,25730,4928,5
85311,3,1,49550,24450,25900,409,1
85311,4,1,620,24100,26350,6003,2
85311,5,1,1300,24010,26360,43000,2
85344,4,2,1120,24100,26350,6003,2
85359,3,1,1300,24460,25900,409,1
85359,4,1,49550,24450,26350,6003,2
85359,5,2,1120,24100,26360,43000,2
85409,1,3,3041,25730,25730,4928,5
85423,1,2,2441,25730,25730,4928,5
85430,5,1,620,24220,26360,43000,2
85432,3,1,10000,24700,25900,409,1
85432,4,1,1300,24460,26350,6003,2
85432,5,1,49550,24450,26360,43000,2
85445,3,1,500,25220,25900,409,1
85445,4,1,10000,24700,26350,6003,2
85445,5,1,1300,24460,26360,43000,2
85454,1,3,4222,25730,25730,4928,5
85511,4,1,10000,24700,26350,6317,3
85511,1,4,4822,25730,25730,4928,5
85526,4,1,10000,24700,26350,8695,4
85551,5,2,2114,24460,26360,43000,2
85652,1,5,9644,25730,25730,4928,5
85717,2,1,7829,25450,25810,750,1
85717,3,1,1783,25250,25900,409,1
85717,4,1,500,25220,26350,8695,4
85717,5,1,10000,24700,26360,43000,2
85815,4,2,2700,25220,26350,8695,4
85835,1,6,9839,25730,25730,4928,5
85835,4,2,2700,25220,26350,14404,5
85836,5,2,10850,24700,26360,43000,2
85847,3,2,16783,25250,25900,409,1
85854,5,1,3985,25000,26360,43000,2
85855,5,1,5000,25210,26360,43000,2
85920,1,6,9839,25730,25730,7228,6
85926,4,2,2700,25220,26200,1000,1
85926,5,1,5000,25210,26350,14404,5
85934,1,7,10339,25730,25730,7228,6
85939,2,1,7829,25450,25810,1750,2
85943,1,7,10339,25710,25710,10599,3
85943,2,1,7829,25450,25730,6560,4
85943,3,2,16783,25250,25810,1750,2
85943,4,2,2700,25220,25900,409,1
85943,5,1,5000,25210,26200,1000,1
85958,1,8,10539,25710,25710,10599,3
90009,1,8,10539,25710,25710,11099,4
90010,1,9,15539,25710,25710,11099,4
90014,1,9,15539,25710,25710,12099,5
90019,1,1,3440,25710,25730,6560,4
90019,2,1,7829,25450,25810,1750,2
90019,3,2,16783,25250,25900,409,1
90019,4,2,2700,25220,26200,1000,1
90019,5,1,5000,25210,26350,14404,5
90032,2,1,7829,25450,25810,2750,3
90034,1,1,3240,25710,25730,6560,4
90034,1,2,4240,25710,25730,6560,4
90037,1,1,440,25730,25810,2750,3
90037,2,2,4240,25710,25900,409,1
90037,3,1,7829,25450,26200,1000,1
90037,4,2,16783,25250,26350,14404,5
90037,5,2,2700,25220,26360,43000,2
90037,2,3,5240,25710,25900,409,1
90042,1,1,440,25730,25810,2386,3
90042,3,1,7829,25450,26000,200,1
90042,4,2,16783,25250,26200,1000,1
90042,5,2,2700,25220,26350,14404,5
90044,1,2,4315,25730,25810,2386,3
90045,3,1,7829,25450,25980,200,1
90045,4,2,16783,25250,26000,200,1
90045,5,2,2700,25220,26200,1000,1
90047,5,2,2700,25220,26200,16617,2
90050,1,1,10000,25740,25810,2386,3
90050,2,2,4315,25730,25900,409,1
90050,3,3,5240,25710,25980,200,1
90050,4,1,7829,25450,26000,200,1
90050,5,2,16783,25250,26200,16617,2
90050,2,3,11315,25730,25900,409,1
90052,1,1,10000,25740,25810,2155,3
90055,1,1,10000,25740,25810,2655,4
90055,2,4,17123,25730,25900,409,1
90100,1,1,10000,25740,25810,1655,3
90102,3,4,10240,25710,25980,200,1
90110,1,2,11000,25740,25810,1655,3
90110,3,3,9240,25710,25980,200,1
90119,1,2,11000,25740,25810,1401,2
90121,1,2,11000,25740,25810,101,1
90126,1,1,1000,25740,25810,101,1
90126,5,2,16783,25250,26200,19117,3
90127,1,1,1399,25810,25900,409,1
90127,2,1,1000,25740,25980,200,1
90127,3,4,17123,25730,26000,200,1
90127,4,3,9240,25710,26200,19117,3
90127,5,1,7829,25450,26280,5000,1
90129,3,5,21023,25730,26000,200,1
90137,3,6,27460,25730,26000,200,1
90137,1,1,1399,25810,25900,109,1
90140,1,1,1399,25810,25900,309,2
90141,1,1,691,25900,25980,200,1
90141,2,1,1399,25810,26000,200,1
90141,3,1,1000,25740,26200,19117,3
90141,4,6,27460,25730,26280,5000,1
90141,5,2,8240,25710,26350,14404,5
90147,1,1,1399,25810,25900,11597,1
90147,2,1,1000,25740,25980,200,1
90147,3,6,27460,25730,26000,200,1
90147,4,2,8240,25710,26200,19117,3
90147,5,1,7829,25450,26280,5000,1
90149,5,1,7829,25450,26250,2800,1
90149,1,1,5000,25820,25900,11597,1
90149,2,1,1399,25810,25980,200,1
90149,3,1,1000,25740,26000,200,1
90149,4,6,27460,25730,26200,19117,3
90149,5,2,8240,25710,26250,2800,1
90150,4,6,27460,25730,26100,243,1
90150,5,2,8240,25710,26200,19117,3
90153,1,1,5000,25820,25900,7612,1
90155,1,1,5000,25820,25890,10000,1
90155,2,1,1399,25810,25900,7612,1
90155,3,1,1000,25740,25980,200,1
90155,4,6,27460,25730,26000,200,1
90155,5,2,8240,25710,26100,243,1
90204,1,1,5000,25820,25890,2331,1
