time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63127,1,0,0,0,3700,2000,1
63127,2,0,0,0,3770,3500,1
63127,3,0,0,0,3779,5000,1
63127,4,0,0,0,3810,10000,1
63127,5,0,0,0,3821,30000,1
84509,4,0,0,0,3780,80000,1
84509,5,0,0,0,3810,10000,1
84513,1,1,2500,3450,3700,2000,1
84514,2,1,15000,3427,3770,3500,1
84514,3,1,11300,3420,3779,5000,1
84519,4,0,0,0,3780,82500,2
84521,3,1,11300,3420,3772,3000,1
84521,4,0,0,0,3779,5000,1
84521,5,0,0,0,3780,82500,2
84542,2,1,20000,3430,3770,3500,1
84542,3,1,15000,3427,3772,3000,1
84542,4,1,11300,3420,3779,5000,1
84543,1,1,20000,3560,3700,2000,1
84543,2,1,2500,3450,3770,3500,1
84543,3,1,20000,3430,3772,3000,1
84543,4,1,15000,3427,3779,5000,1
84543,5,1,11300,3420,3780,82500,2
84551,1,1,20000,3560,3700,24419,2
84552,5,2,17224,3420,3780,82500,2
84554,5,2,17224,3420,3780,132500,3
84602,1,1,200000,3600,3700,24419,2
84602,2,1,20000,3560,3770,3500,1
84602,3,1,2500,3450,3772,3000,1
84602,4,1,20000,3430,3779,5000,1
84602,5,1,15000,3427,3780,132500,3
84609,1,1,200000,3600,3700,25919,3
84632,2,1,20000,3560,3769,2000,1
84632,3,1,2500,3450,3770,3500,1
84632,4,1,20000,3430,3772,3000,1
84632,5,1,15000,3427,3779,5000,1
84632,3,2,5300,3450,3770,3500,1
84632,3,1,28067,3550,3770,3500,1
84632,4,2,5300,3450,3772,3000,1
84632,5,1,20000,3430,3779,5000,1
84646,1,1,5553,3700,3700,25919,3
84646,2,1,200000,3600,3769,2000,1
84646,3,1,20000,3560,3770,3500,1
84646,4,1,28067,3550,3772,3000,1
84646,5,2,5300,3450,3779,5000,1
84654,5,2,5300,3450,3779,19622,2
84702,1,1,5553,3700,3700,27319,4
84704,2,1,200000,3600,3740,1500,1
84704,3,1,20000,3560,3769,2000,1
84704,4,1,28067,3550,3770,3500,1
84704,5,2,5300,3450,3772,3000,1
84719,1,2,7053,3700,3700,27319,4
84735,5,3,49300,3450,3772,3000,1
84736,1,2,7053,3700,3700,32320,5
84752,1,3,207053,3600,3600,22419,1
84752,2,1,20000,3560,3698,1400,1
84752,3,1,28067,3550,3700,8501,3
84752,4,3,49300,3450,3740,1500,1
84752,5,1,20000,3430,3769,2000,1
