time,last,close,open,high,low,count,volume,value,discarded
64130,22050,22303,0,0,0,0,0,0,0
90047,23280,22310,23280,23280,23280,1,4898,114025440,0
90047,23280,22313,23280,23280,23280,2,7228,168267840,0
90047,23280,22315,23280,23280,23280,3,8529,198555120,0
90047,23280,22317,23280,23280,23280,4,9829,228819120,0
90047,23280,22318,23280,23280,23280,5,10655,248048400,0
90047,23280,22319,23280,23280,23280,6,10939,254659920,0
90047,23280,22319,23280,23280,23280,7,11041,257034480,0
90047,23280,22319,23280,23280,23280,8,11110,258640800,0
90047,23280,22319,23280,23280,23280,9,11134,259199520,0
90051,22530,22319,23280,23280,22530,10,11974,278124720,0
90055,22530,22320,23280,23280,22530,11,12574,291642720,0
90110,22530,22321,23280,23280,22530,12,15762,363468360,0
90112,23270,22324,23280,23280,22530,13,17796,410799540,0
90202,22340,22324,23280,23280,22340,14,18184,419467460,0
90203,23240,22324,23280,23280,22340,15,18484,426439460,0
90203,23240,22325,23280,23280,22340,16,19238,443962420,0
90203,23240,22331,23280,23280,22340,17,23608,545521220,0
90203,23240,22335,23280,23280,22340,18,26308,608269220,0
90203,23240,22338,23280,23280,22340,19,28184,651867460,0
90206,22345,22339,23280,23280,22340,20,58184,1322217460,0
90206,22340,22339,23280,23280,22340,21,58296,1324719540,0
90206,22340,22340,23280,23280,22340,22,58596,1331421540,0
90211,22333,22342,23280,23280,22333,23,103596,2336406540,0
90221,22333,22342,23280,23280,22333,24,108637,2448987193,0
90232,22340,22342,23280,23280,22333,25,121965,2746734713,0
90233,22340,22342,23280,23280,22333,26,122215,2752319713,0
90238,23200,22369,23280,23280,22333,27,142215,3216319713,0
90238,23200,22370,23280,23280,22333,28,143215,3239519713,0
90240,22340,22371,23280,23280,22333,29,144117,3259670393,0
90243,23200,22372,23280,23280,22333,30,144901,3277859193,0
90249,22340,22372,23280,23280,22333,31,145841,3298858793,0
90259,22340,22372,23280,23280,22333,32,150290,3398249453,0
90308,22341,22372,23280,23280,22333,33,150790,3409419953,0
90308,22340,22372,23280,23280,22333,34,155290,3509949953,0
90332,23100,22396,23280,23280,22333,35,175290,3971949953,0
90332,23100,22397,23280,23280,22333,36,176368,3996851753,0
90344,22350,22397,23280,23280,22333,37,177504,4022241353,0
90344,22350,22397,23280,23280,22333,38,178168,4037081753,0
90359,22354,22397,23280,23280,22333,39,179706,4071462205,0
90404,23080,22401,23280,23280,22333,40,182706,4140702205,0
90411,22354,22401,23280,23280,22333,41,185206,4196587205,0
90444,22355,22401,23280,23280,22333,42,185456,4202175955,0
90524,22370,22402,23280,23280,22333,43,193013,4371226045,0
90551,22999,22403,23280,23280,22333,44,193811,4389579247,0
90551,22999,22403,23280,23280,22333,45,194013,4394225045,0
90648,22980,22408,23280,23280,22333,46,198713,4502231045,0
90803,22555,22408,23280,23280,22333,47,198943,4507418695,0
90818,22949,22408,23280,23280,22333,48,199443,4518893195,0
90818,22949,22409,23280,23280,22333,49,200332,4539294856,0
90818,22950,22416,23280,23280,22333,50,207543,4704787306,0
90825,22950,22428,23280,23280,22333,51,220332,4998294856,0
90832,22600,22428,23280,23280,22333,52,220590,5004125656,0
90836,22950,22431,23280,23280,22333,53,222969,5058723706,0
90909,22750,22431,23280,23280,22333,54,224220,5087183956,0
90935,22601,22432,23280,23280,22333,55,224420,5091704156,0
90943,22750,22434,23280,23280,22333,56,228169,5176993906,0
90943,22750,22434,23280,23280,22333,57,228422,5182749656,0
90946,22750,22435,23280,23280,22333,58,229312,5202997156,0
