time,count,volume,price,discarded
90023,1,5000,2990,0
90044,2,3000,2860,0
90044,3,100000,2860,0
90048,4,2177,2860,0
90056,5,2000,2858,0
90056,6,3950,2858,0
90107,7,3832,2860,0
90111,8,3000,2860,0
90114,9,19991,2860,0
90114,10,9000,2860,0
90206,11,7264,2880,0
90206,12,17476,2870,0
90206,13,260,2870,0
90222,14,4863,2880,0
90222,15,4740,2870,0
90222,16,10000,2870,0
90222,17,10300,2870,0
90222,18,5800,2860,0
90222,19,10000,2860,0
90222,20,25000,2860,0
90222,21,23953,2860,0
90222,22,6050,2858,0
90222,23,199294,2858,0
90227,24,184950,2858,0
90230,25,10000,2990,0
90255,26,5000,2887,0
90259,27,3623,2887,0
90259,28,6858,2860,0
90311,29,16377,2860,0
90313,30,80,2860,0
90323,31,26685,2860,0
90323,32,41878,2860,0
90323,33,73129,2860,0
90328,34,7000,2870,0
90402,35,1615,2890,0
90447,36,2000,2891,0
90450,37,4535,2891,0
90458,38,3832,2930,0
90514,39,16485,2930,0
90517,40,7487,2933,0
90621,41,10000,2880,0
90637,42,2000,2878,0
90637,43,4386,2877,0
90639,44,6628,2877,0
90644,45,5000,2880,0
90704,46,5000,2880,0
90718,47,14538,2880,0
90806,48,40000,2930,0
90809,49,4670,2930,0
90816,50,4000,2931,0
90820,51,6000,2931,0
90820,52,5330,2930,0
90820,53,50000,2930,0
90837,54,15000,2923,0
91016,55,10000,2922,0
91022,56,3000,2901,0
91023,57,5000,2901,0
91034,58,2000,2901,0
91039,59,3434,2901,0
91040,60,1825,2900,0
91040,61,292,2900,0
91048,62,1458,2900,0
91048,63,59160,2897,0
91048,64,10000,2901,0
91049,65,6847,2901,0
91053,66,5300,2901,0
91100,67,10057,2897,0
91131,68,3089,2901,0
91137,69,24791,2922,0
91137,70,5000,2922,0
91147,71,16365,2922,0
91147,72,12800,2922,0
91148,73,7439,2922,0
91245,74,2360,2922,0
91249,75,10000,2922,0
91355,76,6165,2921,0
91407,77,3411,2920,0
91434,78,2000,2911,0
91434,79,10000,2911,0
91434,80,3880,2910,0
91434,81,6911,2909,0
91434,82,157209,2902,0
91506,83,2500,2903,0
91506,84,2213,2903,0
91514,85,2000,2904,0
91514,86,7787,2903,0
91514,87,20530,2902,0
91521,88,80000,2902,0
91525,89,2177,2920,0
91525,90,1658,2921,0
91545,91,2177,2921,0
91556,92,2177,2922,0
91600,93,5000,2902,0
91623,94,20000,2922,0
91624,95,21980,2922,0
91624,96,3720,2922,0
91624,97,5200,2922,0
91626,98,2449,2923,0
91626,99,6000,2923,0
91626,100,9980,2933,0
91626,101,1000,2933,0
91626,102,2500,2979,0
91626,103,4863,2979,0
91634,104,17476,2979,0
91643,105,6605,2980,0
91655,106,13424,2979,0
91712,107,2000,2978,0
91741,108,110,2923,0
91815,109,2080,2924,0
91825,110,6320,2924,0
91825,111,96,2924,0
91832,112,10000,2955,0
91849,113,5400,2955,0
91853,114,1722,2950,0
91853,115,278,2924,0
91857,116,8654,2925,0
91902,117,1346,2925,0
91902,118,8654,2924,0
91910,119,2940,2955,0
91942,120,388,2925,0
91942,121,6612,2955,0
91957,122,41443,2955,0
91957,123,1500,2955,0
92056,124,3,2924,0
92059,125,1065,2924,0
92059,126,9935,2924,0
92130,127,1750,2926,0
92131,128,4250,2926,0
92131,129,2500,2977,0
92131,130,2000,2978,0
92131,131,750,2984,0
92210,132,1750,2984,0
92210,133,2500,2984,0
92211,134,3000,2927,0
92309,135,5000,2980,0
92322,136,1000,2980,0
92331,137,2500,2984,0
92334,138,41878,2985,0
92334,139,8000,2986,0
92334,140,2500,2990,0
92334,141,20486,2990,0
92334,142,27136,2990,0
92336,143,100000,2990,0
92359,144,13930,2980,0
92413,145,4070,2980,0
92418,146,32864,2950,0
92437,147,2245,2980,0
92529,148,2500,2997,0
92616,149,5100,2997,0
92639,150,5000,2958,0
92646,151,3000,2958,0
92657,152,3700,2957,0
92658,153,6300,2957,0
92658,154,5000,2957,0
92658,155,5000,2956,0
92658,156,67000,2955,0
92658,157,60075,2952,0
92658,158,17136,2950,0
92658,159,47884,2940,0
92658,160,95,2940,0
92714,161,1800,2960,0
92723,162,74200,2960,0
92759,163,25800,2960,0
92759,164,10000,2960,0
92759,165,10000,2960,0
92808,166,4200,2960,0
92826,167,19450,2961,0
92844,168,50135,2961,0
92905,169,22356,2961,0
92905,170,5644,2961,0
92929,171,4356,2961,0
92933,172,11500,2961,0
92938,173,42800,2960,0
92938,174,9000,2960,0
93005,175,2190,2950,0
93030,176,32921,2960,0
93030,177,26698,2961,0
93030,178,1347,2961,0
93030,179,50000,2980,0
93037,180,5200,2960,0
93037,181,25400,2997,0
93037,182,20000,2997,0
93053,183,2000,3000,0
93053,184,600,3000,0
93053,185,1188,3000,0
93053,186,3000,3000,0
93053,187,1220,3000,0
93053,188,35000,3000,0
93053,189,783,3007,0
93053,190,20000,3010,0
93053,191,5000,3010,0
93053,192,10300,3040,0
93053,193,1800,3044,0
93102,194,1810,2950,0
93102,195,1284,2950,0
93106,196,2260,2960,0
93110,197,2000,3045,0
93110,198,40000,3049,0
93110,199,900,3050,0
93110,200,33143,3050,0
93110,201,43395,3050,0
93110,202,100,3059,0
93110,203,2500,3059,0
93110,204,100,3060,0
93110,205,2000,3060,0
93127,206,20000,3067,0
93127,207,2000,3070,0
93127,208,2000,3090,0
93127,209,73129,3090,0
93128,210,10000,3000,0
93136,211,2500,3090,0
93213,212,3000,3080,0
93240,213,2307,3080,0
93240,214,1436,3080,0
93240,215,564,3080,0
93240,216,10000,3080,0
93240,217,2000,3080,0
93240,218,2000,3080,0
93240,219,9653,3080,0
93244,220,7344,3080,0
93258,221,42656,3080,0
93258,222,13905,3090,0
93258,223,2000,3090,0
93258,224,10000,3090,0
93336,225,4000,3020,0
93417,226,1682,3079,0
93503,227,10000,3050,0
93514,228,318,3079,0
93514,229,3687,3079,0
93552,230,2000,3040,0
93608,231,1425,3020,0
93614,232,1880,3010,0
93614,233,120,3001,0
93637,234,3580,3001,0
93637,235,9284,3001,0
93645,236,716,3001,0
93645,237,4709,3001,0
93655,238,169,3020,0
93655,239,4000,3070,0
93655,240,17544,3078,0
93655,241,16313,3079,0
93655,242,30000,3079,0
93655,243,2000,3079,0
93655,244,1000,3088,0
93655,245,87500,3089,0
93655,246,20000,3090,0
93655,247,2000,3090,0
93655,248,10000,3090,0
93655,249,9474,3090,0
93658,250,10000,3001,0
93726,251,1789,3003,0
93726,252,28547,3002,0
93745,253,1731,3087,0
93745,254,28547,3087,0
93745,255,20000,3088,0
93745,256,45637,3088,0
93758,257,1779,3003,0
93909,258,1779,3079,0
93909,259,10000,3080,0
93909,260,33629,3080,0
93909,261,8221,3087,0
93929,262,1779,3007,0
93938,263,1535,3007,0
94034,264,9000,3013,0
94059,265,1779,3087,0
94059,266,5221,3087,0
94242,267,3486,3020,0
94408,268,3000,3080,0
94408,269,3500,3080,0
94427,270,1100,3025,0
94438,271,1600,3080,0
94438,272,4000,3080,0
94537,273,2000,3079,0
94551,274,9946,3040,0
94602,275,54,3040,0
94602,276,20000,3075,0
94809,277,700,3035,0
94834,278,3948,3040,0
94948,279,731,3040,0
95020,280,8269,3040,0
95045,281,10000,3050,0
95205,282,2415,3035,0
95336,283,3207,3035,0
95341,284,1700,3040,0
95501,285,8000,3049,0
95558,286,2000,3049,0
95611,287,5194,3040,0
95611,288,2994,3040,0
95625,289,5806,3040,0
95659,290,914,3040,0
95659,291,1203,3040,0
