time,last,close,open,high,low,count,volume,value,discarded
64129,16409,16591,0,0,0,0,0,0,0
90045,16990,16591,16990,16990,16990,1,546,9276540,0
90045,16990,16591,16990,16990,16990,2,837,14220630,0
90053,16750,16592,16990,16990,16750,3,4337,72845630,0
90129,16750,16592,16990,16990,16750,4,6337,106345630,0
90144,16750,16593,16990,16990,16750,5,10337,173345630,0
90222,16750,16593,16990,16990,16750,6,11837,198470630,0
90228,16750,16594,16990,16990,16750,7,16337,273845630,0
90228,16750,16594,16990,16990,16750,8,16737,280545630,0
90228,16750,16598,16990,16990,16750,9,36737,615545630,0
90347,16735,16598,16990,16990,16735,10,37237,623913130,0
90347,16750,16599,16990,16990,16735,11,43737,732788130,0
90403,16460,16599,16990,16990,16460,12,44093,738647890,0
90607,16460,16599,16990,16990,16460,13,44342,742746430,0
90607,16460,16597,16990,16990,16460,14,54342,907346430,0
90607,16460,16594,16990,16990,16460,15,79085,1314616210,0
90618,16370,16594,16990,16990,16370,16,79605,1323128610,0
90648,16330,16592,16990,16990,16330,17,85715,1422904910,0
90707,16330,16591,16990,16990,16330,18,88658,1470964100,0
90756,16370,16591,16990,16990,16330,19,89058,1477512100,0
90809,16370,16591,16990,16990,16330,20,89658,1487334100,0
90848,16370,16590,16990,16990,16330,21,91058,1510252100,0
90852,16370,16590,16990,16990,16330,22,91368,1515326800,0
90907,16380,16590,16990,16990,16330,23,92368,1531706800,0
90917,16380,16590,16990,16990,16330,24,93028,1542517600,0
91013,16380,16590,16990,16990,16330,25,93368,1548086800,0
91032,16380,16590,16990,16990,16330,26,94368,1564466800,0
91110,16380,16589,16990,16990,16330,27,95368,1580846800,0
91132,16390,16589,16990,16990,16330,28,96368,1597236800,0
91249,16380,16589,16990,16990,16330,29,97368,1613616800,0
91310,16380,16589,16990,16990,16330,30,98635,1634370260,0
91407,16590,16589,16990,16990,16330,31,99335,1645983260,0
91423,16590,16589,16990,16990,16330,32,100235,1660914260,0
91516,16590,16589,16990,16990,16330,33,107900,1788076610,0
91516,16590,16589,16990,16990,16330,34,110225,1826648360,0
91516,16590,16589,16990,16990,16330,35,118210,1959119510,0
91542,16390,16588,16990,16990,16330,36,119210,1975509510,0
91542,16390,16587,16990,16990,16330,37,123902,2052411390,0
91542,16390,16587,16990,16990,16330,38,124902,2068801390,0
91615,16380,16587,16990,16990,16330,39,125295,2075238730,0
91615,16380,16587,16990,16990,16330,40,125552,2079448390,0
91617,16390,16587,16990,16990,16330,41,126552,2095838390,0
91630,16390,16587,16990,16990,16330,42,127552,2112228390,0
91634,16390,16586,16990,16990,16330,43,132093,2186655380,0
91702,16390,16585,16990,16990,16330,44,132552,2194178390,0
91702,16390,16585,16990,16990,16330,45,133093,2203045380,0
91754,16390,16585,16990,16990,16330,46,134552,2226958390,0
91754,16390,16583,16990,16990,16330,47,143493,2373501380,0
92009,16391,16582,16990,16990,16330,48,150312,2485271609,0
92034,16391,16579,16990,16990,16330,49,162483,2684766470,0
92037,16391,16578,16990,16990,16330,50,167483,2766721470,0
92118,16390,16577,16990,16990,16330,51,171057,2825299330,0
92132,16390,16576,16990,16990,16330,52,173739,2869257310,0
92132,16390,16576,16990,16990,16330,53,174907,2888400830,0
92159,16391,16576,16990,16990,16330,54,175063,2890957826,0
92201,16590,16576,16990,16990,16330,55,175663,2900911826,0
92209,16391,16576,16990,16990,16330,56,175907,2904911230,0
92209,16390,16576,16990,16990,16330,57,176739,2918547710,0
92209,16390,16576,16990,16990,16330,58,177739,2934937710,0
92209,16390,16575,16990,16990,16330,59,180167,2974732630,0
92226,16390,16575,16990,16990,16330,60,182167,3007512630,0
92247,16380,16575,16990,16990,16330,61,182275,3009281670,0
