time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63127,1,0,0,0,16043,43144,15
63127,2,0,0,0,16046,173340,5
63127,3,0,0,0,16073,11515,3
63127,4,0,0,0,16080,38222,8
63127,5,0,0,0,16700,15050,1
84501,1,0,0,0,16040,343042,3
84501,2,0,0,0,16043,43144,15
84501,3,0,0,0,16046,173340,5
84501,4,0,0,0,16073,11515,3
84501,5,0,0,0,16080,38222,8
84502,1,0,0,0,16040,757337,8
84502,1,0,0,0,16040,801215,11
84502,1,0,0,0,16040,1254372,15
84503,1,0,0,0,16040,1887153,25
84503,1,0,0,0,16040,1904542,28
84503,1,0,0,0,16040,2145675,34
84504,1,0,0,0,16040,2293599,38
84504,1,0,0,0,16040,2606109,42
84504,1,0,0,0,16040,2997427,49
84505,1,0,0,0,16040,3160980,51
84505,1,0,0,0,16040,3220980,52
84505,1,0,0,0,16040,3290050,57
84505,1,0,0,0,16040,3303718,58
84506,1,0,0,0,16040,3577243,62
84506,1,0,0,0,16040,3646687,64
84507,1,0,0,0,16040,3673216,65
84507,1,0,0,0,16040,3877226,67
84507,1,0,0,0,16040,3884343,68
84507,1,0,0,0,16040,3889821,69
84507,1,0,0,0,16040,3906245,70
84508,1,0,0,0,16040,3928846,73
84508,1,0,0,0,16040,3941188,76
84508,1,0,0,0,16040,4074781,78
84508,1,0,0,0,16040,4118653,81
84508,1,0,0,0,16040,4455369,84
84509,1,0,0,0,16040,4464451,85
84509,1,0,0,0,16040,4465373,86
84509,1,0,0,0,16040,4544262,92
84509,1,0,0,0,16040,4568942,95
84510,1,0,0,0,16040,4752925,98
84510,1,0,0,0,16040,4952925,99
84510,1,0,0,0,16040,4993419,101
84510,1,0,0,0,16040,5140853,104
84510,1,0,0,0,16040,5200427,107
84511,1,0,0,0,16040,5411821,111
84511,1,0,0,0,16040,5454387,114
84511,1,0,0,0,16040,5464783,115
84511,1,0,0,0,16040,5549508,119
84511,1,0,0,0,16040,5945908,121
84511,2,0,0,0,16043,143144,16
84511,1,0,0,0,16040,6145908,122
84512,1,0,0,0,16040,6146213,123
84512,1,0,0,0,16040,6186298,129
84512,2,0,0,0,16043,142786,15
84512,1,0,0,0,16040,6188709,131
84512,1,0,0,0,16040,6190742,133
84513,1,0,0,0,16040,6207638,135
84513,2,0,0,0,16043,154805,16
84513,1,0,0,0,16040,6234078,140
84513,1,0,0,0,16040,6284078,141
84513,1,0,0,0,16040,6322833,142
84513,1,0,0,0,16040,6428824,147
84514,1,0,0,0,16040,6439916,148
84514,2,0,0,0,16043,154925,17
84514,1,0,0,0,16040,6502115,153
84514,1,0,0,0,16040,6661930,159
84514,2,0,0,0,16043,164866,18
84514,1,0,0,0,16040,7076930,162
84515,1,0,0,0,16040,7101755,167
84515,2,0,0,0,16043,163266,17
84515,1,0,0,0,16040,7135539,174
84515,1,0,0,0,16040,7784193,180
84515,1,0,0,0,16040,7998956,186
84516,1,0,0,0,16040,8008856,188
84516,1,0,0,0,16040,8208543,193
84516,1,0,0,0,16040,8414543,195
84516,1,0,0,0,16040,8539128,199
84517,1,0,0,0,16040,8579238,203
84517,2,0,0,0,16043,160229,16
84517,1,0,0,0,16040,8642787,207
84517,1,0,0,0,16040,8687683,210
84518,1,0,0,0,16040,8692592,211
84518,1,0,0,0,16040,8897973,215
84518,1,0,0,0,16040,9059792,217
84518,2,0,0,0,16043,156229,15
84518,1,0,0,0,16040,9065102,218
84518,1,0,0,0,16040,9081033,222
84519,1,0,0,0,16040,9400799,230
84519,1,0,0,0,16040,9401988,231
84519,1,0,0,0,16040,9412298,235
84519,1,0,0,0,16040,9418720,238
84520,1,0,0,0,16040,9424313,239
84520,1,0,0,0,16040,9509452,240
84521,1,0,0,0,16040,9511352,241
84521,1,0,0,0,16040,9512317,242
84521,1,0,0,0,16040,9513647,243
84522,1,0,0,0,16040,9553806,244
84522,1,0,0,0,16040,9555266,245
84523,1,0,0,0,16040,9559927,246
84524,2,0,0,0,16043,182495,16
84524,1,0,0,0,16040,9596470,248
84524,1,0,0,0,16040,9597150,249
84524,1,0,0,0,16040,9589150,248
84524,1,0,0,0,16040,9589400,249
84525,1,0,0,0,16040,9748580,250
84525,1,0,0,0,16040,9764226,251
84526,1,0,0,0,16040,9764740,252
84526,1,0,0,0,16040,9766714,253
84527,1,0,0,0,16040,9767785,254
84527,1,0,0,0,16040,9796035,255
84528,1,0,0,0,16040,9804035,256
84528,1,0,0,0,16040,9796035,255
84528,1,0,0,0,16040,9796741,256
84529,1,0,0,0,16040,9813691,257
84529,1,0,0,0,16040,9812471,256
84530,3,0,0,0,16046,2911,4
84530,1,0,0,0,16040,9826664,257
84530,1,0,0,0,16040,9854291,258
84531,1,0,0,0,16040,10008020,259
84531,1,0,0,0,16040,10018119,260
84532,1,0,0,0,16040,10218119,261
84532,1,0,0,0,16040,10221496,262
84532,1,0,0,0,16040,10235021,264
