time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,14910,18660,19180,7000,1
63938,2,2,628,18330,20000,50000,1
63938,3,0,0,0,20020,302,1
63938,4,0,0,0,20100,11000,1
63938,5,0,0,0,20220,11000,1
84501,4,0,0,0,20100,30690,2
84504,4,0,0,0,20100,33190,3
84504,1,2,19910,18660,19180,7000,1
84507,2,2,628,18330,19720,565,1
84507,3,0,0,0,20000,50000,1
84507,4,0,0,0,20020,302,1
84507,5,0,0,0,20100,33190,3
84520,3,1,2000,18200,20000,50000,1
84530,3,1,46000,18250,20000,50000,1
84530,4,1,2000,18200,20020,302,1
84544,5,0,0,0,20100,33806,4
84549,1,2,19910,18660,19180,8000,2
84549,4,2,92000,18200,20020,302,1
84551,3,2,92000,18200,20000,50000,1
84551,4,0,0,0,20020,302,1
84613,1,2,19910,18660,19180,8298,3
84613,3,3,94000,18200,20000,50000,1
84705,3,3,94000,18200,19800,4800,1
84705,4,0,0,0,20000,50000,1
84705,5,0,0,0,20020,302,1
84731,3,4,94300,18200,19800,4800,1
84732,1,2,19910,18660,19180,1298,2
84804,3,1,278,18250,19800,4800,1
84804,4,4,94300,18200,20000,50000,1
84808,4,5,194300,18200,20000,50000,1
84817,4,1,2000,18210,20000,50000,1
84817,5,5,194300,18200,20020,302,1
84823,5,5,194300,18200,20020,100302,2
84829,5,6,194834,18200,20020,100302,2
84832,2,2,628,18330,19720,4924,2
84836,1,1,1000,18700,19180,1298,2
84836,2,2,19910,18660,19720,4924,2
84836,3,2,628,18330,19800,4800,1
84836,4,1,278,18250,20000,50000,1
84836,5,1,2000,18210,20020,100302,2
84844,3,2,628,18330,19790,300,1
84844,4,1,278,18250,19800,4800,1
84844,5,1,2000,18210,20000,50000,1
84848,1,2,1319,18700,19180,1298,2
84855,5,1,2000,18210,20000,50300,2
84914,3,1,300,18640,19790,300,1
84914,4,2,628,18330,19800,4800,1
84914,5,1,278,18250,20000,50300,2
85031,5,1,1600,18300,20000,50300,2
85050,5,1,1600,18300,20000,52300,3
85136,5,1,1600,18300,20000,53309,4
85252,2,2,19910,18660,19720,565,1
85310,1,18,227258,18200,18200,34571,1
85310,2,0,0,0,19180,1298,2
85310,3,0,0,0,19720,565,1
85310,4,0,0,0,19790,300,1
85310,5,0,0,0,19800,4800,1
85315,1,2,1319,18700,19180,1298,2
85315,2,2,19910,18660,19720,565,1
85315,3,1,300,18640,19790,300,1
85315,4,2,628,18330,19800,4800,1
85315,5,1,1600,18300,19990,4359,1
85344,1,3,6319,18700,19180,1298,2
85407,1,1,314,19000,19180,1298,2
85407,2,3,6319,18700,19720,565,1
85407,3,2,19910,18660,19790,300,1
85407,4,1,300,18640,19800,4800,1
85407,5,2,628,18330,19990,4359,1
85424,5,2,628,18330,19990,4613,2
85442,5,1,300,18500,19990,4613,2
85449,3,2,19910,18660,19780,400,1
85449,4,1,300,18640,19790,300,1
85449,5,1,300,18500,19800,4800,1
85529,5,1,300,18500,19800,39790,2
85532,2,1,852,18800,19720,565,1
85532,3,3,6319,18700,19780,400,1
85532,4,2,19910,18660,19790,300,1
85532,5,1,300,18640,19800,39790,2
85542,5,1,300,18640,19800,40044,3
85601,2,1,852,18800,19700,4020,1
85601,3,3,6319,18700,19720,565,1
85601,4,2,19910,18660,19780,400,1
85601,5,1,300,18640,19790,300,1
85627,1,1,314,19000,19000,2500,1
85627,2,1,852,18800,19180,1298,2
85627,3,3,6319,18700,19700,4020,1
85627,4,2,19910,18660,19720,565,1
85627,5,1,300,18640,19780,400,1
85721,2,1,852,18800,19100,46710,1
85721,3,3,6319,18700,19180,1298,2
