time,count,volume,price,discarded
90024,1,2434,122700,0
90024,2,2434,122700,0
90024,3,2000,122700,0
90024,4,1250,122700,0
90024,5,1217,122700,0
90024,6,1216,122700,0
90024,7,1052,122700,0
90024,8,1000,122700,0
90024,9,1000,122700,0
90024,10,852,122700,0
90024,11,850,122700,0
90024,12,817,122700,0
90024,13,811,122700,0
90024,14,807,122700,0
90024,15,500,122700,0
90024,16,480,122700,0
90024,17,405,122700,0
90024,18,330,122700,0
90024,19,250,122700,0
90024,20,202,122700,0
90024,21,202,122700,0
90024,22,195,122700,0
90024,23,164,122700,0
90024,24,162,122700,0
90024,25,155,122700,0
90024,26,139,122700,0
90024,27,135,122700,0
90024,28,130,122700,0
90024,29,100,122700,0
90024,30,97,122700,0
90024,31,90,122700,0
90024,32,85,122700,0
90024,33,82,122700,0
90024,34,81,122700,0
90024,35,80,122700,0
90024,36,77,122700,0
90024,37,71,122700,0
90024,38,54,122700,0
90024,39,50,122700,0
90024,40,43,122700,0
90024,41,42,122700,0
90024,42,31,122700,0
90024,43,14,122700,0
90024,44,10,122700,0
90100,45,190,122500,0
90124,46,65,122400,0
90210,47,275,122300,0
90213,48,528,122290,0
90226,49,92,122190,0
90229,50,50,119920,0
90229,51,149,119920,0
90229,52,50,119920,0
90229,53,75,119910,0
90229,54,69,119910,0
90229,55,50,119910,0
90229,56,45,119910,0
90229,57,415,119900,0
90229,58,97,119900,0
90233,59,42,119930,0
90233,60,158,119920,0
90241,61,172,119920,0
90245,62,150,121800,0
90254,63,1622,119920,0
90254,64,14,119900,0
90254,65,200,119900,0
90254,66,717,119900,0
90254,67,1600,119900,0
90255,68,100,119900,0
90308,69,43,119320,0
90308,70,120,119320,0
90311,71,572,119320,0
90317,72,100,119010,0
90317,73,1093,119000,0
90317,74,50,119000,0
90317,75,1670,119000,0
90317,76,292,119000,0
90317,77,150,119000,0
90317,78,47,119000,0
90320,79,1255,119000,0
90326,80,92,119000,0
90328,81,75,118800,0
90328,82,4500,118000,0
90328,83,100,118000,0
90328,84,593,118000,0
90331,85,1890,118000,0
90336,86,50,118000,0
90338,87,21,117300,0
90341,88,1265,118000,0
90347,89,200,117310,0
90347,90,11,117300,0
90348,91,100,118000,0
90355,92,50,118000,0
90359,93,298,117300,0
90359,94,50,118000,0
90402,95,126,118000,0
90402,96,170,117300,0
90402,97,150,117300,0
90406,98,84,117300,0
90411,99,100,117300,0
90414,100,1244,117300,0
90414,101,449,117300,0
90419,102,43,117000,0
90419,103,170,117000,0
90419,104,600,117000,0
90419,105,52,117000,0
90419,106,175,117000,0
90420,107,137,117000,0
90420,108,400,117000,0
90431,109,120,117000,0
90440,110,170,117000,0
90440,111,50,117000,0
90443,112,200,116510,0
90443,113,300,116500,0
90445,114,43,117000,0
90450,115,209,116510,0
90452,116,45,116510,0
90459,117,300,116510,0
90459,118,170,116510,0
90507,119,49,117000,0
90507,120,53,117000,0
90507,121,694,116510,0
90516,122,80,117300,0
90523,123,50,117300,0
90525,124,455,117000,0
90525,125,68,117000,0
90533,126,125,117000,0
90535,127,162,117000,0
90551,128,127,117000,0
90554,129,1063,117000,0
90557,130,170,117000,0
90613,131,85,117300,0
90614,132,50,117300,0
90617,133,42,117000,0
90618,134,169,117300,0
90619,135,117,117300,0
90619,136,600,117300,0
90619,137,245,117300,0
90627,138,309,118000,0
90630,139,210,118000,0
90630,140,84,118000,0
90634,141,500,118000,0
90636,142,100,118000,0
90638,143,100,118000,0
90649,144,251,119000,0
90657,145,50,119900,0
90657,146,170,119900,0
90700,147,1,119900,0
90706,148,210,121700,0
90712,149,210,121700,0
90720,150,109,121600,0
90725,151,90,121790,0
90726,152,533,121790,0
90739,153,166,122000,0
90739,154,170,122000,0
90739,155,60,122000,0
90740,156,4,122000,0
90740,157,166,121790,0
90753,158,301,122000,0
90753,159,587,122000,0
90753,160,856,122180,0
90756,161,214,122180,0
90802,162,119,122180,0
90809,163,31,122180,0
90819,164,210,122180,0
90820,165,42,122180,0
90821,166,50,122300,0
90825,167,81,122180,0
90826,168,100,122300,0
90834,169,43,122300,0
90838,170,60,122300,0
90841,171,100,122300,0
90843,172,43,122300,0
90844,173,28,122300,0
90844,174,50,122300,0
90850,175,100,122300,0
90851,176,208,122300,0
90852,177,73,122350,0
90858,178,100,122300,0
90859,179,100,122350,0
90901,180,310,122350,0
90912,181,100,122300,0
90920,182,83,122300,0
90921,183,100,122300,0
90926,184,417,122350,0
90931,185,100,122380,0
90946,186,80,122390,0
90947,187,100,122390,0
90948,188,150,122380,0
90948,189,100,122380,0
90950,190,430,122380,0
90953,191,300,122350,0
90959,192,251,122350,0
91006,193,236,122350,0
91010,194,62,122350,0
91024,195,400,122300,0
91040,196,100,122330,0
91040,197,900,122340,0
91048,198,70,122300,0
91048,199,50,122300,0
91049,200,100,122340,0
91050,201,500,122340,0
91051,202,2229,122340,0
91051,203,711,122300,0
91051,204,41,122300,0
91056,205,500,122250,0
91101,206,100,122000,0
91112,207,980,121800,0
91118,208,962,121500,0
91123,209,400,121500,0
91126,210,84,121500,0
91134,211,216,121500,0
91134,212,84,121500,0
91140,213,100,120000,0
91142,214,83,120000,0
91145,215,170,120000,0
91213,216,325,119000,0
91213,217,134,119000,0
91229,218,117,119000,0
91229,219,101,119000,0
91231,220,150,119990,0
91236,221,42,119970,0
91236,222,1,119970,0
91236,223,439,120000,0
91243,224,100,120000,0
91248,225,861,120000,0
91248,226,810,120000,0
91252,227,232,120000,0
91303,228,84,120000,0
91304,229,45,121500,0
91305,230,71,121500,0
91321,231,90,122000,0
91323,232,350,122000,0
91331,233,128,122000,0
91343,234,114,122000,0
91346,235,405,122000,0
91346,236,165,122290,0
91351,237,160,122000,0
91351,238,429,121500,0
91351,239,202,121500,0
91358,240,55,121500,0
91409,241,154,121500,0
91450,242,43,121500,0
91452,243,100,122000,0
91455,244,43,122000,0
91506,245,1580,122280,0
91512,246,480,122280,0
91517,247,355,122280,0
91517,248,45,122280,0
91519,249,110,122000,0
91519,250,163,122000,0
91521,251,2,122000,0
91531,252,155,122000,0
91531,253,550,122000,0
91531,254,244,122000,0
91547,255,200,121510,0
91549,256,100,121510,0
91559,257,20,121510,0
91559,258,41,121510,0
91603,259,77,121510,0
91615,260,195,121500,0
91615,261,105,121500,0
91625,262,115,121510,0
91646,263,721,121500,0
91647,264,42,121510,0
91649,265,705,121510,0
91649,266,181,121510,0
91658,267,50,122000,0
91700,268,100,122000,0
91708,269,162,122000,0
91711,270,160,122000,0
91718,271,200,122000,0
91734,272,80,122000,0
91743,273,248,122000,0
91743,274,402,122000,0
91815,275,100,122000,0
91823,276,100,121510,0
91824,277,500,122210,0
91854,278,50,122230,0
91854,279,110,122230,0
91905,280,690,122230,0
91907,281,81,122230,0
91920,282,77,122220,0
91931,283,844,122220,0
91935,284,800,122200,0
91940,285,150,122230,0
91956,286,156,122220,0
92003,287,150,122220,0
92011,288,900,122230,0
92027,289,594,122220,0
92041,290,530,122200,0
92050,291,1000,122000,0
92052,292,265,122000,0
92052,293,47,122000,0
92052,294,58,122000,0
92057,295,407,122000,0
92113,296,308,122000,0
92155,297,14,121510,0
92155,298,330,121510,0
92155,299,370,121510,0
92155,300,166,121500,0
92214,301,406,121800,0
92255,302,854,122000,0
92255,303,146,122000,0
92304,304,200,121510,0
92310,305,75,121510,0
92314,306,473,121500,0
92328,307,150,121500,0
92329,308,200,121500,0
92330,309,125,121510,0
92330,310,900,121510,0
92414,311,854,122000,0
92416,312,528,122000,0
92420,313,1000,122000,0
92444,314,140,122180,0
92445,315,100,122180,0
92446,316,60,122180,0
92521,317,100,121990,0
92521,318,100,122000,0
92521,319,43,122000,0
92547,320,257,122000,0
92547,321,80,122000,0
92602,322,43,122000,0
92608,323,100,121560,0
92612,324,75,121560,0
92612,325,55,122000,0
92620,326,300,121550,0
92620,327,70,121550,0
92620,328,1011,121500,0
92620,329,82,121500,0
92620,330,3448,121500,0
92620,331,45,121500,0
92620,332,836,121500,0
92620,333,68,121500,0
92620,334,739,121500,0
92620,335,90,121500,0
92623,336,56,121500,0
92633,337,44,121500,0
92639,338,900,121500,0
92643,339,162,121500,0
92702,340,50,121490,0
92726,341,700,121500,0
92753,342,300,121500,0
92753,343,50,121980,0
92753,344,46,121990,0
92756,345,584,121990,0
92756,346,52,121010,0
92756,347,62,121010,0
92756,348,45,121000,0
92756,349,50,120010,0
92756,350,100,120000,0
92756,351,77,120000,0
92756,352,664,120000,0
92756,353,800,120000,0
92756,354,2691,120000,0
92756,355,375,120000,0
92813,356,644,120000,0
92813,357,696,120000,0
92822,358,150,119970,0
92822,359,71,119970,0
92827,360,200,119970,0
92842,361,42,119970,0
92842,362,100,119960,0
92849,363,52,119970,0
92857,364,100,119970,0
92904,365,1500,120000,0
92909,366,14,119970,0
92909,367,225,119970,0
92910,368,395,120000,0
92924,369,50,120000,0
92933,370,152,119970,0
92935,371,55,120000,0
92943,372,83,120000,0
92952,373,42,120000,0
92955,374,207,120000,0
92958,375,1000,120000,0
93020,376,72,119980,0
93020,377,123,119970,0
93020,378,5,119970,0
93036,379,830,120000,0
93038,380,112,120000,0
93051,381,500,120000,0
93059,382,95,119970,0
93059,383,5,119970,0
93102,384,180,120000,0
93116,385,70,120000,0
93116,386,1,119980,0
93126,387,166,120000,0
93132,388,50,120000,0
93150,389,2000,120000,0
93153,390,49,119980,0
93211,391,51,119980,0
93211,392,27,119980,0
93216,393,21,119980,0
93225,394,500,120000,0
93232,395,378,120000,0
93238,396,29,119980,0
93238,397,50,119980,0
93241,398,97,119980,0
93243,399,3,119990,0
93243,400,55,119970,0
93243,401,100,119970,0
93243,402,418,119970,0
93243,403,1,119960,0
93243,404,100,119960,0
93243,405,45,119960,0
93243,406,1558,119930,0
93252,407,400,120000,0
93254,408,142,120000,0
93254,409,200,120000,0
93254,410,57,120000,0
93254,411,500,120000,0
93254,412,82,120000,0
93312,413,99,120000,0
93314,414,100,121000,0
93339,415,100,121000,0
93339,416,100,121000,0
93339,417,164,121000,0
93339,418,1196,120000,0
93339,419,83,120000,0
93340,420,270,120000,0
93343,421,200,120000,0
93410,422,200,120000,0
93412,423,350,120000,0
93428,424,281,120000,0
93447,425,80,120000,0
93455,426,10,120000,0
93455,427,490,120000,0
93502,428,166,120000,0
93502,429,344,120000,0
93550,430,1591,120000,0
93550,431,266,120000,0
93550,432,5220,120000,0
93550,433,100,120000,0
93550,434,224,120000,0
93550,435,2599,120000,0
93610,436,150,121000,0
93610,437,147,121000,0
93613,438,489,121000,0
