time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,11,317391,33150,33150,21854,1
63938,2,1,1000,32150,53800,12191,3
63938,3,1,10000,31900,0,0,0
63938,4,2,2630,31580,0,0,0
63938,5,2,11000,30080,0,0,0
84500,1,1,56842,34800,34800,21854,1
84500,2,11,317391,33150,53800,12191,3
84500,3,1,1000,32150,0,0,0
84500,4,1,10000,31900,0,0,0
84500,5,2,2630,31580,0,0,0
84500,1,2,58842,34800,34800,22854,2
84500,1,3,60273,34800,34800,22854,2
84500,1,5,114873,34800,34800,22854,2
84500,1,6,121673,34800,34800,22854,2
84501,1,7,122443,34800,34800,22854,2
84501,1,8,126516,34800,34800,22854,2
84501,1,9,126706,34800,34800,22854,2
84501,1,11,131206,34800,34800,41476,3
84501,1,15,155722,34800,34800,41476,3
84501,1,17,183520,34800,34800,41476,3
84501,1,18,240778,34800,34800,41476,3
84501,1,21,271987,34800,34800,41476,3
84502,1,23,322187,34800,34800,41476,3
84502,1,23,322187,34800,34800,42364,4
84502,1,27,564477,34800,34800,42364,4
84502,1,35,926356,34800,34800,42364,4
84502,1,45,1200654,34800,34800,42364,4
84502,2,13,318144,33150,53800,12191,3
84502,1,55,1740411,34800,34800,42364,4
84503,1,66,2119659,34800,34800,44044,5
84503,1,74,2289996,34800,34800,44044,5
84503,1,86,2710977,34800,34800,44044,5
84503,2,15,321326,33150,53800,12191,3
84503,1,96,3537561,34800,34800,44044,5
84503,1,102,3877561,34800,34800,55362,6
84504,1,114,4542002,34800,34800,55362,6
84504,1,120,4861002,34800,34800,55362,6
84504,1,130,5559043,34800,34800,55362,6
84504,1,137,5962333,34800,34800,55362,6
84504,1,147,6649533,34800,34800,55362,6
84504,1,153,6885074,34800,34800,57171,7
84504,1,157,6942074,34800,34800,57171,7
84504,2,16,322137,33150,53800,12191,3
84505,1,160,6979273,34800,34800,57171,7
84505,2,15,321921,33150,53800,12191,3
84505,1,162,7084273,34800,34800,57171,7
84505,1,167,7242074,34800,34800,57171,7
84505,1,170,7250774,34800,34800,57171,7
84505,1,178,7500874,34800,34800,57171,7
84505,1,185,7535583,34800,34800,57171,7
84505,2,16,361921,33150,53800,12191,3
84505,1,190,7606022,34800,34800,59524,8
84505,1,193,7716763,34800,34800,59524,8
84506,1,196,7735263,34800,34800,59524,8
84506,1,197,7745263,34800,34800,59524,8
84506,3,1,12000,32700,0,0,0
84506,4,1,1000,32150,0,0,0
84506,5,1,10000,31900,0,0,0
84506,5,1,200,32000,0,0,0
84506,1,200,7757872,34800,34800,59524,8
84506,2,17,362153,33150,53800,12191,3
84506,1,202,7769372,34800,34800,59524,8
84506,1,203,7770872,34800,34800,59524,8
84506,1,204,7775872,34800,34800,59524,8
84506,1,206,7882456,34800,34800,59524,8
84506,2,1,3100,33200,53800,12191,3
84506,3,17,362153,33150,0,0,0
84506,4,1,12000,32700,0,0,0
84506,5,1,1000,32150,0,0,0
84506,1,207,7884502,34800,34800,59524,8
84506,1,208,7885302,34800,34800,59524,8
84506,3,18,371153,33150,0,0,0
84506,1,209,7985302,34800,34800,59524,8
84506,1,210,8085302,34800,34800,59524,8
84506,4,1,2759,33000,0,0,0
84506,5,1,12000,32700,0,0,0
84506,1,212,8104649,34800,34800,59524,8
84507,1,213,8154649,34800,34800,59984,9
84507,1,214,8240582,34800,34800,59984,9
84507,1,215,8250582,34800,34800,59984,9
84507,1,216,8254032,34800,34800,59984,9
84507,1,217,8287062,34800,34800,59984,9
84507,1,218,8287212,34800,34800,59984,9
84507,1,219,8289212,34800,34800,59984,9
84507,1,219,8289212,34800,34800,62984,10
84507,3,19,374153,33150,0,0,0
84507,1,220,8291436,34800,34800,62984,10
84507,1,220,8291436,34800,34800,64089,11
84507,3,20,375358,33150,0,0,0
84508,1,221,8291660,34800,34800,64089,11
84508,3,21,386128,33150,0,0,0
84508,1,222,8294660,34800,34800,64089,11
84508,1,223,8308974,34800,34800,64089,11
84508,1,224,8323974,34800,34800,64089,11
84508,1,224,8323974,34800,34800,71465,12
84508,1,225,8355974,34800,34800,71465,12
84508,1,226,8363474,34800,34800,71465,12
84508,1,227,8373474,34800,34800,71465,12
84508,1,228,8380474,34800,34800,71465,12
84508,1,229,8381074,34800,34800,71465,12
84508,1,230,8396074,34800,34800,71465,12
84509,1,231,8398074,34800,34800,71465,12
84509,1,232,8403074,34800,34800,71465,12
84509,1,234,8432074,34800,34800,71465,12
84509,1,235,8447074,34800,34800,71465,12
84509,2,1,5719,33500,53800,12191,3
84509,3,1,3100,33200,0,0,0
84509,4,21,386128,33150,0,0,0
84509,5,1,2759,33000,0,0,0
84509,1,236,8456074,34800,34800,71465,12
84509,1,237,8457505,34800,34800,71465,12
84509,1,238,8464705,34800,34800,71465,12
84509,1,239,8479705,34800,34800,71465,12
84509,1,240,8494705,34800,34800,71465,12
84509,1,241,8516705,34800,34800,71465,12
84511,1,241,8516705,34800,34800,95465,13
84511,1,242,8526705,34800,34800,95465,13
84511,1,242,8526705,34800,34800,95865,14
84511,1,243,8555321,34800,34800,95865,14
84511,1,244,8585321,34800,34800,95865,14
84511,1,245,8585471,34800,34800,95865,14
84512,1,246,8597471,34800,34800,95865,14
84512,1,247,8604771,34800,34800,95865,14
84512,1,247,8604771,34800,34800,96465,15
84512,1,248,8606771,34800,34800,96465,15
84512,1,249,8636771,34800,34800,96465,15
84513,1,250,8691771,34800,34800,96465,15
84513,1,251,8692071,34800,34800,96465,15
84513,1,252,8693071,34800,34800,96465,15
84513,1,253,8693571,34800,34800,96465,15
84513,1,254,8693723,34800,34800,96465,15
84514,1,254,8693723,34800,34800,196465,16
84514,1,254,8693723,34800,34800,196617,17
84514,1,255,8694313,34800,34800,196617,17
84514,1,255,8694313,34800,34800,198617,18
84514,1,255,8694313,34800,34800,199525,19
84515,1,255,8694313,34800,34800,200715,20
84515,1,256,8794313,34800,34800,200715,20
84515,4,22,387154,33150,0,0,0
84515,1,257,8794885,34800,34800,200715,20
84515,1,258,8795885,34800,34800,200715,20
84515,1,259,8802885,34800,34800,200715,20
84515,1,260,8812885,34800,34800,200715,20
84516,1,261,8827885,34800,34800,200715,20
84516,1,261,8827885,34800,34800,203874,21
84516,1,262,8837885,34800,34800,203874,21
84516,1,263,8838885,34800,34800,203874,21
84517,1,264,8846300,34800,34800,203874,21
84517,1,266,8949300,34800,34800,203874,21
84517,1,267,8950735,34800,34800,203874,21
84517,1,268,8952235,34800,34800,203874,21
84517,1,269,8952822,34800,34800,203874,21
84518,1,270,8953399,34800,34800,203874,21
84518,4,21,287154,33150,0,0,0
84518,1,271,8960399,34800,34800,203874,21
84518,1,272,8961399,34800,34800,203874,21
84518,1,273,8971399,34800,34800,203874,21
84518,1,274,8972740,34800,34800,203874,21
84519,1,275,8974171,34800,34800,203874,21
84519,4,22,287755,33150,0,0,0
84519,1,276,8974671,34800,34800,203874,21
84519,1,277,8981671,34800,34800,203874,21
84519,1,278,8983671,34800,34800,203874,21
84519,4,23,288055,33150,0,0,0
84519,1,279,8985671,34800,34800,203874,21
84520,1,279,8985671,34800,34800,204374,22
84520,4,24,289521,33150,0,0,0
84520,1,280,8987671,34800,34800,204374,22
84520,1,281,8988248,34800,34800,204374,22
84521,1,282,8989728,34800,34800,204374,22
84521,1,283,8991625,34800,34800,204374,22
84522,4,23,280521,33150,0,0,0
84522,1,284,8993625,34800,34800,204374,22
84523,1,285,8995075,34800,34800,204374,22
84523,1,286,9000845,34800,34800,204374,22
84524,1,287,9002845,34800,34800,204374,22
84524,1,288,9004845,34800,34800,204374,22
84524,1,289,9004990,34800,34800,204374,22
84525,1,289,9004990,34800,34800,204874,23
84525,1,290,9005990,34800,34800,204874,23
84526,1,291,9007135,34800,34800,204874,23
84527,1,291,9007135,34800,34800,205874,24
84528,1,291,9007135,34800,34800,210574,25
84528,4,1,225,33160,0,0,0
84528,5,23,280521,33150,0,0,0
84528,1,292,9021552,34800,34800,210574,25
84529,1,293,9022983,34800,34800,210574,25
84529,1,293,9022983,34800,34800,210724,26
84529,1,294,9023715,34800,34800,210724,26
84529,1,294,9023715,34800,34800,310724,27
84529,1,295,9025218,34800,34800,310724,27
84530,1,296,9025475,34800,34800,310724,27
84530,1,297,9028475,34800,34800,310724,27
84531,1,298,9036875,34800,34800,310724,27
84532,1,299,9043875,34800,34800,310724,27
84533,1,300,9044325,34800,34800,310724,27
84533,1,300,9044325,34800,34800,314724,28
84533,1,301,9094325,34800,34800,314724,28
84533,5,24,281965,33150,0,0,0
84534,1,300,9089325,34800,34800,314724,28
84534,1,301,9091842,34800,34800,314724,28
84534,5,23,181965,33150,0,0,0
84534,5,22,81965,33150,0,0,0
84534,1,302,9092192,34800,34800,314724,28
84535,1,303,9094192,34800,34800,314724,28
84536,1,303,9094192,34800,34800,323503,29
84536,1,304,9096192,34800,34800,323503,29
84537,1,304,9096192,34800,34800,324503,30
84537,1,305,9096477,34800,34800,324503,30
84537,1,306,9105477,34800,34800,324503,30
84537,1,307,9108345,34800,34800,324503,30
84537,1,308,9110645,34800,34800,324503,30
84537,1,309,9112709,34800,34800,324503,30
84538,1,310,9114872,34800,34800,324503,30
84539,1,311,9115872,34800,34800,324503,30
84539,1,312,9117372,34800,34800,324503,30
84539,1,312,9117372,34800,34800,424503,31
84540,1,313,9131372,34800,34800,424503,31
84541,5,23,83325,33150,0,0,0
84542,3,2,3270,33200,0,0,0
84542,1,313,9131372,34800,34800,424703,32
84543,1,313,9131372,34800,34800,524703,33
84543,1,314,9131546,34800,34800,524703,33
84543,1,313,9031546,34800,34800,524703,33
84544,5,24,83729,33150,0,0,0
84544,1,314,9033546,34800,34800,524703,33
84544,1,314,9033546,34800,34800,524953,34
84544,1,315,9036699,34800,34800,524953,34
84544,1,314,8936699,34800,34800,524953,34
84544,1,313,8836699,34800,34800,524953,34
84544,1,312,8736699,34800,34800,524953,34
84544,1,311,8636699,34800,34800,524953,34
84544,1,310,8624699,34800,34800,524953,34
84545,2,1,787,33900,53800,12191,3
84545,3,1,5719,33500,0,0,0
84545,4,2,3270,33200,0,0,0
84545,5,1,225,33160,0,0,0
84545,1,311,8637265,34800,34800,524953,34
84545,1,312,8637565,34800,34800,524953,34
