time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63127,1,1,2310,14770,14770,16,1
63127,2,0,0,0,15550,16,1
63127,3,0,0,0,15600,16,1
63127,4,0,0,0,15700,1500,1
63127,5,0,0,0,15750,500,1
84507,1,1,6850,15879,15879,3064,7
84507,2,1,2310,14770,15980,500,1
84507,3,0,0,0,16000,9532,5
84507,4,0,0,0,16020,15,1
84507,5,0,0,0,16080,320,1
84508,1,1,6850,15879,15879,26005,8
84513,3,1,6800,14370,16000,9532,5
84514,3,1,520,14500,16000,9532,5
84514,4,1,6800,14370,16020,15,1
84515,1,1,6850,15879,15879,26021,9
84516,1,1,6850,15879,15879,26037,10
84518,1,1,6850,15800,15800,7506,9
84518,2,1,2310,14770,15879,22957,2
84518,3,1,520,14500,15980,500,1
84518,4,1,6800,14370,16000,9532,5
84518,5,0,0,0,16020,15,1
84518,2,1,10000,14900,15879,22957,2
84518,3,1,2310,14770,15980,500,1
84518,4,1,520,14500,16000,9532,5
84518,5,1,6800,14370,16020,15,1
84519,1,1,6850,15700,15700,11980,7
84519,2,1,10000,14900,15750,500,1
84519,3,1,2310,14770,15800,1016,2
84519,4,1,520,14500,15879,22957,2
84519,5,1,6800,14370,15980,500,1
84519,4,1,520,14500,15879,22973,3
84520,4,1,520,14500,15879,22989,4
84521,1,1,6850,15700,15700,11995,8
84531,4,1,520,14500,15879,23005,5
84531,3,1,2310,14770,15800,1336,3
84534,4,1,520,14500,15879,22989,4
84538,1,1,6850,15700,15700,12011,9
84538,1,1,6850,15700,15700,12567,10
84539,4,1,342,14627,15879,22989,4
84539,5,1,520,14500,15980,500,1
84543,3,1,2310,14770,15800,1974,4
84544,3,1,342,14627,15800,1974,4
84544,4,1,520,14500,15879,22989,4
84544,5,1,6800,14370,15980,500,1
84546,3,1,339,14771,15800,1974,4
84546,4,1,342,14627,15879,22989,4
84546,5,1,520,14500,15980,500,1
84548,4,1,342,14627,15879,23489,5
84551,1,1,6850,15700,15700,21917,11
84551,4,1,342,14627,15879,24799,6
84551,2,1,55000,15426,15750,500,1
84551,3,1,10000,14900,15800,1974,4
84551,4,1,339,14771,15879,24799,6
84551,5,1,342,14627,15980,500,1
84552,4,1,339,14771,15879,79799,7
84553,4,1,339,14771,15879,79814,8
84553,1,2,7850,15700,15700,21917,11
84556,4,1,339,14771,15879,80182,9
84558,1,2,7850,15700,15700,21933,12
84558,4,1,339,14771,15870,2500,1
84558,5,1,342,14627,15879,80182,9
84603,1,2,7850,15700,15700,21918,11
84607,1,3,8200,15700,15700,21918,11
84620,1,3,8200,15700,15700,21934,12
84623,1,3,8200,15700,15700,21950,13
84625,5,1,342,14627,15879,81177,10
84628,3,1,10000,14900,15800,1989,5
84628,5,1,342,14627,15879,81193,11
84629,4,1,339,14771,15830,8000,1
84629,5,1,342,14627,15870,2500,1
84640,1,3,8200,15700,15700,22950,14
84649,1,3,8200,15700,15700,18524,13
84649,3,1,10000,14900,15800,6415,6
84651,1,3,8200,15700,15700,18872,14
84653,1,3,8200,15700,15700,19222,15
84656,1,3,8200,15700,15700,20222,16
84701,1,3,8200,15500,15500,51398,6
84701,2,1,55000,15426,15550,16,1
84701,3,1,10000,14900,15600,1016,2
84701,4,1,339,14771,15680,348,1
84701,5,1,342,14627,15700,17444,7
