time,last,close,open,high,low,count,volume,value,discarded
64134,2830,2835,0,0,0,0,0,0,0
90013,2800,2834,2800,2800,2800,1,50000,140000000,0
90013,2800,2833,2800,2800,2800,2,100000,280000000,0
90013,2800,2833,2800,2800,2800,3,110000,308000000,0
90013,2800,2833,2800,2800,2800,4,116021,324858800,0
90013,2800,2833,2800,2800,2800,5,117583,329232400,0
90045,2780,2833,2800,2800,2780,6,119411,334314240,0
90045,2779,2833,2800,2800,2779,7,121411,339872240,0
90045,2779,2833,2800,2800,2779,8,122583,343129228,0
90308,2800,2832,2800,2800,2779,9,123637,346080428,0
90308,2800,2832,2800,2800,2779,10,172583,483129228,0
90330,2800,2831,2800,2800,2779,11,173637,486080428,0
90434,2800,2831,2800,2800,2779,12,175137,490280428,0
90539,2800,2831,2800,2800,2779,13,176887,495180428,0
90916,2800,2831,2800,2800,2779,14,179847,503468428,0
91227,2800,2831,2800,2800,2779,15,181597,508368428,0
91437,2800,2831,2800,2800,2779,16,205597,575568428,0
91535,2800,2831,2800,2800,2779,17,223597,625968428,0
91658,2850,2831,2800,2850,2779,18,225397,631098428,0
91734,2850,2831,2800,2850,2779,19,225597,631668428,0
91827,2860,2831,2800,2860,2779,20,245597,688868428,0
92306,2860,2831,2800,2860,2779,21,247805,695183308,0
92704,2860,2831,2800,2860,2779,22,249605,700331308,0
92759,2860,2831,2800,2860,2779,23,250605,703191308,0
92848,2860,2831,2800,2860,2779,24,252309,708064748,0
93050,2850,2831,2800,2860,2779,25,254109,713194748,0
93134,2800,2831,2800,2860,2779,26,255605,717383548,0
93324,2849,2831,2800,2860,2779,27,257605,723081548,0
93542,2850,2831,2800,2860,2779,28,262605,737331548,0
93542,2850,2831,2800,2860,2779,29,267605,751581548,0
93542,2850,2831,2800,2860,2779,30,268605,754431548,0
93908,2890,2834,2800,2890,2779,31,368605,1043431548,0
93955,2890,2837,2800,2890,2779,32,468605,1332431548,0
93958,2890,2838,2800,2890,2779,33,488605,1390231548,0
93958,2890,2838,2800,2890,2779,34,490605,1396011548,0
93958,2890,2838,2800,2890,2779,35,500605,1424911548,0
93958,2890,2839,2800,2890,2779,36,514105,1463926548,0
93958,2891,2839,2800,2891,2779,37,514923,1466291386,0
94020,2891,2839,2800,2891,2779,38,516715,1471472058,0
94036,2860,2839,2800,2891,2779,39,517715,1474332058,0
94149,2891,2839,2800,2891,2779,40,521105,1484132548,0
94149,2891,2839,2800,2891,2779,41,523020,1489668813,0
94149,2891,2840,2800,2891,2779,42,543020,1547488813,0
94149,2891,2840,2800,2891,2779,43,548920,1564545713,0
94149,2891,2840,2800,2891,2779,44,550920,1570327713,0
94149,2891,2840,2800,2891,2779,45,560920,1599237713,0
94149,2891,2840,2800,2891,2779,46,561745,1601622788,0
94207,2891,2840,2800,2891,2779,47,563120,1605597913,0
94247,2891,2841,2800,2891,2779,48,574954,1639810007,0
94252,2891,2841,2800,2891,2779,49,575245,1640651288,0
94252,2891,2841,2800,2891,2779,50,579445,1652793488,0
94252,2891,2841,2800,2891,2779,51,591900,1688800893,0
94516,2891,2841,2800,2891,2779,52,592800,1691402793,0
94516,2891,2841,2800,2891,2779,53,595300,1698630293,0
94516,2891,2841,2800,2891,2779,54,596900,1703255893,0
94919,2891,2841,2800,2891,2779,55,598650,1708315143,0
95013,2891,2842,2800,2891,2779,56,605860,1729159253,0
95013,2891,2842,2800,2891,2779,57,607608,1734212721,0
95013,2891,2842,2800,2891,2779,58,611408,1745198521,0
95013,2891,2842,2800,2891,2779,59,619408,1768326521,0
95013,2891,2843,2800,2891,2779,60,643155,1836979098,0
95128,2891,2844,2800,2891,2779,61,671861,1919968144,0
95128,2891,2845,2800,2891,2779,62,706325,2019603568,0
95128,2891,2845,2800,2891,2779,63,717529,2051994332,0
95137,2891,2845,2800,2891,2779,64,724469,2072057872,0
95305,2891,2846,2800,2891,2779,65,734379,2100707682,0
95826,2891,2846,2800,2891,2779,66,735151,2102939534,0
95826,2891,2846,2800,2891,2779,67,736379,2106489682,0
100126,2891,2848,2800,2891,2779,68,804710,2304034603,0
100126,2891,2848,2800,2891,2779,69,806605,2309513048,0
100126,2891,2848,2800,2891,2779,70,815605,2335532048,0
