time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,500,24050,25000,9900,1
63938,2,1,100000,24000,25050,14208,1
63938,3,1,500,23960,25100,10305,2
63938,4,1,250,23770,25140,5500,1
63938,5,1,1000,23550,25150,38500,1
84504,5,1,1000,23550,25220,201,1
84505,5,2,26000,23550,25220,201,1
84505,1,1,19324,25050,25050,24108,2
84505,2,1,500,24050,25100,10305,2
84505,3,1,100000,24000,25140,5500,1
84505,4,1,500,23960,25220,201,1
84505,5,1,250,23770,25310,1205,2
84508,1,1,19324,24700,24700,30000,1
84508,2,1,500,24050,25000,9900,1
84508,3,1,100000,24000,25050,14208,1
84508,4,1,500,23960,25100,10305,2
84508,5,1,250,23770,25140,5500,1
84508,4,1,500,23960,25100,205,1
84508,1,2,21316,24700,24700,30000,1
84509,1,2,21316,24700,24700,50000,2
84514,3,2,102050,24000,25050,14208,1
84524,2,1,20000,24100,25000,9900,1
84524,3,1,500,24050,25050,14208,1
84524,4,2,102050,24000,25100,205,1
84524,5,1,500,23960,25140,5500,1
84529,2,1,207,24500,25000,9900,1
84529,3,1,20000,24100,25050,14208,1
84529,4,1,500,24050,25100,205,1
84529,5,2,102050,24000,25140,5500,1
84551,1,3,31316,24700,24700,50000,2
84551,1,4,32056,24700,24700,50000,2
84558,1,4,32056,24700,24700,90000,3
84609,2,2,5202,24500,25000,9900,1
84611,3,2,20454,24100,25050,14208,1
84612,3,1,15000,24120,25050,14208,1
84612,4,2,20454,24100,25100,205,1
84612,5,1,500,24050,25140,5500,1
84630,1,5,32398,24700,24700,90000,3
84632,1,6,34398,24700,24700,90000,3
84643,1,7,35288,24700,24700,90000,3
84646,2,3,5502,24500,25000,9900,1
84706,3,1,9000,24200,25050,14208,1
84706,4,1,15000,24120,25100,205,1
84706,5,2,20454,24100,25140,5500,1
84717,1,8,67516,24700,24700,90000,3
84734,3,2,13940,24200,25050,14208,1
84740,1,9,71972,24700,24700,90000,3
84749,1,4,131316,25000,25000,99900,4
84749,2,6,40656,24700,25050,14208,1
84749,3,3,5502,24500,25100,205,1
84749,4,2,13940,24200,25140,5500,1
84749,5,1,15000,24120,25200,280,1
84809,1,3,111992,25000,25000,99900,4
84809,2,7,59980,24700,25050,14208,1
84810,1,4,112788,25000,25000,99900,4
84816,2,6,55524,24700,25050,14208,1
84818,2,5,36200,24700,25050,14208,1
84825,1,5,112988,25000,25000,99900,4
84829,2,6,41140,24700,25050,14208,1
84829,4,1,9000,24200,25140,5500,1
84829,1,6,114988,25000,25000,99900,4
84829,2,5,39140,24700,25050,14208,1
84833,1,2,110000,25050,25050,114108,5
84833,2,5,104988,25000,25100,205,1
84833,3,5,39140,24700,25140,5500,1
84833,4,3,5502,24500,25200,280,1
84833,5,1,9000,24200,25220,201,1
84836,3,1,630,24710,25140,5500,1
84836,4,5,39140,24700,25200,280,1
84836,5,3,5502,24500,25220,201,1
84842,2,4,4988,25000,25100,205,1
84859,1,3,112000,25050,25050,114108,5
84859,2,3,2988,25000,25100,205,1
84906,1,3,210000,25450,25450,124399,14
84906,2,1,2000,25050,25500,1000,1
84906,3,3,2988,25000,25570,839,1
84906,4,1,630,24710,25590,50018,1
84906,5,5,39140,24700,25600,1000,1
84908,4,2,20630,24710,25590,50018,1
84922,1,4,310000,25450,25450,124399,14
84928,1,5,312000,25450,25450,124399,14
84928,2,3,2988,25000,25500,1000,1
84928,3,2,20630,24710,25570,839,1
84928,4,5,39140,24700,25590,50018,1
84928,5,3,5502,24500,25600,1000,1
84932,5,4,5752,24500,25600,1000,1
84941,2,3,2988,25000,25550,1000,1
84943,5,5,6809,24500,25600,1000,1
84959,5,6,7309,24500,25600,1000,1
85000,1,5,312000,25450,25450,124119,13
85008,3,2,20630,24710,25570,15839,2
85021,4,5,39140,24700,25580,10000,1
85021,5,6,7309,24500,25590,50018,1
85022,5,7,67309,24500,25590,50018,1
85022,1,6,312200,25450,25450,124119,13
85022,1,6,312200,25450,25450,124515,14
85024,1,7,312700,25450,25450,124515,14
85030,5,6,66809,24500,25590,50018,1
85031,1,7,312700,25450,25450,149515,15
85038,1,6,312200,25450,25450,149515,15
85056,5,7,67809,24500,25590,50018,1
85059,1,7,412200,25450,25450,149515,15
85110,5,8,78809,24500,25590,50018,1
85113,2,3,2988,25000,25480,300,1
85113,3,2,20630,24710,25550,1000,1
85113,4,5,39140,24700,25570,15839,2
85113,5,8,78809,24500,25580,10000,1
85113,1,3,210000,25500,25500,149815,16
85113,2,5,302200,25450,25550,1000,1
85113,3,3,2988,25000,25570,15839,2
85113,4,2,20630,24710,25580,10000,1
85113,5,5,39140,24700,25590,50018,1
85114,2,6,308200,25450,25550,1000,1
85124,2,5,208200,25450,25550,1000,1
85126,2,4,108200,25450,25550,1000,1
85128,2,3,102200,25450,25550,1000,1
85134,2,4,121350,25450,25550,1000,1
85134,2,3,21350,25450,25550,1000,1
85135,1,3,210000,25500,25500,124815,15
85138,1,5,131350,25450,25450,124515,14
85138,2,3,2988,25000,25480,300,1
85138,3,2,20630,24710,25550,1000,1
85138,4,5,39140,24700,25570,15839,2
85138,5,8,78809,24500,25580,10000,1
85148,1,5,131350,25450,25450,129515,15
85157,2,4,3508,25000,25480,300,1
85230,1,3,210000,25500,25500,129815,16
85230,2,3,21350,25450,25550,1000,1
85230,3,4,3508,25000,25570,15839,2
85230,4,2,20630,24710,25580,10000,1
85230,5,5,39140,24700,25590,50018,1
85247,2,3,21350,25450,25550,11000,2
85254,2,4,26350,25450,25550,11000,2
85255,1,3,210000,25500,25500,131607,17
85258,1,3,210000,25500,25500,131884,18
85311,1,4,310000,25500,25500,131884,18
85313,1,4,310000,25500,25500,132176,19
85314,1,5,310680,25500,25500,132176,19
85314,1,6,310980,25500,25500,132176,19
85317,1,6,310980,25500,25500,132453,20
85332,1,7,312980,25500,25500,132453,20
85332,2,3,24350,25450,25550,11000,2
85336,1,7,312980,25500,25500,132730,21
85341,2,4,24740,25450,25550,11000,2
85354,1,7,312980,25500,25500,132438,20
85403,3,4,3508,25000,25570,40839,3
85408,1,7,312980,25500,25500,145438,21
85417,1,8,412980,25500,25500,145438,21
85418,3,5,13508,25000,25570,40839,3
85420,1,9,413780,25500,25500,145438,21
85425,1,8,313780,25500,25500,145438,21
85429,1,7,213780,25500,25500,145438,21
85429,3,6,14398,25000,25570,40839,3
85429,4,1,210,24720,25580,10000,1
85429,5,2,20630,24710,25590,50018,1
85452,1,10,138520,25450,25450,129515,15
85452,2,6,14398,25000,25480,300,1
85452,3,1,210,24720,25500,15623,5
85452,4,2,20630,24710,25550,11000,2
85452,5,5,39140,24700,25570,40839,3
85453,3,2,20630,24710,25500,15623,5
85453,4,5,39140,24700,25550,11000,2
85453,5,1,11000,24510,25570,40839,3
85458,1,22,112688,24700,24700,90000,3
85458,2,1,11000,24510,25000,9900,1
85458,3,7,77809,24500,25050,14208,1
85458,4,1,20000,24310,25100,205,1
85458,5,1,15000,24120,25140,5500,1
85519,1,22,112688,24700,24700,95000,4
85525,1,23,122688,24700,24700,95000,4
85529,2,1,250,24530,25000,9900,1
85529,3,1,11000,24510,25050,14208,1
85529,4,7,77809,24500,25100,205,1
85529,5,1,20000,24310,25140,5500,1
85531,4,7,77809,24500,25100,5205,2
85532,4,8,78229,24500,25100,5205,2
85553,2,1,250,24530,25000,12001,2
85553,1,24,123494,24700,24700,95000,4
85559,1,24,123494,24700,24700,95300,5
85602,1,25,124621,24700,24700,95300,5
85603,5,1,20000,24310,25140,7580,2
85612,1,26,141073,24700,24700,95300,5
85620,2,1,250,24530,25000,17001,3
85627,5,2,20217,24310,25140,7580,2
85646,1,27,141278,24700,24700,95300,5
85649,1,28,141968,24700,24700,95300,5
85658,1,29,142368,24700,24700,95300,5
85711,4,9,86429,24500,25100,5205,2
85714,1,30,142968,24700,24700,95300,5
85728,5,3,24750,24310,25140,7580,2
85733,5,1,7698,24320,25140,7580,2
85747,5,1,1557,24370,25140,7580,2
85826,2,1,250,24530,25000,35426,4
85827,5,2,7411,24370,25140,7580,2
85833,4,10,87429,24500,25100,5205,2
85833,1,31,143368,24700,24700,95300,5
85847,1,31,143368,24700,24700,95512,6
85848,1,19,98548,24710,24710,95512,6
85848,2,13,59820,24700,25000,35426,4
85848,3,1,250,24530,25050,14208,1
85848,4,1,11000,24510,25100,5205,2
85848,5,10,87429,24500,25140,7580,2
85852,2,13,59820,24700,24980,230,1
85852,3,1,250,24530,25000,35426,4
85852,4,1,11000,24510,25050,14208,1
85852,5,10,87429,24500,25100,5205,2
85856,3,1,4058,24550,25000,35426,4
85856,4,1,250,24530,25050,14208,1
85856,5,1,11000,24510,25100,5205,2
85856,1,20,102548,24710,24710,95512,6
85900,2,14,60424,24700,24980,230,1
85911,1,18,97918,24800,24800,95512,6
85911,2,3,24630,24710,24980,230,1
85911,3,14,60424,24700,25000,35426,4
85911,4,1,4058,24550,25050,14208,1
85911,5,1,250,24530,25100,5205,2
85912,2,4,27630,24710,24980,230,1
85917,2,5,27912,24710,24980,230,1
85932,1,19,98128,24800,24800,95512,6
85935,1,20,99665,24800,24800,95512,6
85942,2,5,27912,24710,24980,5230,2
85944,1,21,99875,24800,24800,95512,6
85944,1,26,127787,24710,24710,115512,7
85944,2,14,60424,24700,24980,5230,2
85944,3,1,4058,24550,25000,35426,4
85944,4,1,250,24530,25050,14208,1
85944,5,1,11000,24510,25100,5205,2
85952,3,1,4058,24550,24990,14030,1
85952,4,1,250,24530,25000,35426,4
85952,5,1,11000,24510,25050,14208,1
85958,1,27,128192,24710,24710,115512,7
85959,1,28,129192,24710,24710,115512,7
90001,1,29,132192,24710,24710,115512,7
90003,1,24,120613,24720,24720,115512,7
90003,2,6,28912,24710,24980,5230,2
90003,3,14,60424,24700,24990,14030,1
90003,4,1,4058,24550,25000,35426,4
90003,5,1,250,24530,25050,14208,1
90009,1,25,122613,24720,24720,115512,7
90015,1,26,130658,24720,24720,115512,7
90021,1,1,15146,24720,24980,5230,2
90021,2,6,28912,24710,24990,14030,1
90021,3,14,60424,24700,25000,35426,4
90021,4,1,4058,24550,25050,14208,1
90021,5,1,250,24530,25100,5205,2
90032,1,2,32646,24720,24980,5230,2
90036,1,2,32646,24720,25000,34686,4
90036,2,6,28912,24710,25050,14208,1
90036,3,14,60424,24700,25100,5205,2
90036,4,1,4058,24550,25140,7580,2
90036,5,1,250,24530,25200,5000,1
90036,1,1,1000,24980,25000,34686,4
90036,2,2,32646,24720,25050,14208,1
90036,3,6,28912,24710,25100,5205,2
90036,4,14,60424,24700,25140,7580,2
90036,5,1,4058,24550,25200,5000,1
90039,1,2,4245,24980,25000,34686,4
90040,1,2,4245,24980,25000,33186,4
90042,2,1,2820,24730,25050,14208,1
90042,3,2,32646,24720,25100,5205,2
90042,4,6,28912,24710,25140,7580,2
90042,5,14,60424,24700,25200,5000,1
90044,1,1,2820,24730,24970,5755,1
90044,2,2,32646,24720,25000,33186,4
90044,3,6,28912,24710,25050,14208,1
90044,4,14,60424,24700,25100,5205,2
90044,5,1,250,24530,25140,7580,2
90045,1,1,2820,24730,25000,32941,4
90045,2,2,32646,24720,25050,14208,1
90045,3,6,28912,24710,25100,5205,2
90045,4,14,60424,24700,25140,7580,2
90045,5,1,250,24530,25200,5000,1
90046,2,3,34443,24720,25050,14208,1
90047,1,1,756,24980,25000,32941,4
90047,2,1,2820,24730,25050,14208,1
90047,3,3,34443,24720,25100,5205,2
90047,4,6,28912,24710,25140,7580,2
90047,5,14,60424,24700,25200,5000,1
90048,1,1,756,24980,25000,113656,5
90048,1,1,756,24980,25000,113415,5
90048,1,1,756,24980,24990,1000,1
90048,2,1,2820,24730,25000,113415,5
90048,3,3,34443,24720,25050,14208,1
90048,4,6,28912,24710,25100,5205,2
90048,5,14,60424,24700,25140,7580,2
90049,3,4,37109,24720,25050,14208,1
90049,2,2,4820,24730,25000,113415,5
90053,1,2,4756,24980,24990,1000,1
90054,3,5,37915,24720,25050,14208,1
90055,2,3,14820,24730,25000,113415,5
90057,2,2,12820,24730,25000,113415,5
90058,1,2,12820,24730,24980,5244,1
90058,2,5,37915,24720,24990,1000,1
90058,3,6,28912,24710,25000,113415,5
90058,4,14,60424,24700,25050,14208,1
90058,5,1,250,24530,25100,5205,2
90059,1,1,805,24740,24980,5244,1
90059,2,2,12820,24730,24990,1000,1
90059,3,5,37915,24720,25000,113415,5
90059,4,6,28912,24710,25050,14208,1
90059,5,14,60424,24700,25100,5205,2
90102,1,1,805,24740,24980,5039,1
90102,1,2,1105,24740,24980,5039,1
90105,2,2,12820,24730,24990,21000,2
90107,1,1,20149,24750,24980,5039,1
90107,2,2,1105,24740,24990,21000,2
90107,3,2,12820,24730,25000,113415,5
90107,4,5,37915,24720,25050,14208,1
90107,5,6,28912,24710,25100,5205,2
90110,3,3,13420,24730,25000,113415,5
90111,2,2,1105,24740,24990,20000,1
90114,1,1,20149,24750,24980,4539,1
90116,4,6,54915,24720,25050,14208,1
90118,2,3,15105,24740,24990,20000,1
90118,1,1,18008,24750,24980,4539,1
90118,1,1,18008,24750,24980,5039,2
90119,3,4,13670,24730,25000,113415,5
90121,1,1,18008,24750,24970,1000,1
90121,2,3,15105,24740,24980,5039,2
