time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,0,0,0,363100,8219,19
63938,2,0,0,0,363190,2764,7
63938,3,0,0,0,364280,2354,3
63938,4,0,0,0,365070,2444,4
63938,5,0,0,0,384170,1000,1
84500,1,0,0,0,363030,6740,5
84500,2,0,0,0,363100,8219,19
84500,3,0,0,0,363190,2764,7
84500,4,0,0,0,364280,2354,3
84500,5,0,0,0,365070,2444,4
84500,1,0,0,0,363030,8049,9
84500,1,0,0,0,363030,17118,12
84500,1,0,0,0,363030,30417,18
84500,1,0,0,0,363030,186749,24
84500,1,0,0,0,363030,188162,25
84500,1,0,0,0,363030,189324,29
84500,1,0,0,0,363030,191224,30
84501,1,0,0,0,363030,191524,31
84501,1,0,0,0,363030,191674,32
84501,1,0,0,0,363030,194029,34
84501,1,0,0,0,363030,194229,35
84501,1,0,0,0,363030,195229,36
84501,1,0,0,0,363030,196713,38
84501,1,0,0,0,363030,204797,39
84501,2,0,0,0,363100,8289,20
84501,1,0,0,0,363030,223006,44
84501,1,0,0,0,363030,235133,48
84501,1,0,0,0,363030,266154,51
84501,1,0,0,0,363030,281683,55
84501,1,0,0,0,363030,314346,58
84501,1,0,0,0,363030,341938,61
84502,1,0,0,0,363030,395264,64
84502,2,0,0,0,363100,7633,20
84502,1,0,0,0,363030,420460,67
84502,1,0,0,0,363030,472199,75
84502,1,0,0,0,363030,476984,81
84502,1,0,0,0,363030,496014,95
84502,1,0,0,0,363030,548650,99
84503,1,0,0,0,363030,628350,114
84503,2,0,0,0,363100,6544,19
84503,1,0,0,0,363030,811601,125
84503,1,0,0,0,363030,876504,135
84503,2,0,0,0,363100,6568,20
84503,1,0,0,0,363030,940538,140
84503,2,0,0,0,363100,6744,21
84503,1,0,0,0,363030,946254,144
84504,1,0,0,0,363030,956607,149
84504,1,0,0,0,363030,959279,155
84504,1,0,0,0,363030,968932,160
84504,2,0,0,0,363100,7254,22
84504,1,0,0,0,363030,973804,164
84504,1,0,0,0,363030,979923,169
84504,1,0,0,0,363030,999727,172
84505,1,0,0,0,363030,999847,173
84505,1,0,0,0,363030,1033605,178
84505,2,0,0,0,363100,8960,23
84505,1,0,0,0,363030,1044291,181
84505,2,0,0,0,363100,9030,24
84505,1,0,0,0,363030,1052996,182
84505,1,0,0,0,363030,1060392,185
84505,1,0,0,0,363030,1101375,196
84505,3,0,0,0,363190,2114,6
84505,1,0,0,0,363030,1103901,204
84505,1,0,0,0,363030,1104999,207
84506,1,0,0,0,363030,1119999,208
84506,2,0,0,0,363100,9276,26
84506,1,0,0,0,363030,1120434,209
84506,1,0,0,0,363030,1139692,212
84506,2,0,0,0,363100,8933,25
84506,1,0,0,0,363030,1139745,213
84506,1,0,0,0,363030,1140171,214
84506,1,0,0,0,363030,1140185,215
84506,1,0,0,0,363030,1161988,220
84506,1,0,0,0,363030,1176654,225
84506,1,0,0,0,363030,1177386,226
84506,1,0,0,0,363030,1177406,227
84506,1,0,0,0,363030,1177906,228
84506,1,0,0,0,363030,1180764,229
84506,1,0,0,0,363030,1181145,230
84506,1,0,0,0,363030,1181164,231
84507,1,0,0,0,363030,1182043,232
84507,1,0,0,0,363030,1197043,233
