time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63127,1,0,0,0,47627,2393,2
63127,2,0,0,0,47948,5000,1
63127,3,0,0,0,48221,106,1
63127,4,0,0,0,48764,5000,1
63127,5,0,0,0,49092,5000,1
84501,1,0,0,0,44900,11370,1
84501,2,0,0,0,47627,2393,2
84501,3,0,0,0,47948,5000,1
84501,4,0,0,0,48221,106,1
84501,5,0,0,0,48764,5000,1
84502,1,0,0,0,44900,393177,3
84503,1,0,0,0,44900,428327,4
84504,1,0,0,0,44900,430847,5
84504,1,0,0,0,44900,433747,6
84505,1,0,0,0,44900,493747,7
84505,1,0,0,0,44900,496740,8
84506,1,0,0,0,44900,507214,9
84507,1,0,0,0,44900,752520,11
84507,1,0,0,0,44900,777520,12
84507,2,0,0,0,47627,85480,3
84508,1,0,0,0,44900,809520,13
84508,1,0,0,0,44900,877421,14
84509,1,0,0,0,44900,878121,15
84509,2,0,0,0,47263,2190,1
84509,3,0,0,0,47627,85480,3
84509,4,0,0,0,47948,5000,1
84509,5,0,0,0,48221,106,1
84510,1,0,0,0,44900,883321,16
84510,1,0,0,0,44900,888136,17
84510,1,0,0,0,44900,901371,18
84511,1,0,0,0,44900,906985,21
84511,1,1,1109,44900,44900,906985,21
84511,1,1,1109,44900,44900,908985,22
84512,1,1,1109,44900,44900,938985,23
84512,1,1,1109,44900,44900,945909,25
84512,1,1,1109,44900,44900,965909,26
84513,1,1,1109,44900,44900,1021390,28
84513,3,0,0,0,47624,1000,1
84513,4,0,0,0,47627,85480,3
84513,5,0,0,0,47948,5000,1
84513,1,1,1109,44900,44900,1031579,30
84513,1,1,1109,44900,44900,1032029,31
84514,1,1,1109,44900,44900,1033529,32
84514,1,1,1109,44900,44900,1094913,35
84514,1,2,1221,44900,44900,1179812,36
84515,1,3,2806,44900,44900,1179812,36
84515,1,3,2806,44900,44900,1181812,37
84515,1,3,2806,44900,44900,1281312,38
84516,1,4,2994,44900,44900,1281552,39
84516,1,4,2994,44900,44900,1481552,40
84516,1,4,2994,44900,44900,1519489,42
84516,1,4,2994,44900,44900,1519589,43
84517,1,4,2994,44900,44900,1521589,44
84518,1,5,3994,44900,44900,1521589,44
84518,1,5,3994,44900,44900,1527942,45
84518,1,6,16578,44900,44900,1534942,46
84520,1,6,16578,44900,44900,1536452,47
84520,2,0,0,0,47263,4676,2
84523,1,6,16578,44900,44900,1537952,48
84524,1,6,16578,44900,44900,1574179,49
84526,1,6,16578,44900,44900,1639711,50
84528,1,6,16578,44900,44900,1642523,51
84528,4,0,0,0,47627,91007,4
84528,1,6,16578,44900,44900,1649731,52
84530,1,6,16578,44900,44900,1654731,53
84531,1,6,16578,44900,44900,1705231,55
84533,1,6,16578,44900,44900,1706469,56
84535,1,6,16578,44900,44900,1710469,57
84535,1,6,16578,44900,44900,1712072,58
84538,1,6,16578,44900,44900,1721124,59
84539,1,6,16578,44900,44900,1726693,60
84541,1,6,16578,44900,44900,1836693,61
84542,4,0,0,0,47627,93943,5
84542,1,7,16691,44900,44900,1836693,61
84548,1,7,16691,44900,44900,1844693,62
84556,1,7,16691,44900,44900,1845893,63
84601,1,8,16811,44900,44900,1845893,63
84605,1,8,16811,44900,44900,1846013,64
84607,1,8,16811,44900,44900,1846222,65
84612,2,0,0,0,46840,5000,1
84612,3,0,0,0,47263,4676,2
84612,4,0,0,0,47624,1000,1
84612,5,0,0,0,47627,93943,5
84613,1,8,16811,44900,44900,1868222,66
84619,1,8,16811,44900,44900,1868722,67
84620,1,8,16811,44900,44900,1896722,68
84625,1,8,16811,44900,44900,1897642,69
84631,1,8,16811,44900,44900,1902716,70
84632,1,8,16811,44900,44900,1947716,71
84634,1,8,16811,44900,44900,1948516,72
84635,1,9,25333,44900,44900,1948516,72
84637,1,9,25333,44900,44900,1943442,71
84638,1,9,25333,44900,44900,1943942,72
84642,1,9,25333,44900,44900,1948942,73
84648,1,9,25333,44900,44900,1949812,74
84651,1,9,25333,44900,44900,1951474,75
84651,1,9,25333,44900,44900,1961114,76
84659,1,10,34440,44900,44900,1961114,76
84706,4,0,0,0,47624,1107,2
84707,1,10,34440,44900,44900,1961205,77
84708,1,9,33440,44900,44900,1961205,77
84710,1,8,24333,44900,44900,1961205,77
84715,1,8,24333,44900,44900,1962784,78
84725,1,8,24333,44900,44900,1964934,79
84740,1,8,24333,44900,44900,1965133,80
84740,1,8,24333,44900,44900,1966133,81
84741,3,0,0,0,47000,4200,1
84741,4,0,0,0,47263,4676,2
84741,5,0,0,0,47624,1107,2
84752,1,8,24333,44900,44900,1967936,82
84801,1,8,24333,44900,44900,1970941,83
84801,1,8,24333,44900,44900,1971315,84
84805,1,7,15811,44900,44900,1971315,84
84810,1,7,15811,44900,44900,1992068,85
84814,1,6,14702,44900,44900,1992068,85
84841,1,6,14702,44900,44900,1990068,84
84847,1,6,14702,44900,44900,1988068,83
84849,1,6,14702,44900,44900,1988656,84
84901,1,6,14702,44900,44900,1991592,85
84904,1,6,14702,44900,44900,1993292,86
84906,1,5,14590,44900,44900,1993292,86
