time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,3000,1851,1939,7341,2
63938,2,3,45000,1783,1949,5000,1
63938,3,1,14172,1740,1970,2570,1
63938,4,1,5000,1736,1985,2550,1
63938,5,0,0,0,1995,49985,1
84501,3,1,2823,1782,1970,2570,1
84501,4,1,14172,1740,1985,2550,1
84501,5,1,5000,1736,1995,49985,1
84502,1,4,48000,1783,1783,5500,1
84502,2,1,2823,1782,1939,7341,2
84502,3,1,14172,1740,1949,5000,1
84502,4,1,5000,1736,1970,2570,1
84502,5,0,0,0,1985,2550,1
84505,2,2,5646,1782,1939,7341,2
84506,1,2,5720,1851,1851,5500,1
84506,2,3,45000,1783,1939,7341,2
84506,3,2,5646,1782,1949,5000,1
84506,4,1,14172,1740,1970,2570,1
84506,5,1,5000,1736,1985,2550,1
84506,4,1,14172,1740,1968,39301,1
84506,5,1,5000,1736,1970,2570,1
84506,2,1,400000,1785,1939,7341,2
84506,3,3,45000,1783,1949,5000,1
84506,4,2,5646,1782,1968,39301,1
84506,5,1,14172,1740,1970,2570,1
84507,4,3,9839,1782,1968,39301,1
84508,4,4,13839,1782,1968,39301,1
84508,4,6,20162,1782,1968,39301,1
84508,1,2,5720,1851,1851,7029,2
84508,4,7,70162,1782,1968,39301,1
84511,4,8,181980,1782,1968,39301,1
84512,4,9,338739,1782,1968,39301,1
84516,2,1,400000,1785,1925,5298,1
84516,3,3,45000,1783,1939,7341,2
84516,4,9,338739,1782,1949,5000,1
84516,5,1,14172,1740,1968,39301,1
84519,5,1,14172,1740,1968,66124,2
84523,4,10,341549,1782,1949,5000,1
84527,4,11,371425,1782,1949,5000,1
84527,5,1,14172,1740,1968,71124,3
84537,5,1,14172,1740,1968,74124,4
84543,2,1,400000,1785,1900,14137,1
84543,3,3,45000,1783,1925,5298,1
84543,4,11,371425,1782,1939,7341,2
84543,5,1,14172,1740,1949,5000,1
84547,1,2,5720,1850,1850,56855,2
84547,2,1,400000,1785,1851,1529,1
84547,3,3,45000,1783,1900,14137,1
84547,4,11,371425,1782,1925,5298,1
84547,5,1,14172,1740,1939,7341,2
84558,4,12,374455,1782,1925,5298,1
84603,4,13,378455,1782,1925,5298,1
84604,4,14,381279,1782,1925,5298,1
84608,1,3,405720,1785,1785,10065,2
84608,2,3,45000,1783,1850,51355,1
84608,3,14,381279,1782,1851,1529,1
84608,4,1,14172,1740,1900,14137,1
84608,5,1,5000,1736,1925,5298,1
84620,3,15,391279,1782,1851,1529,1
84621,3,16,394099,1782,1851,1529,1
84622,3,17,397099,1782,1851,1529,1
84624,3,16,394276,1782,1851,1529,1
84630,3,17,404276,1782,1851,1529,1
84636,3,16,401453,1782,1851,1529,1
84652,3,16,401563,1782,1851,1529,1
84705,3,17,431563,1782,1851,1529,1
84706,1,3,16329,1791,1791,10065,2
84706,2,1,400000,1785,1850,51355,1
84706,3,3,45000,1783,1851,1529,1
84706,4,17,431563,1782,1900,14137,1
84706,5,1,14172,1740,1925,5298,1
84714,2,2,450000,1785,1850,51355,1
84714,5,1,14172,1740,1920,8000,1
84727,1,3,16329,1791,1791,10765,3
84733,4,18,434563,1782,1900,14137,1
84736,3,4,55000,1783,1851,1529,1
84736,1,4,223198,1791,1791,10765,3
84748,4,19,634563,1782,1900,14137,1
84749,1,5,233198,1791,1791,10765,3
84749,3,3,45000,1783,1851,1529,1
84758,1,6,261011,1791,1791,10765,3
84758,4,20,637372,1782,1900,14137,1
84803,2,1,400000,1785,1850,51355,1
84811,1,6,261011,1791,1791,11456,4
84815,4,21,641110,1782,1900,14137,1
84815,4,22,646459,1782,1900,14137,1
84817,4,23,656459,1782,1900,14137,1
84818,5,1,14172,1740,1920,13365,2
84822,4,24,678822,1782,1900,14137,1
84822,4,25,681722,1782,1900,14137,1
84828,1,3,25720,1850,1850,62811,5
84828,2,4,255291,1791,1851,1529,1
84828,3,1,400000,1785,1900,14137,1
84828,4,3,45000,1783,1920,13365,2
84828,5,25,681722,1782,1925,5298,1
84830,2,5,258291,1791,1851,1529,1
84834,5,26,684572,1782,1925,5298,1
84835,3,1,5500,1790,1900,14137,1
84835,4,1,400000,1785,1920,13365,2
84835,5,3,45000,1783,1925,5298,1
84840,3,1,5500,1790,1860,684,1
84840,4,1,400000,1785,1900,14137,1
84840,5,3,45000,1783,1920,13365,2
84855,2,6,310581,1791,1851,1529,1
84905,2,1,15000,1835,1851,1529,1
84905,3,6,310581,1791,1860,684,1
84905,4,1,5500,1790,1900,14137,1
84905,5,1,400000,1785,1920,13365,2
84905,1,10,351301,1791,1791,101456,5
84905,2,1,5500,1790,1850,51355,1
84905,3,1,400000,1785,1851,1529,1
84905,4,3,45000,1783,1860,684,1
84905,5,27,696486,1782,1900,14137,1
84909,1,5,228161,1800,1800,101456,5
84909,2,6,310581,1791,1850,51355,1
84909,3,1,5500,1790,1851,1529,1
84909,4,1,400000,1785,1860,684,1
84909,5,3,45000,1783,1900,14137,1
84913,1,6,278161,1800,1800,101456,5
84914,5,4,56175,1783,1900,14137,1
84917,1,3,25720,1850,1850,62811,5
84917,2,1,15000,1835,1851,1529,1
84917,3,2,237441,1800,1860,684,1
84917,4,6,310581,1791,1900,14137,1
84917,5,1,5500,1790,1920,13365,2
84919,1,2,22720,1850,1850,62811,5
84919,3,2,237441,1800,1860,11191,2
84924,5,2,116818,1790,1920,13365,2
84948,1,3,26220,1850,1850,62811,5
84948,4,1,8000,1795,1900,14137,1
84948,5,6,310581,1791,1920,13365,2
85018,5,1,2800,1793,1920,13365,2
85026,2,1,15000,1835,1860,11191,2
85026,3,2,237441,1800,1900,14137,1
85026,4,1,8000,1795,1920,13365,2
85026,5,1,2800,1793,1925,5298,1
85027,1,3,26220,1850,1850,57311,4
85044,1,2,22720,1850,1850,57311,4
85045,3,3,337441,1800,1900,14137,1
85049,5,1,2796,1794,1925,5298,1
85052,3,1,5000,1803,1900,14137,1
85052,4,3,337441,1800,1920,13365,2
85052,5,1,8000,1795,1925,5298,1
85100,3,1,2770,1810,1900,14137,1
85100,4,1,5000,1803,1920,13365,2
85100,5,3,337441,1800,1925,5298,1
85107,3,1,2770,1810,1920,13365,2
85107,4,1,5000,1803,1925,5298,1
85107,5,3,337441,1800,1930,14919,1
85108,5,4,340441,1800,1930,14919,1
85206,5,5,375651,1800,1930,14919,1
85219,5,1,7000,1801,1930,14919,1
85230,1,3,32720,1850,1850,57311,4
85231,4,1,5000,1803,1925,10298,2
85241,5,1,7000,1801,1930,16619,2
85316,1,4,36759,1850,1850,57311,4
85327,3,1,2770,1810,1869,8319,1
85327,4,1,5000,1803,1920,13365,2
85327,5,1,7000,1801,1925,10298,2
85344,1,5,41759,1850,1850,57311,4
85353,1,5,41759,1850,1850,67311,5
85358,3,1,5000,1825,1869,8319,1
85358,4,1,2770,1810,1920,13365,2
85358,5,1,5000,1803,1925,10298,2
85413,1,5,41759,1850,1850,57311,4
85419,3,2,10459,1825,1869,8319,1
85421,1,6,45259,1850,1850,57311,4
85421,5,1,3000,1804,1925,10298,2
85434,1,5,41759,1850,1850,57311,4
85600,1,6,49759,1850,1850,57311,4
85622,4,1,2770,1810,1910,90000,1
85622,5,1,3000,1804,1920,13365,2
85640,5,1,3000,1804,1919,10000,1
85659,1,6,49759,1850,1850,58311,5
85716,4,1,2770,1810,1900,3000,1
85716,5,1,3000,1804,1910,90000,1
85718,2,1,11400,1849,1860,11191,2
85718,3,1,15000,1835,1869,8319,1
85718,4,2,10459,1825,1900,3000,1
85718,5,1,2770,1810,1910,90000,1
85750,1,6,49759,1850,1850,58333,6
85758,1,7,69759,1850,1850,58333,6
85827,1,4,127720,1851,1851,58333,6
85827,2,4,42039,1850,1860,11191,2
85827,3,1,11400,1849,1869,8319,1
85827,4,1,15000,1835,1900,3000,1
85827,5,2,10459,1825,1910,90000,1
85841,5,2,10459,1825,1910,92700,2
85851,5,2,10459,1825,1910,95338,3
85905,1,5,155387,1851,1851,58333,6
85909,2,5,105452,1850,1860,11191,2
85912,1,4,124220,1852,1852,58333,6
85912,2,2,127667,1851,1860,11191,2
85912,3,5,105452,1850,1869,8319,1
85912,4,1,11400,1849,1900,3000,1
85912,5,1,15000,1835,1910,95338,3
85929,2,3,181492,1851,1860,11191,2
85930,1,4,124220,1852,1852,108333,7
85956,1,5,127020,1852,1852,108333,7
90004,1,6,134020,1852,1852,108333,7
90005,1,7,154020,1852,1852,108333,7
90007,1,8,159020,1852,1852,108333,7
90014,5,2,216908,1835,1910,95338,3
90015,1,9,189020,1852,1852,108333,7
90016,1,9,189020,1852,1852,128333,8
90024,1,4,60687,1852,1860,11191,2
90024,2,3,181492,1851,1869,8319,1
90024,3,5,105452,1850,1900,3000,1
90024,4,1,11400,1849,1910,95338,3
90024,5,2,216908,1835,1915,25000,1
90027,1,3,53687,1852,1860,11191,2
90030,5,1,201908,1835,1915,25000,1
90032,1,3,135179,1851,1860,11191,2
90032,2,5,105452,1850,1869,8319,1
90032,3,1,11400,1849,1900,3000,1
90032,4,1,201908,1835,1910,95338,3
90032,5,2,10459,1825,1915,25000,1
90036,2,4,42039,1850,1869,8319,1
90041,1,1,10000,1852,1860,11191,2
90041,2,3,135179,1851,1869,8319,1
90041,3,4,42039,1850,1900,3000,1
90041,4,1,11400,1849,1910,95338,3
90041,5,1,201908,1835,1915,25000,1
90042,3,4,42039,1850,1900,73539,2
90045,2,2,81354,1851,1869,8319,1
90047,1,2,12720,1852,1860,11191,2
90048,1,2,12720,1852,1860,1191,1
90054,5,1,201908,1835,1915,31280,2
90054,2,1,27667,1851,1869,8319,1
90055,2,2,30667,1851,1869,8319,1
90057,1,3,17220,1852,1860,1191,1
90058,1,1,3629,1860,1869,8319,1
90058,2,3,17220,1852,1900,73539,2
90058,3,2,30667,1851,1910,95338,3
90058,4,4,42039,1850,1915,31280,2
90058,5,1,11400,1849,1919,10000,1
90103,1,1,2100,1860,1869,8319,1
90106,2,1,100000,1853,1900,73539,2
90106,3,3,17220,1852,1910,95338,3
90106,4,2,30667,1851,1915,31280,2
90106,5,4,42039,1850,1919,10000,1
90110,1,1,18142,1900,1910,95338,3
90110,2,1,2100,1860,1915,31280,2
90110,3,1,100000,1853,1919,10000,1
90110,4,3,17220,1852,1920,13365,2
90110,5,2,30667,1851,1925,10298,2
90114,2,2,6600,1860,1915,31280,2
90114,4,2,12720,1852,1920,13365,2
90117,1,2,28642,1900,1910,95338,3
90121,2,1,53421,1865,1915,31280,2
90121,3,2,6600,1860,1919,10000,1
90121,4,1,100000,1853,1920,13365,2
90121,5,2,12720,1852,1925,10298,2
90128,1,1,8642,1900,1910,95338,3
90129,1,1,7542,1900,1910,95338,3
90133,4,2,299947,1853,1920,13365,2
90133,1,1,7542,1900,1910,75338,3
90133,1,1,2542,1900,1910,75338,3
90134,1,1,2542,1900,1908,5000,1
90134,2,1,53421,1865,1910,75338,3
90134,3,2,6600,1860,1915,31280,2
90134,4,2,299947,1853,1919,10000,1
90134,5,2,12720,1852,1920,13365,2
90135,1,1,2542,1900,1910,71576,3
90135,2,1,53421,1865,1915,31280,2
90135,3,2,6600,1860,1919,10000,1
90135,4,2,299947,1853,1920,13365,2
90135,5,2,12720,1852,1925,10298,2
90135,2,2,64476,1865,1915,31280,2
90138,1,2,64476,1865,1900,17458,1
90138,2,2,6600,1860,1910,71576,3
90138,3,2,299947,1853,1915,31280,2
90138,4,2,12720,1852,1919,10000,1
90138,5,3,43567,1851,1920,13365,2
90141,2,2,6600,1860,1910,471576,4
90142,2,3,26600,1860,1910,471576,4
90147,1,2,64476,1865,1900,23046,2
90151,5,4,46567,1851,1920,13365,2
90152,1,1,25954,1900,1910,471576,4
90152,2,2,64476,1865,1915,31280,2
90152,3,3,26600,1860,1919,10000,1
90152,4,2,299947,1853,1920,13365,2
90152,5,2,12720,1852,1925,10298,2
