time,last,close,open,high,low,count,volume,value,discarded
64615,29770,29740,0,0,0,0,0,0,0
90021,30210,29750,30210,30210,30210,1,10000,302100000,0
90021,30210,29750,30210,30210,30210,2,11223,339046830,0
90021,30210,29750,30210,30210,30210,3,12343,372882030,0
90021,30210,29750,30210,30210,30210,4,13349,403273290,0
90021,30210,29750,30210,30210,30210,5,14349,433483290,0
90021,30210,29750,30210,30210,30210,6,15349,463693290,0
90021,30210,29760,30210,30210,30210,7,16349,493903290,0
90041,30210,29770,30210,30210,30210,8,36349,1098103290,0
90054,30210,29770,30210,30210,30210,9,37104,1120911840,0
90055,30250,29780,30210,30250,30210,10,38104,1151161840,0
90055,30250,29780,30210,30250,30210,11,39104,1181411840,0
90055,30210,29780,30210,30250,30210,12,39306,1187514260,0
90106,30400,29780,30210,30400,30210,13,39706,1199674260,0
90117,30400,29780,30210,30400,30210,14,40306,1217914260,0
90117,30400,29780,30210,30400,30210,15,40806,1233114260,0
90122,30400,29780,30210,30400,30210,16,41206,1245274260,0
90122,30400,29780,30210,30400,30210,17,41386,1250746260,0
90122,30220,29780,30210,30400,30210,18,42806,1293658660,0
90222,30230,29790,30210,30400,30210,19,47806,1444808660,0
90228,30400,29790,30210,30400,30210,20,48006,1450888660,0
90318,30400,29790,30210,30400,30210,21,48806,1475208660,0
90318,30400,29790,30210,30400,30210,22,49006,1481288660,0
90318,30400,29790,30210,30400,30210,23,50006,1511688660,0
90327,30400,29790,30210,30400,30210,24,51506,1557288660,0
90339,30400,29790,30210,30400,30210,25,51697,1563095060,0
90342,30360,29790,30210,30400,30210,26,52397,1584347060,0
90343,30360,29790,30210,30400,30210,27,52657,1592240660,0
90343,30400,29800,30210,30400,30210,28,58742,1777224660,0
90343,30400,29800,30210,30400,30210,29,59073,1787287060,0
90343,30400,29800,30210,30400,30210,30,60366,1826594260,0
90346,30250,29800,30210,30400,30210,31,60686,1836274260,0
90346,30250,29800,30210,30400,30210,32,61364,1856783760,0
90346,30240,29800,30210,30400,30210,33,61366,1856844240,0
90444,30250,29810,30210,30400,30210,34,63433,1919370990,0
90501,30250,29810,30210,30400,30210,35,68433,2070620990,0
90516,30400,29810,30210,30400,30210,36,69983,2117740990,0
90525,30400,29810,30210,30400,30210,37,71666,2168904190,0
90534,30400,29820,30210,30400,30210,38,72664,2199243390,0
90538,30260,29820,30210,30400,30210,39,72864,2205295390,0
90625,30380,29820,30210,30400,30210,40,73864,2235675390,0
90639,30300,29820,30210,30400,30210,41,74620,2258582190,0
90652,30380,29820,30210,30400,30210,42,75920,2298076190,0
90754,30380,29820,30210,30400,30210,43,76920,2328456190,0
90755,30380,29820,30210,30400,30210,44,77279,2339362610,0
90807,30390,29820,30210,30400,30210,45,78809,2385859310,0
90813,30400,29820,30210,30400,30210,46,79285,2400329710,0
90813,30400,29830,30210,30400,30210,47,80285,2430729710,0
90813,30400,29830,30210,30400,30210,48,80585,2439849710,0
90813,30400,29830,30210,30400,30210,49,81272,2460734510,0
90824,30410,29840,30210,30410,30210,50,89763,2718945820,0
90832,30410,29840,30210,30410,30210,51,89963,2725027820,0
90839,30490,29840,30210,30490,30210,52,92963,2816497820,0
90843,30500,29840,30210,30500,30210,53,93963,2846997820,0
90843,30500,29850,30210,30500,30210,54,95964,2908028320,0
90849,30500,29870,30210,30500,30210,55,108442,3288607320,0
90852,30500,29880,30210,30500,30210,56,116054,3520773320,0
90852,30500,29880,30210,30500,30210,57,118854,3606173320,0
90852,30500,29880,30210,30500,30210,58,119554,3627523320,0
90909,30800,29890,30210,30800,30210,59,120798,3665838520,0
90910,30800,29890,30210,30800,30210,60,120998,3671998520,0
90915,30800,29890,30210,30800,30210,61,123616,3752632920,0
90920,30800,29890,30210,30800,30210,62,124554,3781523320,0
90922,30800,29900,30210,30800,30210,63,128554,3904723320,0
