time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63127,1,3,2763,31000,31610,37760,1
63127,2,1,700,30890,32000,105,2
63127,3,1,199,30510,32700,281,1
63127,4,1,500,30220,32750,3318,1
63127,5,2,1707,30218,33396,1000,1
84510,4,2,1000,30220,32750,3318,1
84512,5,2,1707,30218,33157,3000,1
84515,5,2,1707,30218,32900,350,1
84516,1,4,3463,30890,30890,3000,1
84516,2,1,199,30510,31610,37760,1
84516,3,2,1000,30220,32000,105,2
84516,4,2,1707,30218,32700,281,1
84516,5,1,795,30170,32750,3318,1
84518,1,4,3017,31000,31000,3000,1
84518,2,1,700,30890,31610,37760,1
84518,3,1,199,30510,32000,105,2
84518,4,2,1000,30220,32700,281,1
84518,5,2,1707,30218,32750,3318,1
84524,1,5,6231,31000,31000,3000,1
84535,4,2,1000,30220,32480,990,1
84535,5,2,1707,30218,32700,281,1
84544,1,6,6731,31000,31000,3000,1
84554,3,1,3794,30511,32000,105,2
84554,4,1,199,30510,32480,990,1
84554,5,2,1000,30220,32700,281,1
84603,1,6,6731,31000,31000,19920,2
84604,1,7,6931,31000,31000,19920,2
84617,1,6,6731,31000,31000,19920,2
84619,1,7,8338,31000,31000,19920,2
84626,5,2,1000,30220,32500,500,1
84634,3,1,3794,30511,32000,687,3
84637,1,8,10038,31000,31000,19920,2
84650,1,9,11703,31000,31000,19920,2
84652,1,10,12703,31000,31000,19920,2
84654,1,11,14503,31000,31000,19920,2
84704,1,12,17696,31000,31000,19920,2
84727,1,13,18660,31000,31000,19920,2
84732,3,1,164,30750,32000,687,3
84732,4,1,3794,30511,32480,990,1
84732,5,1,199,30510,32500,500,1
84734,1,14,19302,31000,31000,19920,2
84734,1,15,19482,31000,31000,19920,2
84736,1,16,19832,31000,31000,19920,2
84739,1,16,19832,31000,31000,21682,3
84746,1,17,20506,31000,31000,21682,3
84748,1,18,21006,31000,31000,21682,3
84758,1,17,20826,31000,31000,21682,3
84808,1,18,21326,31000,31000,21682,3
84809,1,18,21326,31000,31000,18682,2
84815,1,19,24826,31000,31000,18682,2
84815,1,20,25026,31000,31000,18682,2
84825,1,19,24526,31000,31000,18682,2
84826,1,19,24526,31000,31000,18757,3
84831,4,1,10000,30600,32480,990,1
84831,5,1,3794,30511,32500,500,1
84832,5,1,3794,30511,32500,1772,2
84852,1,20,25026,31000,31000,18757,3
84854,5,1,16323,30520,32500,1772,2
84904,1,2,3693,31310,31310,1837,2
84904,2,18,21333,31000,31610,37760,1
84904,3,1,700,30890,32000,687,3
84904,4,1,164,30750,32480,990,1
84904,5,1,10000,30600,32500,1772,2
84912,1,2,3693,31310,31310,1921,3
84916,2,17,17833,31000,31610,37760,1
84921,1,1,3193,31310,31310,1921,3
84929,2,17,17833,31000,31570,9500,1
84929,3,1,700,30890,31610,37760,1
84929,4,1,164,30750,32000,687,3
84929,5,1,10000,30600,32480,990,1
84931,1,1,3193,31310,31310,2216,4
84934,1,2,6693,31310,31310,2216,4
84938,1,3,9293,31310,31310,2216,4
84941,1,3,9293,31310,31310,3659,5
84943,3,2,1200,30890,31610,37760,1
84945,2,18,21233,31000,31570,9500,1
84950,2,18,21233,31000,31610,47260,2
84950,3,2,1200,30890,32000,687,3
84950,4,1,164,30750,32480,990,1
84950,5,1,10000,30600,32500,1772,2
85001,5,1,10000,30600,32500,1995,3
