time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,800,12860,13100,1000,1
63938,2,1,10000,12830,13290,782,1
63938,3,1,900,12780,13400,377,1
63938,4,1,1000,12660,13850,7490,1
63938,5,1,600,12610,13890,7346,1
84501,4,1,1000,12660,13590,2800,1
84501,5,1,600,12610,13850,7490,1
84501,1,1,981,13100,13100,1000,1
84501,2,1,800,12860,13290,782,1
84501,3,1,10000,12830,13400,377,1
84501,4,1,900,12780,13590,3399,2
84501,5,1,1000,12660,13850,7490,1
84501,4,1,900,12780,13590,103399,3
84501,4,1,900,12780,13590,103799,4
84501,1,2,100981,13590,13590,105958,7
84501,2,1,800,12860,13850,7490,1
84501,3,1,10000,12830,13890,7346,1
84501,4,1,900,12780,14000,240538,8
84501,5,1,1000,12660,14250,3607,1
84502,1,2,100981,13590,13590,118593,9
84502,2,1,9000,13100,13850,7490,1
84502,3,1,800,12860,13890,7346,1
84502,4,1,10000,12830,14000,240538,8
84502,5,1,900,12780,14250,3607,1
84502,1,6,243860,13590,13590,119023,10
84503,1,10,357110,13590,13590,181057,12
84503,1,13,391067,13590,13590,181057,12
84503,1,15,406067,13590,13590,181057,12
84503,1,16,415067,13590,13590,181057,12
84503,1,18,424067,13590,13590,196722,13
84503,3,1,523,12990,13890,7346,1
84503,4,1,800,12860,14000,240538,8
84503,5,1,10000,12830,14250,3607,1
84504,1,18,424067,13590,13590,197222,14
84504,1,19,441521,13590,13590,268921,16
84504,1,20,442252,13590,13590,268921,16
84504,1,20,442252,13590,13590,292068,17
84504,1,20,442252,13590,13590,312068,18
84504,1,20,442252,13590,13590,315421,20
84504,1,20,442252,13590,13590,316221,21
84504,2,2,10200,13100,13850,7490,1
84505,1,21,443713,13590,13590,333388,22
84505,1,22,543713,13590,13590,333388,22
84505,1,22,543713,13590,13590,334388,23
84505,1,23,551044,13590,13590,340588,24
84505,1,25,570586,13590,13590,382072,28
84505,3,1,1004,13000,13890,7346,1
84505,4,1,523,12990,14000,240538,8
84505,5,1,800,12860,14250,3607,1
84505,1,25,570586,13590,13590,406197,30
84505,1,26,577917,13590,13590,416117,33
84506,1,28,607248,13590,13590,416117,33
84506,1,29,707248,13590,13590,442109,34
84506,5,1,2234,12950,14250,3607,1
84506,1,29,707248,13590,13590,529042,35
84506,1,29,707248,13590,13590,531042,36
84506,2,3,10600,13100,13850,7490,1
84506,1,29,707248,13590,13590,568802,37
84506,1,30,807248,13590,13590,568802,37
84506,1,30,807248,13590,13590,582822,38
84506,1,31,814248,13590,13590,582822,38
84506,1,31,814248,13590,13590,677635,39
84506,1,31,814248,13590,13590,697635,40
84506,3,2,1504,13000,13890,7346,1
84507,1,31,814248,13590,13590,703035,41
84507,3,1,1000,13050,13890,7346,1
84507,4,2,1504,13000,14000,240538,8
84507,5,1,523,12990,14250,3607,1
84507,1,31,814248,13590,13590,704280,42
84507,4,3,7504,13000,14000,240538,8
84507,1,32,829984,13590,13590,704280,42
