time,count,volume,price,discarded
90023,1,5928,2890,0
90023,2,5000,2890,0
90023,3,2000,2890,0
90023,4,1770,2890,0
90023,5,910,2890,0
90041,6,2000,2890,0
90046,7,5000,2890,0
90052,8,5000,2899,0
90052,9,2000,2899,0
90052,10,1500,2899,0
90052,11,5000,2899,0
90053,12,4500,2899,0
90053,13,4500,2890,0
90104,14,5000,2890,0
90112,15,39643,2890,0
90124,16,6506,2780,0
90155,17,1906,2780,0
90230,18,2500,2781,0
90230,19,3500,2780,0
90257,20,1814,2800,0
90300,21,3339,2800,0
90300,22,1661,2800,0
90304,23,3565,2800,0
90304,24,3000,2800,0
90310,25,3000,2800,0
90316,26,3553,2875,0
90319,27,8536,2875,0
90321,28,3376,2865,0
90321,29,2540,2879,0
90341,30,2300,2880,0
90343,31,4465,2879,0
90343,32,10000,2879,0
90420,33,2000,2850,0
90444,34,3000,2875,0
90447,35,6999,2878,0
90447,36,35535,2879,0
90447,37,38793,2879,0
90447,38,15000,2879,0
90447,39,700,2880,0
90459,40,25000,2880,0
90504,41,357,2890,0
90504,42,6435,2890,0
90504,43,4000,2890,0
90504,44,5000,2890,0
90504,45,2000,2890,0
90504,46,3000,2890,0
90504,47,50000,2899,0
90504,48,2000,2899,0
90504,49,249721,2900,0
90504,50,4489,2900,0
90504,51,3000,2900,0
90504,52,3000,2900,0
90504,53,3277,2900,0
90504,54,2357,2900,0
90509,55,17341,2885,0
90514,56,3000,2880,0
90518,57,10000,2860,0
90518,58,48966,2880,0
90527,59,2500,2900,0
90527,60,3694,2900,0
90527,61,25000,2900,0
90527,62,1600,2900,0
90533,63,1,2900,0
90536,64,4091,2908,0
90536,65,5909,2908,0
90539,66,15000,2900,0
90540,67,1800,2908,0
90540,68,5000,2900,0
90601,69,2740,2908,0
90604,70,10000,2908,0
90604,71,4551,2908,0
90608,72,50000,2910,0
90608,73,3467,2910,0
90608,74,1825,2916,0
90608,75,1800,2917,0
90608,76,3000,2917,0
90608,77,47448,2920,0
90610,78,2552,2920,0
90610,79,6570,2920,0
90610,80,25000,2920,0
90610,81,2250,2930,0
90610,82,11375,2930,0
90610,83,7224,2930,0
90610,84,3000,2930,0
90610,85,342029,2930,0
90611,86,57971,2930,0
90611,87,4000,2931,0
90611,88,1722,2931,0
90611,89,7150,2931,0
90611,90,50000,2931,0
90611,91,100000,2931,0
90611,92,1340,2931,0
90611,93,3332,2931,0
90611,94,5000,2931,0
90611,95,3443,2931,0
90611,96,3000,2931,0
90611,97,1800,2931,0
90611,98,9600,2931,0
90611,99,16413,2931,0
90611,100,11000,2931,0
90611,101,2225,2931,0
90611,102,43660,2931,0
90611,103,1722,2931,0
90611,104,1,2931,0
90611,105,2643,2931,0
90611,106,73978,2931,0
