time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63127,1,2,2650,6821,7120,5000,1
63127,2,2,1900,6805,7267,5000,1
63127,3,0,0,0,7268,26000,2
63127,4,0,0,0,7269,23000,1
63127,5,0,0,0,7277,625,1
84513,1,1,4765,6900,7120,5000,1
84513,2,2,2650,6821,7267,5000,1
84513,3,2,1900,6805,7268,26000,2
84514,2,3,3390,6821,7267,5000,1
84514,2,3,3390,6821,7200,200000,1
84514,3,2,1900,6805,7267,5000,1
84514,4,0,0,0,7268,26000,2
84514,5,0,0,0,7269,23000,1
84515,1,1,50000,7200,7200,205000,2
84515,2,1,4765,6900,7267,5000,1
84515,3,3,3390,6821,7268,26000,2
84515,4,1,900,6805,7269,23000,1
84515,5,0,0,0,7277,625,1
84517,1,2,100000,7200,7200,207000,3
84518,1,3,150000,7200,7200,207000,3
84518,2,2,7075,6900,7267,5000,1
84525,1,3,150000,7200,7200,207584,4
84528,5,1,1000,6700,7277,625,1
84601,2,2,7075,6900,7267,5568,2
84605,5,1,2500,6770,7277,625,1
84609,1,3,150000,7200,7200,208636,5
84617,1,4,160000,7200,7200,208636,5
84618,1,4,160000,7200,7200,217379,6
84626,1,4,160000,7200,7200,222379,7
84626,1,5,170000,7200,7200,222379,7
84629,3,1,750,6878,7268,26000,2
84629,4,3,3390,6821,7269,23000,1
84629,5,1,900,6805,7277,625,1
84631,1,5,170000,7200,7200,222635,8
84639,2,2,7075,6900,7250,568,1
84639,3,1,750,6878,7267,5000,1
84639,4,3,3390,6821,7268,26000,2
84639,5,1,900,6805,7269,23000,1
84640,1,6,370000,7324,7324,387837,22
84640,2,2,7075,6900,7340,10000,1
84640,3,1,750,6878,7440,1000,1
84640,4,3,3390,6821,7480,7500,1
84640,5,1,900,6805,7500,68231,1
84659,5,1,2500,6770,7500,68231,1
84704,1,6,370000,7324,7324,386785,21
84704,1,6,370000,7324,7324,378042,20
84717,1,6,370000,7324,7324,391008,21
84722,1,6,370000,7324,7324,396008,22
84723,1,7,410000,7324,7324,396008,22
84726,1,7,410000,7324,7324,404751,23
84733,1,7,410000,7324,7324,414041,24
84745,1,7,410000,7324,7324,409041,23
84745,1,7,410000,7324,7324,404041,22
84750,1,8,413000,7324,7324,404041,22
84751,1,8,413000,7324,7324,405041,23
84811,1,8,413000,7324,7324,406093,24
84811,1,9,413870,7324,7324,406093,24
84814,1,9,413870,7324,7324,408093,25
84816,1,9,413870,7324,7324,411093,26
84818,2,1,1279,7000,7340,10000,1
84818,3,2,7075,6900,7440,1000,1
84818,4,1,750,6878,7480,7500,1
84818,5,3,3390,6821,7500,68231,1
84820,1,9,413870,7324,7324,427428,27
84825,1,9,413870,7324,7324,428378,28
84832,1,9,413870,7324,7324,434878,29
84837,1,9,413870,7324,7324,436247,30
84839,3,3,9075,6900,7440,1000,1
84841,1,9,413870,7324,7324,439247,31
