time,last,close,open,high,low,count,volume,value,discarded
64617,17700,17770,0,0,0,0,0,0,0
90026,17870,17770,17870,17870,17870,1,5575,99625250,0
90026,17870,17770,17870,17870,17870,2,8362,149428940,0
90026,17870,17770,17870,17870,17870,3,8473,151412510,0
90106,17870,17770,17870,17870,17870,4,58473,1044912510,0
90107,17870,17770,17870,17870,17870,5,60000,1072200000,0
90107,17870,17770,17870,17870,17870,6,61420,1097575400,0
90138,17870,17770,17870,17870,17870,7,61820,1104723400,0
90313,17890,17770,17870,17890,17870,8,62377,1114688130,0
90313,17880,17770,17870,17890,17870,9,66120,1181612970,0
90327,18000,17770,17870,18000,17870,10,92920,1664012970,0
90410,18050,17770,17870,18050,17870,11,93220,1669427970,0
90535,18050,17770,17870,18050,17870,12,93780,1679535970,0
90535,18090,17770,17870,18090,17870,13,98480,1764558970,0
90548,18090,17770,17870,18090,17870,14,98727,1769027200,0
90617,18000,17770,17870,18090,17870,15,99327,1779827200,0
90618,18000,17770,17870,18090,17870,16,104086,1865489200,0
90629,18000,17770,17870,18090,17870,17,107126,1920209200,0
90644,18090,17770,17870,18090,17870,18,107379,1924785970,0
90657,18100,17770,17870,18100,17870,19,148174,2663175470,0
90657,18100,17770,17870,18100,17870,20,157205,2826636570,0
90657,18100,17770,17870,18100,17870,21,159205,2862836570,0
90704,18090,17780,17870,18100,17870,22,159502,2868209300,0
90856,18010,17780,17870,18100,17870,23,159802,2873612300,0
91038,18020,17780,17870,18100,17870,24,160110,2879162460,0
91057,18070,17780,17870,18100,17870,25,160661,2889119030,0
91107,18070,17780,17870,18100,17870,26,170110,3059862460,0
91140,18080,17780,17870,18100,17870,27,170663,3069860700,0
91328,18020,17780,17870,18100,17870,28,171612,3086961680,0
91328,18020,17780,17870,18100,17870,29,171912,3092367680,0
91328,18020,17780,17870,18100,17870,30,172464,3102314720,0
91328,18010,17780,17870,18100,17870,31,177164,3186961720,0
91328,18010,17780,17870,18100,17870,32,177692,3196471000,0
91328,18000,17780,17870,18100,17870,33,192493,3462889000,0
91328,18000,17780,17870,18100,17870,34,196952,3543151000,0
91405,18000,17780,17870,18100,17870,35,198015,3562285000,0
91405,18000,17780,17870,18100,17870,36,198315,3567685000,0
91442,18000,17780,17870,18100,17870,37,198594,3572707000,0
91521,17880,17780,17870,18100,17870,38,199298,3585294520,0
91522,17880,17780,17870,18100,17870,39,203594,3662107000,0
91522,17880,17780,17870,18100,17870,40,203914,3667828600,0
91522,17880,17780,17870,18100,17870,41,204475,3677859280,0
91536,17880,17780,17870,18100,17870,42,204975,3686799280,0
91557,17870,17780,17870,18100,17870,43,205588,3697753590,0
91709,17870,17780,17870,18100,17870,44,205975,3704669280,0
91730,17860,17780,17870,18100,17860,45,206265,3709848680,0
91756,17770,17780,17870,18100,17770,46,207365,3729395680,0
