time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63127,1,0,0,0,37860,13000,1
63127,2,0,0,0,40531,100,1
63127,3,0,0,0,40618,200,1
63127,4,0,0,0,41168,1837,1
63127,5,0,0,0,41318,850,1
84514,2,0,0,0,38667,12900,1
84514,3,0,0,0,40531,100,1
84514,4,0,0,0,40618,200,1
84514,5,0,0,0,41168,1837,1
84516,1,1,1423,35000,37860,13000,1
84526,1,1,197,37500,37860,13000,1
84526,2,1,1423,35000,38667,12900,1
84557,2,1,1423,35000,38667,14163,2
84602,2,1,1423,35000,37880,676,1
84602,3,0,0,0,38667,14163,2
84602,4,0,0,0,40531,100,1
84602,5,0,0,0,40618,200,1
84608,3,0,0,0,38667,14938,3
84619,1,2,467,37500,37860,13000,1
84636,1,2,467,37500,37860,13400,2
84641,1,2,467,37500,37520,910,1
84641,2,1,1423,35000,37860,13400,2
84641,3,0,0,0,37880,676,1
84641,4,0,0,0,38667,14938,3
84641,5,0,0,0,40531,100,1
84705,1,2,467,37306,37306,574,1
84705,2,1,1423,35000,37520,910,1
84705,3,0,0,0,37860,13400,2
84705,4,0,0,0,37880,676,1
84705,5,0,0,0,38667,14938,3
84732,4,0,0,0,37880,2676,2
84745,2,1,1423,35000,37320,5700,1
84745,3,0,0,0,37520,910,1
84745,4,0,0,0,37860,13400,2
84745,5,0,0,0,37880,2676,2
84817,3,1,1424,34985,37520,910,1
84847,2,1,1423,35000,37520,910,1
84847,3,1,1424,34985,37860,13400,2
84847,4,0,0,0,37880,2676,2
84847,5,0,0,0,38667,34408,4
84927,5,0,0,0,38000,5700,1
84929,1,4,3314,34985,34985,2678,1
84929,2,0,0,0,37306,574,1
84929,3,0,0,0,37520,910,1
84929,4,0,0,0,37860,13400,2
84929,5,0,0,0,37880,2676,2
84944,1,5,3514,34985,34985,2678,1
85020,1,5,3534,34985,34985,2678,1
85028,1,6,3678,34985,34985,2678,1
85034,1,7,5102,34985,34985,2678,1
85108,1,8,19403,34985,34985,2678,1
85120,1,9,19553,34985,34985,2678,1
85122,1,8,5252,34985,34985,2678,1
85125,1,9,12252,34985,34985,2678,1
85127,1,1,197,37306,37306,574,1
85127,2,1,1423,35000,37520,910,1
85127,3,7,10632,34985,37860,13400,2
85127,4,0,0,0,37880,2676,2
85127,5,0,0,0,38000,5700,1
85224,1,2,487,37306,37306,574,1
85224,3,6,10342,34985,37860,13400,2
85248,1,2,487,37306,37306,3763,2
85302,2,1,1423,35000,37320,910,1
85325,2,2,2273,35000,37320,910,1
85325,2,3,3696,35000,37320,910,1
85333,3,7,17042,34985,37860,13400,2
85342,1,2,487,36826,36826,5350,1
85342,2,3,3696,35000,37306,3763,2
85342,3,7,17042,34985,37320,910,1
85342,4,0,0,0,37860,13400,2
85342,5,0,0,0,37880,2676,2
