time,last,close,open,high,low,count,volume,value,discarded
64614,11090,11020,0,0,0,0,0,0,0
90017,10750,11010,10750,10750,10750,1,36346,390719500,0
90017,10750,11010,10750,10750,10750,2,59123,635572250,0
90017,10750,11010,10750,10750,10750,3,74051,796048250,0
90017,10750,11010,10750,10750,10750,4,86963,934852250,0
90017,10750,11010,10750,10750,10750,5,95828,1030151000,0
90017,10750,11000,10750,10750,10750,6,100900,1084675000,0
90017,10750,11000,10750,10750,10750,7,105900,1138425000,0
90017,10750,11000,10750,10750,10750,8,110900,1192175000,0
90017,10750,11000,10750,10750,10750,9,114378,1229563500,0
90017,10750,11000,10750,10750,10750,10,117802,1266371500,0
90017,10750,11000,10750,10750,10750,11,120302,1293246500,0
90017,10750,11000,10750,10750,10750,12,121824,1309608000,0
90017,10750,11000,10750,10750,10750,13,122905,1321228750,0
90017,10750,11000,10750,10750,10750,14,123881,1331720750,0
90017,10750,11000,10750,10750,10750,15,124564,1339063000,0
90017,10750,11000,10750,10750,10750,16,124937,1343072750,0
90017,10750,11000,10750,10750,10750,17,125064,1344438000,0
90017,10750,11000,10750,10750,10750,18,125121,1345050750,0
90017,10750,11000,10750,10750,10750,19,125123,1345072250,0
90029,11020,11000,10750,11020,10750,20,132426,1425551310,0
90100,11020,11000,10750,11020,10750,21,135426,1458611310,0
90109,11020,11000,10750,11020,10750,22,135926,1464121310,0
90128,11020,11000,10750,11020,10750,23,141926,1530241310,0
90153,11020,11000,10750,11020,10750,24,143327,1545680330,0
90306,11020,11000,10750,11020,10750,25,241926,2632241310,0
90306,11020,11000,10750,11020,10750,26,243327,2647680330,0
90314,11020,11000,10750,11020,10750,27,247128,2689567350,0
90327,11010,11000,10750,11020,10750,28,248128,2700577350,0
90343,11000,11000,10750,11020,10750,29,249939,2720498350,0
90344,11000,11000,10750,11020,10750,30,268128,2920577350,0
90344,11010,11000,10750,11020,10750,31,269269,2933139760,0
90346,11010,11000,10750,11020,10750,32,291603,3179037100,0
90350,11010,11000,10750,11020,10750,33,292103,3184542100,0
90436,11010,11000,10750,11020,10750,34,292744,3191599510,0
90453,11000,11000,10750,11020,10750,35,293103,3195548510,0
90509,11000,11000,10750,11020,10750,36,293648,3201543510,0
90531,11000,11000,10750,11020,10750,37,299648,3267543510,0
90642,11000,11000,10750,11020,10750,38,303203,3306648510,0
90642,11000,11000,10750,11020,10750,39,306203,3339648510,0
90642,11000,11000,10750,11020,10750,40,334203,3647648510,0
90855,11090,11000,10750,11090,10750,41,334543,3651419110,0
90855,11170,11000,10750,11170,10750,42,334999,3656512630,0
90855,11180,11000,10750,11180,10750,43,335203,3658793350,0
90928,11180,11000,10750,11180,10750,44,336499,3673282630,0
90928,11180,11000,10750,11180,10750,45,341499,3729182630,0
90939,11180,11000,10750,11180,10750,46,343499,3751542630,0
91008,11180,11000,10750,11180,10750,47,345391,3772695190,0
91021,11180,11000,10750,11180,10750,48,350499,3829802630,0
91023,11180,11000,10750,11180,10750,49,351149,3837069630,0
91319,11170,11000,10750,11180,10750,50,352149,3848239630,0
91319,11170,11000,10750,11180,10750,51,353005,3857801150,0
91327,11170,11000,10750,11180,10750,52,354005,3868971150,0
91423,11170,11000,10750,11180,10750,53,354705,3876790150,0
91431,11180,11000,10750,11180,10750,54,355388,3884426090,0
91431,11180,11000,10750,11180,10750,55,357722,3910520210,0
91451,11180,11000,10750,11180,10750,56,362388,3962686090,0
91451,11180,11000,10750,11180,10750,57,362863,3967996590,0
91454,11180,11000,10750,11180,10750,58,363914,3979746770,0
91456,11190,11000,10750,11190,10750,59,364614,3987579770,0
91514,11190,11000,10750,11190,10750,60,365614,3998769770,0
91520,11190,11000,10750,11190,10750,61,365913,4002115580,0
91521,11190,11000,10750,11190,10750,62,366256,4005953750,0
91521,11200,11000,10750,11200,10750,63,373432,4086324950,0
91521,11200,11000,10750,11200,10750,64,374256,4095553750,0
91521,11200,11000,10750,11200,10750,65,374956,4103393750,0
91521,11200,11000,10750,11200,10750,66,375456,4108993750,0
91545,11290,11000,10750,11290,10750,67,376456,4120283750,0
91545,11290,11000,10750,11290,10750,68,376756,4123670750,0
91555,11210,11000,10750,11290,10750,69,377256,4129275750,0
91555,11200,11000,10750,11290,10750,70,377756,4134875750,0
91604,11200,11000,10750,11290,10750,71,381256,4174075750,0
91616,11210,11010,10750,11290,10750,72,383256,4196495750,0
91625,11210,11010,10750,11290,10750,73,387759,4246974380,0
91629,11210,11010,10750,11290,10750,74,400759,4392704380,0
91629,11210,11010,10750,11290,10750,75,402759,4415124380,0
91635,11210,11010,10750,11290,10750,76,411256,4510375750,0
91635,11210,11010,10750,11290,10750,77,412759,4527224380,0
91658,11210,11010,10750,11290,10750,78,413759,4538434380,0
91711,11290,11010,10750,11290,10750,79,414459,4546337380,0
91711,11290,11010,10750,11290,10750,80,415959,4563272380,0
91711,11290,11010,10750,11290,10750,81,419459,4602787380,0
91711,11290,11010,10750,11290,10750,82,422959,4642302380,0
91711,11290,11010,10750,11290,10750,83,427006,4687993010,0
91737,11220,11010,10750,11290,10750,84,427486,4693378610,0
91802,11220,11010,10750,11290,10750,85,430556,4727824010,0
91802,11220,11010,10750,11290,10750,86,431386,4737136610,0
91811,11220,11010,10750,11290,10750,87,431442,4737764930,0
91813,11220,11010,10750,11290,10750,88,431942,4743374930,0
91829,11220,11010,10750,11290,10750,89,433386,4759576610,0
91831,11220,11010,10750,11290,10750,90,435386,4782016610,0
91931,11280,11010,10750,11290,10750,91,436186,4791040610,0
91952,11280,11010,10750,11290,10750,92,436788,4797831170,0
92006,11280,11010,10750,11290,10750,93,436986,4800064610,0
92027,11220,11010,10750,11290,10750,94,466986,5136664610,0
92130,11230,11010,10750,11290,10750,95,468495,5153610680,0
92146,11230,11010,10750,11290,10750,96,468986,5159124610,0
92146,11230,11010,10750,11290,10750,97,468995,5159225680,0
92210,11270,11020,10750,11290,10750,98,469995,5170495680,0
92210,11270,11020,10750,11290,10750,99,470095,5171622680,0
92210,11280,11020,10750,11290,10750,100,470397,5175029240,0
92210,11280,11020,10750,11290,10750,101,471397,5186309240,0
92221,11260,11020,10750,11290,10750,102,472397,5197569240,0
92232,11290,11020,10750,11290,10750,103,477550,5255746610,0
92317,11300,11020,10750,11300,10750,104,478431,5265701910,0
92351,11300,11020,10750,11300,10750,105,489892,5395211210,0
92441,11280,11020,10750,11300,10750,106,490392,5400851210,0
92452,11280,11020,10750,11300,10750,107,490822,5405701610,0
92535,11250,11020,10750,11300,10750,108,491252,5410539110,0
92614,11250,11020,10750,11300,10750,109,491322,5411326610,0
92615,11240,11020,10750,11300,10750,110,496322,5467526610,0
92615,11240,11020,10750,11300,10750,111,501322,5523726610,0
92645,11250,11020,10750,11300,10750,112,501710,5528091610,0
92653,11250,11020,10750,11300,10750,113,501810,5529216610,0
92653,11230,11020,10750,11300,10750,114,508534,5604727130,0
92700,11230,11020,10750,11300,10750,115,521801,5753715540,0
92741,11200,11020,10750,11300,10750,116,523565,5773472340,0
92849,11200,11020,10750,11300,10750,117,528249,5825933140,0
92849,11200,11020,10750,11300,10750,118,529565,5840672340,0
92954,11200,11020,10750,11300,10750,119,530599,5852253140,0
92954,11200,11020,10750,11300,10750,120,531049,5857293140,0
93017,11200,11020,10750,11300,10750,121,531919,5867037140,0
93026,11200,11020,10750,11300,10750,122,533119,5880477140,0
93040,11190,11020,10750,11300,10750,123,533618,5886060950,0
93045,11200,11020,10750,11300,10750,124,535173,5903476950,0
93045,11200,11020,10750,11300,10750,125,535764,5910096150,0
93141,11200,11020,10750,11300,10750,126,536764,5921296150,0
93143,11200,11020,10750,11300,10750,127,537379,5928184150,0
93201,11250,11020,10750,11300,10750,128,538779,5943934150,0
93204,11250,11020,10750,11300,10750,129,539379,5950684150,0
93254,11250,11020,10750,11300,10750,130,539660,5953845400,0
93322,11240,11020,10750,11300,10750,131,541040,5969356600,0
93439,11210,11020,10750,11300,10750,132,542130,5981575500,0
93509,11210,11020,10750,11300,10750,133,544721,6010620610,0
93509,11210,11030,10750,11300,10750,134,551459,6086153590,0
93543,11210,11030,10750,11300,10750,135,642130,7102575500,0
93543,11210,11030,10750,11300,10750,136,642580,7107620000,0
93637,11200,11040,10750,11300,10750,137,657637,7276258400,0
93637,11200,11040,10750,11300,10750,138,667637,7388258400,0
93637,11200,11040,10750,11300,10750,139,672637,7444258400,0
93639,11200,11040,10750,11300,10750,140,673122,7449690400,0
93648,11190,11050,10750,11300,10750,141,752361,8336374810,0
93648,11190,11050,10750,11300,10750,142,773122,8568690400,0
93650,11200,11050,10750,11300,10750,143,776122,8602290400,0
93651,11190,11050,10750,11300,10750,144,778718,8631339640,0
93651,11190,11050,10750,11300,10750,145,795117,8814844450,0
93655,11200,11060,10750,11300,10750,146,855117,9486844450,0
93656,11180,11060,10750,11300,10750,147,860117,9542744450,0
93656,11180,11060,10750,11300,10750,148,869919,9652330810,0
93656,11180,11060,10750,11300,10750,149,870519,9659038810,0
93656,11180,11060,10750,11300,10750,150,937719,10410334810,0
93656,11170,11060,10750,11300,10750,151,955117,10604670470,0
93704,11200,11060,10750,11300,10750,152,955617,10610270470,0
93713,11170,11070,10750,11300,10750,153,1034663,11493214290,0
93715,11170,11070,10750,11300,10750,154,1035163,11498799290,0
93716,11170,11070,10750,11300,10750,155,1039072,11542462820,0
93716,11200,11070,10750,11300,10750,156,1045030,11609192420,0
93725,11200,11080,10750,11300,10750,157,1135163,12618682020,0
93725,11200,11080,10750,11300,10750,158,1141884,12693957220,0
93756,11180,11090,10750,11300,10750,159,1235642,13742171660,0
94025,11260,11090,10750,11300,10750,160,1240892,13801286660,0
94131,11270,11090,10750,11300,10750,161,1241392,13806921660,0
94131,11270,11090,10750,11300,10750,162,1241742,13810866160,0
94142,11270,11090,10750,11300,10750,163,1241892,13812556660,0
94150,11270,11090,10750,11300,10750,164,1242742,13822136160,0
94150,11260,11090,10750,11300,10750,165,1250765,13912475140,0
