time,last,close,open,high,low,count,volume,value,discarded
64134,1614,1614,0,0,0,0,0,0,0
90013,1582,1614,1582,1582,1582,1,50000,79100000,0
90013,1582,1614,1582,1582,1582,2,91000,143962000,0
90013,1582,1614,1582,1582,1582,3,117366,185673012,0
90013,1582,1614,1582,1582,1582,4,132432,209507424,0
90013,1582,1614,1582,1582,1582,5,141432,223745424,0
90013,1582,1614,1582,1582,1582,6,148437,234827334,0
90013,1582,1614,1582,1582,1582,7,153437,242737334,0
90013,1582,1614,1582,1582,1582,8,158437,250647334,0
90013,1582,1614,1582,1582,1582,9,162537,257133534,0
90013,1582,1614,1582,1582,1582,10,163215,258206130,0
90013,1582,1614,1582,1582,1582,11,163471,258611122,0
90013,1582,1614,1582,1582,1582,12,163488,258638016,0
90059,1582,1614,1582,1582,1582,13,182344,288468208,0
90059,1582,1613,1582,1582,1582,14,197488,312426016,0
90119,1582,1613,1582,1582,1582,15,207488,328246016,0
90138,1582,1613,1582,1582,1582,16,216582,342632724,0
90138,1582,1613,1582,1582,1582,17,257488,407346016,0
90157,1582,1613,1582,1582,1582,18,266582,421732724,0
90157,1582,1613,1582,1582,1582,19,267488,423166016,0
90159,1582,1613,1582,1582,1582,20,271266,429142812,0
90239,1582,1613,1582,1582,1582,21,274115,433649930,0
90239,1582,1613,1582,1582,1582,22,276665,437684030,0
90319,1582,1613,1582,1582,1582,23,286665,453504030,0
90337,1582,1613,1582,1582,1582,24,296665,469324030,0
90358,1582,1613,1582,1582,1582,25,313363,495740266,0
90504,1582,1613,1582,1582,1582,26,322213,509740966,0
90505,1582,1613,1582,1582,1582,27,324115,512749930,0
90505,1582,1613,1582,1582,1582,28,326271,516160722,0
90710,1582,1613,1582,1582,1582,29,338867,536087594,0
90716,1582,1613,1582,1582,1582,30,342038,541104116,0
90749,1582,1613,1582,1582,1582,31,348038,550596116,0
90803,1582,1613,1582,1582,1582,32,349115,552299930,0
90803,1582,1613,1582,1582,1582,33,351638,556291316,0
90833,1582,1613,1582,1582,1582,34,398985,631194270,0
90833,1582,1613,1582,1582,1582,35,401638,635391316,0
91107,1582,1613,1582,1582,1582,36,411638,651211316,0
91139,1582,1613,1582,1582,1582,37,421638,667031316,0
91301,1582,1613,1582,1582,1582,38,431085,681976470,0
91553,1582,1613,1582,1582,1582,39,434374,687179668,0
91658,1582,1613,1582,1582,1582,40,437874,692716668,0
91908,1582,1613,1582,1582,1582,41,448985,710294270,0
91908,1582,1613,1582,1582,1582,42,456874,722774668,0
92006,1582,1613,1582,1582,1582,43,459045,726209190,0
92006,1582,1613,1582,1582,1582,44,463165,732727030,0
92038,1582,1613,1582,1582,1582,45,475065,751552830,0
92231,1582,1613,1582,1582,1582,46,478265,756615230,0
92314,1582,1613,1582,1582,1582,47,509045,805309190,0
92314,1582,1613,1582,1582,1582,48,528265,835715230,0
92500,1582,1613,1582,1582,1582,49,535865,847738430,0
92519,1582,1613,1582,1582,1582,50,540565,855173830,0
92536,1582,1613,1582,1582,1582,51,545565,863083830,0
92549,1582,1613,1582,1582,1582,52,550565,870993830,0
92612,1582,1613,1582,1582,1582,53,555565,878903830,0
92643,1582,1613,1582,1582,1582,54,559045,884409190,0
92643,1582,1613,1582,1582,1582,55,559565,885231830,0
92711,1582,1612,1582,1582,1582,56,562777,890313214,0
92713,1582,1612,1582,1582,1582,57,566277,895850214,0
92717,1582,1612,1582,1582,1582,58,570277,902178214,0
92721,1582,1612,1582,1582,1582,59,609045,963509190,0
92721,1582,1612,1582,1582,1582,60,614129,971552078,0
92721,1582,1612,1582,1582,1582,61,620277,981278214,0
92742,1582,1612,1582,1582,1582,62,664129,1050652078,0
92742,1582,1612,1582,1582,1582,63,670277,1060378214,0
93012,1582,1612,1582,1582,1582,64,674167,1066532194,0
93139,1582,1612,1582,1582,1582,65,680227,1076119114,0
93336,1582,1612,1582,1582,1582,66,683460,1081233720,0
93443,1582,1612,1582,1582,1582,67,689758,1091197156,0
93847,1582,1612,1582,1582,1582,68,694975,1099450450,0
93928,1582,1612,1582,1582,1582,69,706123,1117086586,0
94011,1582,1612,1582,1582,1582,70,709352,1122194864,0
94042,1582,1612,1582,1582,1582,71,714129,1129752078,0
