time,last,close,open,high,low,count,volume,value,discarded
64615,13150,13070,0,0,0,0,0,0,0
90020,13070,13070,13070,13070,13070,1,12403,162107210,0
90020,13070,13070,13070,13070,13070,2,24396,318855720,0
90020,13070,13070,13070,13070,13070,3,34396,449555720,0
90020,13070,13070,13070,13070,13070,4,41827,546678890,0
90020,13070,13070,13070,13070,13070,5,47827,625098890,0
90020,13070,13070,13070,13070,13070,6,53672,701493040,0
90020,13070,13070,13070,13070,13070,7,59223,774044610,0
90020,13070,13070,13070,13070,13070,8,64161,838584270,0
90020,13070,13070,13070,13070,13070,9,66465,868697550,0
90020,13070,13070,13070,13070,13070,10,68483,895072810,0
90020,13070,13070,13070,13070,13070,11,69921,913867470,0
90020,13070,13070,13070,13070,13070,12,71181,930335670,0
90020,13070,13070,13070,13070,13070,13,72243,944216010,0
90020,13070,13070,13070,13070,13070,14,73243,957286010,0
90020,13070,13070,13070,13070,13070,15,74243,970356010,0
90020,13070,13070,13070,13070,13070,16,74828,978001960,0
90020,13070,13070,13070,13070,13070,17,75328,984536960,0
90020,13070,13070,13070,13070,13070,18,75678,989111460,0
90020,13070,13070,13070,13070,13070,19,75993,993228510,0
90020,13070,13070,13070,13070,13070,20,76225,996260750,0
90020,13070,13070,13070,13070,13070,21,76423,998848610,0
90020,13070,13070,13070,13070,13070,22,76573,1000809110,0
90020,13070,13070,13070,13070,13070,23,76643,1001724010,0
90020,13070,13070,13070,13070,13070,24,76709,1002586630,0
90020,13070,13070,13070,13070,13070,25,76738,1002965660,0
90020,13070,13070,13070,13070,13070,26,76740,1002991800,0
90020,13070,13070,13070,13070,13070,27,76742,1003017940,0
90039,13070,13070,13070,13070,13070,28,78076,1020453320,0
90039,13070,13070,13070,13070,13070,29,78742,1029157940,0
90039,13100,13070,13070,13100,13070,30,79135,1034306240,0
90039,13100,13070,13070,13100,13070,31,81441,1064514840,0
90039,13100,13070,13070,13100,13070,32,83141,1086784840,0
90057,13150,13070,13070,13150,13070,33,83714,1094319790,0
90116,13230,13070,13070,13230,13070,34,84714,1107549790,0
90116,13230,13070,13070,13230,13070,35,85114,1112841790,0
90116,13230,13070,13070,13230,13070,36,90114,1178991790,0
90141,13240,13070,13070,13240,13070,37,91114,1192231790,0
90141,13240,13070,13070,13240,13070,38,96114,1258431790,0
90141,13250,13070,13070,13250,13070,39,97114,1271681790,0
90141,13250,13070,13070,13250,13070,40,98464,1289569290,0
90141,13250,13070,13070,13250,13070,41,98924,1295664290,0
90141,13250,13070,13070,13250,13070,42,190114,2503931790,0
90151,13250,13070,13070,13250,13070,43,198924,2620664290,0
90153,13240,13070,13070,13250,13070,44,199304,2625695490,0
90153,13230,13070,13070,13250,13070,45,201211,2650925100,0
90156,13230,13070,13070,13250,13070,46,201711,2657540100,0
90156,13260,13070,13070,13260,13070,47,206749,2724343980,0
90156,13260,13070,13070,13260,13070,48,211749,2790643980,0
90158,13260,13070,13070,13260,13070,49,212749,2803903980,0
90205,13280,13070,13070,13280,13070,50,213749,2817183980,0
90211,13290,13070,13070,13290,13070,51,214749,2830473980,0
90215,13260,13070,13070,13290,13070,52,222390,2931793640,0
90217,13300,13070,13070,13300,13070,53,226390,2984993640,0
90221,13340,13070,13070,13340,13070,54,227390,2998333640,0
90224,13340,13070,13070,13340,13070,55,230390,3038353640,0
90224,13340,13070,13070,13340,13070,56,232390,3065033640,0
90225,13340,13070,13070,13340,13070,57,234740,3096382640,0
90232,13340,13070,13070,13340,13070,58,235642,3108415320,0
90232,13340,13070,13070,13340,13070,59,245251,3236599380,0
90237,13340,13070,13070,13340,13070,60,284740,3763382640,0
90237,13340,13070,13070,13340,13070,61,290740,3843422640,0
90244,13350,13070,13070,13350,13070,62,291540,3854102640,0
90245,13340,13070,13070,13350,13070,63,293240,3876780640,0
90246,13340,13070,13070,13350,13070,64,293999,3886905700,0
90250,13340,13070,13070,13350,13070,65,295149,3902246700,0
90250,13340,13080,13070,13350,13070,66,315149,4169046700,0
90257,13340,13080,13070,13350,13070,67,343999,4553905700,0
90259,13350,13080,13070,13350,13070,68,347299,4597960700,0
90259,13350,13080,13070,13350,13070,69,352308,4664830850,0
90259,13350,13080,13070,13350,13070,70,352808,4671505850,0
90259,13350,13080,13070,13350,13070,71,358999,4754155700,0
90300,13350,13080,13070,13350,13070,72,360232,4770616250,0
90300,13350,13080,13070,13350,13070,73,365232,4837366250,0
90300,13390,13080,13070,13390,13070,74,380232,5038216250,0
90300,13390,13080,13070,13390,13070,75,381232,5051606250,0
90300,13390,13080,13070,13390,13070,76,384232,5091776250,0
90300,13390,13080,13070,13390,13070,77,385232,5105166250,0
90300,13390,13080,13070,13390,13070,78,390232,5172116250,0
90300,13400,13080,13070,13400,13070,79,390674,5178039050,0
90300,13400,13080,13070,13400,13070,80,392098,5197120650,0
90300,13400,13080,13070,13400,13070,81,428999,5691594050,0
90300,13330,13080,13070,13400,13070,82,433299,5748913050,0
90300,13330,13080,13070,13400,13070,83,438999,5824894050,0
90301,13330,13080,13070,13400,13070,84,449999,5971524050,0
90311,13350,13080,13070,13400,13070,85,450499,5978199050,0
90319,13350,13080,13070,13400,13070,86,451999,5998224050,0
90319,13350,13080,13070,13400,13070,87,454148,6026913200,0
90320,13350,13080,13070,13400,13070,88,458232,6081434600,0
90322,13350,13080,13070,13400,13070,89,464648,6167088200,0
90322,13400,13080,13070,13400,13070,90,527747,7012614800,0
