time,count,volume,price,discarded
90039,1,1297,102200,0
90039,2,783,102200,0
90039,3,200,102200,0
90039,4,50,102200,0
90039,5,50,102200,0
90039,6,10,102200,0
90039,7,7,102200,0
90055,8,500,100574,0
90055,9,298,100574,0
90055,10,393,100574,0
90109,11,409,100574,0
90109,12,91,102190,0
90112,13,480,100573,0
90129,14,53,100574,0
90129,15,1000,100573,0
90131,16,625,100573,0
90137,17,658,100573,0
90139,18,342,100573,0
90139,19,38,100573,0
90145,20,500,100574,0
90150,21,227,100574,0
90207,22,386,100574,0
90211,23,620,100574,0
90211,24,215,100574,0
90229,25,200,102100,0
90248,26,50,101000,0
90257,27,50,101000,0
90319,28,1000,102099,0
90319,29,1642,102099,0
90341,30,800,102100,0
90341,31,54,102100,0
90348,32,122,102100,0
90348,33,109,102190,0
90348,34,78,102190,0
90426,35,440,102190,0
90434,36,1081,102200,0
90434,37,1000,102200,0
90434,38,200,102200,0
90434,39,200,102200,0
90447,40,990,102200,0
90447,41,1000,102900,0
90447,42,1038,102900,0
90456,43,193,102950,0
90459,44,727,102950,0
90505,45,100,102950,0
90509,46,1,102950,0
90529,47,44,102950,0
90537,48,100,102950,0
90538,49,222,102900,0
90538,50,50,102900,0
90546,51,100,102900,0
90546,52,39,102900,0
90546,53,151,102950,0
90551,54,1000,102200,0
90551,55,194,102200,0
90557,56,2237,102099,0
90557,57,49,102099,0
90605,58,100,101010,0
90614,59,162,100573,0
90634,60,900,101010,0
90634,61,611,101010,0
90648,62,100,100600,0
90656,63,400,100600,0
90656,64,562,100600,0
90658,65,38,100600,0
90700,66,80,101010,0
90727,67,38,100700,0
90742,68,17,100700,0
90742,69,21,100700,0
90829,70,137,101010,0
90833,71,1672,101010,0
90833,72,3792,101010,0
90844,73,4000,102200,0
90844,74,19,102200,0
90844,75,50,102200,0
90851,76,297,102900,0
90851,77,100,102900,0
90851,78,50,102900,0
90851,79,300,102900,0
90858,80,200,102900,0
90900,81,53,102900,0
90907,82,200,102900,0
90907,83,222,102950,0
90907,84,200,102950,0
90907,85,5000,102998,0
90907,86,100,102998,0
90907,87,319,102998,0
90907,88,71,102998,0
90907,89,852,102998,0
90907,90,36,102998,0
90918,91,200,102250,0
90918,92,931,102200,0
90918,93,800,102200,0
90929,94,26,102200,0
90934,95,38,102200,0
90937,96,136,102200,0
91003,97,64,102200,0
91010,98,9,102200,0
91022,99,127,102200,0
91055,100,60,102200,0
91111,101,318,102200,0
91130,102,497,102200,0
91135,103,789,102200,0
91141,104,198,102200,0
91141,105,38,102200,0
91148,106,112,102950,0
91148,107,1888,102950,0
91149,108,40,102200,0
