time,last,close,open,high,low,count,volume,value,discarded
64617,69370,69720,0,0,0,0,0,0,0
95007,72840,69770,72840,72840,72840,1,3400,247656000,0
95007,72840,69790,72840,72840,72840,2,4837,352327080,0
95007,72840,69810,72840,72840,72840,3,6037,439735080,0
95007,72840,69820,72840,72840,72840,4,7101,517236840,0
95007,72840,69840,72840,72840,72840,5,8101,590076840,0
95007,72840,69850,72840,72840,72840,6,8901,648348840,0
95007,72840,69860,72840,72840,72840,7,9471,689867640,0
95007,72840,69860,72840,72840,72840,8,9871,719003640,0
95007,72840,69870,72840,72840,72840,9,10144,738888960,0
95007,72840,69870,72840,72840,72840,10,10417,758774280,0
95007,72840,69870,72840,72840,72840,11,10617,773342280,0
95007,72840,69880,72840,72840,72840,12,10817,787910280,0
95007,72840,69880,72840,72840,72840,13,10970,799054800,0
95007,72840,69880,72840,72840,72840,14,11064,805901760,0
95007,72840,69880,72840,72840,72840,15,11147,811947480,0
95007,72840,69880,72840,72840,72840,16,11174,813914160,0
95007,72840,69880,72840,72840,72840,17,11191,815152440,0
95007,72840,69880,72840,72840,72840,18,11197,815589480,0
95020,72830,69880,72840,72840,72830,19,11266,820614750,0
95020,72830,69890,72840,72840,72830,20,11759,856519940,0
95026,72840,69900,72840,72840,72830,21,12759,929359940,0
95033,72830,69910,72840,72840,72830,22,12760,929432770,0
95035,72830,69960,72840,72840,72830,23,16746,1219733150,0
95039,72830,70000,72840,72840,72830,24,19476,1418559050,0
95044,72830,70000,72840,72840,72830,25,19601,1427662800,0
95045,72830,70030,72840,72840,72830,26,21601,1573322800,0
95047,72830,70040,72840,72840,72830,27,22090,1608936670,0
95049,72830,70040,72840,72840,72830,28,22266,1621754750,0
95049,72830,70070,72840,72840,72830,29,24170,1760423070,0
95051,72830,70100,72840,72840,72830,30,26395,1922469820,0
95051,72830,70110,72840,72840,72830,31,27266,1985904750,0
95053,72820,70120,72840,72840,72820,32,27366,1993186750,0
95219,72780,70140,72840,72840,72780,33,29366,2138746750,0
95229,71050,70150,72840,72840,71050,34,30811,2241414000,0
95229,71000,70160,72840,72840,71000,35,32245,2343228000,0
95248,71000,70170,72840,72840,71000,36,32980,2395413000,0
95253,71000,70170,72840,72840,71000,37,33405,2425588000,0
95319,72720,70280,72840,72840,71000,38,41405,3007348000,0
95345,71030,70280,72840,72840,71000,39,41532,3016368810,0
95405,72650,70280,72840,72840,71000,40,41682,3027266310,0
95429,71110,70280,72840,72840,71000,41,41683,3027337420,0
95455,72580,70280,72840,72840,71000,42,41753,3032418020,0
95501,71300,70280,72840,72840,71000,43,41754,3032489320,0
95603,72170,70280,72840,72840,71000,44,41784,3034654420,0
95603,72170,70300,72840,72840,71000,45,42704,3101050820,0
95633,71990,70300,72840,72840,71000,46,43004,3122647820,0
95643,71990,70300,72840,72840,71000,47,43009,3123007770,0
95643,72000,70300,72840,72840,71000,48,43211,3137551770,0
95646,72000,70340,72840,72840,71000,49,46897,3402943770,0
95651,72000,70340,72840,72840,71000,50,46898,3403015770,0
95658,72000,70340,72840,72840,71000,51,46968,3408055770,0
95658,72000,70370,72840,72840,71000,52,49359,3580207770,0
95715,72160,70370,72840,72840,71000,53,49559,3594639770,0
95715,72160,70400,72840,72840,71000,54,52192,3784637050,0
95753,72160,70400,72840,72840,71000,55,52282,3791131450,0
95803,72000,70400,72840,72840,71000,56,52432,3801931450,0
95825,72000,70420,72840,72840,71000,57,53832,3902731450,0
95836,72000,70430,72840,72840,71000,58,54832,3974731450,0
95847,72150,70430,72840,72840,71000,59,55132,3996376450,0
95852,72160,70440,72840,72840,71000,60,56301,4080731490,0
95852,72160,70450,72840,72840,71000,61,56801,4116811490,0
95852,72160,70450,72840,72840,71000,62,56866,4121501890,0
95858,72200,70450,72840,72840,71000,63,56956,4127999890,0
95858,72500,70460,72840,72840,71000,64,57456,4164249890,0
95858,72630,70500,72840,72840,71000,65,60456,4382139890,0
100037,72220,70500,72840,72840,71000,66,60529,4387411950,0
100037,72220,70500,72840,72840,71000,67,60751,4403444790,0
100117,72540,70500,72840,72840,71000,68,60822,4408595130,0
100241,72540,70530,72840,72840,71000,69,63351,4592048790,0
100241,72540,70540,72840,72840,71000,70,63451,4599302790,0
100241,72600,70540,72840,72840,71000,71,63651,4613822790,0
100241,72600,70560,72840,72840,71000,72,65551,4751762790,0
100241,72600,70580,72840,72840,71000,73,66727,4837140390,0
100241,72600,70580,72840,72840,71000,74,66827,4844400390,0
100241,72600,70590,72840,72840,71000,75,67817,4916274390,0
100241,72600,70630,72840,72840,71000,76,70580,5116868190,0
100241,72630,70630,72840,72840,71000,77,70822,5134444650,0
100257,72540,70640,72840,72840,71000,78,71092,5154030450,0
100308,72540,70650,72840,72840,71000,79,71778,5203792890,0
100403,72540,70670,72840,72840,71000,80,73822,5352064650,0
100403,72540,70670,72840,72840,71000,81,73902,5357867850,0
100408,72540,70680,72840,72840,71000,82,74002,5365121850,0
100438,72540,70680,72840,72840,71000,83,74028,5367007890,0
100438,72540,70680,72840,72840,71000,84,74102,5372375850,0
100523,72630,70690,72840,72840,71000,85,74812,5423943150,0
100525,72630,70690,72840,72840,71000,86,74912,5431206150,0
100552,72630,70690,72840,72840,71000,87,75049,5441156460,0
100610,72630,70690,72840,72840,71000,88,75249,5455682460,0
100619,72620,70690,72840,72840,71000,89,75331,5461637300,0
100619,72560,70700,72840,72840,71000,90,75431,5468893300,0
100631,72560,70700,72840,72840,71000,91,75481,5472521300,0
100701,72620,70700,72840,72840,71000,92,75499,5473828460,0
100701,72630,70700,72840,72840,71000,93,75569,5478912560,0
100701,72630,70710,72840,72840,71000,94,76269,5529753560,0
100701,72630,70710,72840,72840,71000,95,76345,5535273440,0
100715,72720,70710,72840,72840,71000,96,76445,5542545440,0
100717,72720,70710,72840,72840,71000,97,76545,5549817440,0
100729,72780,70710,72840,72840,71000,98,76752,5564882900,0
100745,72720,70710,72840,72840,71000,99,76843,5571500420,0
100745,72630,70730,72840,72840,71000,100,77652,5630258090,0
100757,72630,70730,72840,72840,71000,101,77979,5654008100,0
100821,72630,70730,72840,72840,71000,102,78152,5666573090,0
100845,72630,70730,72840,72840,71000,103,78262,5674562390,0
100859,72630,70740,72840,72840,71000,104,78929,5723006600,0
100901,72630,70740,72840,72840,71000,105,78999,5728090700,0
100955,72560,70750,72840,72840,71000,106,79097,5735201580,0
100955,72560,70750,72840,72840,71000,107,79234,5745142300,0
100955,72560,70770,72840,72840,71000,108,81262,5892293980,0
100956,72560,70780,72840,72840,71000,109,81458,5906515740,0
101025,72560,70780,72840,72840,71000,110,81528,5911594940,0
101032,72560,70780,72840,72840,71000,111,81763,5928646540,0
101052,72560,70780,72840,72840,71000,112,81835,5933870860,0
101053,72600,70780,72840,72840,71000,113,82040,5948753860,0
101152,72590,70790,72840,72840,71000,114,82154,5957029120,0
101224,72590,70790,72840,72840,71000,115,82230,5962545960,0
101242,72590,70790,72840,72840,71000,116,82327,5969587190,0
101309,72570,70790,72840,72840,71000,117,82447,5978295590,0
101330,72570,70790,72840,72840,71000,118,82567,5987003990,0
101352,72570,70800,72840,72840,71000,119,82867,6008774990,0
101355,72570,70800,72840,72840,71000,120,83327,6042157190,0
101355,72570,70800,72840,72840,71000,121,83602,6062113940,0
101415,72560,70810,72840,72840,71000,122,84202,6105649940,0
101416,72570,70810,72840,72840,71000,123,84338,6115519460,0
101429,72560,70820,72840,72840,71000,124,84408,6120598660,0
101440,72560,70850,72840,72840,71000,125,86703,6287123860,0
101508,72560,70980,72840,72840,71000,126,96703,7012723860,0
101516,72560,71020,72840,72840,71000,127,99703,7230403860,0
101529,72560,71030,72840,72840,71000,128,100603,7295707860,0
101532,72570,71030,72840,72840,71000,129,100874,7315374330,0
101548,72560,71040,72840,72840,71000,130,101599,7367980330,0
101631,72570,71040,72840,72840,71000,131,101682,7374003640,0
101632,72570,71050,72840,72840,71000,132,101839,7385397130,0
101632,72590,71050,72840,72840,71000,133,101852,7386340800,0
101632,72590,71050,72840,72840,71000,134,101870,7387647420,0
101654,72590,71050,72840,72840,71000,135,101951,7393527210,0
101704,72630,71050,72840,72840,71000,136,102054,7401008100,0
101704,72630,71050,72840,72840,71000,137,102270,7416696180,0
101708,72560,71180,72840,72840,71000,138,112079,8128437220,0
101708,72560,71210,72840,72840,71000,139,114079,8273557220,0
101708,72560,71210,72840,72840,71000,140,114270,8287416180,0
101728,72630,71210,72840,72840,71000,141,114544,8307316800,0
101735,72560,71210,72840,72840,71000,142,114619,8312758800,0
101735,72560,71210,72840,72840,71000,143,114644,8314572800,0
101813,72560,71210,72840,72840,71000,144,114645,8314645360,0
101947,72560,71220,72840,72840,71000,145,114719,8320014800,0
101947,72560,71220,72840,72840,71000,146,114845,8329157360,0
101948,72560,71220,72840,72840,71000,147,114918,8334454240,0
102046,72590,71220,72840,72840,71000,148,114988,8339535540,0
102108,72590,71220,72840,72840,71000,149,115059,8344689430,0
102115,72590,71220,72840,72840,71000,150,115166,8352456560,0
102204,72560,71220,72840,72840,71000,151,115167,8352529120,0
102204,72560,71220,72840,72840,71000,152,115237,8357608320,0
102204,72560,71220,72840,72840,71000,153,115317,8363413120,0
102204,72560,71220,72840,72840,71000,154,115411,8370233760,0
102204,72550,71230,72840,72840,71000,155,115481,8375312260,0
102204,72530,71230,72840,72840,71000,156,115881,8404324260,0
102204,72520,71240,72840,72840,71000,157,116641,8459439460,0
102204,72520,71240,72840,72840,71000,158,116781,8469592260,0
102204,72220,71250,72840,72840,71000,159,117781,8541812260,0
102204,72220,71260,72840,72840,71000,160,118594,8600527120,0
102218,72200,71270,72840,72840,71000,161,118731,8610418520,0
102218,72200,71280,72840,72840,71000,162,119731,8682618520,0
102218,72200,71280,72840,72840,71000,163,119868,8692509920,0
102218,72160,71300,72840,72840,71000,164,121925,8840943040,0
102218,72000,71310,72840,72840,71000,165,122466,8879895040,0
102226,72000,71320,72840,72840,71000,166,123891,8982495040,0
102349,72050,71320,72840,72840,71000,167,123906,8983575790,0
102454,72050,71330,72840,72840,71000,168,124406,9019600790,0
102541,72050,71330,72840,72840,71000,169,124523,9028030640,0
102544,72050,71330,72840,72840,71000,170,124612,9034443090,0
102631,72050,71330,72840,72840,71000,171,124768,9045682890,0
102702,72050,71330,72840,72840,71000,172,124891,9054545040,0
102702,72050,71330,72840,72840,71000,173,124968,9060092890,0
102809,72300,71350,72840,72840,71000,174,125868,9125162890,0
102837,72490,71350,72840,72840,71000,175,126168,9146909890,0
102837,72490,71350,72840,72840,71000,176,126218,9150534390,0
102837,72490,71350,72840,72840,71000,177,126288,9155608690,0
102842,72490,71350,72840,72840,71000,178,126408,9164307490,0
102847,72490,71360,72840,72840,71000,179,126856,9196783010,0
102849,72500,71370,72840,72840,71000,180,127683,9256740510,0
102919,72500,71370,72840,72840,71000,181,127813,9266165510,0
103006,72500,71370,72840,72840,71000,182,128142,9290018010,0
103029,72500,71410,72840,72840,71000,183,131058,9501428010,0
103029,72500,71480,72840,72840,71000,184,136393,9888215510,0
103029,72500,71500,72840,72840,71000,185,137591,9975070510,0
103029,72500,71520,72840,72840,71000,186,139591,10120070510,0
103029,72500,71530,72840,72840,71000,187,140081,10155595510,0
103029,72500,71550,72840,72840,71000,188,141361,10248395510,0
103029,72500,71670,72840,72840,71000,189,151342,10972018010,0
103045,72490,71670,72840,72840,71000,190,151354,10972887890,0
103052,72490,71680,72840,72840,71000,191,151442,10979267010,0
103120,72560,71680,72840,72840,71000,192,151517,10984709010,0
103131,72560,71740,72840,72840,71000,193,156517,11347509010,0
103138,72560,71750,72840,72840,71000,194,156869,11373050130,0
103145,72560,71750,72840,72840,71000,195,156949,11378854930,0
103146,72590,71760,72840,72840,71000,196,157959,11452170830,0
103146,72600,71800,72840,72840,71000,197,161022,11674544630,0
103146,72600,71810,72840,72840,71000,198,161822,11732624630,0
103146,72600,71810,72840,72840,71000,199,161933,11740683230,0
103146,72600,71820,72840,72840,71000,200,161949,11741844830,0
103147,72600,71820,72840,72840,71000,201,162033,11747943230,0
103221,72620,71820,72840,72840,71000,202,162263,11764645830,0
103221,72620,71820,72840,72840,71000,203,162474,11779968650,0
103234,72620,71820,72840,72840,71000,204,162540,11784761570,0
103234,72620,71820,72840,72840,71000,205,162677,11794710510,0
103331,72620,71830,72840,72840,71000,206,163272,11837919410,0
103339,72620,71840,72840,72840,71000,207,163674,11867112650,0
103402,72630,71850,72840,72840,71000,208,164674,11939742650,0
103414,72630,71850,72840,72840,71000,209,164714,11942647850,0
103450,72700,71860,72840,72840,71000,210,164971,11961331750,0
103458,72770,71920,72840,72840,71000,211,169321,12277881250,0
103528,72780,71920,72840,72840,71000,212,169794,12312306190,0
103528,72780,71930,72840,72840,71000,213,169881,12318638050,0
103612,72790,71930,72840,72840,71000,214,169981,12325917050,0
103614,72790,71930,72840,72840,71000,215,170046,12330648400,0
103614,72790,71930,72840,72840,71000,216,170118,12335889280,0
103614,72780,71930,72840,72840,71000,217,170124,12336325960,0
103622,72780,71930,72840,72840,71000,218,170345,12352410340,0
103639,72780,71960,72840,72840,71000,219,172124,12481885960,0
103647,72780,71960,72840,72840,71000,220,172244,12490619560,0
103659,72780,71960,72840,72840,71000,221,172421,12503501620,0
103659,72780,71970,72840,72840,71000,222,172721,12525335620,0
103659,72800,71970,72840,72840,71000,223,172834,12533562020,0
103659,72800,71970,72840,72840,71000,224,173154,12556858020,0
103709,72810,71990,72840,72840,71000,225,174154,12629668020,0
103709,72810,72000,72840,72840,71000,226,175154,12702478020,0
103709,72810,72010,72840,72840,71000,227,175944,12759997920,0
103737,72810,72020,72840,72840,71000,228,176619,12809144670,0
103741,72810,72040,72840,72840,71000,229,177944,12905617920,0
103752,72810,72050,72840,72840,71000,230,178619,12954764670,0
103759,72820,72060,72840,72840,71000,231,179389,13010836070,0
103808,72830,72060,72840,72840,71000,232,179459,13015934170,0
103818,72820,72070,72840,72840,71000,233,179759,13037780170,0
103838,72820,72070,72840,72840,71000,234,179966,13052853910,0
103838,72820,72070,72840,72840,71000,235,180055,13059334890,0
103846,72820,72090,72840,72840,71000,236,181055,13132154890,0
103847,72830,72090,72840,72840,71000,237,181304,13150289560,0
103847,72830,72110,72840,72840,71000,238,182984,13272643960,0
103847,72840,72120,72840,72840,71000,239,183084,13279927960,0
103847,72840,72120,72840,72840,71000,240,183183,13287139120,0
103847,72900,72140,72840,72900,71000,241,184737,13400425720,0
103854,72820,72140,72840,72900,71000,242,184875,13410474880,0
103859,72830,72140,72840,72900,71000,243,184990,13418850330,0
103928,72830,72150,72840,72900,71000,244,185203,13434363120,0
103933,72900,72150,72840,72900,71000,245,185340,13444350420,0
104007,72900,72150,72840,72900,71000,246,185522,13457618220,0
104007,72840,72180,72840,72900,71000,247,187522,13603298220,0
104007,72840,72190,72840,72900,71000,248,188008,13638698460,0
104015,72840,72210,72840,72900,71000,249,189477,13745700420,0
104015,72900,72240,72840,72900,71000,250,191508,13893760320,0
104059,72900,72250,72840,72900,71000,251,192508,13966660320,0
104104,72900,72260,72840,72900,71000,252,192822,13989550920,0
104111,72900,72380,72840,72900,71000,253,200822,14572750920,0
104112,72900,72400,72840,72900,71000,254,202290,14679768120,0
104112,72900,72400,72840,72900,71000,255,202398,14687641320,0
104132,72900,72420,72840,72900,71000,256,203822,14791450920,0
104135,72900,72420,72840,72900,71000,257,203964,14801802720,0
104138,72900,72420,72840,72900,71000,258,204101,14811790020,0
104140,72900,72460,72840,72900,71000,259,206550,14990322120,0
104214,72940,72460,72840,72940,71000,260,206754,15005201880,0
104221,72940,72490,72840,72940,71000,261,208550,15136202120,0
104221,72940,72490,72840,72940,71000,262,208630,15142037320,0
104221,72950,72490,72840,72950,71000,263,208730,15149332320,0
104221,72950,72520,72840,72950,71000,264,210254,15260508120,0
104230,72950,72590,72840,72950,71000,265,215805,15665453570,0
104232,72950,72590,72840,72950,71000,266,216947,15748762470,0
104233,72930,72590,72840,72950,71000,267,217019,15754013430,0
104250,72950,72590,72840,72950,71000,268,217302,15774658280,0
104250,72950,72590,72840,72950,71000,269,217372,15779764780,0
104254,72950,72590,72840,72950,71000,270,217442,15784871280,0
104303,72960,72590,72840,72960,71000,271,217640,15799317360,0
104303,72960,72590,72840,72960,71000,272,217642,15799463280,0
104304,72960,72590,72840,72960,71000,273,217660,15800776560,0
104313,72960,72590,72840,72960,71000,274,217778,15809385840,0
104313,72960,72600,72840,72960,71000,275,219617,15943559280,0
104319,72960,72600,72840,72960,71000,276,222778,16174185840,0
104323,72980,72600,72840,72980,71000,277,222902,16183235360,0
104323,72980,72600,72840,72980,71000,278,223128,16199728840,0
104324,72950,72600,72840,72980,71000,279,224005,16263705990,0
104324,72950,72600,72840,72980,71000,280,224087,16269687890,0
104419,72950,72600,72840,72980,71000,281,224437,16295220390,0
104435,72970,72610,72840,72980,71000,282,224837,16324408390,0
104458,72980,72610,72840,72980,71000,283,226631,16455334510,0
104503,72970,72610,72840,72980,71000,284,227431,16513710510,0
104512,72980,72610,72840,72980,71000,285,227931,16550200510,0
104545,72980,72610,72840,72980,71000,286,228931,16623180510,0
104548,72970,72610,72840,72980,71000,287,229021,16629747810,0
104616,72970,72610,72840,72980,71000,288,229121,16637044810,0
104617,72980,72620,72840,72980,71000,289,231121,16783004810,0
104629,72970,72620,72840,72980,71000,290,231496,16810368560,0
104643,72970,72620,72840,72980,71000,291,231826,16834448660,0
104643,72980,72620,72840,72980,71000,292,233826,16980408660,0
104655,72980,72620,72840,72980,71000,293,234016,16994274860,0
104743,72990,72620,72840,72990,71000,294,234741,17047192610,0
104743,72990,72620,72840,72990,71000,295,234851,17055221510,0
104743,72990,72620,72840,72990,71000,296,237016,17213244860,0
104812,72990,72630,72840,72990,71000,297,238516,17322729860,0
104815,72990,72630,72840,72990,71000,298,238652,17332656500,0
104824,72990,72630,72840,72990,71000,299,239952,17427543500,0
104828,72990,72630,72840,72990,71000,300,240552,17471337500,0
104841,72990,72630,72840,72990,71000,301,240669,17479877330,0
104904,72990,72630,72840,72990,71000,302,242783,17634178190,0
104905,72990,72640,72840,72990,71000,303,244851,17785121510,0
104905,73000,72640,72840,73000,71000,304,249351,18113621510,0
104905,73000,72640,72840,73000,71000,305,250162,18172824510,0
104905,73000,72660,72840,73000,71000,306,258662,18793324510,0
104905,73000,72660,72840,73000,71000,307,260662,18939324510,0
104905,73000,72660,72840,73000,71000,308,262662,19085324510,0
104905,73000,72660,72840,73000,71000,309,262762,19092624510,0
104916,73050,72660,72840,73050,71000,310,262832,19097738010,0
105022,73090,72660,72840,73090,71000,311,262901,19102781220,0
105039,73090,72660,72840,73090,71000,312,263112,19118203210,0
105053,73100,72660,72840,73100,71000,313,263712,19162063210,0
105107,73100,72660,72840,73100,71000,314,264712,19235163210,0
105143,73090,72660,72840,73100,71000,315,264790,19240864230,0
105219,73090,72670,72840,73100,71000,316,265512,19293635210,0
105219,73100,72670,72840,73100,71000,317,265790,19313957010,0
105239,73100,72670,72840,73100,71000,318,265912,19322875210,0
105239,73100,72670,72840,73100,71000,319,266790,19387057010,0
105242,73100,72670,72840,73100,71000,320,267379,19430112910,0
105253,73100,72670,72840,73100,71000,321,268912,19542175210,0
105253,73100,72670,72840,73100,71000,322,269262,19567760210,0
105311,73100,72680,72840,73100,71000,323,271614,19739691410,0
105314,73110,72680,72840,73110,71000,324,271754,19749926810,0
105314,73120,72680,72840,73120,71000,325,271864,19757970010,0
105315,73100,72680,72840,73120,71000,326,271939,19763452510,0
105401,73120,72680,72840,73120,71000,327,272029,19770033310,0
105401,73120,72680,72840,73120,71000,328,272629,19813905310,0
105420,73110,72680,72840,73120,71000,329,272734,19821581860,0
105420,73110,72680,72840,73120,71000,330,276734,20114021860,0
105420,73110,72680,72840,73120,71000,331,277329,20157522310,0
105445,73120,72680,72840,73120,71000,332,277540,20172950630,0
105448,73120,72690,72840,73120,71000,333,278729,20259890310,0
105500,73150,72690,72840,73150,71000,334,279139,20289881810,0
105511,73120,72690,72840,73150,71000,335,279344,20304871410,0
105519,73150,72690,72840,73150,71000,336,279444,20312186410,0
105528,73150,72690,72840,73150,71000,337,279543,20319428260,0
105529,73130,72690,72840,73150,71000,338,279615,20324693620,0
105531,73150,72690,72840,73150,71000,339,279920,20347004370,0
105556,73150,72690,72840,73150,71000,340,280117,20361414920,0
105644,73170,72690,72840,73170,71000,341,280248,20371000190,0
105652,73190,72690,72840,73190,71000,342,280323,20376489440,0
105652,73190,72690,72840,73190,71000,343,283248,20590570190,0
105658,73190,72700,72840,73190,71000,344,285323,20742439440,0
105658,73190,72700,72840,73190,71000,345,286823,20852224440,0
105658,73190,72700,72840,73190,71000,346,287023,20866862440,0
105658,73190,72710,72840,73190,71000,347,292223,21247450440,0
105658,73190,72710,72840,73190,71000,348,293702,21355698450,0
105658,73200,72710,72840,73200,71000,349,295202,21465498450,0
105658,73200,72710,72840,73200,71000,350,295333,21475087650,0
105658,73200,72720,72840,73200,71000,351,298382,21698274450,0
105658,73200,72720,72840,73200,71000,352,298682,21720234450,0
105658,73200,72720,72840,73200,71000,353,298762,21726090450,0
105658,73200,72720,72840,73200,71000,354,299962,21813930450,0
105658,73200,72720,72840,73200,71000,355,300032,21819054450,0
105658,73200,72720,72840,73200,71000,356,300126,21825935250,0
105658,73200,72720,72840,73200,71000,357,300296,21838379250,0
105658,73200,72720,72840,73200,71000,358,300496,21853019250,0
105658,73200,72720,72840,73200,71000,359,300596,21860339250,0
105658,73200,72720,72840,73200,71000,360,300970,21887716050,0
105658,73200,72720,72840,73200,71000,361,301040,21892840050,0
105658,73200,72720,72840,73200,71000,362,301117,21898476450,0
105658,73200,72720,72840,73200,71000,363,301317,21913116450,0
105658,73200,72740,72840,73200,71000,364,308248,22420465650,0
105658,73200,72750,72840,73200,71000,365,321317,23377116450,0
105658,73200,72760,72840,73200,71000,366,322117,23435676450,0
105658,73200,72760,72840,73200,71000,367,322417,23457636450,0
105658,73200,72760,72840,73200,71000,368,323229,23517074850,0
105658,73200,72760,72840,73200,71000,369,324823,23633755650,0
105658,73200,72770,72840,73200,71000,370,331823,24146155650,0
105658,73200,72770,72840,73200,71000,371,331958,24156037650,0
105658,73200,72770,72840,73200,71000,372,332168,24171409650,0
105658,73200,72770,72840,73200,71000,373,332239,24176606850,0
105658,73200,72770,72840,73200,71000,374,332317,24182316450,0
105658,73200,72770,72840,73200,71000,375,332389,24187586850,0
105658,73200,72770,72840,73200,71000,376,332489,24194906850,0
105658,73200,72770,72840,73200,71000,377,333248,24250465650,0
105710,73200,72770,72840,73200,71000,378,333478,24267301650,0
105712,73200,72770,72840,73200,71000,379,335489,24414506850,0
105712,73200,72770,72840,73200,71000,380,335589,24421826850,0
105712,73200,72770,72840,73200,71000,381,335753,24433831650,0
105712,73200,72770,72840,73200,71000,382,336743,24506299650,0
105712,73200,72780,72840,73200,71000,383,337203,24539971650,0
105712,73200,72780,72840,73200,71000,384,340203,24759571650,0
105712,73200,72780,72840,73200,71000,385,340358,24770917650,0
105712,73200,72780,72840,73200,71000,386,341358,24844117650,0
105712,73200,72780,72840,73200,71000,387,341373,24845215650,0
105712,73200,72830,72840,73200,71000,388,391373,28505215650,0
105712,73200,72830,72840,73200,71000,389,392373,28578415650,0
105719,73200,72840,72840,73200,71000,390,397801,28975745250,0
105722,73200,72840,72840,73200,71000,391,397886,28981967250,0
105752,73200,72840,72840,73200,71000,392,400086,29143007250,0
105801,73200,72840,72840,73200,71000,393,400204,29151644850,0
105813,73200,72840,72840,73200,71000,394,400285,29157574050,0
105823,73200,72840,72840,73200,71000,395,400585,29179534050,0
105855,73200,72850,72840,73200,71000,396,410585,29911534050,0
105858,73200,72860,72840,73200,71000,397,417778,30438061650,0
105858,73200,72860,72840,73200,71000,398,417848,30443185650,0
105858,73200,72860,72840,73200,71000,399,418238,30471733650,0
105858,73200,72860,72840,73200,71000,400,418510,30491644050,0
105858,73200,72860,72840,73200,71000,401,419110,30535564050,0
105858,73200,72860,72840,73200,71000,402,420585,30643534050,0
