time,last,close,open,high,low,count,volume,value,discarded
64615,28050,27670,0,0,0,0,0,0,0
90021,28220,27670,28220,28220,28220,1,23720,669378400,0
90021,28220,27680,28220,28220,28220,2,41574,1173218280,0
90021,28220,27680,28220,28220,28220,3,56574,1596518280,0
90021,28220,27680,28220,28220,28220,4,68574,1935158280,0
90021,28220,27680,28220,28220,28220,5,75145,2120591900,0
90021,28220,27680,28220,28220,28220,6,80145,2261691900,0
90021,28220,27680,28220,28220,28220,7,84302,2379002440,0
90021,28220,27680,28220,28220,28220,8,85682,2417946040,0
90021,28220,27680,28220,28220,28220,9,86882,2451810040,0
90021,28220,27680,28220,28220,28220,10,88082,2485674040,0
90021,28220,27680,28220,28220,28220,11,89282,2519538040,0
90021,28220,27680,28220,28220,28220,12,90482,2553402040,0
90021,28220,27680,28220,28220,28220,13,91682,2587266040,0
90021,28220,27680,28220,28220,28220,14,92882,2621130040,0
90021,28220,27680,28220,28220,28220,15,94082,2654994040,0
90021,28220,27680,28220,28220,28220,16,95282,2688858040,0
90021,28220,27680,28220,28220,28220,17,96482,2722722040,0
90021,28220,27680,28220,28220,28220,18,97682,2756586040,0
90021,28220,27680,28220,28220,28220,19,98882,2790450040,0
90021,28220,27680,28220,28220,28220,20,99882,2818670040,0
90021,28220,27680,28220,28220,28220,21,100882,2846890040,0
90021,28220,27680,28220,28220,28220,22,101882,2875110040,0
90021,28220,27680,28220,28220,28220,23,102682,2897686040,0
90021,28220,27680,28220,28220,28220,24,103182,2911796040,0
90021,28220,27680,28220,28220,28220,25,103625,2924297500,0
90021,28220,27680,28220,28220,28220,26,103972,2934089840,0
90021,28220,27680,28220,28220,28220,27,104287,2942979140,0
90021,28220,27680,28220,28220,28220,28,104544,2950231680,0
90021,28220,27680,28220,28220,28220,29,104744,2955875680,0
90021,28220,27680,28220,28220,28220,30,104944,2961519680,0
90021,28220,27680,28220,28220,28220,31,105144,2967163680,0
90021,28220,27680,28220,28220,28220,32,105344,2972807680,0
90021,28220,27680,28220,28220,28220,33,105524,2977887280,0
90021,28220,27680,28220,28220,28220,34,105704,2982966880,0
90021,28220,27680,28220,28220,28220,35,105789,2985365580,0
90021,28220,27680,28220,28220,28220,36,105815,2986099300,0
90021,28220,27680,28220,28220,28220,37,105832,2986579040,0
90021,28220,27680,28220,28220,28220,38,105845,2986945900,0
90021,28220,27680,28220,28220,28220,39,105847,2987002340,0
90039,28280,27680,28220,28280,28220,40,106047,2992658340,0
90041,28280,27680,28220,28280,28220,41,111300,3141213180,0
90043,28280,27680,28220,28280,28220,42,111500,3146869180,0
90052,28280,27680,28220,28280,28220,43,111827,3156116740,0
90054,28280,27680,28220,28280,28220,44,112377,3171670740,0
90101,28280,27690,28220,28280,28220,45,117847,3326362340,0
90105,28280,27690,28220,28280,28220,46,119847,3382922340,0
90108,28290,27690,28220,28290,28220,47,120026,3387986250,0
90108,28290,27690,28220,28290,28220,48,120199,3392880420,0
90108,28290,27690,28220,28290,28220,49,121253,3422698080,0
90109,28280,27690,28220,28290,28220,50,127534,3600324760,0
90109,28280,27700,28220,28290,28220,51,191534,5410244760,0
90114,28280,27700,28220,28290,28220,52,193300,5460187240,0
90123,28280,27700,28220,28290,28220,53,193873,5476391680,0
90123,28290,27700,28220,28290,28220,54,197646,5583129850,0
90125,28350,27700,28220,28350,28220,55,197825,5588204500,0
90125,28350,27700,28220,28350,28220,56,199325,5630729500,0
90125,28350,27700,28220,28350,28220,57,199720,5641927750,0
90126,28380,27700,28220,28380,28220,58,211720,5982487750,0
90130,28380,27710,28220,28380,28220,59,299720,8479927750,0
90133,28350,27720,28220,28380,28220,60,315146,8917254850,0
90158,28290,27720,28220,28380,28220,61,315326,8922347050,0
90207,28600,27720,28220,28600,28220,62,318326,9008147050,0
