time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,3,1601,20400,21500,2002,1
63938,2,1,10000,20010,21640,500,1
63938,3,4,2005,20000,21650,4865,3
63938,4,1,50000,19880,34000,2000,3
63938,5,1,50000,19560,34260,4350,1
84503,1,3,1601,20400,21450,2000,1
84503,2,1,10000,20010,21500,2002,1
84503,3,4,2005,20000,21640,500,1
84503,4,1,50000,19880,21650,4865,3
84503,5,1,50000,19560,21960,1040,1
84504,5,1,50000,19560,21960,2040,2
84505,5,1,50000,19560,21960,8040,3
84505,1,1,5000,21650,21650,9367,6
84505,2,3,1601,20400,21960,8040,3
84505,3,1,10000,20010,34000,2000,3
84505,4,4,2005,20000,34260,4350,1
84505,5,1,50000,19880,0,0,0
84505,3,1,100000,20390,34000,2000,3
84505,4,1,10000,20010,34260,4350,1
84505,5,4,2005,20000,0,0,0
84506,1,2,9536,21960,21960,17407,9
84506,2,3,1601,20400,34000,2000,3
84506,3,1,100000,20390,34260,4350,1
84506,4,1,10000,20010,0,0,0
84506,1,2,9536,21260,21260,100000,1
84506,2,3,1601,20400,21450,2000,1
84506,3,1,100000,20390,21500,2002,1
84506,4,1,10000,20010,21640,500,1
84506,5,4,2005,20000,21650,4865,3
84506,1,3,10836,21260,21260,100000,1
84506,2,1,100000,20640,21450,2000,1
84506,3,3,1601,20400,21500,2002,1
84506,4,1,100000,20390,21640,500,1
84506,5,1,10000,20010,21650,4865,3
84507,1,4,11608,21260,21260,100000,1
84509,3,1,300,20500,21500,2002,1
84509,4,3,1601,20400,21640,500,1
84509,5,1,100000,20390,21650,4865,3
84512,2,1,299,21000,21450,2000,1
84512,3,1,100000,20640,21500,2002,1
84512,4,1,300,20500,21640,500,1
84512,5,3,1601,20400,21650,4865,3
84521,4,2,800,20500,21640,500,1
84523,2,2,799,21000,21450,2000,1
84524,1,5,17158,21260,21260,100000,1
84529,3,1,242,20920,21500,2002,1
84529,4,1,100000,20640,21640,500,1
84529,5,2,800,20500,21650,4865,3
84537,3,1,242,20920,21500,2952,2
84555,1,6,19158,21260,21260,100000,1
84609,3,1,242,20920,21500,4952,3
84611,1,5,14158,21260,21260,100000,1
84616,1,6,14508,21260,21260,100000,1
84626,1,7,14976,21260,21260,100000,1
84628,4,2,102400,20640,21640,500,1
84633,1,7,14976,21260,21260,100500,2
84638,3,1,242,20920,21500,10952,4
84650,1,8,15231,21260,21260,100500,2
84654,1,9,15467,21260,21260,100500,2
84701,2,3,1189,21000,21450,2000,1
84714,1,9,15467,21260,21260,127651,3
84726,4,2,102400,20640,21540,20000,1
84726,5,2,800,20500,21640,500,1
84732,1,10,20467,21260,21260,127651,3
84744,1,11,20713,21260,21260,127651,3
84747,4,3,102758,20640,21540,20000,1
84757,4,1,2550,20650,21540,20000,1
84757,5,3,102758,20640,21640,500,1
84804,2,2,890,21000,21450,2000,1
84805,1,12,21713,21260,21260,127651,3
84809,3,2,482,20920,21500,10952,4
84809,5,3,102758,20640,21640,35500,2
84809,5,3,102758,20640,21550,432,1
84809,1,11,17177,21260,21260,127651,3
84809,2,3,5426,21000,21450,2000,1
84813,4,3,102758,20640,21540,20000,1
84813,5,2,800,20500,21550,432,1
84825,2,4,5726,21000,21450,2000,1
84825,5,1,500,20500,21550,432,1
84828,1,12,17408,21260,21260,127651,3
84831,1,12,17408,21260,21260,127701,4
84832,2,4,5726,21000,21410,1168,1
84832,3,2,482,20920,21450,2000,1
84832,4,3,102758,20640,21500,10952,4
84832,5,1,500,20500,21540,20000,1
84840,1,12,17408,21260,21260,127921,5
84854,1,13,17701,21260,21260,127921,5
84907,1,14,20701,21260,21260,127921,5
84913,2,5,6176,21000,21410,1168,1
84914,5,2,2500,20500,21540,20000,1
84943,4,1,4550,20650,21500,10952,4
84943,5,3,102758,20640,21540,20000,1
84943,1,15,45051,21260,21260,127921,5
84946,1,15,45051,21260,21260,128921,6
84956,5,4,103047,20640,21540,20000,1
85014,3,1,242,20920,21450,2000,1
85014,4,2,4793,20650,21500,10952,4
85025,1,16,45301,21260,21260,128921,6
85053,1,17,45541,21260,21260,128921,6
85059,4,1,50000,20900,21500,10952,4
85059,5,2,4793,20650,21540,20000,1
85112,4,2,4793,20650,21500,10952,4
85112,5,4,103047,20640,21540,20000,1
85125,2,5,6176,21000,21340,9,1
85125,3,1,242,20920,21410,1168,1
85125,4,2,4793,20650,21450,2000,1
85125,5,4,103047,20640,21500,10952,4
85128,1,18,65541,21260,21260,128921,6
85132,1,18,65541,21260,21260,128871,5
85132,2,5,6176,21000,21340,59,2
85139,3,2,95490,20920,21410,1168,1
85145,4,1,243,20650,21450,2000,1
85146,4,1,500,20700,21450,2000,1
85146,5,1,243,20650,21500,10952,4
85152,1,18,65541,21260,21260,138208,6
85206,5,2,5243,20650,21500,10952,4
85206,1,19,65781,21260,21260,138208,6
85209,2,6,6706,21000,21340,59,2
