time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63127,1,1,232,42800,45200,10000,1
63127,2,1,5000,42501,45220,147,1
63127,3,1,5000,42321,45816,900,1
63127,4,1,10000,41631,47004,360,1
63127,5,1,9585,40600,48655,15900,1
84510,4,1,10000,41631,46203,70000,1
84510,5,1,9585,40600,47004,360,1
84514,1,1,232,42800,45000,14000,1
84514,2,1,5000,42501,45200,10000,1
84514,3,1,5000,42321,45220,147,1
84514,4,1,10000,41631,45816,900,1
84514,5,1,9585,40600,46203,70000,1
84515,5,1,9585,40600,46000,1900,1
84516,2,1,5000,42501,45200,10179,2
84519,1,1,136,43880,45000,14000,1
84519,2,1,232,42800,45200,10179,2
84519,3,1,5000,42501,45220,147,1
84519,4,1,5000,42321,45816,900,1
84519,5,1,10000,41631,46000,1900,1
84529,1,4,10368,42321,42321,7033,1
84529,2,1,10000,41631,45000,14000,1
84529,3,1,9585,40600,45200,10179,2
84529,4,1,30000,40139,45220,147,1
84529,5,1,50000,40000,45816,900,1
84532,1,5,10595,42321,42321,7033,1
84613,2,1,1000,42000,45000,14000,1
84613,3,1,10000,41631,45200,10179,2
84613,4,1,9585,40600,45220,147,1
84613,5,1,30000,40139,45816,900,1
84617,1,5,10604,42321,42321,7033,1
84619,1,6,11074,42321,42321,7033,1
84701,1,7,13428,42321,42321,7033,1
84717,2,1,1000,42000,43650,11977,1
84717,3,1,10000,41631,45000,14000,1
84717,4,1,9585,40600,45200,10179,2
84717,5,1,30000,40139,45220,147,1
84738,4,1,9585,40600,45120,185,1
84738,5,1,30000,40139,45200,10179,2
84739,2,1,1000,42000,44003,11977,1
84746,1,7,13428,42321,42321,7383,2
84801,1,8,13663,42321,42321,7383,2
84835,3,1,121,41803,45000,14000,1
84835,4,1,10000,41631,45120,185,1
84835,5,1,9585,40600,45200,10179,2
84844,1,9,14113,42321,42321,7383,2
84907,1,1,11347,44003,44003,19360,3
84907,2,1,136,43880,45000,14000,1
