date,open,high,low,last,close,vol,count,value
20011119,1326.57,1376,1327,1375.70,1375.70,713895,67,1950716500.00
20011120,1421.40,1431,1420,1430.73,1430.73,557240,306,1615295400.00
20011121,1434.17,1434,1432,1434.17,1434.17,114747,126,334825358.00
20011124,1440.56,1449,1441,1449.40,1449.40,268020,284,790362645.00
20011125,1459.23,1460,1459,1459.23,1459.23,18000,13,53466300.00
20011126,1459.23,1459,1459,1459.23,1459.23,26198,9,77808060.00
20011204,1472.00,1472,1471,1471.02,1471.02,1100,2,3294760.00
20011208,1472.00,1472,1471,1471.02,1471.02,2000,4,5991430.00
20011209,1471.51,1472,1470,1470.04,1470.04,10000,6,29935196.00
20011210,1471.51,1472,1472,1471.51,1471.51,19554,7,58564230.00
20011211,1471.51,1472,1472,1471.51,1471.51,9133,3,27353335.00
20011212,1471.51,1472,1472,1471.51,1471.51,119408,18,357626960.00
20011215,1471.51,1472,1472,1471.51,1471.51,5000,2,14975000.00
20011217,1471.51,1472,1472,1471.51,1471.51,1000,1,2995000.00
20011218,1471.51,1472,1472,1471.51,1471.51,3432,3,10278840.00
20011223,1442.03,1442,1441,1440.56,1440.56,2895,4,8494890.00
20011224,1440.56,1441,1441,1440.56,1440.56,668,1,1958576.00
20011225,1440.56,1441,1441,1441.05,1441.05,1100,2,3225300.00
20011230,1439.08,1439,1439,1439.08,1439.08,500,1,1464500.00
20011231,1439.08,1440,1439,1439.08,1439.08,7434,4,21777528.00
20020101,1444.49,1444,1439,1439.08,1439.08,2000,2,5869000.00
20020105,1439.08,1444,1439,1444.49,1444.49,2100,2,6163000.00
20020107,1439.08,1439,1439,1438.59,1438.59,973,2,2849510.00
20020126,1423.36,1423,1423,1423.36,1423.36,1000,1,2897000.00
20020127,1419.92,1425,1420,1424.84,1424.84,14617,14,42294130.00
20020128,1438.59,1439,1425,1439.08,1439.08,16070,8,46923530.00
20020130,1439.08,1439,1439,1439.08,1439.08,5000,2,14645000.00
20020206,1440.56,1441,1440,1439.58,1439.58,25680,5,75277586.00
20020210,1439.58,1440,1440,1439.58,1439.58,1660,1,4863800.00
20020216,1440.07,1440,1440,1439.58,1439.58,3222,2,9440470.00
20020218,1439.58,1440,1440,1439.58,1439.58,4000,2,11720000.00
20020219,1439.58,1440,1440,1439.58,1439.58,1128,1,3305040.00
20020220,1439.58,1440,1440,1439.58,1439.58,87700,32,256961000.00
20020224,1439.58,1440,1440,1439.58,1439.58,29331,7,85939830.00
20020226,1440.07,1440,1440,1439.58,1439.58,13750,7,40289500.00
20020304,1439.58,1440,1440,1439.58,1439.58,4812,4,14099160.00
20020608,1473.97,1474,1474,1473.97,1473.97,3333,1,9999000.00
20020609,1474.46,1475,1474,1475.44,1475.44,1540,2,4623540.00
20020616,1475.44,1475,1474,1473.97,1473.97,645,2,1935336.00
20020617,1473.97,1474,1474,1473.97,1473.97,4170,2,12510000.00
20020618,1473.97,1474,1474,1473.97,1473.97,297,1,891000.00
20020728,1424.84,1425,1425,1424.84,1424.84,1000,1,2900000.00
20020831,1421.40,1422,1421,1421.40,1421.40,23333,6,67503369.00
20020902,1419.43,1420,1419,1419.92,1419.92,18033,11,52115040.00
20021016,1418.94,1419,1419,1418.94,1418.94,6775,5,19566200.00
20021103,1418.94,1419,1419,1418.94,1418.94,9667,10,27918296.00
20021105,1419.92,1420,1420,1419.92,1419.92,20,1,57800.00
20021106,1424.84,1425,1425,1424.84,1424.84,5500,2,15950000.00
20021109,1473.97,1496,1474,1496.08,1496.08,9000,2,27180000.00
20021110,1523.10,1571,1523,1570.76,1570.76,5000,2,15694000.00
20021113,1596.80,1602,1597,1601.71,1601.71,8020,4,26077000.00
20021117,1602.69,1603,1603,1602.69,1602.69,2000,1,6524000.00
20021118,1611.54,1612,1612,1611.54,1611.54,2230,2,7314400.00
20021119,1636.10,1646,1621,1645.93,1645.93,7000,4,23280000.00
20021123,1656.74,1695,1657,1695.06,1695.06,5000,4,17136500.00
20021124,1681.80,1696,1682,1695.55,1695.55,16356,33,56362656.00
20021125,1695.55,1744,1696,1744.20,1744.20,11749,7,41164799.00
20021126,1793.33,1793,1793,1793.33,1793.33,3000,2,10950000.00
20021130,1793.33,1793,1793,1793.33,1793.33,2894,4,10563100.00
20021201,1792.84,1793,1793,1792.84,1792.84,20,1,72980.00
20021202,1769.25,1769,1769,1769.25,1769.25,10000,3,36010000.00
20021203,1745.67,1746,1746,1745.67,1745.67,2000,1,7106000.00
20021204,1747.63,1748,1748,1747.63,1747.63,2500,1,8892500.00
20021214,1782.03,1783,1782,1783.01,1783.01,1212,5,4397298.00
20021221,1788.41,1872,1788,1871.94,1871.94,9500,2,35855000.00
20021225,1871.94,1872,1872,1871.94,1871.94,500,1,1905000.00
20030101,1872.92,1873,1873,1872.92,1872.92,424,1,1616288.00
20030107,1875.38,1875,1875,1875.38,1875.38,2515,1,9599755.00
20030112,1918.62,1919,1919,1919.11,1919.11,7591,7,29644855.00
20030113,1925.98,1926,1926,1925.98,1925.98,2000,1,7840000.00
20030205,2456.61,2457,2457,2456.61,2456.61,3748,1,18740000.00
20030209,2579.44,2579,2579,2579.44,2579.44,1000,1,5250000.00
20030210,2708.17,2708,2708,2708.17,2708.17,1000,2,5512000.00
20030215,2843.28,2843,2825,2825.11,2825.11,2450,3,14141150.00
20030216,2985.28,2985,2985,2985.28,2985.28,3000,3,18228000.00
20030217,3134.15,3134,3134,3134.15,3134.15,12800,11,81651200.00
20030218,3133.66,3134,3134,3134.15,3134.15,7389,10,47132431.00
20030219,3134.15,3134,3133,3133.66,3133.66,8927,8,56933101.00
20030222,3134.64,3135,3135,3134.64,3134.64,3748,1,23912240.00
20030224,3134.64,3135,3135,3134.64,3134.64,200,2,1276000.00
20030225,3134.64,3135,3135,3134.64,3134.64,5200,5,33176000.00
20030226,3134.64,3135,3135,3134.64,3134.64,2000,3,12760000.00
20030301,3134.64,3135,3135,3134.64,3134.64,2684,3,17123920.00
20030302,3134.64,3135,3135,3134.64,3134.64,1605,1,10239900.00
20030303,3134.64,3135,3135,3134.64,3134.64,1000,1,6380000.00
20030304,3134.64,3135,3135,3134.64,3134.64,3000,4,19140000.00
20030310,3134.64,3135,3135,3134.64,3134.64,3000,2,19140000.00
20030312,3134.64,3135,3135,3134.64,3134.64,2000,1,12760000.00
20030316,3134.64,3135,3135,3134.64,3134.64,500,1,3190000.00
20030503,3134.64,3135,3135,3134.64,3134.64,856,3,5461280.00
20030512,3144.47,3685,3144,3684.92,3684.92,1390,2,9996000.00
20030520,3709.98,3710,3710,3709.98,3709.98,1568,3,11839968.00
20030531,3734.05,3734,3734,3734.05,3734.05,5000,1,38000000.00
20030601,3734.05,3734,3734,3734.05,3734.05,500,1,3800000.00
20030602,3758.62,3759,3759,3758.62,3758.62,3000,1,22950000.00
20030609,3832.32,3832,3832,3832.32,3832.32,2500,1,19500000.00
20030614,3832.32,3881,3832,3881.45,3881.45,2300,2,18140000.00
20030628,4073.07,4073,4073,4073.07,4073.07,1100,1,9119000.00
20031014,2161.82,2162,2162,2161.82,2161.82,21180,7,93192000.00
20031025,2175.09,2175,2054,2064.54,2064.54,36916,21,155149688.00
20031027,2064.54,2162,2065,2161.33,2161.33,30110,7,132464190.00
20031105,2161.33,2161,2161,2161.33,2161.33,4510,2,19839490.00
20031110,2161.33,2161,2161,2161.33,2161.33,902,1,3967898.00
20031111,2161.33,2161,2161,2161.33,2161.33,1035,1,4552965.00
20031112,2160.35,2161,2160,2160.84,2160.84,4510,2,19830480.00
20031117,2159.85,2160,2160,2159.85,2159.85,12327,5,54200709.00
20031203,2235.52,2236,2160,2159.85,2159.85,100000,2,454999846.00
20031207,2235.52,2260,2208,2207.51,2207.51,108643,4,494756730.00
20031208,2260.08,2260,2212,2211.93,2211.93,1657,3,7621220.00
20031209,2260.08,2260,2214,2214.39,2214.39,1010,2,4645070.00
20031216,2214.39,2214,2214,2214.39,2214.39,165,1,743655.00
20031217,2235.52,2260,2236,2243.38,2243.38,900346,33,4131901740.00
20031223,2243.87,2244,2243,2243.38,2243.38,2835,4,12945036.00
20031227,2246.33,2246,2243,2243.38,2243.38,1010,2,4617660.00
20031229,2246.33,2246,2243,2243.38,2243.38,510,2,2331660.00
20040103,2260.08,2260,2243,2243.38,2243.38,906240,9,4168703966.00
20040104,2246.33,2246,2243,2243.38,2243.38,411,2,1879032.00
20040105,2245.34,2246,2243,2243.38,2243.38,3899,3,17818588.00
20040106,2243.38,2243,2243,2243.38,2243.38,50,1,228300.00
20040107,2243.38,2243,2243,2243.38,2243.38,429,2,1958814.00
20040112,2260.08,2260,2254,2253.70,2253.70,23175,4,106604870.00
20040114,2243.87,2253,2244,2253.21,2253.21,1510,5,6896360.00
20040119,2260.08,2260,2244,2252.71,2252.71,125168,4,575751299.00
20040126,2260.08,2260,2253,2252.71,2252.71,368985,6,1697330850.00
20040215,2245.34,2260,2245,2252.22,2252.22,437164,11,2010919290.00
20040216,2260.08,2260,2252,2252.22,2252.22,1958,2,9006640.00
20040222,2161.82,2252,2162,2251.73,2251.73,436,3,1977182.00
20040229,2252.22,2252,2252,2251.73,2251.73,349,2,1599806.00
20040307,2251.73,2252,2252,2251.73,2251.73,1000,2,4583000.00
20040309,2251.73,2252,2252,2251.73,2251.73,200000,3,916600000.00
20040313,2253.70,2254,2252,2251.73,2251.73,1010,2,4632830.00
20040315,2432.05,2457,2407,2432.05,2432.05,60010,12,297049500.00
20040316,2505.75,2506,2438,2437.94,2437.94,2928,2,14931420.00
20040317,2505.75,2506,2438,2440.40,2440.40,101372,3,503295870.00
20040406,2407.48,2440,2407,2439.91,2439.91,210,2,1029660.00
20040412,2406.01,2437,2334,2436.96,2436.96,1717,6,8262250.00
20040418,2406.99,2559,2407,2519.50,2519.50,53503,12,274415162.00
20040425,2530.31,2530,2530,2530.31,2530.31,60000,7,309000000.00
20040427,2530.31,2530,2530,2530.31,2530.31,90000,9,463500000.00
20040428,2530.31,2530,2530,2530.31,2530.31,1000,1,5150000.00
20040501,2530.31,2530,2530,2530.31,2530.31,530,2,2729500.00
20040503,2519.50,2530,2520,2529.82,2529.82,2010,2,10307490.00
20040504,2530.31,2530,2520,2528.84,2528.84,4010,3,20574470.00
20040510,2406.99,2516,2407,2516.06,2516.06,5010,2,24546210.00
20040515,2516.06,2516,2516,2516.06,2516.06,1000,1,5121000.00
20040518,2406.99,2554,2407,2498.38,2498.38,15819,5,79330641.00
20040524,2498.38,2498,2498,2497.88,2497.88,9812,4,49884306.00
20040601,2498.38,2498,2498,2497.88,2497.88,40010,6,203450840.00
20040605,2497.88,2498,2498,2497.88,2497.88,1000,1,5084000.00
20040606,2498.38,2498,2498,2497.88,2497.88,171,2,869525.00
20040607,2498.38,2498,2498,2497.88,2497.88,1610,2,8186840.00
20040609,2498.38,2498,2498,2497.88,2497.88,793,2,4032395.00
20040613,2497.88,2516,2498,2500.34,2500.34,19553,5,99661958.00
20040704,2505.75,2506,2500,2505.25,2505.25,53044,13,270518642.00
20040719,2505.25,2505,2505,2505.25,2505.25,300,1,1529700.00
20040720,2380.46,2474,2380,2473.81,2473.81,12010,3,58190350.00
20040803,2474.79,2475,2474,2473.81,2473.81,110,2,554050.00
20040808,2579.44,2579,2507,2506.73,2506.73,15010,3,78801020.00
20040814,2555.86,2556,2509,2508.69,2508.69,2010,2,10455060.00
20040818,2633.98,2634,2634,2633.98,2633.98,49000,5,262689000.00
20040822,2765.66,2766,2702,2702.27,2702.27,25010,4,140780000.00
20040823,2837.39,2837,2786,2786.29,2786.29,30010,4,173306710.00
20040825,2893.89,2894,2825,2838.86,2838.86,30266,5,176829780.00
20040831,2849.67,2850,2843,2842.79,2842.79,19010,3,110257860.00
20040907,2849.67,2851,2843,2842.79,2842.79,2285,3,13254478.00
20040911,2854.09,2854,2844,2843.78,2843.78,5010,2,29102880.00
20040912,2854.58,2855,2850,2850.16,2850.16,30010,6,174354762.00
20040914,2854.58,2855,2852,2851.64,2851.64,20010,4,116258040.00
20040926,2948.43,2948,2948,2947.94,2947.94,111740,15,670440740.00
20040927,2947.94,2948,2948,2947.94,2947.94,12317,2,73902000.00
20040928,2947.94,2948,2948,2947.94,2947.94,2912,1,17472000.00
20041013,2948.92,2949,2948,2948.43,2948.43,45010,7,270150010.00
20041019,2948.92,2949,2948,2948.43,2948.43,45010,8,270150010.00
20041020,2948.43,2948,2948,2948.43,2948.43,1004,1,6025004.00
20041026,2949.90,2950,2948,2948.43,2948.43,240,2,1440930.00
20041101,3390.13,3390,3390,3390.13,3390.13,5000,1,34500000.00
20041110,3512.96,3513,3416,3415.68,3415.68,10010,2,71569520.00
20041113,3418.62,3419,3416,3415.68,3415.68,714,2,4967952.00
20041214,3586.16,3586,3426,3426.48,3426.48,3066,3,22375484.00
20041215,3597.46,3597,3429,3428.94,3428.94,714,2,5224478.00
20041218,3599.92,3600,3445,3445.15,3445.15,4582,2,33569164.00
20041219,3617.12,3617,3446,3445.65,3445.65,266,2,1954802.00
